,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-12-14,0.998,0.979,1.0,0.978,1123772,111680541.468,0.0,0.0,0.0,513.24
1,2023-12-15,0.984,0.986,1.002,0.984,588953,58826452.791,1.84,0.72,0.007,268.98
2,2023-12-18,0.982,0.971,0.987,0.961,60795,5934786.399,2.64,-1.52,-0.015,27.77
3,2023-12-19,0.967,0.968,0.973,0.961,27934,2703252.322,1.24,-0.31,-0.003,12.76
4,2023-12-20,0.964,0.968,0.977,0.964,56556,5505905.598,1.34,0.0,0.0,25.83
5,2023-12-21,0.963,0.974,0.976,0.96,104947,10175632.338,1.65,0.62,0.006,47.93
6,2023-12-22,0.973,0.99,0.999,0.968,192751,19063738.532,3.18,1.64,0.016,88.03
7,2023-12-25,0.989,0.996,0.998,0.988,43470,4314194.115,1.01,0.61,0.006,19.85
8,2023-12-26,0.998,0.996,1.001,0.991,147741,14758212.257,1.0,0.0,0.0,67.47
9,2023-12-27,0.998,1.002,1.003,0.989,136121,13619188.411,1.41,0.6,0.006,62.17
10,2023-12-28,0.999,1.03,1.035,0.999,303899,31001698.145,3.59,2.79,0.028,138.79
11,2023-12-29,1.025,1.031,1.032,1.025,114585,11802910.502,0.68,0.1,0.001,52.33
12,2024-01-02,1.025,1.033,1.037,1.025,72109,7447288.404,1.16,0.19,0.002,32.93
13,2024-01-03,1.031,1.03,1.034,1.026,30034,3090378.309,0.77,-0.29,-0.003,13.72
14,2024-01-04,1.025,1.021,1.025,1.013,38060,3871111.156,1.17,-0.87,-0.009,17.38
15,2024-01-05,1.027,1.023,1.036,1.012,33159,3401056.422,2.35,0.2,0.002,15.14
16,2024-01-08,1.018,1.004,1.022,0.999,9164,927075.943,2.25,-1.86,-0.019,4.19
17,2024-01-09,0.999,1.011,1.027,0.997,20456,2062826.747,2.99,0.7,0.007,9.34
18,2024-01-10,1.006,1.008,1.022,1.006,8590,870668.073,1.58,-0.3,-0.003,3.92
19,2024-01-11,1.003,1.022,1.029,1.001,36305,3681278.765,2.78,1.39,0.014,16.58
20,2024-01-12,1.017,1.02,1.027,1.017,36214,3703651.252,0.98,-0.2,-0.002,16.54
21,2024-01-15,1.015,1.007,1.036,1.007,3655,370084.426,2.84,-1.27,-0.013,1.67
22,2024-01-16,1.002,1.006,1.014,0.996,1348,135471.0,1.79,-0.1,-0.001,0.62
23,2024-01-17,1.006,0.975,1.006,0.975,25251,2475549.16,3.08,-3.08,-0.031,11.53
24,2024-01-18,0.974,0.979,0.98,0.95,32895,3158389.208,3.08,0.41,0.004,15.02
25,2024-01-19,0.986,0.975,1.003,0.974,3019,296157.9,2.96,-0.41,-0.004,1.38
26,2024-01-22,0.973,0.935,0.973,0.926,16632,1581439.88,4.82,-4.1,-0.04,7.6
27,2024-01-23,0.93,0.943,0.946,0.92,59588,5578808.0,2.78,0.86,0.008,27.21
28,2024-01-24,0.943,0.957,0.957,0.924,49312,4619748.736,3.5,1.48,0.014,22.52
29,2024-01-25,0.955,0.979,0.98,0.955,8584,837688.4,2.61,2.3,0.022,3.92
30,2024-01-26,0.978,0.982,0.987,0.978,2256,221342.891,0.92,0.31,0.003,1.03
