,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-11-12,1.01,0.998,1.011,0.988,1353591,135826135.0,0.0,0.0,0.0,33.5
1,2021-11-15,0.994,0.992,0.994,0.977,198558,19523939.0,1.7,-0.6,-0.006,4.91
2,2021-11-16,0.981,0.985,0.997,0.981,56592,5606875.0,1.61,-0.71,-0.007,1.4
3,2021-11-17,0.985,0.983,0.985,0.977,57004,5588608.0,0.81,-0.2,-0.002,1.41
4,2021-11-18,0.985,0.963,0.985,0.962,16599,1613227.0,2.34,-2.03,-0.02,0.41
5,2021-11-19,0.963,1.002,1.009,0.96,594053,59387507.0,5.09,4.05,0.039,14.7
6,2021-11-22,1.008,0.98,1.008,0.972,68245,6670523.0,3.59,-2.2,-0.022,1.69
7,2021-11-23,0.972,0.983,0.992,0.972,53539,5264345.0,2.04,0.31,0.003,1.33
8,2021-11-24,0.981,0.99,1.002,0.981,277843,27633598.0,2.14,0.71,0.007,6.88
9,2021-11-25,0.989,0.983,0.995,0.982,29496,2906979.0,1.31,-0.71,-0.007,0.73
10,2021-11-26,0.986,0.973,0.986,0.969,131013,12739531.0,1.73,-1.02,-0.01,3.24
11,2021-11-29,0.968,0.959,0.969,0.958,17510,1682166.0,1.13,-1.44,-0.014,0.43
12,2021-11-30,0.971,0.954,0.972,0.952,59343,5676551.0,2.09,-0.52,-0.005,1.47
13,2021-12-01,0.955,0.97,0.975,0.955,55076,5333805.0,2.1,1.68,0.016,1.36
14,2021-12-02,0.966,0.979,0.985,0.96,68032,6652312.0,2.58,0.93,0.009,1.68
15,2021-12-03,0.984,0.99,0.995,0.971,55082,5449882.0,2.45,1.12,0.011,1.36
16,2021-12-06,0.995,0.997,1.02,0.995,147150,14822002.0,2.53,0.71,0.007,3.64
17,2021-12-07,1.006,1.015,1.03,1.006,100451,10230893.0,2.41,1.81,0.018,2.49
18,2021-12-08,1.005,1.01,1.015,0.972,78322,7833864.0,4.24,-0.49,-0.005,1.94
19,2021-12-09,1.01,1.03,1.034,1.01,60790,6217441.0,2.38,1.98,0.02,1.5
20,2021-12-10,1.016,1.014,1.028,1.007,55920,5690554.0,2.04,-1.55,-0.016,1.38
21,2021-12-13,1.018,1.007,1.02,1.004,28101,2841764.0,1.58,-0.69,-0.007,0.7
22,2021-12-14,1.015,0.989,1.015,0.987,56977,5649969.0,2.78,-1.79,-0.018,1.41
23,2021-12-15,0.989,0.998,1.005,0.989,56595,5657848.0,1.62,0.91,0.009,1.4
24,2021-12-16,0.999,1.003,1.008,0.992,48356,4848870.0,1.6,0.5,0.005,1.2
25,2021-12-17,0.998,1.005,1.02,0.998,55094,5550009.0,2.19,0.2,0.002,1.36
26,2021-12-20,1.001,1.009,1.025,1.001,62201,6320107.0,2.39,0.4,0.004,1.54
27,2021-12-21,1.008,1.067,1.067,1.008,156925,16511483.0,5.85,5.75,0.058,3.88
28,2021-12-22,1.075,1.044,1.08,1.036,125717,13169674.0,4.12,-2.16,-0.023,3.11
29,2021-12-23,1.04,1.032,1.042,1.021,78721,8102736.0,2.01,-1.15,-0.012,1.95
30,2021-12-24,1.029,1.035,1.036,1.014,98831,10121175.0,2.13,0.29,0.003,2.45
31,2021-12-27,1.027,1.041,1.054,1.027,85891,8969747.0,2.61,0.58,0.006,2.13
32,2021-12-28,1.033,1.032,1.039,1.02,54467,5582621.0,1.83,-0.86,-0.009,1.35
33,2021-12-29,1.023,1.025,1.036,1.02,40484,4161002.0,1.55,-0.68,-0.007,1.0
34,2021-12-30,1.026,1.027,1.031,1.022,62450,6410356.0,0.88,0.2,0.002,1.55
35,2021-12-31,1.028,1.039,1.05,1.025,69921,7286494.0,2.43,1.17,0.012,1.73
36,2022-01-04,1.04,1.059,1.062,1.029,76695,8072012.0,3.18,1.92,0.02,1.9
37,2022-01-05,1.059,1.074,1.095,1.05,98369,10584223.0,4.25,1.42,0.015,2.43
38,2022-01-06,1.069,1.061,1.083,1.058,65394,6982727.0,2.33,-1.21,-0.013,1.62
39,2022-01-07,1.058,1.094,1.109,1.058,81840,8974538.0,4.81,3.11,0.033,2.03
40,2022-01-10,1.085,1.108,1.121,1.082,75117,8270974.0,3.56,1.28,0.014,1.86
41,2022-01-11,1.11,1.11,1.141,1.096,140918,15811212.0,4.06,0.18,0.002,3.49
42,2022-01-12,1.11,1.101,1.11,1.08,78781,8615551.0,2.7,-0.81,-0.009,1.95
43,2022-01-13,1.101,1.079,1.114,1.077,100788,10993778.0,3.36,-2.0,-0.022,2.49
44,2022-01-14,1.079,1.049,1.079,1.046,103665,10919943.0,3.06,-2.78,-0.03,2.57
45,2022-01-17,1.049,1.063,1.069,1.049,65072,6915419.0,1.91,1.33,0.014,1.61
46,2022-01-18,1.064,1.095,1.108,1.06,98946,10700762.0,4.52,3.01,0.032,2.45
47,2022-01-19,1.095,1.105,1.133,1.093,112338,12429762.0,3.65,0.91,0.01,2.78
48,2022-01-20,1.116,1.104,1.134,1.102,112857,12582766.0,2.9,-0.09,-0.001,2.79
49,2022-01-21,1.091,1.097,1.108,1.087,83622,9133305.0,1.9,-0.63,-0.007,2.07
50,2022-01-24,1.094,1.11,1.12,1.078,86442,9475544.0,3.83,1.19,0.013,2.14
51,2022-01-25,1.11,1.069,1.11,1.069,87100,9454124.0,3.69,-3.69,-0.041,2.16
52,2022-01-26,1.066,1.069,1.089,1.06,84147,8987519.0,2.71,0.0,0.0,2.08
53,2022-01-27,1.066,1.059,1.077,1.052,68248,7263506.0,2.34,-0.94,-0.01,1.69
54,2022-01-28,1.057,1.05,1.069,1.049,78250,8281279.0,1.89,-0.85,-0.009,1.94
55,2022-02-07,1.054,1.067,1.068,1.034,94339,9927083.0,3.24,1.62,0.017,2.33
56,2022-02-08,1.067,1.071,1.074,1.05,94560,10067923.0,2.25,0.37,0.004,2.34
57,2022-02-09,1.071,1.067,1.096,1.062,110675,11892101.0,3.17,-0.37,-0.004,2.74
58,2022-02-10,1.066,1.08,1.091,1.044,107645,11570929.0,4.4,1.22,0.013,2.66
59,2022-02-11,1.088,1.084,1.109,1.082,146514,16046608.0,2.5,0.37,0.004,3.63
60,2022-02-14,1.085,1.047,1.085,1.043,125011,13155727.0,3.87,-3.41,-0.037,3.09
61,2022-02-15,1.008,1.036,1.09,1.008,79038,8204179.0,7.83,-1.05,-0.011,1.96
62,2022-02-16,1.037,1.047,1.055,1.029,64750,6762265.0,2.51,1.06,0.011,1.6
63,2022-02-17,1.045,1.028,1.046,1.025,86632,8941371.0,2.01,-1.81,-0.019,2.14
64,2022-02-18,1.021,1.071,1.071,1.021,158678,16711557.0,4.86,4.18,0.043,3.93
65,2022-02-21,1.063,1.089,1.089,1.056,96476,10349058.0,3.08,1.68,0.018,2.39
66,2022-02-22,1.07,1.075,1.091,1.066,109093,11751347.0,2.3,-1.29,-0.014,2.7
67,2022-02-23,1.072,1.061,1.073,1.05,61409,6483190.0,2.14,-1.3,-0.014,1.52
68,2022-02-24,1.051,1.035,1.06,1.027,85817,8915960.0,3.11,-2.45,-0.026,2.12
69,2022-02-25,1.041,1.027,1.048,1.022,38119,3937913.0,2.51,-0.77,-0.008,0.94
70,2022-02-28,1.025,1.02,1.027,1.008,50927,5180324.0,1.85,-0.68,-0.007,1.26
71,2022-03-01,1.02,1.032,1.033,1.019,40060,4108097.0,1.37,1.18,0.012,0.99
72,2022-03-02,1.034,1.041,1.056,1.031,73290,7663233.0,2.42,0.87,0.009,1.81
73,2022-03-03,1.04,1.063,1.065,1.039,77279,8187204.0,2.5,2.11,0.022,1.91
74,2022-03-04,1.056,1.054,1.057,1.035,100746,10551435.0,2.07,-0.85,-0.009,2.49
75,2022-03-07,1.049,1.053,1.071,1.049,151316,16074944.0,2.09,-0.09,-0.001,3.74
76,2022-03-08,1.04,1.016,1.059,1.016,83415,8591366.0,4.08,-3.51,-0.037,2.06
77,2022-03-09,1.02,0.977,1.022,0.948,55435,5495241.0,7.28,-3.84,-0.039,1.37
78,2022-03-10,0.98,0.983,0.997,0.973,28723,2828229.0,2.46,0.61,0.006,0.71
79,2022-03-11,0.974,0.988,0.988,0.956,30155,2937337.0,3.26,0.51,0.005,0.75
80,2022-03-14,0.967,0.97,1.009,0.967,59100,5834330.0,4.25,-1.82,-0.018,1.46
81,2022-03-15,0.952,0.893,0.998,0.89,127935,11758754.0,11.13,-7.94,-0.077,3.17
82,2022-03-16,0.895,0.916,0.924,0.863,48654,4324767.0,6.83,2.58,0.023,1.2
83,2022-03-17,0.957,0.958,0.996,0.942,234194,22367965.0,5.9,4.59,0.042,5.8
84,2022-03-18,0.941,1.013,1.013,0.93,421681,41715495.0,8.66,5.74,0.055,10.44
85,2022-03-21,0.999,0.998,1.01,0.976,177246,17616376.0,3.36,-1.48,-0.015,4.39
86,2022-03-22,0.982,1.039,1.045,0.978,319093,32626030.0,6.71,4.11,0.041,7.9
87,2022-03-23,1.05,1.057,1.079,1.02,345858,36343505.0,5.68,1.73,0.018,8.56
88,2022-03-24,1.045,1.043,1.063,1.031,299584,31481473.0,3.03,-1.32,-0.014,7.41
89,2022-03-25,1.034,1.041,1.063,1.023,223093,23318856.0,3.84,-0.19,-0.002,5.52
90,2022-03-28,1.039,1.07,1.076,1.03,275775,29244027.0,4.42,2.79,0.029,6.83
91,2022-03-29,1.056,1.049,1.063,1.039,301201,31563028.0,2.24,-1.96,-0.021,7.45
92,2022-03-30,1.045,1.113,1.121,1.041,328861,35566446.0,7.63,6.1,0.064,8.14
93,2022-03-31,1.114,1.122,1.154,1.092,359823,40431620.0,5.57,0.81,0.009,8.91
94,2022-04-01,1.1,1.169,1.171,1.1,231697,26294617.0,6.33,4.19,0.047,5.73
95,2022-04-06,1.199,1.198,1.218,1.163,282294,33694168.0,4.7,2.48,0.029,6.99
96,2022-04-07,1.18,1.151,1.194,1.15,376584,43897487.0,3.67,-3.92,-0.047,9.32
97,2022-04-08,1.144,1.182,1.192,1.124,264382,30639819.0,5.91,2.69,0.031,6.54
98,2022-04-11,1.17,1.143,1.17,1.131,197196,22619656.0,3.3,-3.3,-0.039,4.88
99,2022-04-12,1.141,1.107,1.15,1.098,354845,39766675.0,4.55,-3.15,-0.036,8.78
100,2022-04-13,1.1,1.113,1.135,1.075,334968,37039575.0,5.42,0.54,0.006,8.29
101,2022-04-14,1.116,1.161,1.172,1.108,347702,39377395.0,5.75,4.31,0.048,8.61
102,2022-04-15,1.161,1.167,1.204,1.132,413298,48656347.0,6.2,0.52,0.006,10.23
103,2022-04-18,1.15,1.116,1.166,1.116,294759,33680615.0,4.28,-4.37,-0.051,7.3
104,2022-04-19,1.105,1.123,1.132,1.087,323095,35817014.0,4.03,0.63,0.007,8.0
105,2022-04-20,1.113,1.066,1.12,1.05,659014,70512887.0,6.23,-5.08,-0.057,16.31
106,2022-04-21,1.045,1.046,1.077,1.037,429866,45541286.0,3.75,-1.88,-0.02,10.64
107,2022-04-22,1.039,1.069,1.077,1.022,312633,33167191.0,5.26,2.2,0.023,7.74
108,2022-04-25,1.05,1.014,1.081,1.011,513538,53446157.0,6.55,-5.14,-0.055,12.71
109,2022-04-26,1.01,1.025,1.054,1.003,341636,35337922.0,5.03,1.08,0.011,8.46
110,2022-04-27,1.02,0.999,1.028,0.975,557728,55539144.0,5.17,-2.54,-0.026,13.8
111,2022-04-28,0.986,1.021,1.038,0.986,422675,42910879.0,5.21,2.2,0.022,10.46
112,2022-04-29,1.03,1.069,1.069,1.012,482725,50398428.0,5.58,4.7,0.048,11.95
113,2022-05-05,1.077,1.054,1.089,1.024,459714,48126691.0,6.08,-1.4,-0.015,11.38
114,2022-05-06,1.023,0.99,1.026,0.983,393437,39560508.0,4.08,-6.07,-0.064,9.74
115,2022-05-09,0.972,0.997,1.009,0.972,223485,22265704.0,3.74,0.71,0.007,5.53
116,2022-05-10,0.976,0.999,1.006,0.963,455503,44645965.0,4.31,0.2,0.002,11.27
117,2022-05-11,0.989,0.982,1.006,0.981,361154,35748791.0,2.5,-1.7,-0.017,8.94
118,2022-05-12,0.982,0.963,0.983,0.951,325292,31393476.0,3.26,-1.93,-0.019,8.05
119,2022-05-13,0.96,1.011,1.012,0.959,396923,39266321.0,5.5,4.98,0.048,9.82
120,2022-05-16,1.052,1.021,1.052,1.0,408744,41744354.0,5.14,0.99,0.01,10.12
121,2022-05-17,1.021,1.012,1.029,1.0,296441,29963935.0,2.84,-0.88,-0.009,7.34
122,2022-05-18,1.01,1.002,1.015,0.992,244804,24509961.0,2.27,-0.99,-0.01,6.06
123,2022-05-19,1.001,1.025,1.025,0.991,291168,29573625.0,3.39,2.3,0.023,7.21
124,2022-05-20,1.025,1.012,1.031,1.001,361563,36633943.0,2.93,-1.27,-0.013,8.95
125,2022-05-23,1.003,0.983,1.012,0.979,376243,37193066.0,3.26,-2.87,-0.029,9.31
126,2022-05-24,0.985,0.973,0.988,0.969,314194,30703443.0,1.93,-1.02,-0.01,7.78
127,2022-05-25,0.971,0.973,0.973,0.954,302248,29141780.0,1.95,0.0,0.0,7.48
128,2022-05-26,0.968,0.981,0.99,0.966,362845,35536539.0,2.47,0.82,0.008,8.98
129,2022-05-27,0.984,0.973,0.985,0.966,339003,32963659.0,1.94,-0.82,-0.008,8.39
130,2022-05-30,0.97,0.962,0.979,0.955,361986,34863779.0,2.47,-1.13,-0.011,8.96
131,2022-05-31,0.955,0.956,0.963,0.947,425773,40586783.0,1.66,-0.62,-0.006,10.54
132,2022-06-01,0.957,0.959,0.966,0.948,394915,37834392.0,1.88,0.31,0.003,9.77
133,2022-06-02,0.956,0.942,0.957,0.937,427981,40398214.0,2.09,-1.77,-0.017,10.59
134,2022-06-06,0.939,0.93,0.939,0.914,526638,48578682.0,2.65,-1.27,-0.012,13.03
135,2022-06-07,0.929,0.943,0.943,0.926,453455,42435474.0,1.83,1.4,0.013,11.22
136,2022-06-08,0.944,0.936,0.946,0.924,445411,41549299.0,2.33,-0.74,-0.007,11.02
137,2022-06-09,0.933,0.946,0.952,0.931,486713,46038720.0,2.24,1.07,0.01,12.05
138,2022-06-10,0.944,0.942,0.944,0.933,411482,38590044.0,1.16,-0.42,-0.004,10.18
139,2022-06-13,0.93,0.91,0.934,0.907,564684,51761455.0,2.87,-3.4,-0.032,13.98
140,2022-06-14,0.898,0.926,0.928,0.897,430804,39505568.0,3.41,1.76,0.016,10.66
141,2022-06-15,0.94,0.958,0.975,0.924,737605,70350157.0,5.51,3.46,0.032,18.26
142,2022-06-16,0.951,0.948,0.97,0.942,437792,41632049.0,2.92,-1.04,-0.01,10.84
143,2022-06-17,0.938,0.945,0.95,0.933,368861,34709068.0,1.79,-0.32,-0.003,9.13
144,2022-06-20,0.945,0.967,0.973,0.942,481975,46372052.0,3.28,2.33,0.022,11.93
145,2022-06-21,0.969,0.976,0.993,0.963,533588,52268715.0,3.1,0.93,0.009,13.21
146,2022-06-22,0.976,0.954,0.978,0.952,397688,38240396.0,2.66,-2.25,-0.022,9.84
147,2022-06-23,0.955,0.971,0.972,0.944,472891,45457345.0,2.94,1.78,0.017,11.7
148,2022-06-24,0.974,0.969,0.974,0.955,436403,41933182.0,1.96,-0.21,-0.002,10.8
149,2022-06-27,0.966,0.968,0.975,0.959,429102,41420248.0,1.65,-0.1,-0.001,10.62
150,2022-06-28,0.966,0.957,0.971,0.951,492808,47093469.0,2.07,-1.14,-0.011,12.2
151,2022-06-29,0.958,1.005,1.013,0.957,1037663,103003334.0,5.85,5.02,0.048,25.68
152,2022-06-30,1.009,1.024,1.028,0.993,631947,63801307.0,3.48,1.89,0.019,15.64
153,2022-07-01,1.02,1.018,1.035,1.014,409629,41905750.0,2.05,-0.59,-0.006,10.14
154,2022-07-04,1.019,1.01,1.02,0.997,390628,39205531.0,2.26,-0.79,-0.008,9.67
155,2022-07-05,1.01,0.998,1.011,0.986,415411,41453488.0,2.48,-1.19,-0.012,10.28
156,2022-07-06,0.998,0.972,1.0,0.966,552844,53962557.0,3.41,-2.61,-0.026,13.68
157,2022-07-07,0.973,0.972,0.986,0.966,402819,39220070.0,2.06,0.0,0.0,9.97
158,2022-07-08,0.976,0.974,0.983,0.964,396595,38627280.0,1.95,0.21,0.002,9.82
159,2022-07-11,0.97,0.963,0.98,0.959,350691,33897825.0,2.16,-1.13,-0.011,8.68
160,2022-07-12,0.958,0.967,0.975,0.958,379988,36677831.5,1.77,0.42,0.004,9.4
161,2022-07-13,0.967,0.977,0.994,0.967,472540,46430153.6,2.79,1.03,0.01,11.7
162,2022-07-14,0.969,0.953,0.97,0.947,506241,48388901.8,2.35,-2.46,-0.024,12.53
163,2022-07-15,0.952,0.909,0.952,0.909,595658,54984799.7,4.51,-4.62,-0.044,14.74
164,2022-07-18,0.907,0.941,0.943,0.906,523527,48622077.8,4.07,3.52,0.032,12.96
165,2022-07-19,0.936,0.939,0.942,0.926,293988,27462036.2,1.7,-0.21,-0.002,7.28
166,2022-07-20,0.936,0.936,0.944,0.934,270325,25373354.3,1.06,-0.32,-0.003,6.69
167,2022-07-21,0.932,0.92,0.935,0.918,538358,49666489.0,1.82,-1.71,-0.016,13.32
168,2022-07-22,0.92,0.916,0.925,0.907,324038,29637491.8,1.96,-0.43,-0.004,8.02
169,2022-07-25,0.918,0.926,0.938,0.917,372478,34665504.0,2.29,1.09,0.01,9.22
170,2022-07-26,0.926,0.974,0.975,0.922,674015,64397367.5,5.72,5.18,0.048,16.68
171,2022-07-27,0.974,0.967,0.974,0.952,425705,40945150.9,2.26,-0.72,-0.007,10.54
172,2022-07-28,0.96,0.969,0.983,0.957,548457,53113224.5,2.69,0.21,0.002,13.57
173,2022-07-29,0.97,0.948,0.973,0.948,415334,39674980.7,2.58,-2.17,-0.021,10.28
174,2022-08-01,0.945,0.935,0.948,0.927,519775,48557499.0,2.22,-1.37,-0.013,12.86
175,2022-08-02,0.922,0.911,0.928,0.904,355609,32409048.0,2.57,-2.57,-0.024,8.8
176,2022-08-03,0.91,0.888,0.921,0.884,429860,38567051.4,4.06,-2.52,-0.023,10.64
177,2022-08-04,0.888,0.893,0.9,0.877,352835,31251458.5,2.59,0.56,0.005,8.73
178,2022-08-05,0.89,0.903,0.903,0.886,354197,31644399.1,1.9,1.12,0.01,8.77
179,2022-08-08,0.903,0.902,0.926,0.899,370182,33589765.1,2.99,-0.11,-0.001,9.16
180,2022-08-09,0.896,0.898,0.909,0.888,332016,29816329.5,2.33,-0.44,-0.004,8.22
181,2022-08-10,0.902,0.892,0.903,0.888,276227,24652366.9,1.67,-0.67,-0.006,6.84
182,2022-08-11,0.894,0.906,0.909,0.894,340570,30722755.4,1.68,1.57,0.014,8.43
183,2022-08-12,0.903,0.916,0.92,0.9,351153,32048136.1,2.21,1.1,0.01,8.69
184,2022-08-15,0.915,0.912,0.928,0.91,267171,24518569.4,1.97,-0.44,-0.004,6.61
185,2022-08-16,0.918,0.927,0.935,0.917,404364,37466138.1,1.97,1.64,0.015,10.01
186,2022-08-17,0.925,0.949,0.956,0.916,464363,43689185.0,4.31,2.37,0.022,11.49
187,2022-08-18,0.951,0.939,0.951,0.931,311391,29151370.6,2.11,-1.05,-0.01,7.71
188,2022-08-19,0.934,0.956,0.97,0.934,375084,35994866.4,3.83,1.81,0.017,9.28
189,2022-08-22,0.964,0.96,0.969,0.948,340985,32702530.2,2.2,0.42,0.004,8.44
190,2022-08-23,0.959,0.952,0.965,0.946,324392,30839239.8,1.98,-0.83,-0.008,8.03
191,2022-08-24,0.95,0.939,0.954,0.937,318804,30176368.7,1.79,-1.37,-0.013,7.89
192,2022-08-25,0.94,0.956,0.958,0.94,346568,32882334.0,1.92,1.81,0.017,8.58
193,2022-08-26,0.953,0.951,0.957,0.943,321352,30573595.5,1.46,-0.52,-0.005,7.95
194,2022-08-29,0.948,0.945,0.948,0.925,283796,26558255.2,2.42,-0.63,-0.006,7.02
195,2022-08-30,0.943,0.96,0.962,0.943,358936,34305302.8,2.01,1.59,0.015,8.88
196,2022-08-31,0.958,0.96,0.976,0.958,311332,30085123.0,1.88,0.0,0.0,7.71
197,2022-09-01,0.961,0.971,0.993,0.957,399408,39161006.9,3.75,1.15,0.011,9.89
