,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-08-09,1.035,1.008,1.035,0.989,391503,39249799.0,0.0,0.0,0.0,77.76
1,2021-08-10,1.009,0.996,1.01,0.982,160324,16018627.0,2.78,-1.19,-0.012,31.85
2,2021-08-11,0.986,1.003,1.007,0.985,229582,22907731.0,2.21,0.7,0.007,45.6
3,2021-08-12,0.999,1.003,1.01,0.99,114419,11463521.0,1.99,0.0,0.0,22.73
4,2021-08-13,0.991,0.995,1.024,0.988,115203,11608780.0,3.59,-0.8,-0.008,22.88
5,2021-08-16,0.995,0.955,0.995,0.943,201296,19221349.0,5.23,-4.02,-0.04,39.98
6,2021-08-17,0.953,0.935,0.963,0.935,94291,8961031.0,2.93,-2.09,-0.02,18.73
7,2021-08-18,0.944,0.942,0.957,0.934,36154,3413176.0,2.46,0.75,0.007,7.18
8,2021-08-19,0.953,0.967,0.978,0.939,123116,11770997.0,4.14,2.65,0.025,24.45
9,2021-08-20,0.954,0.955,0.971,0.946,29657,2834879.0,2.59,-1.24,-0.012,5.89
10,2021-08-23,0.955,0.983,0.985,0.951,48387,4720685.0,3.56,2.93,0.028,9.61
11,2021-08-24,0.98,0.997,1.008,0.98,51937,5190968.0,2.85,1.42,0.014,10.32
12,2021-08-25,1.009,0.993,1.009,0.977,22094,2180605.0,3.21,-0.4,-0.004,4.39
13,2021-08-26,0.994,0.984,1.008,0.979,35940,3541238.0,2.92,-0.91,-0.009,7.14
14,2021-08-27,0.984,0.984,0.99,0.966,31427,3074263.0,2.44,0.0,0.0,6.24
15,2021-08-30,0.985,0.993,1.008,0.984,53672,5373593.0,2.44,0.91,0.009,10.66
16,2021-08-31,1.002,0.971,1.002,0.964,33792,3284329.0,3.83,-2.22,-0.022,6.71
17,2021-09-01,0.996,0.949,0.996,0.93,66227,6275118.0,6.8,-2.27,-0.022,13.15
18,2021-09-02,0.949,0.945,0.954,0.938,36452,3442518.0,1.69,-0.42,-0.004,7.24
19,2021-09-03,0.945,0.916,0.968,0.91,64893,5982945.0,6.14,-3.07,-0.029,12.89
20,2021-09-06,0.933,0.955,0.957,0.91,36508,3436540.0,5.13,4.26,0.039,7.25
21,2021-09-07,0.954,0.976,0.979,0.95,41777,4062002.0,3.04,2.2,0.021,8.3
22,2021-09-08,0.985,0.96,0.985,0.958,23439,2269782.0,2.77,-1.64,-0.016,4.66
23,2021-09-09,0.979,0.963,0.979,0.951,19733,1903864.0,2.92,0.31,0.003,3.92
24,2021-09-10,0.966,0.968,0.97,0.953,20393,1959865.0,1.77,0.52,0.005,4.05
25,2021-09-13,0.971,0.955,0.973,0.951,18554,1779274.0,2.27,-1.34,-0.013,3.69
26,2021-09-14,0.958,0.975,0.994,0.95,85813,8441023.0,4.61,2.09,0.02,17.04
27,2021-09-15,0.965,0.973,0.98,0.955,29666,2881036.0,2.56,-0.21,-0.002,5.89
28,2021-09-16,0.993,0.939,0.993,0.938,36882,3497987.0,5.65,-3.49,-0.034,7.33
29,2021-09-17,0.967,0.949,0.967,0.93,33780,3176383.0,3.94,1.06,0.01,6.71
30,2021-09-22,0.949,0.936,0.949,0.931,13476,1260732.0,1.9,-1.37,-0.013,2.68
31,2021-09-23,0.95,0.939,0.953,0.937,20545,1946833.0,1.71,0.32,0.003,4.08
32,2021-09-24,0.948,0.946,0.96,0.93,18159,1719347.0,3.19,0.75,0.007,3.61
33,2021-09-27,0.944,0.941,0.959,0.928,23152,2171436.0,3.28,-0.53,-0.005,4.6
34,2021-09-28,0.95,0.939,0.95,0.921,30077,2797142.0,3.08,-0.21,-0.002,5.97
35,2021-09-29,0.934,0.908,0.934,0.905,35769,3261811.0,3.09,-3.3,-0.031,7.1
36,2021-09-30,0.909,0.939,0.942,0.909,22704,2113817.0,3.63,3.41,0.031,4.51
37,2021-10-08,0.945,0.933,0.956,0.929,18612,1745637.0,2.88,-0.64,-0.006,3.7
38,2021-10-11,0.935,0.933,0.951,0.927,21417,2015944.0,2.57,0.0,0.0,4.25
