,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-11-11,0.992,1.01,1.01,0.992,922612,92345526.0,0.0,0.0,0.0,130.35
1,2021-11-12,1.015,1.012,1.015,1.007,302863,30648741.0,0.79,0.2,0.002,42.79
2,2021-11-15,1.009,1.011,1.014,1.004,252318,25446960.0,0.99,-0.1,-0.001,35.65
3,2021-11-16,1.012,1.02,1.022,1.011,417013,42440558.0,1.09,0.89,0.009,58.92
4,2021-11-17,1.024,1.022,1.024,1.017,285657,29135060.0,0.69,0.2,0.002,40.36
5,2021-11-18,1.021,1.012,1.021,1.006,128523,12983398.0,1.47,-0.98,-0.01,18.16
6,2021-11-19,1.011,1.01,1.011,1.0,349314,35110211.0,1.09,-0.2,-0.002,49.35
7,2021-11-22,1.009,1.006,1.01,1.002,325468,32759605.0,0.79,-0.4,-0.004,45.98
8,2021-11-23,1.001,0.999,1.001,0.993,290682,28971986.0,0.8,-0.7,-0.007,41.07
9,2021-11-24,0.999,1.002,1.002,0.992,227252,22664210.0,1.0,0.3,0.003,32.11
10,2021-11-25,1.005,1.0,1.005,0.992,294215,29327189.0,1.3,-0.2,-0.002,41.57
11,2021-11-26,0.996,0.98,0.996,0.978,260737,25578908.0,1.8,-2.0,-0.02,36.84
12,2021-11-29,0.978,0.967,0.978,0.962,293226,28429867.0,1.63,-1.33,-0.013,41.43
13,2021-11-30,0.97,0.942,0.972,0.937,336532,32009194.0,3.62,-2.59,-0.025,47.55
14,2021-12-01,0.941,0.96,0.963,0.941,291234,27926576.0,2.34,1.91,0.018,41.15
15,2021-12-02,0.959,0.964,0.966,0.958,265799,25572405.0,0.83,0.42,0.004,37.55
16,2021-12-03,0.96,0.967,0.968,0.954,326710,31356878.0,1.45,0.31,0.003,46.16
17,2021-12-06,0.962,0.951,0.964,0.95,265531,25363389.0,1.45,-1.65,-0.016,37.52
18,2021-12-07,0.956,0.971,0.971,0.956,303782,29174268.0,1.58,2.1,0.02,42.92
19,2021-12-08,0.971,0.975,0.977,0.971,279221,27183756.0,0.62,0.41,0.004,39.45
20,2021-12-09,0.978,0.981,0.983,0.977,208048,20404821.0,0.62,0.62,0.006,29.39
21,2021-12-10,0.972,0.975,0.983,0.972,152485,14924189.0,1.12,-0.61,-0.006,21.54
22,2021-12-13,0.975,0.975,0.987,0.975,217008,21318446.0,1.23,0.0,0.0,30.66
23,2021-12-14,0.972,0.959,0.972,0.958,165218,15906483.0,1.44,-1.64,-0.016,23.34
24,2021-12-15,0.96,0.949,0.963,0.948,293758,28139108.0,1.56,-1.04,-0.01,41.5
