,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-01-11,0.997,0.974,0.999,0.97,1534408,151614172.0,0.0,0.0,0.0,357.59
1,2022-01-12,0.974,0.978,0.982,0.974,98854,9682342.0,0.82,0.41,0.004,23.04
2,2022-01-13,0.978,0.962,0.98,0.961,122372,11834511.0,1.94,-1.64,-0.016,28.52
3,2022-01-14,0.957,0.963,0.973,0.953,86368,8361044.0,2.08,0.1,0.001,20.13
4,2022-01-17,0.972,0.996,0.996,0.972,131591,13013367.0,2.49,3.43,0.033,30.67
5,2022-01-18,0.995,0.983,1.001,0.978,105179,10422491.0,2.31,-1.31,-0.013,24.51
6,2022-01-19,0.988,0.987,0.999,0.982,54557,5381203.0,1.73,0.41,0.004,12.71
7,2022-01-20,0.978,0.969,0.982,0.969,53966,5269771.0,1.32,-1.82,-0.018,12.58
8,2022-01-21,0.973,0.948,0.973,0.946,47230,4513479.0,2.79,-2.17,-0.021,11.01
9,2022-01-24,0.939,0.941,0.946,0.938,94565,8908758.0,0.84,-0.74,-0.007,22.04
10,2022-01-25,0.941,0.893,0.941,0.893,52231,4771973.0,5.1,-5.1,-0.048,12.17
11,2022-01-26,0.893,0.888,0.905,0.879,41562,3696741.0,2.91,-0.56,-0.005,9.69
12,2022-01-27,0.88,0.855,0.881,0.841,38331,3318276.0,4.5,-3.72,-0.033,8.93
13,2022-01-28,0.855,0.856,0.87,0.855,33254,2858682.0,1.75,0.12,0.001,7.75
14,2022-02-07,0.861,0.857,0.863,0.852,57303,4926310.0,1.29,0.12,0.001,13.35
15,2022-02-08,0.857,0.868,0.868,0.815,51138,4375535.0,6.18,1.28,0.011,11.92
16,2022-02-09,0.858,0.891,0.891,0.858,84131,7438939.0,3.8,2.65,0.023,19.61
17,2022-02-10,0.887,0.893,0.897,0.887,49816,4449052.0,1.12,0.22,0.002,11.61
18,2022-02-11,0.892,0.881,0.894,0.88,37803,3359999.0,1.57,-1.34,-0.012,8.81
19,2022-02-14,0.881,0.881,0.89,0.877,69153,6108728.0,1.48,0.0,0.0,16.12
20,2022-02-15,0.881,0.883,0.891,0.881,50027,4436788.0,1.14,0.23,0.002,11.66
21,2022-02-16,0.884,0.892,0.895,0.884,48971,4370982.0,1.25,1.02,0.009,11.41
22,2022-02-17,0.896,0.883,0.896,0.882,44127,3912353.0,1.57,-1.01,-0.009,10.28
23,2022-02-18,0.874,0.89,0.89,0.874,32830,2912003.0,1.81,0.79,0.007,7.65
24,2022-02-21,0.888,0.903,0.904,0.888,41930,3773704.0,1.8,1.46,0.013,9.77
25,2022-02-22,0.894,0.873,0.894,0.869,49849,4357640.0,2.77,-3.32,-0.03,11.62
