,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-12-10,0.99,1.003,1.003,0.99,1613822,161213089.0,0.0,0.0,0.0,286.26
1,2021-12-13,0.995,1.018,1.031,0.995,372947,38080692.0,3.59,1.5,0.015,66.15
2,2021-12-14,1.017,1.012,1.019,1.01,75683,7665148.0,0.88,-0.59,-0.006,13.42
3,2021-12-15,1.003,1.002,1.015,1.001,42705,4319959.0,1.38,-0.99,-0.01,7.58
4,2021-12-16,1.008,1.011,1.011,1.004,65066,6563872.0,0.7,0.9,0.009,11.54
5,2021-12-17,1.011,0.999,1.014,0.999,42029,4233540.0,1.48,-1.19,-0.012,7.46
6,2021-12-20,0.988,0.976,0.998,0.976,43712,4288971.0,2.2,-2.3,-0.023,7.75
7,2021-12-21,0.978,0.979,0.981,0.971,3389,330044.0,1.02,0.31,0.003,0.6
8,2021-12-22,0.976,0.987,0.988,0.976,67782,6668304.0,1.23,0.82,0.008,12.02
9,2021-12-23,0.984,0.982,0.984,0.977,6936,680593.0,0.71,-0.51,-0.005,1.23
10,2021-12-24,0.982,0.969,0.982,0.963,22040,2132806.0,1.93,-1.32,-0.013,3.91
11,2021-12-27,0.965,0.971,0.974,0.965,7959,772786.0,0.93,0.21,0.002,1.41
12,2021-12-28,0.971,0.986,0.986,0.971,1184,116213.0,1.54,1.54,0.015,0.21
13,2021-12-29,0.98,0.987,0.992,0.977,12222,1206677.0,1.52,0.1,0.001,2.17
14,2021-12-30,0.985,0.986,0.988,0.984,1334,131503.0,0.41,-0.1,-0.001,0.24
15,2021-12-31,0.987,0.983,0.987,0.981,9553,939039.0,0.61,-0.3,-0.003,1.69
16,2022-01-04,0.984,0.979,0.984,0.972,15164,1481587.0,1.22,-0.41,-0.004,2.69
17,2022-01-05,0.973,0.962,0.977,0.96,11661,1131127.0,1.74,-1.74,-0.017,2.07
18,2022-01-06,0.962,0.968,0.969,0.959,22300,2154746.0,1.04,0.62,0.006,3.96
19,2022-01-07,0.968,0.966,0.971,0.965,24145,2334697.0,0.62,-0.21,-0.002,4.28
20,2022-01-10,0.971,0.966,0.972,0.964,37334,3610259.0,0.83,0.0,0.0,6.62
21,2022-01-11,0.974,0.963,0.976,0.962,46506,4528701.0,1.45,-0.31,-0.003,8.25
22,2022-01-12,0.966,0.981,0.981,0.966,43609,4253479.0,1.56,1.87,0.018,7.74
23,2022-01-13,0.985,0.971,0.985,0.971,10952,1067281.0,1.43,-1.02,-0.01,1.94
24,2022-01-14,0.962,0.963,0.969,0.959,10039,968022.0,1.03,-0.82,-0.008,1.78
25,2022-01-17,0.969,0.973,0.974,0.967,6772,658101.0,0.73,1.04,0.01,1.2
26,2022-01-18,0.974,0.975,0.978,0.967,9782,953462.0,1.13,0.21,0.002,1.74
27,2022-01-19,0.979,0.963,0.979,0.957,11991,1159237.0,2.26,-1.23,-0.012,2.13
28,2022-01-20,0.964,0.959,0.969,0.956,8404,809259.0,1.35,-0.42,-0.004,1.49
29,2022-01-21,0.956,0.944,0.996,0.943,11912,1132376.0,5.53,-1.56,-0.015,2.11
30,2022-01-24,0.937,0.952,0.952,0.935,10857,1026658.0,1.8,0.85,0.008,1.93
31,2022-01-25,0.957,0.931,0.957,0.931,6547,616378.0,2.73,-2.21,-0.021,1.16
32,2022-01-26,0.94,0.938,0.94,0.932,4451,416814.0,0.86,0.75,0.007,0.79
33,2022-01-27,0.938,0.926,0.939,0.926,10631,991241.0,1.39,-1.28,-0.012,1.89
34,2022-01-28,0.932,0.917,0.933,0.912,24534,2263471.0,2.27,-0.97,-0.009,4.35
35,2022-02-07,0.917,0.939,0.943,0.917,32845,3085548.0,2.84,2.4,0.022,5.83
36,2022-02-08,0.94,0.937,0.94,0.922,35445,3302884.0,1.92,-0.21,-0.002,6.29
37,2022-02-09,0.938,0.946,0.947,0.935,48609,4575008.0,1.28,0.96,0.009,8.62
38,2022-02-10,0.941,0.945,0.95,0.941,39985,3785365.0,0.95,-0.11,-0.001,7.09
39,2022-02-11,0.948,0.946,0.96,0.944,57580,5495411.0,1.69,0.11,0.001,10.21
40,2022-02-14,0.945,0.943,0.959,0.942,49352,4693118.0,1.8,-0.32,-0.003,8.75
41,2022-02-15,0.943,0.952,0.952,0.94,39536,3735885.0,1.27,0.95,0.009,7.01
42,2022-02-16,0.911,0.953,0.958,0.911,29480,2816056.0,4.94,0.11,0.001,5.23
43,2022-02-17,0.95,0.961,0.966,0.947,47033,4499107.0,1.99,0.84,0.008,8.34
44,2022-02-18,0.959,0.964,0.964,0.956,20640,1979801.0,0.83,0.31,0.003,3.66
45,2022-02-21,0.969,0.964,0.969,0.958,25813,2480687.0,1.14,0.0,0.0,4.58
46,2022-02-22,0.983,0.961,0.983,0.924,27849,2667931.0,6.12,-0.31,-0.003,4.94
47,2022-02-23,0.964,0.972,0.973,0.962,10220,991415.0,1.14,1.14,0.011,1.81
48,2022-02-24,0.975,0.963,0.976,0.956,24576,2376268.0,2.06,-0.93,-0.009,4.36
49,2022-02-25,0.963,0.968,0.985,0.961,29551,2874687.0,2.49,0.52,0.005,5.24
50,2022-02-28,0.969,0.972,0.975,0.966,36960,3591394.0,0.93,0.41,0.004,6.56
51,2022-03-01,0.966,0.965,0.986,0.959,16521,1604219.0,2.78,-0.72,-0.007,2.93
52,2022-03-02,0.975,0.944,0.984,0.943,9210,876216.0,4.25,-2.18,-0.021,1.63
53,2022-03-03,0.95,0.943,0.951,0.933,6731,636567.0,1.91,-0.11,-0.001,1.19
54,2022-03-04,0.937,0.927,0.939,0.922,12783,1189359.0,1.8,-1.7,-0.016,2.27
55,2022-03-07,0.927,0.896,0.927,0.892,10013,907494.0,3.78,-3.34,-0.031,1.78
56,2022-03-08,0.89,0.865,0.897,0.86,21141,1853983.0,4.13,-3.46,-0.031,3.75
57,2022-03-09,0.866,0.849,0.87,0.819,36223,3046954.0,5.9,-1.85,-0.016,6.43
58,2022-03-10,0.855,0.876,0.885,0.849,208840,18344287.0,4.24,3.18,0.027,37.04
59,2022-03-11,0.876,0.874,0.876,0.849,228898,19683343.0,3.08,-0.23,-0.002,40.6
60,2022-03-14,0.874,0.865,0.879,0.865,83215,7265092.0,1.6,-1.03,-0.009,14.76
61,2022-03-15,0.858,0.82,0.858,0.819,62904,5307926.0,4.51,-5.2,-0.045,11.16
62,2022-03-16,0.83,0.855,0.855,0.81,123740,10158057.0,5.49,4.27,0.035,21.95
63,2022-03-17,0.855,0.877,0.885,0.839,72846,6339543.0,5.38,2.57,0.022,12.92
64,2022-03-18,0.875,0.87,0.875,0.858,32529,2807313.0,1.94,-0.8,-0.007,5.77
65,2022-03-21,0.842,0.865,0.872,0.842,4594,396356.0,3.45,-0.57,-0.005,0.81
66,2022-03-22,0.866,0.859,0.868,0.857,17392,1494074.0,1.27,-0.69,-0.006,3.09
67,2022-03-23,0.862,0.861,0.867,0.858,3882,334697.0,1.05,0.23,0.002,0.69
68,2022-03-24,0.87,0.858,0.87,0.846,33535,2876173.0,2.79,-0.35,-0.003,5.95
69,2022-03-25,0.856,0.843,0.858,0.842,12510,1057840.0,1.86,-1.75,-0.015,2.22
70,2022-03-28,0.843,0.838,0.843,0.829,13152,1100881.0,1.66,-0.59,-0.005,2.33
71,2022-03-29,0.848,0.848,0.85,0.839,1113,94279.0,1.31,1.19,0.01,0.2
72,2022-03-30,0.853,0.863,0.864,0.848,29491,2522050.0,1.89,1.77,0.015,5.23
73,2022-03-31,0.854,0.85,0.854,0.848,7161,608500.0,0.7,-1.51,-0.013,1.27
74,2022-04-01,0.847,0.867,0.869,0.847,31816,2722080.0,2.59,2.0,0.017,5.64
75,2022-04-06,0.867,0.859,0.867,0.851,2046,175406.0,1.85,-0.92,-0.008,0.36
76,2022-04-07,0.859,0.86,0.866,0.857,40638,3505176.0,1.05,0.12,0.001,7.21
77,2022-04-08,0.862,0.878,0.878,0.855,54007,4670014.0,2.67,2.09,0.018,9.58
78,2022-04-11,0.88,0.85,0.88,0.846,57054,4888518.0,3.87,-3.19,-0.028,10.12
79,2022-04-12,0.842,0.846,0.851,0.835,5440,460375.0,1.88,-0.47,-0.004,0.96
80,2022-04-13,0.848,0.835,0.848,0.835,13430,1126584.0,1.54,-1.3,-0.011,2.38
81,2022-04-14,0.84,0.84,0.844,0.835,6475,541954.0,1.08,0.6,0.005,1.15
82,2022-04-15,0.846,0.827,0.846,0.824,21875,1818513.0,2.62,-1.55,-0.013,3.88
83,2022-04-18,0.819,0.822,0.827,0.819,8476,697454.0,0.97,-0.6,-0.005,1.5
84,2022-04-19,0.829,0.828,0.832,0.823,11646,963067.0,1.09,0.73,0.006,2.07
85,2022-04-20,0.822,0.806,0.822,0.804,10929,893374.0,2.17,-2.66,-0.022,1.94
