,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-08-23,0.991,1.005,1.008,0.982,687300,68832959.0,0.0,0.0,0.0,7.85
1,2021-08-24,1.003,1.014,1.017,1.0,805398,81506722.0,1.69,0.9,0.009,9.2
2,2021-08-25,1.007,1.001,1.012,0.999,109450,10969262.0,1.28,-1.28,-0.013,1.25
3,2021-08-26,1.0,0.984,1.001,0.983,96971,9616218.0,1.8,-1.7,-0.017,1.11
4,2021-08-27,0.984,0.996,1.002,0.984,164039,16338785.0,1.83,1.22,0.012,1.87
5,2021-08-30,0.999,0.988,1.01,0.986,99696,9967702.0,2.41,-0.8,-0.008,1.14
6,2021-08-31,0.988,0.96,0.988,0.954,110522,10646367.0,3.44,-2.83,-0.028,1.26
7,2021-09-01,0.96,0.967,0.972,0.942,74979,7192740.0,3.13,0.73,0.007,0.86
8,2021-09-02,0.959,0.951,0.97,0.948,59544,5682237.0,2.28,-1.65,-0.016,0.68
9,2021-09-03,0.95,0.941,0.954,0.939,51644,4883887.0,1.58,-1.05,-0.01,0.59
10,2021-09-06,0.943,0.96,0.96,0.942,50996,4868719.0,1.91,2.02,0.019,0.58
11,2021-09-07,0.96,0.962,0.97,0.954,63945,6146963.0,1.67,0.21,0.002,0.73
12,2021-09-08,0.961,0.977,0.979,0.959,147119,14315164.0,2.08,1.56,0.015,1.68
13,2021-09-09,0.977,0.963,0.977,0.959,73494,7087347.0,1.84,-1.43,-0.014,0.84
14,2021-09-10,0.962,0.976,0.98,0.957,65347,6334462.0,2.39,1.35,0.013,0.75
15,2021-09-13,0.974,0.956,0.974,0.953,64947,6223824.0,2.15,-2.05,-0.02,0.74
16,2021-09-14,0.955,0.951,0.969,0.945,54856,5234125.0,2.51,-0.52,-0.005,0.63
17,2021-09-15,0.95,0.936,0.962,0.932,71657,6711948.0,3.15,-1.58,-0.015,0.82
18,2021-09-16,0.936,0.918,0.936,0.916,59992,5545794.0,2.14,-1.92,-0.018,0.69
19,2021-09-17,0.927,0.92,0.929,0.905,63356,5770248.0,2.61,0.22,0.002,0.72
20,2021-09-22,0.92,0.913,0.92,0.905,40604,3709620.0,1.63,-0.76,-0.007,0.46
21,2021-09-23,0.913,0.931,0.933,0.913,57281,5296852.0,2.19,1.97,0.018,0.65
22,2021-09-24,0.931,0.924,0.934,0.922,30723,2850888.0,1.29,-0.75,-0.007,0.35
23,2021-09-27,0.924,0.93,0.941,0.924,65997,6154988.0,1.84,0.65,0.006,0.75
24,2021-09-28,0.94,0.927,0.94,0.92,35848,3323758.0,2.15,-0.32,-0.003,0.41
25,2021-09-29,0.92,0.905,0.92,0.904,54709,4975744.0,1.73,-2.37,-0.022,0.62
26,2021-09-30,0.905,0.915,0.918,0.905,25805,2360161.0,1.44,1.1,0.01,0.29
27,2021-10-08,0.916,0.929,0.942,0.916,53438,4997479.0,2.84,1.53,0.014,0.61
28,2021-10-11,0.922,0.926,0.936,0.921,21342,1983899.0,1.61,-0.32,-0.003,0.24
29,2021-10-12,0.925,0.902,0.925,0.899,52767,4786533.0,2.81,-2.59,-0.024,0.6
30,2021-10-13,0.902,0.918,0.92,0.902,34900,3175734.0,2.0,1.77,0.016,0.4
31,2021-10-14,0.92,0.918,0.923,0.906,20075,1846676.0,1.85,0.0,0.0,0.23
32,2021-10-15,0.917,0.926,0.929,0.91,67908,6280428.0,2.07,0.87,0.008,0.78
33,2021-10-18,0.925,0.912,0.925,0.906,116515,10619720.0,2.05,-1.51,-0.014,1.33
34,2021-10-19,0.92,0.928,0.931,0.914,47466,4388756.0,1.86,1.75,0.016,0.54
35,2021-10-20,0.927,0.928,0.931,0.925,22669,2103080.0,0.65,0.0,0.0,0.26
36,2021-10-21,0.928,0.917,0.931,0.916,18033,1662462.0,1.62,-1.19,-0.011,0.21
37,2021-10-22,0.917,0.928,0.934,0.917,54863,5103554.0,1.85,1.2,0.011,0.63
38,2021-10-25,0.926,0.929,0.938,0.921,39481,3653363.0,1.83,0.11,0.001,0.45
39,2021-10-26,0.932,0.958,0.958,0.925,131099,12423937.0,3.55,3.12,0.029,1.5
40,2021-10-27,0.958,0.941,0.958,0.935,75424,7100398.0,2.4,-1.77,-0.017,0.86
41,2021-10-28,0.941,0.939,0.951,0.937,55967,5292693.0,1.49,-0.21,-0.002,0.64
42,2021-10-29,0.937,0.952,0.955,0.937,82447,7838329.0,1.92,1.38,0.013,0.94
43,2021-11-01,0.952,0.975,0.977,0.952,125484,12167422.0,2.63,2.42,0.023,1.43
44,2021-11-02,0.978,0.978,0.989,0.969,122657,12043103.0,2.05,0.31,0.003,1.4
45,2021-11-03,0.978,0.976,0.99,0.969,60165,5899416.0,2.15,-0.2,-0.002,0.69
46,2021-11-04,0.976,0.992,0.993,0.976,85170,8429798.0,1.74,1.64,0.016,0.97
47,2021-11-05,0.993,1.0,1.01,0.993,149824,15044133.0,1.71,0.81,0.008,1.71
48,2021-11-08,1.0,0.99,1.004,0.977,83104,8182728.0,2.7,-1.0,-0.01,0.95
49,2021-11-09,0.99,0.991,0.995,0.977,62109,6117188.0,1.82,0.1,0.001,0.71
50,2021-11-10,0.992,0.994,1.001,0.985,91602,9102429.0,1.61,0.3,0.003,1.05
51,2021-11-11,1.002,1.006,1.015,0.991,253590,25511313.0,2.41,1.21,0.012,2.9
52,2021-11-12,1.005,1.009,1.011,1.0,93895,9463301.0,1.09,0.3,0.003,1.07
53,2021-11-15,1.009,1.018,1.02,1.007,164147,16669130.0,1.29,0.89,0.009,1.88
54,2021-11-16,1.018,1.013,1.028,1.012,206731,21115829.0,1.57,-0.49,-0.005,2.36
55,2021-11-17,1.012,1.015,1.017,1.005,89024,9010293.0,1.18,0.2,0.002,1.02
56,2021-11-18,1.015,0.999,1.019,0.998,53032,5325193.0,2.07,-1.58,-0.016,0.61
57,2021-11-19,0.999,1.021,1.025,0.999,234295,23879940.0,2.6,2.2,0.022,2.68
58,2021-11-22,1.022,1.048,1.051,1.022,392787,40911689.0,2.84,2.64,0.027,4.49
59,2021-11-23,1.048,1.047,1.049,1.03,110286,11516425.0,1.81,-0.1,-0.001,1.26
60,2021-11-24,1.04,1.047,1.052,1.04,107015,11210001.0,1.15,0.0,0.0,1.22
61,2021-11-25,1.047,1.044,1.053,1.042,70822,7408254.0,1.05,-0.29,-0.003,0.81
62,2021-11-26,1.044,1.025,1.044,1.018,51821,5319841.0,2.49,-1.82,-0.019,0.59
63,2021-11-29,1.016,1.029,1.03,1.011,112642,11556879.0,1.85,0.39,0.004,1.29
64,2021-11-30,1.035,1.028,1.04,1.021,48812,5043797.0,1.85,-0.1,-0.001,0.56
65,2021-12-01,1.028,1.03,1.037,1.025,51815,5328630.0,1.17,0.19,0.002,0.59
66,2021-12-02,1.031,1.035,1.044,1.031,56275,5840372.0,1.26,0.49,0.005,0.64
67,2021-12-03,1.036,1.049,1.06,1.035,91449,9617373.0,2.42,1.35,0.014,1.04
68,2021-12-06,1.047,1.041,1.056,1.038,55090,5781074.0,1.72,-0.76,-0.008,0.63
69,2021-12-07,1.041,1.034,1.049,1.023,42156,4361015.0,2.5,-0.67,-0.007,0.48
70,2021-12-08,1.034,1.07,1.07,1.034,166965,17689110.0,3.48,3.48,0.036,1.91
71,2021-12-09,1.072,1.084,1.087,1.068,121677,13161363.0,1.78,1.31,0.014,1.39
72,2021-12-10,1.085,1.079,1.09,1.071,75428,8130082.0,1.75,-0.46,-0.005,0.86
73,2021-12-13,1.079,1.091,1.099,1.078,76451,8343670.0,1.95,1.11,0.012,0.87
74,2021-12-14,1.091,1.09,1.095,1.084,49707,5417892.0,1.01,-0.09,-0.001,0.57
75,2021-12-15,1.09,1.077,1.095,1.076,32976,3570562.0,1.74,-1.19,-0.013,0.38
76,2021-12-16,1.079,1.08,1.09,1.077,34891,3771210.0,1.21,0.28,0.003,0.4
77,2021-12-17,1.08,1.06,1.08,1.059,35537,3789243.0,1.94,-1.85,-0.02,0.41
78,2021-12-20,1.069,1.036,1.069,1.035,57473,6029307.0,3.21,-2.26,-0.024,0.66
79,2021-12-21,1.036,1.051,1.057,1.036,42191,4417354.0,2.03,1.45,0.015,0.48
80,2021-12-22,1.058,1.081,1.09,1.055,99962,10778620.0,3.33,2.85,0.03,1.14
81,2021-12-23,1.081,1.089,1.094,1.078,61666,6719138.0,1.48,0.74,0.008,0.7
82,2021-12-24,1.081,1.094,1.102,1.081,63859,6989076.0,1.93,0.46,0.005,0.73
83,2021-12-27,1.094,1.084,1.101,1.081,45274,4931149.0,1.83,-0.91,-0.01,0.52
84,2021-12-28,1.092,1.079,1.099,1.071,43849,4739934.0,2.58,-0.46,-0.005,0.5
85,2021-12-29,1.079,1.064,1.092,1.058,37254,3967463.0,3.15,-1.39,-0.015,0.43
86,2021-12-30,1.064,1.082,1.087,1.064,33630,3624139.0,2.16,1.69,0.018,0.38
87,2021-12-31,1.088,1.08,1.088,1.071,40122,4328016.0,1.57,-0.18,-0.002,0.46
88,2022-01-04,1.081,1.085,1.086,1.068,42990,4639934.0,1.67,0.46,0.005,0.49
89,2022-01-05,1.085,1.04,1.085,1.033,93055,9743754.0,4.79,-4.15,-0.045,1.06
90,2022-01-06,1.036,1.033,1.042,1.019,74089,7641942.0,2.21,-0.67,-0.007,0.85
91,2022-01-07,1.033,1.023,1.044,1.023,34570,3563668.0,2.03,-0.97,-0.01,0.39
92,2022-01-10,1.022,1.028,1.038,1.006,52529,5355589.0,3.13,0.49,0.005,0.6
