,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-09-29,0.986,0.98,0.99,0.97,847897,83204690.0,0.0,0.0,0.0,183.7
1,2021-09-30,0.98,0.99,0.994,0.98,358290,35491278.0,1.43,1.02,0.01,77.62
2,2021-10-08,0.99,1.0,1.018,0.99,815052,82194347.0,2.83,1.01,0.01,176.58
3,2021-10-11,1.001,0.999,1.009,0.998,201172,20218039.0,1.1,-0.1,-0.001,43.58
4,2021-10-12,1.0,0.974,1.0,0.968,168968,16581182.0,3.2,-2.5,-0.025,36.61
5,2021-10-13,0.974,0.989,0.991,0.972,66958,6568264.0,1.95,1.54,0.015,14.51
6,2021-10-14,0.989,0.988,0.995,0.987,40264,3989826.0,0.81,-0.1,-0.001,8.72
7,2021-10-15,0.987,1.003,1.007,0.983,242731,24342859.0,2.43,1.52,0.015,52.59
8,2021-10-18,1.002,0.992,1.002,0.97,76215,7521109.0,3.19,-1.1,-0.011,16.51
9,2021-10-19,0.992,1.007,1.012,0.992,264186,26593779.0,2.02,1.51,0.015,57.24
10,2021-10-20,1.007,1.004,1.012,1.002,198344,19948672.0,0.99,-0.3,-0.003,42.97
11,2021-10-21,1.004,0.994,1.006,0.991,88135,8797141.0,1.49,-1.0,-0.01,19.09
12,2021-10-22,0.999,1.007,1.012,0.996,291982,29428100.0,1.61,1.31,0.013,63.26
13,2021-10-25,1.011,1.012,1.014,1.0,276767,27888631.0,1.39,0.5,0.005,59.96
14,2021-10-26,1.012,1.032,1.04,1.012,584238,60120270.0,2.77,1.98,0.02,126.58
15,2021-10-27,1.032,1.019,1.032,1.012,147587,15025256.0,1.94,-1.26,-0.013,31.98
16,2021-10-28,1.019,1.02,1.037,1.013,135296,13906833.0,2.36,0.1,0.001,29.31
17,2021-10-29,1.02,1.034,1.037,1.02,104581,10794747.0,1.67,1.37,0.014,22.66
18,2021-11-01,1.034,1.049,1.055,1.033,199730,20898289.0,2.13,1.45,0.015,43.27
19,2021-11-02,1.049,1.062,1.073,1.049,223887,23811483.0,2.29,1.24,0.013,48.51
20,2021-11-03,1.062,1.053,1.07,1.047,133451,14098896.0,2.17,-0.85,-0.009,28.91
21,2021-11-04,1.057,1.075,1.079,1.057,243109,26105475.0,2.09,2.09,0.022,52.67
22,2021-11-05,1.094,1.081,1.098,1.081,233450,25498381.0,1.58,0.56,0.006,50.58
23,2021-11-08,1.081,1.086,1.088,1.069,89013,9603861.0,1.76,0.46,0.005,19.28
24,2021-11-09,1.082,1.091,1.094,1.074,118516,12844471.0,1.84,0.46,0.005,25.68
25,2021-11-10,1.086,1.094,1.104,1.084,122305,13394116.0,1.83,0.27,0.003,26.5
26,2021-11-11,1.094,1.105,1.114,1.09,128413,14148360.0,2.19,1.01,0.011,27.82
27,2021-11-12,1.101,1.108,1.109,1.096,149067,16451131.0,1.18,0.27,0.003,32.3
28,2021-11-15,1.108,1.109,1.121,1.1,129098,14337054.0,1.9,0.09,0.001,27.97
29,2021-11-16,1.109,1.098,1.116,1.098,157822,17479942.0,1.62,-0.99,-0.011,34.19
30,2021-11-17,1.097,1.105,1.106,1.094,131994,14545193.0,1.09,0.64,0.007,28.6
31,2021-11-18,1.088,1.091,1.107,1.085,116866,12761569.0,1.99,-1.27,-0.014,25.32
