,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-06-18,0.975,0.966,0.979,0.961,367641,35513491.0,0.0,0.0,0.0,3.11
1,2021-06-21,0.966,0.948,0.966,0.947,439643,41838572.0,1.97,-1.86,-0.018,3.71
2,2021-06-22,0.948,0.956,0.96,0.948,339251,32433510.0,1.27,0.84,0.008,2.87
3,2021-06-23,0.956,0.962,0.963,0.951,339567,32588637.0,1.26,0.63,0.006,2.87
4,2021-06-24,0.964,0.967,0.969,0.961,266833,25788737.0,0.83,0.52,0.005,2.25
5,2021-06-25,0.972,0.972,0.973,0.968,372000,36121251.0,0.52,0.52,0.005,3.14
6,2021-06-28,0.972,0.97,0.975,0.964,343793,33330139.0,1.13,-0.21,-0.002,2.9
7,2021-06-29,0.969,0.957,0.969,0.956,308482,29609611.0,1.34,-1.34,-0.013,2.61
8,2021-06-30,0.957,0.956,0.961,0.949,337086,32090097.0,1.25,-0.1,-0.001,2.85
9,2021-07-01,0.951,0.96,0.968,0.945,407849,39063850.0,2.41,0.42,0.004,3.45
10,2021-07-02,0.955,0.942,0.955,0.94,348219,32885304.0,1.56,-1.88,-0.018,2.94
11,2021-07-05,0.942,0.946,0.947,0.94,319760,30153788.0,0.74,0.42,0.004,2.7
12,2021-07-06,0.946,0.956,0.96,0.946,285293,27177023.0,1.48,1.06,0.01,2.41
13,2021-07-07,0.956,0.961,0.965,0.948,346692,33285022.0,1.78,0.52,0.005,2.93
14,2021-07-08,0.962,0.945,0.969,0.942,335388,31914552.0,2.81,-1.66,-0.016,2.83
15,2021-07-09,0.945,0.945,0.949,0.935,302132,28498243.0,1.48,0.0,0.0,2.55
16,2021-07-12,0.941,0.957,0.964,0.941,364025,34923771.0,2.43,1.27,0.012,3.08
17,2021-07-13,0.96,0.981,0.981,0.958,381884,37183472.0,2.4,2.51,0.024,3.23
18,2021-07-14,0.982,0.969,0.986,0.968,290626,28333717.0,1.83,-1.22,-0.012,2.46
19,2021-07-15,0.956,0.971,0.979,0.956,307267,29673163.0,2.37,0.21,0.002,2.6
20,2021-07-16,0.968,0.963,0.977,0.955,264573,25578327.0,2.27,-0.82,-0.008,2.24
21,2021-07-19,0.962,0.954,0.972,0.951,310002,29645160.0,2.18,-0.93,-0.009,2.62
22,2021-07-20,0.95,0.95,0.952,0.938,279324,26418456.0,1.47,-0.42,-0.004,2.36
23,2021-07-21,0.954,0.961,0.969,0.954,300010,28766287.0,1.58,1.16,0.011,2.53
24,2021-07-22,0.963,0.968,0.97,0.955,340645,32834696.0,1.56,0.73,0.007,2.88
25,2021-07-23,0.969,0.951,0.972,0.947,336268,32050329.0,2.58,-1.76,-0.017,2.84
26,2021-07-26,0.949,0.928,0.949,0.919,315874,29465890.0,3.15,-2.42,-0.023,2.67
27,2021-07-27,0.929,0.88,0.935,0.879,327698,29648290.0,6.03,-5.17,-0.048,2.77
28,2021-07-28,0.879,0.873,0.889,0.86,324533,28283990.0,3.3,-0.8,-0.007,2.74
29,2021-07-29,0.88,0.891,0.898,0.88,309005,27570541.0,2.06,2.06,0.018,2.61
30,2021-07-30,0.886,0.896,0.903,0.886,342258,30628322.0,1.91,0.56,0.005,2.89
31,2021-08-02,0.897,0.954,0.954,0.891,536788,49620759.0,7.03,6.47,0.058,4.53
32,2021-08-03,0.949,0.971,0.973,0.941,444969,42841170.0,3.35,1.78,0.017,3.76
33,2021-08-04,0.965,0.977,0.979,0.962,426390,41471333.0,1.75,0.62,0.006,3.6
34,2021-08-05,0.974,0.98,0.992,0.971,483089,47397331.0,2.15,0.31,0.003,4.08
35,2021-08-06,0.979,0.965,0.979,0.959,324279,31256175.0,2.04,-1.53,-0.015,2.74
36,2021-08-09,0.966,0.991,0.998,0.959,477605,46964731.0,4.04,2.69,0.026,4.03
37,2021-08-10,0.987,0.982,0.988,0.967,384223,37414506.0,2.12,-0.91,-0.009,3.25
38,2021-08-11,0.985,0.978,0.995,0.977,312916,30873511.0,1.83,-0.41,-0.004,2.64
39,2021-08-12,0.974,0.977,0.98,0.968,401889,39125783.0,1.23,-0.1,-0.001,3.4
40,2021-08-13,0.976,0.975,0.98,0.966,361335,35168271.0,1.43,-0.2,-0.002,3.05
41,2021-08-16,0.975,0.975,0.99,0.972,376330,36927656.0,1.85,0.0,0.0,3.18
42,2021-08-17,0.972,0.979,1.001,0.971,512780,50681941.0,3.08,0.41,0.004,4.33
43,2021-08-18,0.979,0.995,1.002,0.975,477819,47359676.0,2.76,1.63,0.016,4.04
44,2021-08-19,0.995,0.987,1.002,0.982,377202,37428725.0,2.01,-0.8,-0.008,3.19
45,2021-08-20,0.987,1.009,1.009,0.977,598682,59653698.0,3.24,2.23,0.022,5.06
46,2021-08-23,1.01,1.015,1.017,1.005,741758,75072770.0,1.19,0.59,0.006,6.27
47,2021-08-24,1.013,1.015,1.018,1.006,483420,48953657.0,1.18,0.0,0.0,4.08
48,2021-08-25,1.018,1.015,1.018,1.003,384534,38836732.0,1.48,0.0,0.0,3.25
49,2021-08-26,1.01,1.006,1.015,1.004,403243,40777259.0,1.08,-0.89,-0.009,3.41
50,2021-08-27,1.0,1.006,1.014,1.0,359143,36150304.0,1.39,0.0,0.0,3.03
51,2021-08-30,1.002,0.988,1.007,0.983,426444,42335218.0,2.39,-1.79,-0.018,3.6
52,2021-08-31,0.975,1.003,1.01,0.975,460660,46134371.0,3.54,1.52,0.015,3.89
53,2021-09-01,1.006,1.043,1.055,1.003,1114784,115193770.0,5.18,3.99,0.04,9.42
54,2021-09-02,1.043,1.049,1.054,1.034,790128,82570351.0,1.92,0.58,0.006,6.68
55,2021-09-03,1.05,1.049,1.06,1.037,553117,58034610.0,2.19,0.0,0.0,4.67
56,2021-09-06,1.054,1.065,1.066,1.051,570622,60506677.0,1.43,1.53,0.016,4.82
57,2021-09-07,1.063,1.074,1.074,1.06,541419,57782669.0,1.31,0.85,0.009,4.57
58,2021-09-08,1.071,1.063,1.074,1.054,531041,56338903.0,1.86,-1.02,-0.011,4.49
59,2021-09-09,1.063,1.079,1.08,1.048,791013,84488576.0,3.01,1.51,0.016,6.68
60,2021-09-10,1.079,1.085,1.124,1.079,878985,96985426.0,4.17,0.56,0.006,7.43
61,2021-09-13,1.075,1.103,1.117,1.075,818922,90298729.0,3.87,1.66,0.018,6.92
62,2021-09-14,1.103,1.073,1.106,1.07,720223,78033270.0,3.26,-2.72,-0.03,6.08
63,2021-09-15,1.07,1.049,1.07,1.04,656523,69023564.0,2.8,-2.24,-0.024,5.55
64,2021-09-16,1.04,1.014,1.053,1.011,559664,57533637.0,4.0,-3.34,-0.035,4.73
65,2021-09-17,1.005,1.013,1.029,0.99,553915,56103963.0,3.85,-0.1,-0.001,4.68
66,2021-09-22,0.991,1.006,1.015,0.99,588556,59176404.0,2.47,-0.69,-0.007,4.97
67,2021-09-23,1.014,1.031,1.046,1.014,506841,52273428.0,3.18,2.49,0.025,4.28
68,2021-09-24,1.042,0.98,1.042,0.978,602533,59895532.0,6.21,-4.95,-0.051,5.09
69,2021-09-27,0.967,0.944,0.977,0.933,489344,46577367.0,4.49,-3.67,-0.036,4.13
70,2021-09-28,0.936,0.953,0.958,0.936,358443,34132811.0,2.33,0.95,0.009,3.03
71,2021-09-29,0.949,0.927,0.953,0.927,391178,36655558.0,2.73,-2.73,-0.026,3.3
72,2021-09-30,0.934,0.942,0.946,0.933,341697,32091642.0,1.4,1.62,0.015,2.89
73,2021-10-08,0.948,0.958,0.958,0.943,342835,32656353.0,1.59,1.7,0.016,2.9
74,2021-10-11,0.961,0.962,0.975,0.955,391383,37788696.0,2.09,0.42,0.004,3.31
75,2021-10-12,0.959,0.944,0.96,0.933,364213,34482891.0,2.81,-1.87,-0.018,3.08
76,2021-10-13,0.952,0.953,0.954,0.933,351525,33123287.0,2.22,0.95,0.009,2.97
77,2021-10-14,0.956,0.954,0.962,0.951,298881,28595422.0,1.15,0.1,0.001,2.52
78,2021-10-15,0.954,0.957,0.958,0.947,295563,28228020.0,1.15,0.31,0.003,2.5
79,2021-10-18,0.96,0.95,0.96,0.941,320211,30248967.0,1.99,-0.73,-0.007,2.71
80,2021-10-19,0.947,0.954,0.956,0.938,314418,29898364.0,1.89,0.42,0.004,2.66
81,2021-10-20,0.95,0.944,0.95,0.937,329633,31056063.0,1.36,-1.05,-0.01,2.78
82,2021-10-21,0.944,0.941,0.953,0.939,300622,28436495.0,1.48,-0.32,-0.003,2.54
83,2021-10-22,0.937,0.949,0.963,0.936,430384,41099971.0,2.87,0.85,0.008,3.64
84,2021-10-25,0.94,0.938,0.94,0.927,409920,38212636.0,1.37,-1.16,-0.011,3.46
85,2021-10-26,0.937,0.926,0.938,0.924,398585,37043567.0,1.49,-1.28,-0.012,3.37
86,2021-10-27,0.921,0.889,0.928,0.885,526432,46997516.0,4.64,-4.0,-0.037,4.45
87,2021-10-28,0.888,0.882,0.892,0.876,484100,42790001.0,1.8,-0.79,-0.007,4.09
88,2021-10-29,0.882,0.884,0.885,0.873,433990,38219501.0,1.36,0.23,0.002,3.67
89,2021-11-01,0.883,0.885,0.889,0.877,443983,39220010.0,1.36,0.11,0.001,3.75
90,2021-11-02,0.884,0.858,0.888,0.853,585169,50957181.0,3.95,-3.05,-0.027,4.94
91,2021-11-03,0.856,0.868,0.871,0.854,461504,39922355.0,1.98,1.17,0.01,3.9
92,2021-11-04,0.869,0.872,0.873,0.863,421901,36564384.0,1.15,0.46,0.004,3.56
