,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-12-13,1.011,1.009,1.016,1.003,953421,96347496.0,0.0,0.0,0.0,24.28
1,2021-12-14,1.006,0.998,1.007,0.995,294373,29381218.0,1.19,-1.09,-0.011,7.5
2,2021-12-15,0.998,0.99,1.006,0.989,290119,28923931.0,1.7,-0.8,-0.008,7.39
3,2021-12-16,0.994,0.993,0.999,0.987,198736,19695238.0,1.21,0.3,0.003,5.06
4,2021-12-17,0.99,0.97,0.99,0.968,308221,30067994.0,2.22,-2.32,-0.023,7.85
5,2021-12-20,0.971,0.941,0.972,0.941,249477,23682313.0,3.2,-2.99,-0.029,6.35
6,2021-12-21,0.94,0.947,0.951,0.935,223126,20972095.0,1.7,0.64,0.006,5.68
7,2021-12-22,0.947,0.956,0.959,0.947,231930,22147824.0,1.27,0.95,0.009,5.91
8,2021-12-23,0.956,0.95,0.96,0.947,203599,19357020.0,1.36,-0.63,-0.006,5.18
9,2021-12-24,0.95,0.919,0.951,0.914,474380,43875126.0,3.89,-3.26,-0.031,12.08
10,2021-12-27,0.917,0.917,0.928,0.912,245179,22547519.0,1.74,-0.22,-0.002,6.24
11,2021-12-28,0.917,0.936,0.938,0.917,238788,22077919.0,2.29,2.07,0.019,6.08
12,2021-12-29,0.936,0.933,0.939,0.927,176728,16488651.0,1.28,-0.32,-0.003,4.5
13,2021-12-30,0.937,0.939,0.946,0.934,238811,22508281.0,1.29,0.64,0.006,6.08
14,2021-12-31,0.947,0.954,0.956,0.947,259143,24717077.0,0.96,1.6,0.015,6.6
15,2022-01-04,0.953,0.932,0.963,0.926,253627,23767593.0,3.88,-2.31,-0.022,6.46
16,2022-01-05,0.928,0.902,0.928,0.901,268478,24427132.0,2.9,-3.22,-0.03,6.84
17,2022-01-06,0.902,0.903,0.906,0.887,263468,23711919.0,2.11,0.11,0.001,6.71
18,2022-01-07,0.907,0.892,0.908,0.89,253256,22676554.0,1.99,-1.22,-0.011,6.45
19,2022-01-10,0.891,0.883,0.892,0.878,311602,27595383.0,1.57,-1.01,-0.009,7.93
20,2022-01-11,0.883,0.872,0.895,0.87,273459,24022339.0,2.83,-1.25,-0.011,6.96
