,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-10-08,0.998,0.995,1.008,0.988,460130,45981497.0,0.0,0.0,0.0,51.64
1,2021-10-11,0.995,0.978,0.997,0.975,114741,11311144.0,2.21,-1.71,-0.017,12.88
2,2021-10-12,0.978,0.959,0.98,0.952,114027,11049357.0,2.86,-1.94,-0.019,12.8
3,2021-10-13,0.964,0.985,0.985,0.964,165684,16147678.0,2.19,2.71,0.026,18.59
4,2021-10-14,0.987,0.988,0.997,0.986,137527,13640048.0,1.12,0.3,0.003,15.43
5,2021-10-15,0.984,1.007,1.01,0.98,472012,47458031.0,3.04,1.92,0.019,52.97
6,2021-10-18,1.007,1.004,1.008,0.989,95294,9523654.0,1.89,-0.3,-0.003,10.69
7,2021-10-19,1.008,1.013,1.019,1.005,164118,16618933.0,1.39,0.9,0.009,18.42
8,2021-10-20,1.013,1.012,1.021,1.008,151463,15381671.0,1.28,-0.1,-0.001,17.0
9,2021-10-21,1.01,1.008,1.018,1.003,101273,10213544.0,1.48,-0.4,-0.004,11.37
10,2021-10-22,1.008,1.014,1.022,1.007,187888,19118097.0,1.49,0.6,0.006,21.09
11,2021-10-25,1.02,1.028,1.031,1.019,313456,32151611.0,1.18,1.38,0.014,35.18
12,2021-10-26,1.03,1.029,1.04,1.028,180542,18643849.0,1.17,0.1,0.001,20.26
13,2021-10-27,1.029,1.02,1.029,1.017,156219,15998178.0,1.17,-0.87,-0.009,17.53
14,2021-10-28,1.02,1.017,1.034,1.014,83802,8570205.0,1.96,-0.29,-0.003,9.41
15,2021-10-29,1.019,1.028,1.029,1.0,84744,8618961.0,2.85,1.08,0.011,9.51
16,2021-11-01,1.023,1.024,1.037,1.015,55614,5718096.0,2.14,-0.39,-0.004,6.24
17,2021-11-02,1.024,1.024,1.039,1.017,261505,26839686.0,2.15,0.0,0.0,29.35
18,2021-11-03,1.024,1.018,1.031,1.011,148889,15200517.0,1.95,-0.59,-0.006,16.71
19,2021-11-04,1.02,1.034,1.038,1.02,138533,14323982.0,1.77,1.57,0.016,15.55
20,2021-11-05,1.034,1.033,1.041,1.032,153079,15875345.0,0.87,-0.1,-0.001,17.18
21,2021-11-08,1.035,1.039,1.042,1.026,124364,12865973.0,1.55,0.58,0.006,13.96
22,2021-11-09,1.04,1.048,1.05,1.04,76592,7998831.0,0.96,0.87,0.009,8.6
23,2021-11-10,1.05,1.051,1.052,1.028,153980,16088863.0,2.29,0.29,0.003,17.28
24,2021-11-11,1.051,1.059,1.062,1.05,93214,9852527.0,1.14,0.76,0.008,10.46
25,2021-11-12,1.06,1.057,1.062,1.049,216496,22886217.0,1.23,-0.19,-0.002,24.3
26,2021-11-15,1.056,1.049,1.06,1.046,155803,16384751.0,1.32,-0.76,-0.008,17.49
27,2021-11-16,1.049,1.043,1.054,1.042,104561,10954042.0,1.14,-0.57,-0.006,11.73
28,2021-11-17,1.047,1.057,1.058,1.047,51854,5463390.0,1.05,1.34,0.014,5.82
29,2021-11-18,1.057,1.044,1.057,1.042,106954,11192735.0,1.42,-1.23,-0.013,12.0
30,2021-11-19,1.045,1.06,1.062,1.045,126621,13347113.0,1.63,1.53,0.016,14.21
31,2021-11-22,1.063,1.091,1.092,1.063,168502,18218625.0,2.74,2.92,0.031,18.91
32,2021-11-23,1.091,1.089,1.093,1.085,52634,5730337.0,0.73,-0.18,-0.002,5.91
33,2021-11-24,1.089,1.087,1.093,1.085,116549,12690548.0,0.73,-0.18,-0.002,13.08
34,2021-11-25,1.087,1.096,1.099,1.087,130418,14259875.0,1.1,0.83,0.009,14.64
35,2021-11-26,1.091,1.09,1.099,1.088,109704,11979733.0,1.0,-0.55,-0.006,12.31
36,2021-11-29,1.087,1.108,1.111,1.087,105372,11628321.0,2.2,1.65,0.018,11.83
37,2021-11-30,1.109,1.107,1.116,1.099,119163,13169107.0,1.53,-0.09,-0.001,13.37
38,2021-12-01,1.105,1.097,1.106,1.094,65237,7163697.0,1.08,-0.9,-0.01,7.32
39,2021-12-02,1.092,1.092,1.1,1.091,56351,6172383.0,0.82,-0.46,-0.005,6.32
40,2021-12-03,1.097,1.097,1.101,1.089,138709,15204252.0,1.1,0.46,0.005,15.57
41,2021-12-06,1.092,1.071,1.095,1.071,111758,12134556.0,2.19,-2.37,-0.026,12.54
42,2021-12-07,1.077,1.057,1.078,1.049,109087,11577064.0,2.71,-1.31,-0.014,12.24
43,2021-12-08,1.057,1.076,1.077,1.057,91162,9742637.0,1.89,1.8,0.019,10.23
44,2021-12-09,1.077,1.081,1.085,1.067,65607,7050711.0,1.67,0.46,0.005,7.36
45,2021-12-10,1.076,1.086,1.088,1.074,100492,10869245.0,1.3,0.46,0.005,11.28
46,2021-12-13,1.082,1.089,1.093,1.079,80286,8737842.0,1.29,0.28,0.003,9.01
47,2021-12-14,1.09,1.092,1.096,1.089,102715,11216642.0,0.64,0.28,0.003,11.53
48,2021-12-15,1.092,1.081,1.094,1.081,78568,8571111.0,1.19,-1.01,-0.011,8.82
49,2021-12-16,1.081,1.09,1.091,1.081,47564,5177481.0,0.93,0.83,0.009,5.34
50,2021-12-17,1.09,1.074,1.09,1.072,53931,5831871.0,1.65,-1.47,-0.016,6.05
51,2021-12-20,1.071,1.049,1.075,1.047,121313,12848779.0,2.61,-2.33,-0.025,13.61
52,2021-12-21,1.046,1.058,1.058,1.044,122759,12908881.0,1.33,0.86,0.009,13.78
53,2021-12-22,1.055,1.062,1.066,1.055,91410,9712750.0,1.04,0.38,0.004,10.26
54,2021-12-23,1.063,1.061,1.065,1.057,77721,8250788.0,0.75,-0.09,-0.001,8.72
55,2021-12-24,1.065,1.046,1.065,1.042,80752,8460821.0,2.17,-1.41,-0.015,9.06
56,2021-12-27,1.044,1.039,1.049,1.033,36967,3852769.0,1.53,-0.67,-0.007,4.15
57,2021-12-28,1.04,1.048,1.049,1.034,84346,8786157.0,1.44,0.87,0.009,9.47
58,2021-12-29,1.046,1.033,1.046,1.033,100760,10456567.0,1.24,-1.43,-0.015,11.31
59,2021-12-30,1.036,1.041,1.048,1.034,91780,9570500.0,1.36,0.77,0.008,10.3
60,2021-12-31,1.045,1.041,1.048,1.039,52229,5442409.0,0.86,0.0,0.0,5.86
61,2022-01-04,1.041,1.014,1.048,1.012,129239,13209506.0,3.46,-2.59,-0.027,14.5
62,2022-01-05,1.014,0.984,1.014,0.98,119465,11837679.0,3.35,-2.96,-0.03,13.41
63,2022-01-06,0.995,0.979,0.995,0.967,92879,9050127.0,2.85,-0.51,-0.005,10.42
64,2022-01-07,0.98,0.969,0.983,0.967,92832,9031925.0,1.63,-1.02,-0.01,10.42
65,2022-01-10,0.969,0.969,0.975,0.957,91234,8829656.0,1.86,0.0,0.0,10.24
66,2022-01-11,0.969,0.957,0.97,0.955,98399,9460760.0,1.55,-1.24,-0.012,11.04
67,2022-01-12,0.962,0.979,0.979,0.962,88499,8600417.0,1.78,2.3,0.022,9.93
68,2022-01-13,0.98,0.962,0.98,0.962,110935,10758579.0,1.84,-1.74,-0.017,12.45
69,2022-01-14,0.96,0.974,0.978,0.957,87477,8483614.0,2.18,1.25,0.012,9.82
70,2022-01-17,0.976,0.988,0.989,0.976,81345,8001812.0,1.33,1.44,0.014,9.13
71,2022-01-18,0.987,0.982,0.996,0.979,148763,14684374.0,1.72,-0.61,-0.006,16.7
72,2022-01-19,0.984,0.958,0.984,0.953,152486,14678102.0,3.16,-2.44,-0.024,17.11
73,2022-01-20,0.96,0.957,0.966,0.955,81963,7870498.0,1.15,-0.1,-0.001,9.2
74,2022-01-21,0.955,0.949,0.963,0.947,119213,11356451.0,1.67,-0.84,-0.008,13.38
75,2022-01-24,0.949,0.956,0.96,0.946,72252,6884837.0,1.48,0.74,0.007,8.11
76,2022-01-25,0.954,0.929,0.955,0.929,104226,9854064.0,2.72,-2.82,-0.027,11.7
77,2022-01-26,0.933,0.933,0.938,0.923,84052,7834554.0,1.61,0.43,0.004,9.43
78,2022-01-27,0.927,0.893,0.928,0.892,83943,7621651.0,3.86,-4.29,-0.04,9.42
79,2022-01-28,0.9,0.893,0.908,0.889,92161,8259345.0,2.13,0.0,0.0,10.34
80,2022-02-07,0.898,0.898,0.917,0.893,102060,9226016.0,2.69,0.56,0.005,11.45
81,2022-02-08,0.893,0.879,0.893,0.862,114731,10039781.0,3.45,-2.12,-0.019,12.88
82,2022-02-09,0.877,0.892,0.893,0.87,85159,7487560.0,2.62,1.48,0.013,9.56
83,2022-02-10,0.891,0.875,0.891,0.87,119869,10506659.0,2.35,-1.91,-0.017,13.45
84,2022-02-11,0.87,0.853,0.871,0.851,138019,11942996.0,2.29,-2.51,-0.022,15.49
85,2022-02-14,0.848,0.85,0.862,0.841,120286,10251430.0,2.46,-0.35,-0.003,13.5
86,2022-02-15,0.861,0.876,0.877,0.857,99301,8633982.0,2.35,3.06,0.026,11.14
87,2022-02-16,0.88,0.877,0.883,0.873,91778,8058923.0,1.14,0.11,0.001,10.3
88,2022-02-17,0.877,0.883,0.892,0.875,96782,8549804.0,1.94,0.68,0.006,10.86
89,2022-02-18,0.878,0.881,0.881,0.872,106722,9355690.0,1.02,-0.23,-0.002,11.98
90,2022-02-21,0.884,0.881,0.888,0.879,51159,4528736.0,1.02,0.0,0.0,5.74
91,2022-02-22,0.872,0.869,0.872,0.862,85901,7449123.0,1.14,-1.36,-0.012,9.64
92,2022-02-23,0.871,0.896,0.898,0.871,104549,9270420.0,3.11,3.11,0.027,11.73
93,2022-02-24,0.893,0.875,0.901,0.864,96919,8568144.0,4.13,-2.34,-0.021,10.88
94,2022-02-25,0.87,0.897,0.905,0.87,77051,6899593.0,4.0,2.51,0.022,8.65
95,2022-02-28,0.901,0.901,0.902,0.892,63462,5690910.0,1.11,0.45,0.004,7.12
96,2022-03-01,0.907,0.902,0.909,0.898,67174,6062499.0,1.22,0.11,0.001,7.54
97,2022-03-02,0.894,0.889,0.894,0.881,75569,6704721.0,1.44,-1.44,-0.013,8.48
98,2022-03-03,0.894,0.875,0.896,0.875,66617,5878879.0,2.36,-1.57,-0.014,7.48
99,2022-03-04,0.867,0.861,0.876,0.859,92011,7976524.0,1.94,-1.6,-0.014,10.33
100,2022-03-07,0.852,0.829,0.852,0.827,140710,11807020.0,2.9,-3.72,-0.032,15.79
101,2022-03-08,0.832,0.811,0.837,0.809,184608,15229993.0,3.38,-2.17,-0.018,20.72
102,2022-03-09,0.811,0.806,0.823,0.778,143475,11536330.0,5.55,-0.62,-0.005,16.1
103,2022-03-10,0.822,0.828,0.833,0.821,84447,6996323.0,1.49,2.73,0.022,9.48
104,2022-03-11,0.823,0.84,0.84,0.805,98742,8095546.0,4.23,1.45,0.012,11.08
105,2022-03-14,0.838,0.816,0.839,0.816,103453,8576961.0,2.74,-2.86,-0.024,11.61
106,2022-03-15,0.812,0.797,0.829,0.797,101813,8281738.0,3.92,-2.33,-0.019,11.43
107,2022-03-16,0.805,0.832,0.835,0.787,112186,8993490.0,6.02,4.39,0.035,12.59
108,2022-03-17,0.838,0.855,0.869,0.838,99930,8572438.0,3.73,2.76,0.023,11.22
109,2022-03-18,0.857,0.863,0.863,0.844,79706,6788078.0,2.22,0.94,0.008,8.95
110,2022-03-21,0.868,0.866,0.873,0.856,88293,7638492.0,1.97,0.35,0.003,9.91
111,2022-03-22,0.86,0.848,0.86,0.844,67878,5773814.0,1.85,-2.08,-0.018,7.62
112,2022-03-23,0.848,0.855,0.856,0.845,95167,8121691.0,1.3,0.83,0.007,10.68
113,2022-03-24,0.85,0.849,0.856,0.835,101035,8555787.0,2.46,-0.7,-0.006,11.34
114,2022-03-25,0.844,0.831,0.881,0.831,91294,7671373.0,5.89,-2.12,-0.018,10.25
115,2022-03-28,0.825,0.817,0.825,0.812,111667,9131370.0,1.56,-1.68,-0.014,12.53
116,2022-03-29,0.821,0.813,0.825,0.811,71499,5855216.0,1.71,-0.49,-0.004,8.02
117,2022-03-30,0.818,0.835,0.835,0.815,113389,9364966.0,2.46,2.71,0.022,12.73
118,2022-03-31,0.833,0.828,0.835,0.825,112465,9316781.0,1.2,-0.84,-0.007,12.62
119,2022-04-01,0.82,0.823,0.831,0.82,128379,10590060.0,1.33,-0.6,-0.005,14.41
120,2022-04-06,0.825,0.817,0.825,0.812,129182,10541226.0,1.58,-0.73,-0.006,14.5
121,2022-04-07,0.811,0.799,0.814,0.798,121059,9717565.0,1.96,-2.2,-0.018,13.59
122,2022-04-08,0.797,0.8,0.812,0.795,101315,8127741.0,2.13,0.13,0.001,11.37
123,2022-04-11,0.799,0.772,0.799,0.77,147322,11480486.0,3.63,-3.5,-0.028,16.53
124,2022-04-12,0.77,0.783,0.784,0.77,122508,9524137.0,1.81,1.42,0.011,13.75
125,2022-04-13,0.772,0.764,0.777,0.764,86472,6680701.0,1.66,-2.43,-0.019,9.7
126,2022-04-14,0.774,0.754,0.774,0.747,122575,9309448.0,3.53,-1.31,-0.01,13.76
127,2022-04-15,0.748,0.757,0.765,0.743,201224,15182679.0,2.92,0.4,0.003,22.58
128,2022-04-18,0.752,0.77,0.77,0.741,114271,8664972.0,3.83,1.72,0.013,12.82
129,2022-04-19,0.772,0.758,0.776,0.755,130781,9957142.0,2.73,-1.56,-0.012,14.68
130,2022-04-20,0.754,0.728,0.754,0.728,133101,9827832.0,3.43,-3.96,-0.03,14.94
131,2022-04-21,0.726,0.708,0.731,0.708,162901,11750153.0,3.16,-2.75,-0.02,18.28
132,2022-04-22,0.708,0.697,0.708,0.696,147329,10339057.0,1.69,-1.55,-0.011,16.53
