,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-03-25,1.103,1.031,1.11,1.028,1872908,201694516.0,0.0,0.0,0.0,64.15
1,2022-03-28,1.036,1.02,1.044,1.014,649770,66965281.0,2.91,-1.07,-0.011,22.25
2,2022-03-29,1.048,1.047,1.058,1.035,450900,47370550.0,2.25,2.65,0.027,15.44
3,2022-03-30,1.062,1.088,1.088,1.056,490396,52640223.0,3.06,3.92,0.041,16.8
4,2022-03-31,1.088,1.047,1.09,1.04,285918,30174799.0,4.6,-3.77,-0.041,9.79
5,2022-04-01,1.03,1.026,1.035,1.019,364034,37361257.0,1.53,-2.01,-0.021,12.47
6,2022-04-06,1.064,1.072,1.078,1.064,445793,47815293.0,1.36,4.48,0.046,15.27
7,2022-04-07,1.072,1.044,1.076,1.044,307742,32486676.0,2.99,-2.61,-0.028,10.54
8,2022-04-08,1.042,1.039,1.052,1.028,480870,50066109.0,2.3,-0.48,-0.005,16.47
9,2022-04-11,1.032,0.993,1.039,0.992,475065,47998505.0,4.52,-4.43,-0.046,16.27
10,2022-04-12,0.995,1.007,1.015,0.981,541891,54115625.0,3.42,1.41,0.014,18.56
11,2022-04-13,1.0,0.984,1.0,0.98,434574,42937383.0,1.99,-2.28,-0.023,14.88
12,2022-04-14,0.993,1.009,1.017,0.993,556394,56051088.0,2.44,2.54,0.025,19.06
13,2022-04-15,1.006,1.008,1.012,0.997,149128,15002823.0,1.49,-0.1,-0.001,5.11
14,2022-04-18,1.004,1.002,1.004,0.999,62711,6274649.0,0.5,-0.6,-0.006,2.15
15,2022-04-19,1.002,0.976,1.002,0.972,382345,37470468.0,2.99,-2.59,-0.026,13.1
16,2022-04-20,0.98,0.975,0.992,0.971,579153,56750869.0,2.15,-0.1,-0.001,19.84
17,2022-04-21,0.97,0.945,0.97,0.936,427560,40528418.0,3.49,-3.08,-0.03,14.64
18,2022-04-22,0.927,0.954,0.962,0.927,481845,45494167.0,3.7,0.95,0.009,16.5
19,2022-04-25,0.949,0.918,0.949,0.917,441369,41302355.0,3.35,-3.77,-0.036,15.12
20,2022-04-26,0.925,0.942,0.95,0.925,486933,45795600.0,2.72,2.61,0.024,16.68
21,2022-04-27,0.93,0.935,0.94,0.907,517033,48002790.0,3.5,-0.74,-0.007,17.71
22,2022-04-28,0.942,0.962,0.962,0.933,423646,40200581.0,3.1,2.89,0.027,14.51
23,2022-04-29,0.97,0.981,1.0,0.954,619458,60276847.0,4.78,1.98,0.019,21.22
24,2022-05-05,0.966,0.941,0.97,0.937,376740,35630900.0,3.36,-4.08,-0.04,12.9
25,2022-05-06,0.928,0.912,0.928,0.897,302862,27783545.0,3.29,-3.08,-0.029,10.37
26,2022-05-09,0.9,0.904,0.905,0.899,53564,4833113.0,0.66,-0.88,-0.008,1.83
27,2022-05-10,0.88,0.889,0.896,0.875,699887,62054781.0,2.32,-1.66,-0.015,23.97
28,2022-05-11,0.891,0.922,0.938,0.891,568688,52691049.0,5.29,3.71,0.033,19.48
29,2022-05-12,0.901,0.907,0.91,0.895,402340,36330820.0,1.63,-1.63,-0.015,13.78
30,2022-05-13,0.925,0.929,0.929,0.917,514808,47535986.0,1.32,2.43,0.022,17.63
31,2022-05-16,0.95,0.933,0.95,0.924,318724,29792369.0,2.8,0.43,0.004,10.92
32,2022-05-17,0.939,0.951,0.951,0.929,503718,47317056.0,2.36,1.93,0.018,17.25
33,2022-05-18,0.951,0.95,0.959,0.94,314638,29899504.0,2.0,-0.11,-0.001,10.78
34,2022-05-19,0.938,0.946,0.948,0.924,360203,33653504.0,2.53,-0.42,-0.004,12.34
35,2022-05-20,0.953,0.964,0.97,0.953,424544,40904402.0,1.8,1.9,0.018,14.54
36,2022-05-23,0.963,0.957,0.968,0.954,339692,32599668.0,1.45,-0.73,-0.007,11.63
37,2022-05-24,0.957,0.922,0.957,0.921,148065,13953769.0,3.76,-3.66,-0.035,5.07
38,2022-05-25,0.918,0.922,0.929,0.914,348212,32138105.0,1.63,0.0,0.0,11.93
39,2022-05-26,0.929,0.918,0.929,0.904,304637,27918306.0,2.71,-0.43,-0.004,10.43
40,2022-05-27,0.939,0.933,0.951,0.93,429905,40433434.0,2.29,1.63,0.015,14.72
41,2022-05-30,0.938,0.952,0.954,0.937,418712,39732078.0,1.82,2.04,0.019,14.34
42,2022-05-31,0.955,0.983,0.985,0.955,447540,43575376.0,3.15,3.26,0.031,15.33
43,2022-06-01,0.987,0.977,0.989,0.974,416286,40783654.0,1.53,-0.61,-0.006,14.26
44,2022-06-02,0.975,0.963,0.978,0.956,270413,25968003.0,2.25,-1.43,-0.014,9.26
45,2022-06-06,0.967,0.988,0.989,0.962,438066,43011019.0,2.8,2.6,0.025,15.0
46,2022-06-07,0.993,0.999,1.004,0.987,469805,46773712.0,1.72,1.11,0.011,16.09
47,2022-06-08,1.004,1.05,1.057,1.004,848211,88221062.0,5.31,5.11,0.051,29.05
48,2022-06-09,1.051,1.044,1.081,1.037,703229,74565236.0,4.19,-0.57,-0.006,24.09
49,2022-06-10,1.039,1.046,1.053,1.032,626071,65312239.0,2.01,0.19,0.002,21.44
50,2022-06-13,1.044,1.006,1.044,1.0,536436,54579137.0,4.21,-3.82,-0.04,18.37
