,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-05-16,1.005,0.986,1.007,0.982,1702648,169722483.0,0.0,0.0,0.0,254.17
1,2022-05-17,0.986,0.98,0.987,0.969,458017,44666181.0,1.83,-0.61,-0.006,68.37
2,2022-05-18,0.977,0.974,0.981,0.972,141895,13826591.0,0.92,-0.61,-0.006,21.18
3,2022-05-19,0.969,0.972,0.972,0.958,143733,13864566.0,1.44,-0.21,-0.002,21.46
4,2022-05-20,0.977,0.992,0.996,0.977,179317,17755434.0,1.95,2.06,0.02,26.77
5,2022-05-23,0.996,1.002,1.008,0.996,133698,13397062.0,1.21,1.01,0.01,19.96
6,2022-05-24,1.0,0.963,1.0,0.962,50624,4976004.0,3.79,-3.89,-0.039,7.56
7,2022-05-25,0.958,0.97,0.974,0.958,53850,5208063.0,1.66,0.73,0.007,8.04
8,2022-05-26,0.968,0.961,0.968,0.949,34861,3336926.0,1.96,-0.93,-0.009,5.2
9,2022-05-27,0.961,0.957,0.977,0.952,92634,8964367.0,2.6,-0.42,-0.004,13.83
10,2022-05-30,0.961,0.965,0.975,0.955,43618,4205996.0,2.09,0.84,0.008,6.51
11,2022-05-31,0.96,0.985,0.988,0.955,86571,8442216.0,3.42,2.07,0.02,12.92
12,2022-06-01,0.987,0.99,1.0,0.985,44275,4386642.0,1.52,0.51,0.005,6.61
13,2022-06-02,0.99,0.986,0.99,0.979,62857,6195488.0,1.11,-0.4,-0.004,9.38
14,2022-06-06,0.987,0.999,1.003,0.985,64361,6407151.0,1.83,1.32,0.013,9.61
15,2022-06-07,0.998,1.008,1.01,0.998,150423,15133034.0,1.2,0.9,0.009,22.45
16,2022-06-08,1.003,1.004,1.019,0.997,112877,11410771.0,2.18,-0.4,-0.004,16.85
17,2022-06-09,1.007,0.987,1.007,0.982,94472,9360963.0,2.49,-1.69,-0.017,14.1
18,2022-06-10,0.989,1.0,1.0,0.988,53713,5324614.0,1.22,1.32,0.013,8.02
19,2022-06-13,1.004,0.998,1.004,0.989,65186,6485662.0,1.5,-0.2,-0.002,9.73
20,2022-06-14,0.99,0.996,0.996,0.973,51937,5102991.0,2.3,-0.2,-0.002,7.75
