,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-05-11,1.002,1.008,1.019,1.0,2570365,258566103.0,0.0,0.0,0.0,406.41
1,2022-05-12,1.005,1.008,1.015,1.0,264534,26630919.0,1.49,0.0,0.0,41.83
2,2022-05-13,1.006,1.008,1.017,1.002,184802,18672783.0,1.49,0.0,0.0,29.22
3,2022-05-16,1.008,1.005,1.019,0.997,151795,15241459.0,2.18,-0.3,-0.003,24.0
4,2022-05-17,1.004,1.007,1.008,1.002,91533,9203254.0,0.6,0.2,0.002,14.47
5,2022-05-18,1.004,1.0,1.004,0.991,141778,14143481.0,1.29,-0.7,-0.007,22.42
6,2022-05-19,0.991,0.989,0.993,0.986,141287,13980913.0,0.7,-1.1,-0.011,22.34
7,2022-05-20,0.996,1.016,1.018,0.995,226416,22866097.0,2.33,2.73,0.027,35.8
8,2022-05-23,1.011,0.999,1.013,0.997,144280,14471060.0,1.57,-1.67,-0.017,22.81
9,2022-05-24,0.998,0.986,0.999,0.986,111699,11085859.0,1.3,-1.3,-0.013,17.66
10,2022-05-25,0.986,0.987,0.989,0.982,113165,11135170.0,0.71,0.1,0.001,17.89
11,2022-05-26,0.987,0.987,0.992,0.976,91468,8983466.0,1.62,0.0,0.0,14.46
12,2022-05-27,0.992,0.987,1.004,0.985,102239,10178697.0,1.93,0.0,0.0,16.17
13,2022-05-30,0.986,1.003,1.006,0.986,136464,13671822.0,2.03,1.62,0.016,21.58
14,2022-05-31,1.003,1.023,1.025,1.001,214007,21753381.0,2.39,1.99,0.02,33.84
15,2022-06-01,1.025,1.021,1.026,1.015,141972,14505795.0,1.08,-0.2,-0.002,22.45
16,2022-06-02,1.02,1.013,1.02,1.011,105669,10696127.0,0.88,-0.78,-0.008,16.71
17,2022-06-06,1.01,1.021,1.022,0.999,121480,12271232.0,2.27,0.79,0.008,19.21
18,2022-06-07,1.022,1.033,1.038,1.017,136928,14149179.0,2.06,1.18,0.012,21.65
19,2022-06-08,1.035,1.046,1.054,1.034,154025,16052441.0,1.94,1.26,0.013,24.35
20,2022-06-09,1.047,1.031,1.05,1.031,87554,9079302.0,1.82,-1.43,-0.015,13.84
21,2022-06-10,1.025,1.041,1.043,1.024,174644,18064098.0,1.84,0.97,0.01,27.61
22,2022-06-13,1.034,1.025,1.034,1.018,120282,12317356.0,1.54,-1.54,-0.016,19.02
23,2022-06-14,1.015,1.036,1.037,1.015,118542,12120781.0,2.15,1.07,0.011,18.74
24,2022-06-15,1.035,1.05,1.063,1.034,121932,12808460.0,2.8,1.35,0.014,19.28
25,2022-06-16,1.059,1.052,1.06,1.047,121614,12818553.0,1.24,0.19,0.002,19.23
26,2022-06-17,1.052,1.071,1.072,1.048,104908,11154399.0,2.28,1.81,0.019,16.59
27,2022-06-20,1.076,1.084,1.094,1.074,106954,11606767.0,1.87,1.21,0.013,16.91
28,2022-06-21,1.087,1.084,1.095,1.078,136893,14838244.0,1.57,0.0,0.0,21.64
29,2022-06-22,1.086,1.07,1.086,1.069,128124,13780094.0,1.57,-1.29,-0.014,20.26
30,2022-06-23,1.071,1.078,1.078,1.066,129076,13830528.0,1.12,0.75,0.008,20.41
31,2022-06-24,1.082,1.099,1.104,1.078,129303,14147029.0,2.41,1.95,0.021,20.44
32,2022-06-27,1.102,1.123,1.135,1.102,96587,10853901.0,3.0,2.18,0.024,15.27
33,2022-06-28,1.102,1.133,1.134,1.102,95640,10744090.0,2.85,0.89,0.01,15.12
34,2022-06-29,1.133,1.121,1.138,1.118,115857,13047727.0,1.77,-1.06,-0.012,18.32
35,2022-06-30,1.126,1.154,1.163,1.126,145138,16736830.0,3.3,2.94,0.033,22.95
36,2022-07-01,1.19,1.145,1.19,1.135,142305,16289050.0,4.77,-0.78,-0.009,22.5
37,2022-07-04,1.133,1.149,1.151,1.131,238003,27264299.0,1.75,0.35,0.004,37.63
38,2022-07-05,1.149,1.142,1.163,1.132,146820,16817856.0,2.7,-0.61,-0.007,23.21
39,2022-07-06,1.131,1.123,1.142,1.116,125084,14072122.0,2.28,-1.66,-0.019,19.78
40,2022-07-07,1.114,1.116,1.12,1.107,152982,17046826.0,1.16,-0.62,-0.007,24.19
41,2022-07-08,1.122,1.116,1.124,1.112,123919,13837049.0,1.08,0.0,0.0,19.59
42,2022-07-11,1.118,1.109,1.118,1.098,157718,17387140.0,1.79,-0.63,-0.007,24.94
43,2022-07-12,1.113,1.108,1.119,1.098,90403,10033007.933,1.89,-0.09,-0.001,14.29
44,2022-07-13,1.103,1.11,1.115,1.103,148759,16505829.9,1.08,0.18,0.002,23.52
45,2022-07-14,1.11,1.096,1.115,1.092,127470,14034564.4,2.07,-1.26,-0.014,20.15
46,2022-07-15,1.096,1.088,1.111,1.086,141334,15543176.0,2.28,-0.73,-0.008,22.35
47,2022-07-18,1.088,1.088,1.093,1.069,120760,13038331.6,2.21,0.0,0.0,19.09
48,2022-07-19,1.088,1.087,1.09,1.078,107562,11652237.1,1.1,-0.09,-0.001,17.01
49,2022-07-20,1.094,1.095,1.103,1.093,73073,8020567.5,0.92,0.74,0.008,11.55
50,2022-07-21,1.097,1.084,1.097,1.084,39967,4355767.8,1.19,-1.0,-0.011,6.32
51,2022-07-22,1.083,1.085,1.091,1.076,158830,17193466.2,1.38,0.09,0.001,25.11
52,2022-07-25,1.086,1.093,1.094,1.081,139586,15215987.2,1.2,0.74,0.008,22.07
53,2022-07-26,1.093,1.1,1.106,1.093,97942,10779799.6,1.19,0.64,0.007,15.49
54,2022-07-27,1.103,1.084,1.103,1.083,133165,14494892.6,1.82,-1.45,-0.016,21.06
55,2022-07-28,1.094,1.083,1.119,1.083,73340,8014303.3,3.32,-0.09,-0.001,11.6
56,2022-07-29,1.083,1.063,1.085,1.06,150675,16146604.5,2.31,-1.85,-0.02,23.82
57,2022-08-01,1.055,1.062,1.067,1.053,151857,16123880.1,1.32,-0.09,-0.001,24.01
58,2022-08-02,1.052,1.044,1.053,1.037,134451,14062947.4,1.51,-1.69,-0.018,21.26
59,2022-08-03,1.051,1.033,1.054,1.033,49871,5207898.2,2.01,-1.05,-0.011,7.89
60,2022-08-04,1.039,1.045,1.045,1.034,125518,13050855.6,1.06,1.16,0.012,19.85
61,2022-08-05,1.048,1.055,1.055,1.041,60390,6307858.744,1.34,0.96,0.01,9.55
