,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-04-22,1.016,1.03,1.03,1.013,2717094,277904032.0,0.0,0.0,0.0,128.93
1,2020-04-23,1.033,1.011,1.034,1.009,753755,76775330.0,2.43,-1.84,-0.019,35.77
2,2020-04-24,1.018,0.991,1.022,0.985,571152,57171812.0,3.66,-1.98,-0.02,27.1
3,2020-04-27,0.992,0.993,1.002,0.98,353286,35131387.0,2.22,0.2,0.002,16.76
4,2020-04-28,0.988,1.004,1.009,0.962,729520,72790221.0,4.73,1.11,0.011,34.62
5,2020-04-29,0.996,1.004,1.011,0.996,481721,48447381.0,1.49,0.0,0.0,22.86
6,2020-04-30,1.009,1.055,1.062,1.009,2703724,282394304.0,5.28,5.08,0.051,128.29
7,2020-05-06,1.049,1.092,1.094,1.048,1388371,149740885.0,4.36,3.51,0.037,65.88
8,2020-05-07,1.103,1.089,1.118,1.086,1160432,127513984.0,2.93,-0.27,-0.003,55.06
9,2020-05-08,1.093,1.096,1.111,1.09,885700,97486874.0,1.93,0.64,0.007,42.03
10,2020-05-11,1.101,1.099,1.114,1.088,608810,67060208.0,2.37,0.27,0.003,28.89
11,2020-05-12,1.099,1.106,1.106,1.078,910366,99500384.0,2.55,0.64,0.007,43.2
12,2020-05-13,1.104,1.1,1.105,1.089,736471,80806186.0,1.45,-0.54,-0.006,34.95
13,2020-05-14,1.096,1.093,1.105,1.091,922480,101317823.0,1.27,-0.64,-0.007,43.77
14,2020-05-15,1.095,1.109,1.123,1.092,1072348,118632430.0,2.84,1.46,0.016,50.88
15,2020-05-18,1.11,1.066,1.112,1.062,861268,93104356.0,4.51,-3.88,-0.043,40.87
16,2020-05-19,1.074,1.089,1.09,1.066,840936,90746673.0,2.25,2.16,0.023,39.9
17,2020-05-20,1.086,1.076,1.092,1.067,827415,89451683.0,2.3,-1.19,-0.013,39.26
18,2020-05-21,1.078,1.048,1.08,1.045,856676,90856129.0,3.25,-2.6,-0.028,40.65
19,2020-05-22,1.043,1.031,1.055,1.021,651584,67659492.0,3.24,-1.62,-0.017,30.92
20,2020-05-25,1.027,1.003,1.027,0.997,756494,76022771.0,2.91,-2.72,-0.028,35.9
21,2020-05-26,1.007,1.027,1.028,1.007,554760,56584921.0,2.09,2.39,0.024,26.32
22,2020-05-27,1.028,1.011,1.03,1.007,455707,46148110.0,2.24,-1.56,-0.016,21.62
23,2020-05-28,1.012,1.006,1.015,0.986,895368,89342016.0,2.87,-0.49,-0.005,42.49
24,2020-05-29,0.999,1.004,1.011,0.995,584353,58742437.0,1.59,-0.2,-0.002,27.73
