,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-07-30,1.021,1.018,1.028,0.994,781981,78857124.0,0.0,0.0,0.0,20.43
1,2021-08-02,1.014,1.031,1.04,0.985,351640,36109380.0,5.4,1.28,0.013,9.19
2,2021-08-03,1.031,1.07,1.075,1.015,370815,39177073.0,5.82,3.78,0.039,9.69
3,2021-08-04,1.064,1.056,1.064,1.036,277345,29128507.0,2.62,-1.31,-0.014,7.25
4,2021-08-05,1.056,1.044,1.057,1.043,92821,9761379.0,1.33,-1.14,-0.012,2.43
5,2021-08-06,1.054,1.013,1.054,1.004,98614,9991521.0,4.79,-2.97,-0.031,2.58
6,2021-08-09,1.014,1.027,1.031,1.007,187620,19242535.0,2.37,1.38,0.014,4.9
7,2021-08-10,1.028,1.042,1.043,1.017,73658,7573482.0,2.53,1.46,0.015,1.92
8,2021-08-11,1.042,1.019,1.042,1.018,88914,9127624.0,2.3,-2.21,-0.023,2.32
9,2021-08-12,1.01,1.006,1.02,1.005,57736,5818861.0,1.47,-1.28,-0.013,1.51
10,2021-08-13,1.011,0.999,1.011,0.992,79638,7944559.0,1.89,-0.7,-0.007,2.08
11,2021-08-16,0.999,1.003,1.008,0.993,36448,3658315.0,1.5,0.4,0.004,0.95
12,2021-08-17,1.002,0.966,1.007,0.964,111350,10968084.0,4.29,-3.69,-0.037,2.91
13,2021-08-18,0.966,0.968,0.973,0.961,13556,1311320.0,1.24,0.21,0.002,0.35
14,2021-08-19,0.969,0.969,0.982,0.967,12901,1256724.0,1.55,0.1,0.001,0.34
15,2021-08-20,0.967,0.908,0.967,0.902,90868,8335525.0,6.71,-6.3,-0.061,2.37
16,2021-08-23,0.907,0.927,0.935,0.899,40646,3737766.0,3.96,2.09,0.019,1.06
17,2021-08-24,0.925,0.94,0.941,0.925,21097,1976664.0,1.73,1.4,0.013,0.55
18,2021-08-25,0.94,0.949,0.952,0.932,17190,1623517.0,2.13,0.96,0.009,0.45
19,2021-08-26,0.949,0.922,0.949,0.92,44618,4135307.0,3.06,-2.85,-0.027,1.17
20,2021-08-27,0.919,0.912,0.937,0.91,21121,1939775.0,2.93,-1.08,-0.01,0.55
21,2021-08-30,0.912,0.906,0.924,0.899,30285,2742445.0,2.74,-0.66,-0.006,0.79
22,2021-08-31,0.906,0.885,0.911,0.88,49724,4427564.0,3.42,-2.32,-0.021,1.3
23,2021-09-01,0.884,0.897,0.908,0.869,35276,3151652.0,4.41,1.36,0.012,0.92
24,2021-09-02,0.897,0.873,0.897,0.871,45627,4004512.0,2.9,-2.68,-0.024,1.19
25,2021-09-03,0.895,0.879,0.895,0.87,27791,2437542.0,2.86,0.69,0.006,0.73
26,2021-09-06,0.879,0.921,0.924,0.877,58268,5314552.0,5.35,4.78,0.042,1.52
27,2021-09-07,0.921,0.915,0.921,0.905,31862,2900390.0,1.74,-0.65,-0.006,0.83
28,2021-09-08,0.915,0.904,0.918,0.901,31463,2849788.0,1.86,-1.2,-0.011,0.82
29,2021-09-09,0.92,0.897,0.92,0.893,70136,6309634.0,2.99,-0.77,-0.007,1.83
30,2021-09-10,0.898,0.896,0.904,0.886,36934,3301681.0,2.01,-0.11,-0.001,0.96
31,2021-09-13,0.898,0.895,0.912,0.89,49222,4432651.0,2.46,-0.11,-0.001,1.29
32,2021-09-14,0.895,0.897,0.912,0.893,34665,3124429.0,2.12,0.22,0.002,0.91
33,2021-09-15,0.897,0.88,0.908,0.875,74824,6588877.0,3.68,-1.9,-0.017,1.95
34,2021-09-16,0.88,0.881,0.891,0.869,52598,4628237.0,2.5,0.11,0.001,1.37
35,2021-09-17,0.881,0.917,0.922,0.875,96726,8779637.0,5.33,4.09,0.036,2.53
36,2021-09-22,0.916,0.91,0.924,0.904,144466,13186626.0,2.18,-0.76,-0.007,3.77
37,2021-09-23,0.913,0.911,0.928,0.904,26225,2398157.0,2.64,0.11,0.001,0.69
38,2021-09-24,0.938,0.92,0.938,0.907,29344,2699481.0,3.4,0.99,0.009,0.77
39,2021-09-27,0.915,0.938,0.953,0.915,72308,6799152.0,4.13,1.96,0.018,1.89
40,2021-09-28,0.938,0.931,0.943,0.922,24941,2322430.0,2.24,-0.75,-0.007,0.65
41,2021-09-29,0.93,0.918,0.93,0.906,38844,3558500.0,2.58,-1.4,-0.013,1.01
42,2021-09-30,0.918,0.936,0.936,0.908,35203,3271121.0,3.05,1.96,0.018,0.92
43,2021-10-08,0.937,0.942,0.948,0.93,24750,2324218.0,1.92,0.64,0.006,0.65
44,2021-10-11,0.943,0.933,0.956,0.931,30880,2903996.0,2.65,-0.96,-0.009,0.81
45,2021-10-12,0.921,0.931,0.945,0.921,25725,2410477.0,2.57,-0.21,-0.002,0.67
46,2021-10-13,0.93,0.951,0.954,0.93,32895,3112051.0,2.58,2.15,0.02,0.86
47,2021-10-14,0.951,0.93,0.952,0.927,37005,3451206.0,2.63,-2.21,-0.021,0.97
48,2021-10-15,0.931,0.915,0.939,0.906,70192,6421892.0,3.55,-1.61,-0.015,1.83
49,2021-10-18,0.915,0.899,0.915,0.893,87135,7830649.0,2.4,-1.75,-0.016,2.28
50,2021-10-19,0.894,0.911,0.915,0.893,32580,2967082.0,2.45,1.33,0.012,0.85
51,2021-10-20,0.911,0.904,0.914,0.892,44850,4026575.0,2.41,-0.77,-0.007,1.17
52,2021-10-21,0.903,0.9,0.911,0.897,31355,2823631.0,1.55,-0.44,-0.004,0.82
53,2021-10-22,0.912,0.902,0.919,0.899,21692,1961216.0,2.22,0.22,0.002,0.57
54,2021-10-25,0.902,0.906,0.909,0.901,19505,1765717.0,0.89,0.44,0.004,0.51
55,2021-10-26,0.906,0.905,0.912,0.902,23178,2101115.0,1.1,-0.11,-0.001,0.61
56,2021-10-27,0.901,0.885,0.901,0.88,67961,6021371.0,2.32,-2.21,-0.02,1.78
57,2021-10-28,0.885,0.882,0.889,0.876,31956,2816936.0,1.47,-0.34,-0.003,0.83
58,2021-10-29,0.894,0.889,0.894,0.871,30046,2660932.0,2.61,0.79,0.007,0.78
59,2021-11-01,0.889,0.884,0.889,0.874,35363,3113681.0,1.69,-0.56,-0.005,0.92
60,2021-11-02,0.884,0.878,0.891,0.872,48749,4292538.0,2.15,-0.68,-0.006,1.27
61,2021-11-03,0.878,0.887,0.893,0.878,51957,4614780.0,1.71,1.03,0.009,1.36
62,2021-11-04,0.89,0.897,0.899,0.885,31186,2786130.0,1.58,1.13,0.01,0.81
63,2021-11-05,0.897,0.903,0.905,0.894,72225,6509529.0,1.23,0.67,0.006,1.89
64,2021-11-08,0.905,0.885,0.905,0.878,76644,6764490.0,2.99,-1.99,-0.018,2.0
65,2021-11-09,0.885,0.885,0.886,0.877,43432,3825999.0,1.02,0.0,0.0,1.13
66,2021-11-10,0.885,0.903,0.905,0.874,91731,8181569.0,3.5,2.03,0.018,2.4
67,2021-11-11,0.904,0.896,0.904,0.892,68691,6155196.0,1.33,-0.78,-0.007,1.79
68,2021-11-12,0.898,0.896,0.901,0.894,57434,5146713.0,0.78,0.0,0.0,1.5
69,2021-11-15,0.896,0.911,0.912,0.895,87337,7930946.0,1.9,1.67,0.015,2.28
70,2021-11-16,0.915,0.935,0.941,0.912,151883,14180288.0,3.18,2.63,0.024,3.97
71,2021-11-17,0.933,0.937,0.941,0.928,73924,6910620.0,1.39,0.21,0.002,1.93
72,2021-11-18,0.936,0.921,0.936,0.919,72097,6656051.0,1.81,-1.71,-0.016,1.88
73,2021-11-19,0.921,0.92,0.922,0.915,34478,3163741.0,0.76,-0.11,-0.001,0.9
74,2021-11-22,0.92,0.919,0.92,0.908,114665,10445600.0,1.3,-0.11,-0.001,3.0
75,2021-11-23,0.919,0.911,0.919,0.906,94019,8554966.0,1.41,-0.87,-0.008,2.46
76,2021-11-24,0.908,0.915,0.916,0.905,73765,6721989.0,1.21,0.44,0.004,1.93
77,2021-11-25,0.913,0.927,0.93,0.913,106031,9782525.0,1.86,1.31,0.012,2.77
78,2021-11-26,0.927,0.919,0.93,0.918,62476,5754793.0,1.29,-0.86,-0.008,1.63
79,2021-11-29,0.926,0.914,0.945,0.91,98813,9137061.0,3.81,-0.54,-0.005,2.58
80,2021-11-30,0.91,0.911,0.912,0.901,82752,7488999.0,1.2,-0.33,-0.003,2.16
81,2021-12-01,0.911,0.899,0.913,0.898,62428,5620304.0,1.65,-1.32,-0.012,1.63
82,2021-12-02,0.894,0.889,0.903,0.888,86299,7724269.0,1.67,-1.11,-0.01,2.25
83,2021-12-03,0.899,0.897,0.9,0.889,33099,2961018.0,1.24,0.9,0.008,0.86
84,2021-12-06,0.897,0.886,0.904,0.885,66142,5886006.0,2.12,-1.23,-0.011,1.73
85,2021-12-07,0.895,0.893,0.896,0.888,35703,3184455.0,0.9,0.79,0.007,0.93
86,2021-12-08,0.9,0.9,0.9,0.889,55006,4929248.0,1.23,0.78,0.007,1.44
87,2021-12-09,0.901,0.923,0.925,0.9,159480,14638961.0,2.78,2.56,0.023,4.17
88,2021-12-10,0.925,0.92,0.927,0.916,63634,5858881.0,1.19,-0.33,-0.003,1.66
89,2021-12-13,0.919,0.918,0.93,0.915,58749,5407967.0,1.63,-0.22,-0.002,1.53
90,2021-12-14,0.918,0.921,0.927,0.918,40252,3713749.0,0.98,0.33,0.003,1.05
91,2021-12-15,0.923,0.903,0.923,0.902,72897,6638807.0,2.28,-1.95,-0.018,1.9
92,2021-12-16,0.903,0.905,0.91,0.9,37102,3351191.0,1.11,0.22,0.002,0.97
93,2021-12-17,0.906,0.9,0.909,0.896,60974,5485483.0,1.44,-0.55,-0.005,1.59
94,2021-12-20,0.903,0.896,0.909,0.895,52336,4715328.0,1.56,-0.44,-0.004,1.37
95,2021-12-21,0.902,0.905,0.905,0.896,23563,2123667.0,1.0,1.0,0.009,0.62
96,2021-12-22,0.908,0.906,0.909,0.902,28524,2583154.0,0.77,0.11,0.001,0.75
97,2021-12-23,0.906,0.902,0.909,0.898,35536,3201784.0,1.21,-0.44,-0.004,0.93
98,2021-12-24,0.904,0.91,0.916,0.897,65152,5916670.0,2.11,0.89,0.008,1.7
99,2021-12-27,0.91,0.913,0.915,0.906,62358,5674632.0,0.99,0.33,0.003,1.63
100,2021-12-28,0.912,0.917,0.923,0.908,80774,7389427.0,1.64,0.44,0.004,2.11
101,2021-12-29,0.916,0.901,0.919,0.901,55667,5056767.0,1.96,-1.74,-0.016,1.45
102,2021-12-30,0.901,0.904,0.907,0.893,38259,3439997.0,1.55,0.33,0.003,1.0
103,2021-12-31,0.904,0.914,0.916,0.904,72182,6585159.0,1.33,1.11,0.01,1.89
104,2022-01-04,0.913,0.904,0.913,0.899,50487,4561318.0,1.53,-1.09,-0.01,1.32
105,2022-01-05,0.903,0.889,0.903,0.887,61544,5481235.0,1.77,-1.66,-0.015,1.61
106,2022-01-06,0.896,0.881,0.896,0.869,92257,8078839.0,3.04,-0.9,-0.008,2.41
107,2022-01-07,0.881,0.878,0.888,0.876,37437,3305171.0,1.36,-0.34,-0.003,0.98
108,2022-01-10,0.882,0.885,0.888,0.873,37542,3316766.0,1.71,0.8,0.007,0.98
109,2022-01-11,0.881,0.883,0.888,0.878,29032,2560082.0,1.13,-0.23,-0.002,0.76
110,2022-01-12,0.882,0.89,0.893,0.879,25383,2256805.0,1.59,0.79,0.007,0.66
111,2022-01-13,0.889,0.869,0.889,0.869,82916,7244491.0,2.25,-2.36,-0.021,2.17
112,2022-01-14,0.874,0.876,0.88,0.864,51885,4533629.0,1.84,0.81,0.007,1.36
