,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-08-20,1.001,0.995,1.011,0.982,1345811,134683313.0,0.0,0.0,0.0,5.19
1,2021-08-23,1.0,1.017,1.022,0.987,877105,88400175.0,3.52,2.21,0.022,3.38
2,2021-08-24,1.019,1.048,1.06,1.018,630528,65802465.0,4.13,3.05,0.031,2.43
3,2021-08-25,1.05,1.048,1.05,1.022,408403,42354257.0,2.67,0.0,0.0,1.57
4,2021-08-26,1.048,1.033,1.067,1.031,346978,36231243.0,3.44,-1.43,-0.015,1.34
5,2021-08-27,1.031,1.049,1.055,1.019,380524,39719062.0,3.48,1.55,0.016,1.47
6,2021-08-30,1.05,1.068,1.09,1.041,545384,58285262.0,4.67,1.81,0.019,2.1
7,2021-08-31,1.069,1.055,1.07,1.04,429046,45022502.0,2.81,-1.22,-0.013,1.65
8,2021-09-01,1.059,1.01,1.065,0.989,639777,65126261.0,7.2,-4.27,-0.045,2.47
9,2021-09-02,1.009,1.021,1.025,1.003,403518,40984517.0,2.18,1.09,0.011,1.56
10,2021-09-03,1.019,0.977,1.024,0.966,775735,76369113.0,5.68,-4.31,-0.044,2.99
11,2021-09-06,0.98,1.008,1.01,0.964,524106,51851735.0,4.71,3.17,0.031,2.02
12,2021-09-07,1.007,1.045,1.05,1.002,593424,61306749.0,4.76,3.67,0.037,2.29
13,2021-09-08,1.045,1.029,1.051,1.025,334530,34705853.0,2.49,-1.53,-0.016,1.29
14,2021-09-09,1.029,1.039,1.053,1.015,418291,43287128.0,3.69,0.97,0.01,1.61
15,2021-09-10,1.043,1.038,1.043,1.02,332700,34317415.0,2.21,-0.1,-0.001,1.28
16,2021-09-13,1.039,1.03,1.05,1.017,369143,38051507.0,3.18,-0.77,-0.008,1.42
17,2021-09-14,1.028,1.058,1.079,1.01,831265,88027922.0,6.7,2.72,0.028,3.2
18,2021-09-15,1.062,1.066,1.074,1.049,423905,45060922.0,2.36,0.76,0.008,1.63
19,2021-09-16,1.065,1.021,1.065,1.021,492198,50999614.0,4.13,-4.22,-0.045,1.9
20,2021-09-17,1.021,1.032,1.043,1.001,447057,45821253.0,4.11,1.08,0.011,1.72
21,2021-09-22,1.019,1.021,1.03,1.01,279705,28611797.0,1.94,-1.07,-0.011,1.08
22,2021-09-23,1.027,1.02,1.039,1.018,305444,31362374.0,2.06,-0.1,-0.001,1.18
23,2021-09-24,1.02,1.021,1.046,1.002,454594,46606763.0,4.31,0.1,0.001,1.75
24,2021-09-27,1.021,0.997,1.037,0.977,648195,64820373.0,5.88,-2.35,-0.024,2.5
25,2021-09-28,0.991,0.97,0.997,0.967,647951,63557269.0,3.01,-2.71,-0.027,2.5
26,2021-09-29,0.966,0.944,0.972,0.937,581609,55415070.0,3.61,-2.68,-0.026,2.24
27,2021-09-30,0.953,0.989,0.989,0.948,597793,58326601.0,4.34,4.77,0.045,2.3
28,2021-10-08,1.008,0.969,1.015,0.96,593944,58082749.0,5.56,-2.02,-0.02,2.29
29,2021-10-11,0.973,0.968,0.982,0.942,466878,45003045.0,4.13,-0.1,-0.001,1.8
30,2021-10-12,0.958,0.94,0.969,0.929,708448,66873738.0,4.13,-2.89,-0.028,2.73
31,2021-10-13,0.94,0.978,0.978,0.94,679876,65522860.0,4.04,4.04,0.038,2.62
32,2021-10-14,0.974,0.987,0.991,0.966,476116,46871290.0,2.56,0.92,0.009,1.84
33,2021-10-15,0.985,1.012,1.018,0.97,578721,57867322.0,4.86,2.53,0.025,2.23
34,2021-10-18,1.012,1.039,1.041,1.009,493818,50696146.0,3.16,2.67,0.027,1.9
35,2021-10-19,1.042,1.047,1.062,1.038,440786,46208140.0,2.31,0.77,0.008,1.7
36,2021-10-20,1.045,1.066,1.079,1.039,502901,53752011.0,3.82,1.81,0.019,1.94
37,2021-10-21,1.067,1.055,1.072,1.048,311396,32954693.0,2.25,-1.03,-0.011,1.2
38,2021-10-22,1.056,1.051,1.073,1.046,291935,30885728.0,2.56,-0.38,-0.004,1.13
39,2021-10-25,1.051,1.089,1.09,1.044,443933,47914000.0,4.38,3.62,0.038,1.71
40,2021-10-26,1.107,1.09,1.123,1.085,365376,40323379.0,3.49,0.09,0.001,1.41
41,2021-10-27,1.09,1.114,1.121,1.086,357597,39640123.0,3.21,2.2,0.024,1.38
42,2021-10-28,1.114,1.084,1.128,1.08,383801,42307774.0,4.31,-2.69,-0.03,1.48
43,2021-10-29,1.085,1.1,1.101,1.062,334876,36302157.0,3.6,1.48,0.016,1.29
44,2021-11-01,1.098,1.08,1.106,1.069,427892,46408901.0,3.36,-1.82,-0.02,1.65
45,2021-11-02,1.082,1.085,1.105,1.071,401890,43796476.0,3.15,0.46,0.005,1.55
46,2021-11-03,1.082,1.063,1.082,1.05,391483,41517044.0,2.95,-2.03,-0.022,1.51
47,2021-11-04,1.066,1.083,1.093,1.066,350643,38014914.0,2.54,1.88,0.02,1.35
48,2021-11-05,1.083,1.066,1.097,1.062,391476,42154114.0,3.23,-1.57,-0.017,1.51
49,2021-11-08,1.066,1.115,1.119,1.066,619365,68210437.0,4.97,4.6,0.049,2.39
50,2021-11-09,1.116,1.123,1.128,1.11,359107,40195191.0,1.61,0.72,0.008,1.38
51,2021-11-10,1.113,1.096,1.113,1.075,524645,57178950.0,3.38,-2.4,-0.027,2.02
52,2021-11-11,1.096,1.098,1.108,1.08,329485,36089762.0,2.55,0.18,0.002,1.27
53,2021-11-12,1.097,1.098,1.101,1.087,261963,28635361.0,1.28,0.0,0.0,1.01
54,2021-11-15,1.093,1.056,1.093,1.051,729623,77541151.0,3.83,-3.83,-0.042,2.81
55,2021-11-16,1.055,1.044,1.062,1.041,440549,46220694.0,1.99,-1.14,-0.012,1.7
56,2021-11-17,1.048,1.067,1.07,1.048,618485,65723945.0,2.11,2.2,0.023,2.38
57,2021-11-18,1.067,1.063,1.076,1.048,512700,54501882.0,2.62,-0.37,-0.004,1.98
58,2021-11-19,1.064,1.066,1.076,1.058,363867,38731437.0,1.69,0.28,0.003,1.4
59,2021-11-22,1.067,1.114,1.115,1.067,803053,88511475.0,4.5,4.5,0.048,3.1
60,2021-11-23,1.118,1.114,1.119,1.1,523011,57962087.0,1.71,0.0,0.0,2.02
61,2021-11-24,1.114,1.096,1.122,1.092,398894,43979102.0,2.69,-1.62,-0.018,1.54
62,2021-11-25,1.098,1.089,1.101,1.08,307700,33430085.0,1.92,-0.64,-0.007,1.19
63,2021-11-26,1.09,1.109,1.118,1.09,459916,51021123.0,2.57,1.84,0.02,1.77
64,2021-11-29,1.098,1.136,1.14,1.081,514675,58079394.0,5.32,2.43,0.027,1.98
65,2021-11-30,1.14,1.13,1.151,1.122,371084,41975102.0,2.55,-0.53,-0.006,1.43
