,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-03-19,0.97,0.975,0.978,0.967,560635,54514530.0,0.0,0.0,0.0,6.21
1,2021-03-22,0.973,0.99,0.997,0.973,263611,25995231.0,2.46,1.54,0.015,2.92
2,2021-03-23,0.99,0.994,1.003,0.978,288699,28689212.0,2.53,0.4,0.004,3.2
3,2021-03-24,0.993,1.0,1.023,0.987,930226,93996191.0,3.62,0.6,0.006,10.31
4,2021-03-25,0.998,0.991,1.004,0.988,76074,7566076.0,1.6,-0.9,-0.009,0.84
5,2021-03-26,0.99,0.996,1.0,0.987,68151,6777781.0,1.31,0.5,0.005,0.76
6,2021-03-29,0.996,0.996,1.004,0.99,49356,4919634.0,1.41,0.0,0.0,0.55
7,2021-03-30,0.991,0.993,0.997,0.99,47606,4728330.0,0.7,-0.3,-0.003,0.53
8,2021-03-31,0.992,0.98,0.992,0.978,74431,7307371.0,1.41,-1.31,-0.013,0.82
9,2021-04-01,0.982,0.987,0.988,0.977,62911,6174172.0,1.12,0.71,0.007,0.7
10,2021-04-02,0.99,0.989,0.994,0.984,46425,4587635.0,1.01,0.2,0.002,0.51
11,2021-04-06,0.993,0.987,0.996,0.985,55863,5534074.0,1.11,-0.2,-0.002,0.62
12,2021-04-07,0.982,0.984,0.989,0.979,62416,6128854.0,1.01,-0.3,-0.003,0.69
13,2021-04-08,0.98,0.989,0.998,0.978,73349,7257989.0,2.03,0.51,0.005,0.81
14,2021-04-09,0.986,0.979,0.987,0.977,54540,5349856.0,1.01,-1.01,-0.01,0.6
15,2021-04-12,0.979,0.96,0.98,0.958,64410,6248556.0,2.25,-1.94,-0.019,0.71
16,2021-04-13,0.96,0.958,0.962,0.951,52430,5016541.0,1.15,-0.21,-0.002,0.58
17,2021-04-14,0.958,0.968,0.97,0.956,32414,3129045.0,1.46,1.04,0.01,0.36
18,2021-04-15,0.964,0.96,0.964,0.955,39023,3739107.0,0.93,-0.83,-0.008,0.43
19,2021-04-16,0.962,0.964,0.969,0.958,32362,3118177.0,1.15,0.42,0.004,0.36
20,2021-04-19,0.964,0.989,0.991,0.96,103442,10134557.0,3.22,2.59,0.025,1.15
21,2021-04-20,0.972,0.979,0.995,0.972,105787,10415807.0,2.33,-1.01,-0.01,1.17
22,2021-04-21,0.975,0.978,0.984,0.974,55633,5437559.0,1.02,-0.1,-0.001,0.62
23,2021-04-22,0.979,0.981,0.99,0.978,68820,6785108.0,1.23,0.31,0.003,0.76
24,2021-04-23,0.98,0.978,0.984,0.975,37599,3680612.0,0.92,-0.31,-0.003,0.42
25,2021-04-26,0.988,0.96,0.988,0.958,82407,7993404.0,3.07,-1.84,-0.018,0.91
26,2021-04-27,0.965,0.955,0.965,0.944,111524,10598373.0,2.19,-0.52,-0.005,1.24
27,2021-04-28,0.949,0.958,0.961,0.949,72481,6931520.0,1.26,0.31,0.003,0.8
28,2021-04-29,0.959,0.982,0.989,0.958,129713,12678953.0,3.24,2.51,0.024,1.44
29,2021-04-30,0.982,0.97,0.982,0.965,80994,7882756.0,1.73,-1.22,-0.012,0.9
30,2021-05-06,0.975,0.962,0.982,0.961,49381,4787502.0,2.16,-0.82,-0.008,0.55
31,2021-05-07,0.962,0.945,0.962,0.945,87821,8354539.0,1.77,-1.77,-0.017,0.97
32,2021-05-10,0.945,0.942,0.945,0.934,93394,8771549.0,1.16,-0.32,-0.003,1.04
33,2021-05-11,0.938,0.955,0.959,0.934,92599,8754476.0,2.65,1.38,0.013,1.03
34,2021-05-12,0.954,0.952,0.954,0.946,96969,9200944.0,0.84,-0.31,-0.003,1.07
35,2021-05-13,0.949,0.948,0.954,0.943,51290,4872807.0,1.16,-0.42,-0.004,0.57
36,2021-05-14,0.948,1.015,1.019,0.948,665936,66521141.0,7.49,7.07,0.067,7.38
37,2021-05-17,1.007,1.002,1.01,0.991,239979,23996557.0,1.87,-1.28,-0.013,2.66
38,2021-05-18,1.002,1.002,1.016,0.995,162932,16397648.0,2.1,0.0,0.0,1.81
39,2021-05-19,0.996,1.001,1.014,0.996,137560,13823976.0,1.8,-0.1,-0.001,1.52
40,2021-05-20,0.999,1.015,1.027,0.999,429847,43617967.0,2.8,1.4,0.014,4.76
41,2021-05-21,1.016,0.998,1.017,0.995,123299,12372093.0,2.17,-1.67,-0.017,1.37
42,2021-05-24,0.998,1.014,1.027,0.998,274584,27965924.0,2.91,1.6,0.016,3.04
43,2021-05-25,1.015,1.06,1.065,1.015,600382,63027021.0,4.93,4.54,0.046,6.65
44,2021-05-26,1.066,1.055,1.078,1.055,356158,37997572.0,2.17,-0.47,-0.005,3.95
45,2021-05-27,1.054,1.058,1.068,1.048,191986,20260517.0,1.9,0.28,0.003,2.13
46,2021-05-28,1.058,1.073,1.092,1.052,261353,27952008.0,3.78,1.42,0.015,2.9
47,2021-05-31,1.075,1.074,1.077,1.062,147049,15722157.0,1.4,0.09,0.001,1.63
48,2021-06-01,1.07,1.059,1.07,1.047,256041,27038309.0,2.14,-1.4,-0.015,2.84
49,2021-06-02,1.059,1.038,1.063,1.035,144324,15117427.0,2.64,-1.98,-0.021,1.6
50,2021-06-03,1.047,1.037,1.056,1.037,119471,12502335.0,1.83,-0.1,-0.001,1.32
51,2021-06-04,1.03,1.047,1.085,1.027,306862,32413807.0,5.59,0.96,0.01,3.4
52,2021-06-07,1.044,1.053,1.064,1.04,198143,20824291.0,2.29,0.57,0.006,2.2
53,2021-06-08,1.05,1.054,1.067,1.047,147460,15588119.0,1.9,0.09,0.001,1.63
54,2021-06-09,1.054,1.044,1.058,1.039,138189,14450068.0,1.8,-0.95,-0.01,1.53
55,2021-06-10,1.047,1.046,1.06,1.042,114499,12017585.0,1.72,0.19,0.002,1.27
56,2021-06-11,1.048,1.031,1.051,1.029,129348,13441545.0,2.1,-1.43,-0.015,1.43
57,2021-06-15,1.032,1.014,1.032,1.013,145400,14819777.0,1.84,-1.65,-0.017,1.61
58,2021-06-16,1.014,1.009,1.019,1.002,142131,14349827.0,1.68,-0.49,-0.005,1.58
59,2021-06-17,1.01,1.013,1.018,1.006,117775,11913330.0,1.19,0.4,0.004,1.31
60,2021-06-18,1.013,1.021,1.026,1.008,140693,14319045.0,1.78,0.79,0.008,1.56
61,2021-06-21,1.032,1.02,1.032,1.017,186980,19117584.0,1.47,-0.1,-0.001,2.07
62,2021-06-22,1.02,1.018,1.027,1.011,155258,15802382.0,1.57,-0.2,-0.002,1.72
63,2021-06-23,1.023,1.019,1.026,1.009,135427,13785279.0,1.67,0.1,0.001,1.5
64,2021-06-24,1.019,1.024,1.033,1.019,160141,16424961.0,1.37,0.49,0.005,1.77
65,2021-06-25,1.025,1.055,1.066,1.021,394455,41377284.0,4.39,3.03,0.031,4.37
66,2021-06-28,1.06,1.047,1.063,1.041,251628,26343177.0,2.09,-0.76,-0.008,2.79
67,2021-06-29,1.043,1.034,1.049,1.029,211419,21938622.0,1.91,-1.24,-0.013,2.34
68,2021-06-30,1.034,1.045,1.047,1.028,199599,20690220.0,1.84,1.06,0.011,2.21
69,2021-07-01,1.07,1.016,1.07,1.011,347044,35988030.0,5.65,-2.78,-0.029,3.85
70,2021-07-02,1.007,0.987,1.008,0.986,257820,25666650.0,2.17,-2.85,-0.029,2.86
71,2021-07-05,0.985,0.986,0.992,0.978,129124,12700376.0,1.42,-0.1,-0.001,1.43
72,2021-07-06,0.985,0.994,0.995,0.981,123894,12228572.0,1.42,0.81,0.008,1.37
73,2021-07-07,0.987,0.997,0.999,0.986,97184,9670153.0,1.31,0.3,0.003,1.08
74,2021-07-08,1.002,0.996,1.007,0.994,152070,15205757.0,1.3,-0.1,-0.001,1.69
