,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-03-08,0.992,0.959,1.01,0.959,621171,61670506.0,0.0,0.0,0.0,0.91
1,2021-03-09,0.959,0.936,0.959,0.922,223491,21069447.0,3.86,-2.4,-0.023,0.33
2,2021-03-10,0.939,0.935,0.958,0.933,142946,13427469.0,2.67,-0.11,-0.001,0.21
3,2021-03-11,0.926,0.946,0.946,0.926,266084,25020310.0,2.14,1.18,0.011,0.39
4,2021-03-12,0.953,0.946,0.953,0.926,293580,27526205.0,2.85,0.0,0.0,0.43
5,2021-03-15,0.936,0.928,0.94,0.919,281160,26119680.0,2.22,-1.9,-0.018,0.41
6,2021-03-16,0.925,0.929,0.934,0.923,226430,21022327.0,1.19,0.11,0.001,0.33
7,2021-03-17,0.929,0.951,0.953,0.929,321689,30399639.0,2.58,2.37,0.022,0.47
8,2021-03-18,0.951,0.944,0.951,0.938,328668,31041346.0,1.37,-0.74,-0.007,0.48
9,2021-03-19,0.944,0.93,0.944,0.925,357514,33215925.0,2.01,-1.48,-0.014,0.52
10,2021-03-22,0.93,0.944,0.945,0.919,272037,25424718.0,2.8,1.51,0.014,0.4
11,2021-03-23,0.944,0.937,0.948,0.932,252397,23655361.0,1.69,-0.74,-0.007,0.37
12,2021-03-24,0.937,0.937,0.939,0.929,276143,25816123.0,1.07,0.0,0.0,0.41
13,2021-03-25,0.937,0.933,0.939,0.93,247212,23084058.0,0.96,-0.43,-0.004,0.36
14,2021-03-26,0.933,0.931,0.934,0.922,288756,26803962.0,1.29,-0.21,-0.002,0.42
15,2021-03-29,0.929,0.925,0.938,0.924,254242,23580829.0,1.5,-0.64,-0.006,0.37
16,2021-03-30,0.925,0.928,0.933,0.919,322618,29888804.0,1.51,0.32,0.003,0.47
17,2021-03-31,0.928,0.922,0.929,0.917,252219,23225276.0,1.29,-0.65,-0.006,0.37
