,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-04-30,0.999,1.015,1.015,0.995,979944,98609368.0,0.0,0.0,0.0,2.31
1,2021-05-06,1.013,0.996,1.015,0.988,494922,49602569.0,2.66,-1.87,-0.019,1.17
2,2021-05-07,1.0,0.957,1.002,0.957,229279,22345573.0,4.52,-3.92,-0.039,0.54
3,2021-05-10,0.963,0.964,0.975,0.954,183552,17714573.0,2.19,0.73,0.007,0.43
4,2021-05-11,0.965,0.975,0.977,0.955,194323,18747915.0,2.28,1.14,0.011,0.46
5,2021-05-12,0.976,0.992,0.996,0.962,217145,21176423.0,3.49,1.74,0.017,0.51
6,2021-05-13,0.978,1.004,1.005,0.978,266165,26535103.0,2.72,1.21,0.012,0.63
7,2021-05-14,1.009,1.013,1.022,0.998,294463,29834715.0,2.39,0.9,0.009,0.7
8,2021-05-17,1.019,1.035,1.047,1.017,250357,25936755.0,2.96,2.17,0.022,0.59
9,2021-05-18,1.035,1.025,1.037,1.018,155907,15966219.0,1.84,-0.97,-0.01,0.37
10,2021-05-19,1.024,1.017,1.029,1.013,167571,17074081.0,1.56,-0.78,-0.008,0.4
11,2021-05-20,1.023,1.029,1.035,1.017,183394,18804578.0,1.77,1.18,0.012,0.43
12,2021-05-21,1.032,1.019,1.038,1.016,154093,15782236.0,2.14,-0.97,-0.01,0.36
13,2021-05-24,1.019,1.012,1.019,0.984,224402,22357252.0,3.43,-0.69,-0.007,0.53
14,2021-05-25,1.008,1.032,1.033,1.008,177917,18260450.0,2.47,1.98,0.02,0.42
15,2021-05-26,1.033,1.036,1.038,1.02,155402,16022093.0,1.74,0.39,0.004,0.37
16,2021-05-27,1.032,1.051,1.052,1.026,193209,20137394.0,2.51,1.45,0.015,0.46
17,2021-05-28,1.057,1.037,1.057,1.031,200858,21037815.0,2.47,-1.33,-0.014,0.47
18,2021-05-31,1.037,1.043,1.043,1.028,102092,10604924.0,1.45,0.58,0.006,0.24
19,2021-06-01,1.046,1.05,1.051,1.031,140564,14677771.0,1.92,0.67,0.007,0.33
20,2021-06-02,1.048,1.021,1.048,1.019,358164,36772813.0,2.76,-2.76,-0.029,0.85
21,2021-06-03,1.021,1.008,1.022,1.0,193937,19605314.0,2.15,-1.27,-0.013,0.46
22,2021-06-04,1.007,1.018,1.023,1.003,137192,13936461.0,1.98,0.99,0.01,0.32
23,2021-06-07,1.02,1.018,1.02,1.005,68788,6980791.0,1.47,0.0,0.0,0.16
24,2021-06-08,1.019,1.012,1.029,1.005,221730,22507946.0,2.36,-0.59,-0.006,0.52
25,2021-06-09,1.012,1.008,1.013,1.002,127345,12817291.0,1.09,-0.4,-0.004,0.3
26,2021-06-10,1.009,1.008,1.013,1.005,154815,15609204.0,0.79,0.0,0.0,0.37
27,2021-06-11,1.01,0.998,1.01,0.992,158893,15878323.0,1.79,-0.99,-0.01,0.38
28,2021-06-15,0.999,0.988,1.004,0.984,135820,13443819.0,2.0,-1.0,-0.01,0.32
29,2021-06-16,0.988,0.958,0.99,0.956,253595,24548296.0,3.44,-3.04,-0.03,0.6
30,2021-06-17,0.958,0.969,0.972,0.954,170872,16470717.0,1.88,1.15,0.011,0.4
31,2021-06-18,0.977,0.991,0.994,0.972,259397,25562854.0,2.27,2.27,0.022,0.61
32,2021-06-21,0.984,1.009,1.014,0.982,235101,23610729.0,3.23,1.82,0.018,0.56
33,2021-06-22,1.009,1.03,1.032,1.005,245752,25086038.0,2.68,2.08,0.021,0.58
34,2021-06-23,1.032,1.021,1.032,1.017,173361,17741489.0,1.46,-0.87,-0.009,0.41
35,2021-06-24,1.02,1.008,1.021,0.998,159173,16036094.0,2.25,-1.27,-0.013,0.38
36,2021-06-25,1.008,1.038,1.04,1.008,277788,28574494.0,3.17,2.98,0.03,0.66
37,2021-06-28,1.048,1.063,1.065,1.043,234258,24755550.0,2.12,2.41,0.025,0.55
38,2021-06-29,1.068,1.06,1.068,1.051,159773,16907552.0,1.6,-0.28,-0.003,0.38
39,2021-06-30,1.061,1.064,1.067,1.056,109079,11589874.0,1.04,0.38,0.004,0.26
40,2021-07-01,1.059,1.077,1.094,1.059,157426,16998897.0,3.29,1.22,0.013,0.37
41,2021-07-02,1.065,1.034,1.065,1.03,235777,24539041.0,3.25,-3.99,-0.043,0.56
42,2021-07-05,1.025,1.048,1.06,1.025,187373,19588736.0,3.38,1.35,0.014,0.44
43,2021-07-06,1.049,1.009,1.049,0.985,414055,41727815.0,6.11,-3.72,-0.039,0.98
44,2021-07-07,1.0,1.04,1.045,0.996,288249,29630708.0,4.86,3.07,0.031,0.68
45,2021-07-08,1.035,1.024,1.045,1.019,230691,23714062.0,2.5,-1.54,-0.016,0.54
46,2021-07-09,1.024,1.015,1.024,0.992,205908,20648589.0,3.13,-0.88,-0.009,0.49
47,2021-07-12,1.02,1.028,1.036,1.006,170181,17470218.0,2.96,1.28,0.013,0.4
48,2021-07-13,1.028,1.031,1.042,1.022,170621,17613133.0,1.95,0.29,0.003,0.4
49,2021-07-14,1.027,1.041,1.05,1.016,223810,23282189.0,3.3,0.97,0.01,0.53
50,2021-07-15,1.04,1.04,1.042,1.025,188657,19475960.0,1.63,-0.1,-0.001,0.45
51,2021-07-16,1.035,1.015,1.035,1.011,205648,20920548.0,2.31,-2.4,-0.025,0.49
52,2021-07-19,1.01,1.021,1.028,1.007,167166,17031572.0,2.07,0.59,0.006,0.39
53,2021-07-20,1.022,1.022,1.034,1.018,125293,12837176.0,1.57,0.1,0.001,0.3
54,2021-07-21,1.026,1.029,1.032,1.017,183958,18881247.0,1.47,0.68,0.007,0.43
55,2021-07-22,1.029,1.008,1.031,1.004,264000,26686493.0,2.62,-2.04,-0.021,0.62
56,2021-07-23,1.008,0.974,1.015,0.966,532243,52103267.0,4.86,-3.37,-0.034,1.26
57,2021-07-26,0.968,0.92,0.97,0.9,510701,47536589.0,7.19,-5.54,-0.054,1.21
58,2021-07-27,0.919,0.895,0.931,0.895,260213,23782752.0,3.91,-2.72,-0.025,0.61
59,2021-07-28,0.895,0.922,0.924,0.885,377295,34382942.0,4.36,3.02,0.027,0.89
60,2021-07-29,0.933,0.938,0.952,0.927,284629,26740765.0,2.71,1.74,0.016,0.67
61,2021-07-30,0.931,0.931,0.933,0.905,200098,18390841.0,2.99,-0.75,-0.007,0.47
62,2021-08-02,0.932,0.941,0.945,0.904,279373,25847658.0,4.4,1.07,0.01,0.66
63,2021-08-03,0.937,0.98,0.985,0.932,439922,42470998.0,5.63,4.14,0.039,1.04
64,2021-08-04,0.98,0.964,0.98,0.947,378750,36218307.0,3.37,-1.63,-0.016,0.89
65,2021-08-05,0.964,0.95,0.964,0.945,242643,23085269.0,1.97,-1.45,-0.014,0.57
66,2021-08-06,0.945,0.927,0.946,0.918,295954,27445915.0,2.95,-2.42,-0.023,0.7
67,2021-08-09,0.922,0.934,0.94,0.917,151043,14069113.0,2.48,0.76,0.007,0.36
68,2021-08-10,0.939,0.95,0.952,0.923,268048,25156141.0,3.1,1.71,0.016,0.63
69,2021-08-11,0.951,0.929,0.951,0.927,201189,18803364.0,2.53,-2.21,-0.021,0.48
70,2021-08-12,0.925,0.918,0.938,0.917,273789,25280702.0,2.26,-1.18,-0.011,0.65
71,2021-08-13,0.918,0.915,0.929,0.909,204087,18739738.0,2.18,-0.33,-0.003,0.48
72,2021-08-16,0.915,0.925,0.932,0.911,206938,19139534.0,2.3,1.09,0.01,0.49
73,2021-08-17,0.926,0.897,0.926,0.892,323869,29334765.0,3.68,-3.03,-0.028,0.76
74,2021-08-18,0.89,0.895,0.906,0.89,202883,18224240.0,1.78,-0.22,-0.002,0.48
75,2021-08-19,0.898,0.897,0.909,0.893,189464,17033564.0,1.79,0.22,0.002,0.45
76,2021-08-20,0.89,0.832,0.894,0.826,825548,69834465.0,7.58,-7.25,-0.065,1.95
77,2021-08-23,0.831,0.843,0.85,0.826,344055,28896158.0,2.88,1.32,0.011,0.81
78,2021-08-24,0.843,0.855,0.858,0.839,261282,22242955.0,2.25,1.42,0.012,0.62
79,2021-08-25,0.857,0.869,0.873,0.849,263823,22781946.0,2.81,1.64,0.014,0.62
80,2021-08-26,0.869,0.844,0.873,0.84,313291,26582367.0,3.8,-2.88,-0.025,0.74
81,2021-08-27,0.843,0.837,0.853,0.834,232240,19581826.0,2.25,-0.83,-0.007,0.55
82,2021-08-30,0.831,0.826,0.837,0.819,223712,18471828.0,2.15,-1.31,-0.011,0.53
83,2021-08-31,0.821,0.821,0.83,0.814,266586,21836169.0,1.94,-0.61,-0.005,0.63
