,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-04-14,0.977,1.009,1.01,0.977,1019585,102332377.0,0.0,0.0,0.0,16.59
1,2021-04-15,1.004,1.009,1.011,0.996,288910,29071381.0,1.49,0.0,0.0,4.7
2,2021-04-16,1.01,1.002,1.013,0.986,193952,19347962.0,2.68,-0.69,-0.007,3.16
3,2021-04-19,0.998,1.049,1.051,0.998,809521,83294739.0,5.29,4.69,0.047,13.17
4,2021-04-20,1.045,1.049,1.062,1.027,657399,69169305.0,3.34,0.0,0.0,10.7
5,2021-04-21,1.048,1.047,1.054,1.035,321232,33571748.0,1.81,-0.19,-0.002,5.23
6,2021-04-22,1.047,1.055,1.062,1.041,198218,20872272.0,2.01,0.76,0.008,3.23
7,2021-04-23,1.055,1.072,1.076,1.051,201681,21515987.0,2.37,1.61,0.017,3.28
8,2021-04-26,1.074,1.05,1.088,1.048,242733,25953173.0,3.73,-2.05,-0.022,3.95
9,2021-04-27,1.041,1.042,1.052,1.029,146321,15224209.0,2.19,-0.76,-0.008,2.38
10,2021-04-28,1.043,1.067,1.073,1.042,168997,17910569.0,2.98,2.4,0.025,2.75
11,2021-04-29,1.067,1.072,1.075,1.058,111170,11870914.0,1.59,0.47,0.005,1.81
12,2021-04-30,1.063,1.096,1.105,1.063,207149,22609705.0,3.92,2.24,0.024,3.37
13,2021-05-06,1.097,1.087,1.118,1.072,163615,17802188.0,4.2,-0.82,-0.009,2.66
14,2021-05-07,1.097,1.068,1.1,1.063,207050,22361685.0,3.4,-1.75,-0.019,3.37
15,2021-05-10,1.065,1.072,1.08,1.05,112491,12012391.0,2.81,0.37,0.004,1.83
16,2021-05-11,1.073,1.063,1.073,1.042,140823,14814524.0,2.89,-0.84,-0.009,2.29
17,2021-05-12,1.062,1.061,1.069,1.051,79428,8416624.0,1.69,-0.19,-0.002,1.29
18,2021-05-13,1.056,1.043,1.056,1.039,115408,12047193.0,1.6,-1.7,-0.018,1.88
19,2021-05-14,1.043,1.061,1.063,1.031,160099,16801939.0,3.07,1.73,0.018,2.61
20,2021-05-17,1.061,1.093,1.097,1.057,229475,24919123.0,3.77,3.02,0.032,3.73
21,2021-05-18,1.097,1.089,1.102,1.084,120001,13069488.0,1.65,-0.37,-0.004,1.95
22,2021-05-19,1.094,1.109,1.115,1.08,135646,14999786.0,3.21,1.84,0.02,2.21
23,2021-05-20,1.11,1.104,1.119,1.096,68797,7604341.0,2.07,-0.45,-0.005,1.12
24,2021-05-21,1.105,1.107,1.126,1.095,120759,13389602.0,2.81,0.27,0.003,1.97
25,2021-05-24,1.107,1.109,1.113,1.094,103361,11421793.0,1.72,0.18,0.002,1.68
26,2021-05-25,1.11,1.126,1.126,1.098,97629,10904672.0,2.52,1.53,0.017,1.59
27,2021-05-26,1.126,1.109,1.126,1.109,125520,13967749.0,1.51,-1.51,-0.017,2.04
28,2021-05-27,1.109,1.116,1.121,1.106,70362,7844762.0,1.35,0.63,0.007,1.15
29,2021-05-28,1.118,1.147,1.168,1.118,204622,23519843.0,4.48,2.78,0.031,3.33
30,2021-05-31,1.169,1.193,1.197,1.149,141338,16700423.0,4.18,4.01,0.046,2.3
31,2021-06-01,1.193,1.184,1.193,1.165,168960,19895524.0,2.35,-0.75,-0.009,2.75
32,2021-06-02,1.185,1.179,1.204,1.17,106501,12593985.0,2.87,-0.42,-0.005,1.73
33,2021-06-03,1.176,1.158,1.176,1.151,134917,15692361.0,2.12,-1.78,-0.021,2.2
34,2021-06-04,1.144,1.177,1.193,1.144,151489,17822652.0,4.23,1.64,0.019,2.47
35,2021-06-07,1.178,1.152,1.181,1.141,211160,24347177.0,3.4,-2.12,-0.025,3.44
36,2021-06-08,1.152,1.15,1.177,1.141,149501,17305696.0,3.13,-0.17,-0.002,2.43
37,2021-06-09,1.149,1.157,1.159,1.144,82239,9490210.0,1.3,0.61,0.007,1.34
38,2021-06-10,1.158,1.203,1.208,1.158,249746,29773202.0,4.32,3.98,0.046,4.06
39,2021-06-11,1.203,1.227,1.241,1.2,229926,28103671.0,3.41,2.0,0.024,3.74
40,2021-06-15,1.231,1.212,1.245,1.202,135489,16467385.0,3.5,-1.22,-0.015,2.2
41,2021-06-16,1.212,1.162,1.217,1.158,219501,25807354.0,4.87,-4.13,-0.05,3.57
42,2021-06-17,1.154,1.185,1.185,1.154,96169,11337230.0,2.67,1.98,0.023,1.57
43,2021-06-18,1.185,1.217,1.225,1.178,158300,19125481.0,3.97,2.7,0.032,2.58
44,2021-06-21,1.217,1.232,1.237,1.2,166016,20323059.0,3.04,1.23,0.015,2.7
45,2021-06-22,1.232,1.234,1.24,1.214,122513,15052764.0,2.11,0.16,0.002,1.99
46,2021-06-23,1.24,1.264,1.273,1.24,149648,18878172.0,2.67,2.43,0.03,2.44
47,2021-06-24,1.268,1.278,1.287,1.256,124671,15877954.0,2.45,1.11,0.014,2.03
48,2021-06-25,1.286,1.294,1.299,1.28,150547,19402416.0,1.49,1.25,0.016,2.45
49,2021-06-28,1.293,1.319,1.335,1.29,248329,32797388.0,3.48,1.93,0.025,4.04
50,2021-06-29,1.322,1.34,1.353,1.322,190687,25540483.0,2.35,1.59,0.021,3.1
51,2021-06-30,1.341,1.364,1.364,1.32,198495,26755481.0,3.28,1.79,0.024,3.23
52,2021-07-01,1.373,1.337,1.388,1.327,255118,34300408.0,4.47,-1.98,-0.027,4.15
53,2021-07-02,1.336,1.314,1.34,1.305,174183,23018487.0,2.62,-1.72,-0.023,2.83
54,2021-07-05,1.316,1.329,1.338,1.306,225718,29794883.0,2.44,1.14,0.015,3.67
55,2021-07-06,1.334,1.318,1.353,1.295,235899,31235506.0,4.36,-0.83,-0.011,3.84
56,2021-07-07,1.315,1.391,1.393,1.28,415960,56410310.0,8.57,5.54,0.073,6.77
57,2021-07-08,1.401,1.42,1.435,1.401,313556,44543182.0,2.44,2.08,0.029,5.1
