,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-04-02,1.009,1.012,1.021,1.008,1129832,114582848.0,0.0,0.0,0.0,106.0
1,2021-04-06,1.012,1.024,1.027,1.012,340328,34727105.0,1.48,1.19,0.012,31.93
2,2021-04-07,1.024,1.016,1.024,1.009,119692,12145411.0,1.46,-0.78,-0.008,11.23
3,2021-04-08,1.016,1.014,1.021,1.01,152644,15528135.0,1.08,-0.2,-0.002,14.32
4,2021-04-09,1.014,1.006,1.015,1.002,103666,10426401.0,1.28,-0.79,-0.008,9.73
5,2021-04-12,1.006,0.99,1.008,0.987,132031,13142765.0,2.09,-1.59,-0.016,12.39
6,2021-04-13,0.992,0.99,0.999,0.986,96919,9640997.0,1.31,0.0,0.0,9.09
7,2021-04-14,0.988,1.0,1.002,0.988,149994,14910449.0,1.41,1.01,0.01,14.07
8,2021-04-15,0.999,1.002,1.004,0.994,128861,12864750.0,1.0,0.2,0.002,12.09
9,2021-04-16,1.002,1.005,1.007,0.999,56921,5705588.0,0.8,0.3,0.003,5.34
10,2021-04-19,1.004,1.029,1.031,1.004,178826,18319602.0,2.69,2.39,0.024,16.78
11,2021-04-20,1.029,1.024,1.032,1.024,106350,10938399.0,0.78,-0.49,-0.005,9.98
12,2021-04-21,1.024,1.017,1.024,1.015,37755,3846231.0,0.88,-0.68,-0.007,3.54
13,2021-04-22,1.019,1.022,1.025,1.017,73737,7524619.0,0.79,0.49,0.005,6.92
14,2021-04-23,1.019,1.015,1.022,1.013,53945,5486691.0,0.88,-0.68,-0.007,5.06
15,2021-04-26,1.015,1.002,1.023,1.002,60973,6178305.0,2.07,-1.28,-0.013,5.72
16,2021-04-27,1.0,1.001,1.006,0.995,68958,6900266.0,1.1,-0.1,-0.001,6.47
17,2021-04-28,0.995,0.998,0.998,0.989,61334,6093818.0,0.9,-0.3,-0.003,5.75
18,2021-04-29,0.998,0.998,1.002,0.993,106165,10598470.0,0.9,0.0,0.0,9.96
19,2021-04-30,0.997,0.981,0.997,0.977,69787,6877904.0,2.0,-1.7,-0.017,6.55
20,2021-05-06,0.983,0.967,0.987,0.967,68856,6707658.0,2.04,-1.43,-0.014,6.46
21,2021-05-07,0.969,0.954,0.969,0.953,42737,4112122.0,1.65,-1.34,-0.013,4.01
22,2021-05-10,0.954,0.945,0.954,0.941,48744,4619794.0,1.36,-0.94,-0.009,4.57
23,2021-05-11,0.94,0.956,0.956,0.94,54637,5174874.0,1.69,1.16,0.011,5.13
24,2021-05-12,0.956,0.963,0.964,0.95,81274,7784210.0,1.46,0.73,0.007,7.62
25,2021-05-13,0.957,0.957,0.963,0.95,74007,7088927.0,1.35,-0.62,-0.006,6.94
26,2021-05-14,0.958,0.975,0.976,0.957,99523,9618198.0,1.99,1.88,0.018,9.34
27,2021-05-17,0.975,0.993,1.004,0.97,115724,11520396.0,3.49,1.85,0.018,10.86
28,2021-05-18,0.993,0.997,0.998,0.985,63440,6295110.0,1.31,0.4,0.004,5.95
29,2021-05-19,0.995,0.991,0.999,0.957,56605,5616219.0,4.21,-0.6,-0.006,5.31
30,2021-05-20,0.995,0.999,1.002,0.993,58316,5820287.0,0.91,0.81,0.008,5.47
31,2021-05-21,0.999,0.987,1.003,0.985,66198,6568552.0,1.8,-1.2,-0.012,6.21
32,2021-05-24,0.987,1.016,1.016,0.985,137333,13756130.0,3.14,2.94,0.029,12.88
33,2021-05-25,1.016,1.046,1.049,1.014,186022,19273032.0,3.44,2.95,0.03,17.45
34,2021-05-26,1.052,1.04,1.062,1.04,80703,8491326.0,2.1,-0.57,-0.006,7.57
35,2021-05-27,1.041,1.048,1.054,1.038,157590,16502960.0,1.54,0.77,0.008,14.78
36,2021-05-28,1.041,1.048,1.052,1.041,60115,6298455.0,1.05,0.0,0.0,5.64
37,2021-05-31,1.048,1.054,1.058,1.048,79598,8392803.0,0.95,0.57,0.006,7.47
38,2021-06-01,1.054,1.054,1.061,1.05,107567,11361744.0,1.04,0.0,0.0,10.09
