,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2012-10-22,0.98,0.996,1.0,0.979,5197013,516499616.0,0.0,0.0,0.0,3.31
1,2012-10-23,0.996,0.99,0.996,0.988,1148265,113765265.0,0.8,-0.6,-0.006,0.73
2,2012-10-24,0.982,0.998,1.001,0.982,2227113,222184504.0,1.92,0.81,0.008,1.42
3,2012-10-25,0.998,1.002,1.005,0.998,792816,79425132.0,0.7,0.4,0.004,0.51
4,2012-10-26,1.004,0.998,1.004,0.996,602059,60208167.0,0.8,-0.4,-0.004,0.38
5,2012-10-29,0.997,0.995,0.997,0.992,1086581,108055837.0,0.5,-0.3,-0.003,0.69
6,2012-10-30,0.996,0.994,0.997,0.99,1370812,136228385.0,0.7,-0.1,-0.001,0.87
7,2012-10-31,0.995,0.999,1.0,0.995,630452,62889743.0,0.5,0.5,0.005,0.4
8,2012-11-01,0.998,1.002,1.003,0.995,366606,36687285.0,0.8,0.3,0.003,0.23
9,2012-11-02,1.007,1.013,1.014,1.007,730912,73891361.0,0.7,1.1,0.011,0.47
10,2012-11-05,1.009,1.01,1.012,1.007,352924,35651680.0,0.49,-0.3,-0.003,0.22
11,2012-11-06,1.01,1.006,1.01,1.003,187381,18838154.0,0.69,-0.4,-0.004,0.12
12,2012-11-07,1.006,1.006,1.009,1.0,288681,28983549.0,0.89,0.0,0.0,0.18
13,2012-11-08,0.998,0.992,1.0,0.992,157358,15684778.0,0.8,-1.39,-0.014,0.1
14,2012-11-09,0.989,0.982,0.989,0.981,74827,7351947.0,0.81,-1.01,-0.01,0.05
15,2012-11-12,0.975,0.978,0.98,0.975,73058,7138651.0,0.51,-0.41,-0.004,0.05
16,2012-11-13,0.977,0.969,0.977,0.967,121762,11810582.0,1.02,-0.92,-0.009,0.08
17,2012-11-14,0.968,0.975,0.976,0.968,104656,10174708.0,0.83,0.62,0.006,0.07
18,2012-11-15,0.97,0.966,0.972,0.965,38009,3682264.0,0.72,-0.92,-0.009,0.02
19,2012-11-16,0.964,0.968,0.97,0.964,89043,8613014.0,0.62,0.21,0.002,0.06
20,2012-11-19,0.969,0.97,0.974,0.967,104245,10118394.0,0.72,0.21,0.002,0.07
21,2012-11-20,0.977,0.975,0.98,0.975,121403,11885109.0,0.52,0.52,0.005,0.08
22,2012-11-21,0.972,0.977,0.978,0.967,109142,10631461.0,1.13,0.21,0.002,0.07
23,2012-11-22,0.98,0.988,0.989,0.98,118096,11649371.0,0.92,1.13,0.011,0.08
24,2012-11-23,0.989,0.995,0.995,0.989,66306,6586211.0,0.61,0.71,0.007,0.04
25,2012-11-26,0.997,0.994,1.001,0.993,61983,6180353.0,0.8,-0.1,-0.001,0.04
26,2012-11-27,0.994,0.995,1.0,0.994,72531,7229716.0,0.6,0.1,0.001,0.05
27,2012-11-28,0.993,0.989,1.001,0.981,187350,18528034.0,2.01,-0.6,-0.006,0.12
28,2012-11-29,0.991,0.996,1.0,0.991,175388,17499285.0,0.91,0.71,0.007,0.11
29,2012-11-30,0.997,1.0,1.001,0.997,92223,9212979.0,0.4,0.4,0.004,0.06
30,2012-12-03,1.001,0.994,1.004,0.993,71032,7104393.0,1.1,-0.6,-0.006,0.05
31,2012-12-04,0.979,0.99,0.991,0.976,53425,5266309.0,1.51,-0.4,-0.004,0.03
32,2012-12-05,0.988,1.002,1.003,0.985,141118,14100572.0,1.82,1.21,0.012,0.09
33,2012-12-06,1.004,1.01,1.011,1.0,254232,25612450.0,1.1,0.8,0.008,0.16
34,2012-12-07,1.009,1.008,1.012,1.005,150445,15177237.0,0.69,-0.2,-0.002,0.1
35,2012-12-10,1.007,1.005,1.012,1.003,117844,11890192.0,0.89,-0.3,-0.003,0.08
36,2012-12-11,1.006,1.006,1.007,1.001,66610,6692452.0,0.6,0.1,0.001,0.04
37,2012-12-12,1.007,1.017,1.017,1.006,183185,18565109.0,1.09,1.09,0.011,0.12
38,2012-12-13,1.015,1.013,1.021,1.01,100554,10210688.0,1.08,-0.39,-0.004,0.06
39,2012-12-14,1.014,1.017,1.02,1.008,187259,19014744.0,1.18,0.39,0.004,0.12
40,2012-12-17,1.015,1.01,1.016,1.006,133890,13546357.0,0.98,-0.69,-0.007,0.09
41,2012-12-18,1.01,1.012,1.016,1.008,151957,15388985.0,0.79,0.2,0.002,0.1
42,2012-12-19,1.012,1.017,1.023,1.01,201082,20479969.0,1.28,0.49,0.005,0.13
43,2012-12-20,1.017,1.014,1.017,1.012,44060,4469633.0,0.49,-0.29,-0.003,0.03
44,2012-12-21,1.012,1.01,1.014,1.008,83217,8407626.0,0.59,-0.39,-0.004,0.05
45,2012-12-24,1.008,1.008,1.011,1.007,23227,2346967.0,0.4,-0.2,-0.002,0.01
46,2012-12-25,1.008,1.013,1.014,1.006,37836,3823739.0,0.79,0.5,0.005,0.02
47,2012-12-26,1.009,1.014,1.015,1.009,32499,3285409.0,0.59,0.1,0.001,0.02
48,2012-12-27,1.014,1.014,1.019,1.012,83647,8496816.0,0.69,0.0,0.0,0.05
49,2012-12-28,1.012,1.01,1.014,1.006,72489,7314627.0,0.79,-0.39,-0.004,0.05
50,2012-12-31,1.006,1.02,1.021,1.003,111064,11229995.0,1.78,0.99,0.01,0.07
51,2013-01-04,1.037,1.033,1.042,1.022,103475,10669065.0,1.96,1.27,0.013,0.07
52,2013-01-07,1.026,1.039,1.041,1.026,59981,6219703.0,1.45,0.58,0.006,0.04
53,2013-01-08,1.035,1.03,1.039,1.026,57634,5937017.0,1.25,-0.87,-0.009,0.04
54,2013-01-09,1.03,1.032,1.036,1.03,24449,2525101.0,0.58,0.19,0.002,0.02
55,2013-01-10,1.031,1.04,1.042,1.031,61847,6427189.0,1.07,0.78,0.008,0.04
56,2013-01-11,1.043,1.039,1.052,1.039,81530,8520754.0,1.25,-0.1,-0.001,0.05
57,2013-01-14,1.039,1.05,1.051,1.034,47265,4956434.0,1.64,1.06,0.011,0.03
58,2013-01-15,1.053,1.046,1.053,1.044,57429,6021173.0,0.86,-0.38,-0.004,0.04
59,2013-01-16,1.045,1.044,1.049,1.04,37541,3918458.0,0.86,-0.19,-0.002,0.02
60,2013-01-17,1.045,1.047,1.053,1.042,26863,2815167.0,1.05,0.29,0.003,0.02
61,2013-01-18,1.049,1.056,1.06,1.048,73231,7734733.0,1.15,0.86,0.009,0.05
62,2013-01-21,1.056,1.057,1.059,1.056,45234,4784988.0,0.28,0.09,0.001,0.03
63,2013-01-22,1.057,1.059,1.06,1.055,35595,3763573.0,0.47,0.19,0.002,0.02
64,2013-01-23,1.058,1.059,1.062,1.054,54823,5799534.0,0.76,0.0,0.0,0.03
65,2013-01-24,1.059,1.057,1.061,1.044,45803,4848464.0,1.61,-0.19,-0.002,0.03
66,2013-01-25,1.057,1.054,1.059,1.053,24034,2536408.0,0.57,-0.28,-0.003,0.02
67,2013-01-28,1.054,1.062,1.063,1.054,51971,5516431.0,0.85,0.76,0.008,0.03
68,2013-01-29,1.057,1.061,1.063,1.057,65475,6943153.0,0.56,-0.09,-0.001,0.04
69,2013-01-30,1.061,1.067,1.071,1.061,75318,8044868.0,0.94,0.57,0.006,0.05
70,2013-01-31,1.066,1.062,1.066,1.059,91243,9681090.0,0.66,-0.47,-0.005,0.06
71,2013-02-01,1.062,1.062,1.064,1.057,48067,5096267.0,0.66,0.0,0.0,0.03
72,2013-02-04,1.063,1.067,1.072,1.063,165344,17658472.0,0.85,0.47,0.005,0.11
73,2013-02-05,1.063,1.044,1.063,1.042,123898,12944397.0,1.97,-2.16,-0.023,0.08
74,2013-02-06,1.049,1.046,1.054,1.043,55855,5845160.0,1.05,0.19,0.002,0.04
75,2013-02-07,1.044,1.041,1.046,1.038,56052,5833040.0,0.76,-0.48,-0.005,0.04
76,2013-02-08,1.04,1.043,1.045,1.034,25250,2625001.0,1.06,0.19,0.002,0.02
77,2013-02-18,1.045,1.051,1.054,1.045,49348,5182614.0,0.86,0.77,0.008,0.03
78,2013-02-19,1.051,1.042,1.054,1.041,31523,3301368.0,1.24,-0.86,-0.009,0.02
79,2013-02-20,1.047,1.044,1.048,1.04,45881,4782592.0,0.77,0.19,0.002,0.03
80,2013-02-21,1.04,1.028,1.04,1.026,35326,3638615.0,1.34,-1.53,-0.016,0.02
81,2013-02-22,1.025,1.025,1.027,1.02,44155,4520707.0,0.68,-0.29,-0.003,0.03
82,2013-02-25,1.029,1.024,1.031,1.024,43964,4516741.0,0.68,-0.1,-0.001,0.03
83,2013-02-26,1.024,1.015,1.024,1.015,33239,3383258.0,0.88,-0.88,-0.009,0.02
84,2013-02-27,1.016,1.011,1.02,1.007,47719,4830787.0,1.28,-0.39,-0.004,0.03
85,2013-02-28,1.019,1.029,1.029,1.019,87951,9008412.0,0.99,1.78,0.018,0.06
86,2013-03-01,1.027,1.03,1.031,1.027,29762,3062456.0,0.39,0.1,0.001,0.02
87,2013-03-04,1.028,1.01,1.028,1.009,39202,3975730.0,1.84,-1.94,-0.02,0.02
88,2013-03-05,1.008,1.014,1.016,1.007,43844,4443302.0,0.89,0.4,0.004,0.03
89,2013-03-06,1.022,1.021,1.024,1.016,38404,3917830.0,0.79,0.69,0.007,0.02
90,2013-03-07,1.018,1.019,1.025,1.015,29463,3003417.0,0.98,-0.2,-0.002,0.02
91,2013-03-08,1.018,1.038,1.039,1.018,108024,11150571.0,2.06,1.86,0.019,0.07
92,2013-03-11,1.04,1.038,1.043,1.035,41547,4316605.0,0.77,0.0,0.0,0.03
93,2013-03-12,1.039,1.032,1.042,1.028,37684,3901074.0,1.35,-0.58,-0.006,0.02
94,2013-03-13,1.028,1.017,1.028,1.017,33035,3372223.0,1.07,-1.45,-0.015,0.02
95,2013-03-14,1.016,1.008,1.016,1.001,36744,3693863.0,1.47,-0.88,-0.009,0.02
96,2013-03-15,1.012,1.015,1.021,1.011,63017,6414188.0,0.99,0.69,0.007,0.04
97,2013-03-18,1.011,0.988,1.011,0.987,57710,5716859.0,2.36,-2.66,-0.027,0.04
98,2013-03-19,0.993,0.993,0.995,0.989,21616,2145004.0,0.61,0.51,0.005,0.01
99,2013-03-20,0.993,0.999,1.0,0.987,34646,3453806.0,1.31,0.6,0.006,0.02
100,2013-03-21,1.001,1.0,1.005,0.997,45771,4587012.0,0.8,0.1,0.001,0.03
101,2013-03-22,1.0,0.994,1.0,0.99,40949,4069512.0,1.0,-0.6,-0.006,0.03
102,2013-03-25,0.996,0.999,1.003,0.996,33218,3318968.0,0.7,0.5,0.005,0.02
103,2013-03-26,0.998,0.997,0.999,0.992,22032,2191692.0,0.7,-0.2,-0.002,0.01
104,2013-03-27,0.999,1.008,1.01,0.999,32567,3280552.0,1.1,1.1,0.011,0.02
105,2013-03-28,1.001,0.998,1.001,0.995,21847,2178292.0,0.6,-0.99,-0.01,0.01
106,2013-03-29,1.0,1.0,1.0,0.995,3336,332690.0,0.5,0.2,0.002,0.0
107,2013-04-01,1.0,1.0,1.0,0.996,2896,289012.0,0.4,0.0,0.0,0.0
108,2013-04-02,1.0,1.0,1.005,0.993,19548,1952241.0,1.2,0.0,0.0,0.01
109,2013-04-03,1.0,1.003,1.005,0.999,5992,599650.0,0.6,0.3,0.003,0.0
110,2013-04-08,0.99,0.979,0.99,0.97,45595,4443927.0,1.99,-2.39,-0.024,0.03
111,2013-04-09,0.981,0.983,0.987,0.977,37306,3665471.0,1.02,0.41,0.004,0.02
112,2013-04-10,0.987,0.983,0.989,0.98,13351,1311721.0,0.92,0.0,0.0,0.01
113,2013-04-11,0.99,0.992,0.996,0.99,31209,3100969.0,0.61,0.92,0.009,0.02
114,2013-04-12,0.992,0.988,0.992,0.987,6325,626070.0,0.5,-0.4,-0.004,0.0
115,2013-04-15,0.988,0.976,0.988,0.973,13251,1292243.0,1.52,-1.21,-0.012,0.01
116,2013-04-16,0.965,0.974,0.976,0.962,20369,1971031.0,1.43,-0.2,-0.002,0.01
