,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2013-09-16,0.969,0.967,0.977,0.95,508466,49077557.0,0.0,0.0,0.0,40.39
1,2013-09-17,0.96,0.95,0.97,0.95,156473,15021728.0,2.07,-1.76,-0.017,12.43
2,2013-09-18,0.94,0.949,0.953,0.939,172485,16323002.0,1.47,-0.11,-0.001,13.7
3,2013-09-23,0.952,0.964,0.964,0.95,173902,16651357.0,1.48,1.58,0.015,13.81
4,2013-09-24,0.958,0.952,0.96,0.946,191595,18205717.0,1.45,-1.24,-0.012,15.22
5,2013-09-25,0.952,0.939,0.954,0.902,176423,16750585.0,5.46,-1.37,-0.013,14.01
6,2013-09-26,0.939,0.938,0.94,0.926,214432,20012402.0,1.49,-0.11,-0.001,17.03
7,2013-09-27,0.933,0.937,0.945,0.93,52183,4899980.0,1.6,-0.11,-0.001,4.14
8,2013-09-30,0.938,0.936,0.941,0.933,34095,3190767.0,0.85,-0.11,-0.001,2.71
9,2013-10-08,0.933,0.95,0.95,0.926,81349,7640038.0,2.56,1.5,0.014,6.46
10,2013-10-09,0.955,0.956,0.956,0.942,61314,5837376.0,1.47,0.63,0.006,4.87
11,2013-10-10,0.95,0.949,0.958,0.943,114953,10968135.0,1.57,-0.73,-0.007,9.13
12,2013-10-11,0.941,0.97,0.97,0.941,156958,15108367.0,3.06,2.21,0.021,12.47
13,2013-10-14,0.97,0.976,0.984,0.97,135921,13265510.0,1.44,0.62,0.006,10.8
14,2013-10-15,0.971,0.967,0.977,0.967,39211,3809104.0,1.02,-0.92,-0.009,3.11
15,2013-10-16,0.961,0.955,0.968,0.951,110956,10638564.0,1.76,-1.24,-0.012,8.81
16,2013-10-17,0.956,0.965,0.982,0.956,214587,20773318.0,2.72,1.05,0.01,17.04
17,2013-10-18,0.962,0.96,0.969,0.954,194570,18753163.0,1.55,-0.52,-0.005,15.45
18,2013-10-21,0.963,0.978,0.98,0.957,147307,14327379.0,2.4,1.88,0.018,11.7
19,2013-10-22,0.978,0.98,0.988,0.972,79315,7772345.0,1.64,0.2,0.002,6.3
20,2013-10-23,0.981,0.972,0.989,0.964,68805,6733908.0,2.55,-0.82,-0.008,5.47
21,2013-10-24,0.967,0.949,0.97,0.949,18585,1780754.0,2.16,-2.37,-0.023,1.48
22,2013-10-25,0.959,0.938,0.959,0.934,54617,5159939.0,2.63,-1.16,-0.011,4.34
23,2013-10-28,0.945,0.945,0.954,0.94,23901,2262982.0,1.49,0.75,0.007,1.9
24,2013-10-29,0.945,0.936,0.956,0.924,17638,1654223.0,3.39,-0.95,-0.009,1.4
25,2013-10-30,0.936,0.952,0.955,0.936,12125,1147480.0,2.03,1.71,0.016,0.96
26,2013-10-31,0.945,0.95,0.953,0.944,12553,1192019.0,0.95,-0.21,-0.002,1.0
27,2013-11-01,0.949,0.944,0.95,0.941,11967,1131784.0,0.95,-0.63,-0.006,0.95
28,2013-11-04,0.948,0.952,0.954,0.948,6102,580891.0,0.64,0.85,0.008,0.48
29,2013-11-05,0.945,0.955,0.956,0.94,15617,1487032.0,1.68,0.32,0.003,1.24
30,2013-11-06,0.955,0.971,0.985,0.952,150312,14519996.0,3.46,1.68,0.016,11.94
31,2013-11-07,0.97,0.966,0.975,0.963,22199,2148623.0,1.24,-0.51,-0.005,1.76
32,2013-11-08,0.968,0.951,0.971,0.948,26156,2506797.0,2.38,-1.55,-0.015,2.08
33,2013-11-11,0.951,0.948,0.953,0.94,14341,1355887.0,1.37,-0.32,-0.003,1.14
34,2013-11-12,0.95,0.954,0.958,0.943,15226,1450517.0,1.58,0.63,0.006,1.21
35,2013-11-13,0.938,0.931,0.945,0.93,3584,335519.0,1.57,-2.41,-0.023,0.28
36,2013-11-14,0.936,0.938,0.939,0.93,15951,1487572.0,0.97,0.75,0.007,1.27
37,2013-11-15,0.931,0.95,0.958,0.919,22348,2122757.0,4.16,1.28,0.012,1.78
38,2013-11-18,0.951,0.968,0.969,0.951,18818,1802675.0,1.89,1.89,0.018,1.49
39,2013-11-19,0.969,0.971,0.981,0.969,28751,2801260.0,1.24,0.31,0.003,2.28
40,2013-11-20,0.973,0.972,0.973,0.966,11334,1097082.0,0.72,0.1,0.001,0.9
41,2013-11-21,0.971,0.982,0.985,0.97,19671,1923953.0,1.54,1.03,0.01,1.56
42,2013-11-22,0.985,0.982,0.992,0.979,36500,3594819.0,1.32,0.0,0.0,2.9
43,2013-11-25,0.97,0.967,0.98,0.967,7095,690860.0,1.32,-1.53,-0.015,0.56
44,2013-11-26,0.967,0.957,0.967,0.954,14770,1413543.0,1.34,-1.03,-0.01,1.17
45,2013-11-27,0.958,0.967,0.97,0.952,31465,3007751.0,1.88,1.04,0.01,2.5
46,2013-11-28,0.975,0.983,0.992,0.975,21755,2139123.0,1.76,1.65,0.016,1.73
47,2013-11-29,0.981,0.973,0.982,0.973,13344,1301791.0,0.92,-1.02,-0.01,1.06
48,2013-12-02,0.962,0.959,0.973,0.95,9385,899935.0,2.36,-1.44,-0.014,0.75
49,2013-12-03,0.961,0.972,0.974,0.958,22143,2145692.0,1.67,1.36,0.013,1.76
50,2013-12-04,0.972,0.978,0.982,0.972,7143,697792.0,1.03,0.62,0.006,0.57
51,2013-12-05,0.978,0.976,0.988,0.975,16294,1599829.0,1.33,-0.2,-0.002,1.29
52,2013-12-06,0.978,0.97,0.979,0.968,4745,462502.0,1.13,-0.61,-0.006,0.38
53,2013-12-09,0.97,0.965,0.97,0.96,1665,160705.0,1.03,-0.52,-0.005,0.13
54,2013-12-10,0.965,0.959,0.966,0.958,4342,417898.0,0.83,-0.62,-0.006,0.34
55,2013-12-11,0.953,0.948,0.955,0.945,3802,360646.0,1.04,-1.15,-0.011,0.3
56,2013-12-12,0.947,0.945,0.951,0.942,8117,768133.0,0.95,-0.32,-0.003,0.64
57,2013-12-13,0.942,0.939,0.944,0.937,6610,621599.0,0.74,-0.63,-0.006,0.53
58,2013-12-16,0.939,0.924,0.939,0.924,8504,791594.0,1.6,-1.6,-0.015,0.68
59,2013-12-17,0.925,0.921,0.925,0.92,5766,530977.0,0.54,-0.32,-0.003,0.46
60,2013-12-18,0.921,0.918,0.924,0.917,9966,917617.0,0.76,-0.33,-0.003,0.79
61,2013-12-19,0.923,0.916,0.928,0.916,9590,885187.0,1.31,-0.22,-0.002,0.76
62,2013-12-20,0.911,0.895,0.918,0.895,17487,1584442.0,2.51,-2.29,-0.021,1.39
63,2013-12-23,0.889,0.895,0.896,0.885,2365,211109.0,1.23,0.0,0.0,0.19
64,2013-12-24,0.898,0.891,0.901,0.888,5855,523458.0,1.45,-0.45,-0.004,0.47
65,2013-12-25,0.891,0.897,0.898,0.89,44565,3976338.0,0.9,0.67,0.006,3.54
66,2013-12-26,0.895,0.877,0.895,0.873,24499,2174231.0,2.45,-2.23,-0.02,1.95
67,2013-12-27,0.88,0.888,0.888,0.88,22829,2017993.0,0.91,1.25,0.011,1.81
68,2013-12-30,0.885,0.882,0.888,0.88,13585,1199661.0,0.9,-0.68,-0.006,1.08
69,2013-12-31,0.88,0.89,0.896,0.879,17509,1559291.0,1.93,0.91,0.008,1.39
70,2014-01-02,0.88,0.875,0.88,0.874,17954,1574688.0,0.67,-1.69,-0.015,1.43
71,2014-01-03,0.874,0.87,0.874,0.831,25976,2250505.0,4.91,-0.57,-0.005,2.06
72,2014-01-06,0.868,0.849,0.868,0.847,16426,1395354.0,2.41,-2.41,-0.021,1.3
73,2014-01-07,0.843,0.848,0.853,0.843,11452,974827.0,1.18,-0.12,-0.001,0.91
74,2014-01-08,0.849,0.84,0.858,0.84,13030,1100614.0,2.12,-0.94,-0.008,1.03
75,2014-01-09,0.848,0.841,0.852,0.841,14405,1220286.0,1.31,0.12,0.001,1.14
76,2014-01-10,0.84,0.836,0.848,0.836,16127,1352483.0,1.43,-0.59,-0.005,1.28
77,2014-01-13,0.836,0.827,0.839,0.824,13433,1116225.0,1.79,-1.08,-0.009,1.07
78,2014-01-14,0.825,0.833,0.84,0.822,14353,1182533.0,2.18,0.73,0.006,1.14
79,2014-01-15,0.832,0.831,0.833,0.828,3570,296183.0,0.6,-0.24,-0.002,0.28
80,2014-01-16,0.831,0.833,0.838,0.828,20600,1713223.0,1.2,0.24,0.002,1.64
81,2014-01-17,0.828,0.82,0.828,0.819,14463,1187369.0,1.08,-1.56,-0.013,1.15
82,2014-01-20,0.813,0.805,0.818,0.805,14244,1152810.0,1.59,-1.83,-0.015,1.13
83,2014-01-21,0.807,0.814,0.819,0.807,10878,887392.0,1.49,1.12,0.009,0.86
84,2014-01-22,0.814,0.832,0.833,0.814,12673,1050191.0,2.33,2.21,0.018,1.01
85,2014-01-23,0.832,0.828,0.833,0.826,2496,207249.0,0.84,-0.48,-0.004,0.2
86,2014-01-24,0.828,0.832,0.838,0.828,2995,250270.0,1.21,0.48,0.004,0.24
87,2014-01-27,0.826,0.825,0.832,0.822,7640,630632.0,1.2,-0.84,-0.007,0.61
88,2014-01-28,0.826,0.821,0.826,0.821,315,25905.0,0.61,-0.48,-0.004,0.03
89,2014-01-29,0.821,0.817,0.821,0.817,2359,192936.0,0.49,-0.49,-0.004,0.19
90,2014-01-30,0.811,0.803,0.811,0.802,4115,331759.0,1.1,-1.71,-0.014,0.33
91,2014-02-07,0.8,0.812,0.812,0.8,4543,366187.0,1.49,1.12,0.009,0.36
92,2014-02-10,0.811,0.826,0.827,0.811,3981,327448.0,1.97,1.72,0.014,0.32
93,2014-02-11,0.826,0.842,0.846,0.824,5874,489482.0,2.66,1.94,0.016,0.47
94,2014-02-12,0.844,0.844,0.845,0.839,12940,1090730.0,0.71,0.24,0.002,1.03
95,2014-02-13,0.841,0.832,0.842,0.832,6729,564830.0,1.18,-1.42,-0.012,0.53
96,2014-02-14,0.836,0.837,0.841,0.833,17199,1436737.0,0.96,0.6,0.005,1.37
97,2014-02-17,0.841,0.846,0.848,0.837,7712,648704.0,1.31,1.08,0.009,0.61
98,2014-02-18,0.846,0.832,0.846,0.83,4955,414094.0,1.89,-1.65,-0.014,0.39
99,2014-02-19,0.83,0.849,0.852,0.825,5725,482608.0,3.25,2.04,0.017,0.45
100,2014-02-20,0.856,0.867,0.883,0.856,15073,1315918.0,3.18,2.12,0.018,1.2
101,2014-02-21,0.852,0.846,0.853,0.842,5472,464308.0,1.27,-2.42,-0.021,0.43
102,2014-02-24,0.846,0.824,0.846,0.818,2655,218832.0,3.31,-2.6,-0.022,0.21
103,2014-02-25,0.823,0.802,0.825,0.799,4964,404808.0,3.16,-2.67,-0.022,0.39
104,2014-02-26,0.798,0.809,0.81,0.798,8790,706694.0,1.5,0.87,0.007,0.7
105,2014-02-27,0.804,0.813,0.825,0.804,17113,1393649.0,2.6,0.49,0.004,1.36
106,2014-02-28,0.806,0.814,0.815,0.802,4818,389500.0,1.6,0.12,0.001,0.38
107,2014-03-03,0.807,0.815,0.819,0.807,8368,682218.0,1.47,0.12,0.001,0.66
108,2014-03-04,0.815,0.809,0.815,0.803,7481,604789.0,1.47,-0.74,-0.006,0.59
109,2014-03-05,0.811,0.808,0.817,0.808,12747,1035321.0,1.11,-0.12,-0.001,1.01
110,2014-03-06,0.807,0.808,0.809,0.795,13292,1068498.0,1.73,0.0,0.0,1.06
111,2014-03-07,0.808,0.807,0.818,0.803,4123,334359.0,1.86,-0.12,-0.001,0.33
112,2014-03-10,0.8,0.777,0.8,0.776,9725,767235.0,2.97,-3.72,-0.03,0.77
113,2014-03-11,0.774,0.777,0.783,0.768,3870,299373.0,1.93,0.0,0.0,0.31
114,2014-03-12,0.776,0.773,0.783,0.768,7910,611965.0,1.93,-0.51,-0.004,0.63
115,2014-03-13,0.778,0.783,0.789,0.778,2430,190553.0,1.42,1.29,0.01,0.19
116,2014-03-14,0.777,0.773,0.779,0.77,3701,286970.0,1.15,-1.28,-0.01,0.29
117,2014-03-17,0.774,0.783,0.784,0.774,5459,425209.0,1.29,1.29,0.01,0.43
118,2014-03-18,0.783,0.779,0.784,0.778,1318,102810.0,0.77,-0.51,-0.004,0.1
119,2014-03-19,0.773,0.777,0.777,0.767,5826,448868.0,1.28,-0.26,-0.002,0.46
120,2014-03-20,0.779,0.767,0.779,0.767,3004,232064.0,1.54,-1.29,-0.01,0.24
121,2014-03-21,0.763,0.793,0.798,0.763,6867,537263.0,4.56,3.39,0.026,0.55
122,2014-03-24,0.794,0.798,0.802,0.79,5455,433673.0,1.51,0.63,0.005,0.43
123,2014-03-25,0.799,0.8,0.804,0.797,1862,148851.0,0.88,0.25,0.002,0.15
124,2014-03-26,0.801,0.795,0.801,0.792,4343,345570.0,1.13,-0.63,-0.005,0.34
125,2014-03-27,0.79,0.785,0.794,0.785,22196,1744356.0,1.13,-1.26,-0.01,1.76
126,2014-03-28,0.783,0.779,0.786,0.778,4266,333618.0,1.02,-0.76,-0.006,0.34
127,2014-03-31,0.781,0.778,0.785,0.778,712,55694.0,0.9,-0.13,-0.001,0.06
128,2014-04-01,0.78,0.783,0.783,0.78,1037,81104.0,0.39,0.64,0.005,0.08
129,2014-04-02,0.786,0.79,0.791,0.786,1835,144486.0,0.64,0.89,0.007,0.15
130,2014-04-03,0.79,0.781,0.79,0.781,1671,130900.0,1.14,-1.14,-0.009,0.13
131,2014-04-04,0.779,0.784,0.787,0.779,357,27874.0,1.02,0.38,0.003,0.03
132,2014-04-08,0.784,0.803,0.806,0.784,8696,688988.0,2.81,2.42,0.019,0.69
