,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-01-08,1.01,1.01,1.014,1.002,1216866,122791983.0,0.0,0.0,0.0,1.62
1,2015-01-09,1.009,1.012,1.018,1.006,420956,42667304.0,1.19,0.2,0.002,0.56
2,2015-01-12,1.01,1.017,1.017,0.999,337428,34027980.0,1.78,0.49,0.005,0.45
3,2015-01-13,1.016,1.028,1.038,1.01,434897,44508858.0,2.75,1.08,0.011,0.58
4,2015-01-14,1.028,1.03,1.038,1.022,162640,16800087.0,1.56,0.19,0.002,0.22
5,2015-01-15,1.029,1.03,1.033,1.022,52636,5403062.0,1.07,0.0,0.0,0.07
6,2015-01-16,1.03,1.038,1.038,1.024,132201,13643142.0,1.36,0.78,0.008,0.18
7,2015-01-19,1.023,1.024,1.055,1.001,170015,17629448.0,5.2,-1.35,-0.014,0.23
8,2015-01-20,1.028,1.055,1.06,1.027,143589,15026194.0,3.22,3.03,0.031,0.19
9,2015-01-21,1.056,1.072,1.077,1.056,129488,13851231.0,1.99,1.61,0.017,0.17
10,2015-01-22,1.072,1.086,1.09,1.07,123596,13345884.0,1.87,1.31,0.014,0.16
11,2015-01-23,1.085,1.075,1.09,1.07,86168,9268855.0,1.84,-1.01,-0.011,0.11
12,2015-01-26,1.075,1.092,1.092,1.073,73765,7993426.0,1.77,1.58,0.017,0.1
13,2015-01-27,1.092,1.093,1.102,1.073,108164,11763250.0,2.66,0.09,0.001,0.14
14,2015-01-28,1.085,1.092,1.101,1.085,68994,7562659.0,1.46,-0.09,-0.001,0.09
15,2015-01-29,1.092,1.074,1.092,1.073,35216,3805114.0,1.74,-1.65,-0.018,0.05
16,2015-01-30,1.085,1.066,1.085,1.066,39714,4250547.0,1.77,-0.74,-0.008,0.05
17,2015-02-02,1.06,1.066,1.072,1.05,24279,2583517.0,2.06,0.0,0.0,0.03
18,2015-02-03,1.072,1.074,1.077,1.062,23472,2510630.0,1.41,0.75,0.008,0.03
19,2015-02-04,1.07,1.064,1.073,1.064,21980,2350338.0,0.84,-0.93,-0.01,0.03
20,2015-02-05,1.063,1.056,1.07,1.056,43058,4577151.0,1.32,-0.75,-0.008,0.06
21,2015-02-06,1.063,1.036,1.063,1.031,41223,4300999.0,3.03,-1.89,-0.02,0.05
22,2015-02-09,1.035,1.036,1.045,1.033,22148,2304111.0,1.16,0.0,0.0,0.03
23,2015-02-10,1.042,1.04,1.044,1.037,41954,4360785.0,0.68,0.39,0.004,0.06
24,2015-02-11,1.048,1.053,1.056,1.04,26895,2827995.0,1.54,1.25,0.013,0.04
25,2015-02-12,1.053,1.061,1.062,1.052,27353,2895748.0,0.95,0.76,0.008,0.04
26,2015-02-13,1.065,1.08,1.083,1.065,57948,6251961.0,1.7,1.79,0.019,0.08
27,2015-02-16,1.08,1.098,1.099,1.08,51817,5668257.0,1.76,1.67,0.018,0.07
28,2015-02-17,1.098,1.102,1.106,1.092,60602,6670933.0,1.28,0.36,0.004,0.08
29,2015-02-25,1.106,1.106,1.111,1.094,67310,7436629.0,1.54,0.36,0.004,0.09
30,2015-02-26,1.105,1.104,1.11,1.098,31270,3445701.0,1.08,-0.18,-0.002,0.04
31,2015-02-27,1.096,1.105,1.107,1.096,58536,6471262.0,1.0,0.09,0.001,0.08
32,2015-03-02,1.115,1.119,1.119,1.075,70954,7882978.0,3.98,1.27,0.014,0.09
33,2015-03-03,1.119,1.12,1.134,1.1,62537,7019992.0,3.04,0.09,0.001,0.08
34,2015-03-04,1.119,1.156,1.156,1.1,79012,9034171.0,5.0,3.21,0.036,0.1
35,2015-03-05,1.156,1.167,1.179,1.15,37707,4378954.0,2.51,0.95,0.011,0.05
36,2015-03-06,1.167,1.139,1.167,1.131,44685,5096583.0,3.08,-2.4,-0.028,0.06
37,2015-03-09,1.138,1.134,1.159,1.13,43289,4958054.0,2.55,-0.44,-0.005,0.06
38,2015-03-10,1.141,1.166,1.166,1.141,47836,5555836.0,2.2,2.82,0.032,0.06
39,2015-03-11,1.166,1.158,1.17,1.147,35853,4146455.0,1.97,-0.69,-0.008,0.05
40,2015-03-12,1.169,1.155,1.169,1.12,22126,2545162.0,4.23,-0.26,-0.003,0.03
41,2015-03-13,1.155,1.166,1.167,1.155,28723,3334098.0,1.04,0.95,0.011,0.04
42,2015-03-16,1.17,1.197,1.198,1.17,27880,3320235.0,2.4,2.66,0.031,0.04
43,2015-03-17,1.197,1.208,1.214,1.197,41176,4963513.0,1.42,0.92,0.011,0.05
44,2015-03-18,1.215,1.22,1.223,1.192,20016,2429522.0,2.57,0.99,0.012,0.03
45,2015-03-19,1.222,1.225,1.23,1.211,24130,2944058.0,1.56,0.41,0.005,0.03
46,2015-03-20,1.223,1.236,1.24,1.223,19990,2466418.0,1.39,0.9,0.011,0.03
47,2015-03-23,1.237,1.261,1.267,1.237,19665,2462155.0,2.43,2.02,0.025,0.03
48,2015-03-24,1.261,1.275,1.28,1.23,36942,4645590.0,3.97,1.11,0.014,0.05
49,2015-03-25,1.273,1.285,1.288,1.251,39823,5082962.0,2.9,0.78,0.01,0.05
50,2015-03-26,1.29,1.272,1.29,1.27,28318,3618819.0,1.56,-1.01,-0.013,0.04
51,2015-03-27,1.272,1.286,1.289,1.26,14415,1844802.0,2.28,1.1,0.014,0.02
52,2015-03-30,1.286,1.304,1.316,1.286,19539,2543654.0,2.33,1.4,0.018,0.03
53,2015-03-31,1.31,1.314,1.325,1.3,33016,4315557.0,1.92,0.77,0.01,0.04
54,2015-04-01,1.32,1.349,1.351,1.302,28952,3874050.0,3.73,2.66,0.035,0.04
55,2015-04-02,1.37,1.359,1.381,1.352,22134,3023311.0,2.15,0.74,0.01,0.03
56,2015-04-03,1.359,1.379,1.389,1.347,20303,2785153.0,3.09,1.47,0.02,0.03
57,2015-04-07,1.4,1.41,1.433,1.388,28964,4099247.0,3.26,2.25,0.031,0.04
58,2015-04-08,1.42,1.399,1.455,1.388,28986,4101988.0,4.75,-0.78,-0.011,0.04
59,2015-04-09,1.389,1.369,1.39,1.32,120218,16147871.0,5.0,-2.14,-0.03,0.16
60,2015-04-10,1.35,1.408,1.409,1.336,36837,5121762.0,5.33,2.85,0.039,0.05
61,2015-04-13,1.408,1.479,1.481,1.408,66263,9570601.0,5.18,5.04,0.071,0.09
62,2015-04-14,1.48,1.484,1.518,1.468,62690,9348739.0,3.38,0.34,0.005,0.08
63,2015-04-15,1.484,1.43,1.49,1.4,53233,7675849.0,6.06,-3.64,-0.054,0.07
64,2015-04-16,1.4,1.44,1.459,1.386,48237,6936266.0,5.1,0.7,0.01,0.06
65,2015-04-17,1.44,1.43,1.475,1.421,39112,5636259.0,3.75,-0.69,-0.01,0.05
66,2015-04-20,1.432,1.41,1.44,1.4,56875,8091846.0,2.8,-1.4,-0.02,0.08
67,2015-04-21,1.406,1.44,1.44,1.4,28721,4107923.0,2.84,2.13,0.03,0.04
68,2015-04-22,1.44,1.48,1.483,1.44,27729,4091780.0,2.99,2.78,0.04,0.04
69,2015-04-23,1.48,1.491,1.498,1.475,41473,6168947.0,1.55,0.74,0.011,0.06
70,2015-04-24,1.48,1.492,1.5,1.441,31508,4663029.0,3.96,0.07,0.001,0.04
71,2015-04-27,1.497,1.506,1.537,1.497,26417,3992448.0,2.68,0.94,0.014,0.04
72,2015-04-28,1.54,1.465,1.54,1.458,22822,3399245.0,5.44,-2.72,-0.041,0.03
73,2015-04-29,1.481,1.484,1.489,1.46,20734,3063535.0,1.98,1.3,0.019,0.03
74,2015-04-30,1.484,1.503,1.512,1.482,24143,3626519.0,2.02,1.28,0.019,0.03
75,2015-05-04,1.505,1.504,1.505,1.483,19660,2937591.0,1.46,0.07,0.001,0.03
76,2015-05-05,1.504,1.462,1.504,1.456,17707,2622976.0,3.19,-2.79,-0.042,0.02
77,2015-05-06,1.46,1.451,1.5,1.45,29058,4288226.0,3.42,-0.75,-0.011,0.04
78,2015-05-07,1.451,1.432,1.463,1.43,36095,5240473.0,2.27,-1.31,-0.019,0.05
79,2015-05-08,1.434,1.49,1.49,1.434,25353,3743935.0,3.91,4.05,0.058,0.03
80,2015-05-11,1.523,1.59,1.598,1.495,75821,11740577.0,6.91,6.71,0.1,0.1
81,2015-05-12,1.6,1.613,1.658,1.596,27844,4515592.0,3.9,1.45,0.023,0.04
82,2015-05-13,1.613,1.603,1.618,1.552,18218,2925006.0,4.09,-0.62,-0.01,0.02
83,2015-05-14,1.595,1.605,1.61,1.58,9083,1454814.0,1.87,0.12,0.002,0.01
84,2015-05-15,1.601,1.617,1.649,1.555,15240,2438389.0,5.86,0.75,0.012,0.02
85,2015-05-18,1.625,1.65,1.652,1.601,10340,1697123.0,3.15,2.04,0.033,0.01
86,2015-05-19,1.65,1.679,1.685,1.631,7485,1253890.0,3.27,1.76,0.029,0.01
