,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-04-17,1.021,1.012,1.035,0.995,901424,91455575.0,0.0,0.0,0.0,4.78
1,2015-04-20,1.016,0.974,1.02,0.974,334164,33390115.0,4.55,-3.75,-0.038,1.77
2,2015-04-21,0.962,0.991,0.999,0.962,206644,20272614.0,3.8,1.75,0.017,1.1
3,2015-04-22,0.992,1.018,1.019,0.992,489725,49356584.0,2.72,2.72,0.027,2.6
4,2015-04-23,1.017,1.025,1.032,1.012,467004,47825713.0,1.96,0.69,0.007,2.48
5,2015-04-24,1.013,0.998,1.013,0.991,159672,15985398.0,2.15,-2.63,-0.027,0.85
6,2015-04-27,1.0,1.015,1.017,0.998,311041,31395429.0,1.9,1.7,0.017,1.65
7,2015-04-28,1.01,1.02,1.038,1.0,352509,35932489.0,3.74,0.49,0.005,1.87
8,2015-04-29,1.002,1.018,1.02,1.002,119914,12120784.0,1.76,-0.2,-0.002,0.64
9,2015-04-30,1.018,1.011,1.021,1.011,149105,15153930.0,0.98,-0.69,-0.007,0.79
10,2015-05-04,1.006,1.006,1.011,0.996,85484,8585147.0,1.48,-0.49,-0.005,0.45
11,2015-05-05,1.006,0.97,1.009,0.965,117969,11694186.0,4.37,-3.58,-0.036,0.63
12,2015-05-06,0.971,0.968,1.006,0.966,96875,9599202.0,4.12,-0.21,-0.002,0.51
13,2015-05-07,0.971,0.969,0.98,0.967,52555,5112514.0,1.34,0.1,0.001,0.28
14,2015-05-08,0.973,0.981,0.999,0.965,46813,4569337.0,3.51,1.24,0.012,0.25
15,2015-05-11,0.99,0.993,0.996,0.972,109604,10805928.0,2.45,1.22,0.012,0.58
16,2015-05-12,0.993,0.998,1.009,0.983,127325,12712936.0,2.62,0.5,0.005,0.68
17,2015-05-13,0.994,0.991,1.004,0.985,69069,6857857.0,1.9,-0.7,-0.007,0.37
18,2015-05-14,0.988,0.989,1.0,0.988,75733,7522269.0,1.21,-0.2,-0.002,0.4
19,2015-05-15,0.98,0.974,0.992,0.968,41320,4025420.0,2.43,-1.52,-0.015,0.22
20,2015-05-18,0.97,0.959,0.976,0.948,35276,3385283.0,2.87,-1.54,-0.015,0.19
21,2015-05-19,0.958,0.99,0.994,0.943,99389,9735695.0,5.32,3.23,0.031,0.53
22,2015-05-20,0.989,0.991,1.009,0.983,169116,16822589.0,2.63,0.1,0.001,0.9
23,2015-05-21,0.99,0.987,0.999,0.975,88180,8715261.0,2.42,-0.4,-0.004,0.47
24,2015-05-22,0.992,1.019,1.023,0.992,397550,40350158.0,3.14,3.24,0.032,2.11
