,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-03-07,1.009,1.002,1.013,1.0,1129345,113807229.0,0.0,0.0,0.0,154.75
1,2018-03-08,1.0,1.005,1.009,1.0,133848,13459434.0,0.9,0.3,0.003,18.34
2,2018-03-09,1.005,1.04,1.045,1.005,663399,68078824.0,3.98,3.48,0.035,90.9
3,2018-03-12,1.051,1.06,1.07,1.051,433680,45958685.0,1.83,1.92,0.02,59.43
4,2018-03-13,1.059,1.052,1.069,1.049,170745,18066445.0,1.89,-0.75,-0.008,23.4
5,2018-03-14,1.051,1.04,1.058,1.04,62701,6571847.0,1.71,-1.14,-0.012,8.59
6,2018-03-15,1.038,1.045,1.05,1.021,66342,6858323.0,2.79,0.48,0.005,9.09
7,2018-03-16,1.04,1.025,1.045,1.025,25562,2651039.0,1.91,-1.91,-0.02,3.5
8,2018-03-19,1.024,1.033,1.048,1.021,35177,3642930.0,2.63,0.78,0.008,4.82
9,2018-03-20,1.032,1.048,1.052,1.023,49197,5118976.0,2.81,1.45,0.015,6.74
10,2018-03-21,1.035,1.026,1.054,1.025,35946,3751515.0,2.77,-2.1,-0.022,4.93
11,2018-03-22,1.027,1.022,1.047,1.021,15976,1637150.0,2.53,-0.39,-0.004,2.19
12,2018-03-23,1.012,0.977,1.012,0.961,81293,7999271.0,4.99,-4.4,-0.045,11.14
13,2018-03-26,0.996,1.002,1.004,0.956,29453,2900516.0,4.91,2.56,0.025,4.04
14,2018-03-27,1.001,1.032,1.039,1.001,81708,8343057.0,3.79,2.99,0.03,11.2
15,2018-03-28,1.024,1.029,1.039,1.016,90475,9347290.0,2.23,-0.29,-0.003,12.4
16,2018-03-29,1.038,1.029,1.04,1.027,25268,2605772.0,1.26,0.0,0.0,3.46
17,2018-03-30,1.035,1.064,1.065,1.032,107648,11353644.0,3.21,3.4,0.035,14.75
18,2018-04-02,1.064,1.062,1.075,1.049,96641,10299051.0,2.44,-0.19,-0.002,13.24
19,2018-04-03,1.05,1.043,1.059,1.038,20150,2106432.0,1.98,-1.79,-0.019,2.76
20,2018-04-04,1.05,1.039,1.051,1.035,16737,1744709.0,1.53,-0.38,-0.004,2.29
21,2018-04-09,1.035,1.036,1.054,1.025,20166,2093709.0,2.79,-0.29,-0.003,2.76
22,2018-04-10,1.036,1.031,1.036,1.018,38080,3896374.0,1.74,-0.48,-0.005,5.22
23,2018-04-11,1.03,1.032,1.042,1.026,18624,1924731.0,1.55,0.1,0.001,2.55
24,2018-04-12,1.033,1.027,1.036,1.027,19650,2029236.0,0.87,-0.48,-0.005,2.69
25,2018-04-13,1.03,1.028,1.033,1.021,8087,832376.0,1.17,0.1,0.001,1.11
26,2018-04-16,1.022,1.027,1.038,1.015,9830,1013305.0,2.24,-0.1,-0.001,1.35
27,2018-04-17,1.026,1.006,1.036,1.004,28361,2876990.0,3.12,-2.04,-0.021,3.89
28,2018-04-18,1.009,1.025,1.03,0.983,44319,4465594.0,4.67,1.89,0.019,6.07
29,2018-04-19,1.019,1.023,1.032,1.019,20909,2149571.0,1.27,-0.2,-0.002,2.87
30,2018-04-20,1.02,1.005,1.036,1.005,24230,2460510.0,3.03,-1.76,-0.018,3.32
31,2018-04-23,1.008,0.994,1.018,0.98,28851,2860416.0,3.78,-1.09,-0.011,3.95
32,2018-04-24,0.994,1.016,1.017,0.99,24488,2466128.0,2.72,2.21,0.022,3.36
33,2018-04-25,1.015,1.02,1.025,1.008,17708,1805058.0,1.67,0.39,0.004,2.43
34,2018-04-26,1.009,1.002,1.016,1.001,5912,595898.0,1.47,-1.76,-0.018,0.81
35,2018-04-27,1.006,1.016,1.018,1.001,5116,518195.0,1.7,1.4,0.014,0.7
36,2018-05-02,1.019,1.009,1.025,1.008,9061,920400.0,1.67,-0.69,-0.007,1.24
37,2018-05-03,1.011,1.018,1.028,0.991,33689,3396309.0,3.67,0.89,0.009,4.62
38,2018-05-04,1.021,1.017,1.027,1.013,17086,1746878.0,1.38,-0.1,-0.001,2.34
39,2018-05-07,1.021,1.039,1.04,1.021,26653,2758116.0,1.87,2.16,0.022,3.65
40,2018-05-08,1.042,1.04,1.042,1.032,10181,1055373.0,0.96,0.1,0.001,1.4
41,2018-05-09,1.031,1.037,1.042,1.031,11099,1152060.0,1.06,-0.29,-0.003,1.52
42,2018-05-10,1.039,1.045,1.05,1.035,9838,1023557.0,1.45,0.77,0.008,1.35
43,2018-05-11,1.033,1.03,1.043,1.03,2969,306349.0,1.24,-1.44,-0.015,0.41
44,2018-05-14,1.03,1.026,1.039,1.022,5372,552236.0,1.65,-0.39,-0.004,0.74
45,2018-05-15,1.024,1.04,1.04,1.023,23557,2435421.0,1.66,1.36,0.014,3.23
46,2018-05-16,1.033,1.034,1.045,1.033,8109,844039.0,1.15,-0.58,-0.006,1.11
47,2018-05-17,1.03,1.028,1.03,1.023,6779,695269.0,0.68,-0.58,-0.006,0.93
48,2018-05-18,1.024,1.031,1.032,1.017,8926,912033.0,1.46,0.29,0.003,1.22
49,2018-05-21,1.027,1.041,1.048,1.027,21872,2280285.0,2.04,0.97,0.01,3.0
50,2018-05-22,1.039,1.051,1.051,1.035,19042,1992155.0,1.54,0.96,0.01,2.61
51,2018-05-23,1.049,1.036,1.05,1.036,13544,1415334.0,1.33,-1.43,-0.015,1.86
52,2018-05-24,1.033,1.032,1.038,1.031,2412,249166.0,0.68,-0.39,-0.004,0.33
53,2018-05-25,1.028,1.025,1.028,1.013,13216,1348358.0,1.45,-0.68,-0.007,1.81
54,2018-05-28,1.014,1.011,1.028,1.007,16830,1705206.0,2.05,-1.37,-0.014,2.31
55,2018-05-29,1.011,1.009,1.018,1.009,9889,1000090.0,0.89,-0.2,-0.002,1.36
56,2018-05-30,1.002,0.981,1.012,0.981,24103,2392516.0,3.07,-2.78,-0.028,3.3
57,2018-05-31,0.985,0.993,1.001,0.97,41646,4076382.0,3.16,1.22,0.012,5.71
58,2018-06-01,0.99,0.966,0.99,0.966,12135,1179752.0,2.42,-2.72,-0.027,1.66
59,2018-06-04,0.969,0.963,0.971,0.96,10578,1018274.0,1.14,-0.31,-0.003,1.45
60,2018-06-05,0.967,0.984,0.984,0.967,6471,631666.0,1.77,2.18,0.021,0.89
61,2018-06-06,0.983,0.981,0.984,0.976,2963,290934.0,0.81,-0.3,-0.003,0.41
62,2018-06-07,0.985,0.975,0.985,0.975,1421,138896.0,1.02,-0.61,-0.006,0.19
63,2018-06-08,0.97,0.973,0.978,0.961,5397,522225.0,1.74,-0.21,-0.002,0.74
64,2018-06-11,0.953,0.964,0.974,0.95,13574,1297169.0,2.47,-0.92,-0.009,1.86
65,2018-06-12,0.967,0.961,0.967,0.951,4665,448592.0,1.66,-0.31,-0.003,0.64
66,2018-06-13,0.96,0.956,0.96,0.954,1575,150852.0,0.62,-0.52,-0.005,0.22
67,2018-06-14,0.961,0.941,0.963,0.94,7407,701045.0,2.41,-1.57,-0.015,1.01
68,2018-06-15,0.946,0.94,0.969,0.932,5466,513076.0,3.93,-0.11,-0.001,0.75
69,2018-06-19,0.901,0.889,0.94,0.873,16644,1488212.0,7.13,-5.43,-0.051,2.28
70,2018-06-20,0.89,0.902,0.91,0.861,3539,312596.0,5.51,1.46,0.013,0.48
71,2018-06-21,0.899,0.885,0.911,0.865,1825,162904.0,5.1,-1.88,-0.017,0.25
72,2018-06-22,0.868,0.874,0.889,0.867,4098,361130.0,2.49,-1.24,-0.011,0.56
73,2018-06-25,0.875,0.876,0.905,0.875,3603,319362.0,3.43,0.23,0.002,0.49
74,2018-06-26,0.879,0.882,0.889,0.87,5182,454308.0,2.17,0.68,0.006,0.71
75,2018-06-27,0.879,0.875,0.888,0.87,3171,278321.0,2.04,-0.79,-0.007,0.43
76,2018-06-28,0.875,0.868,0.887,0.865,3727,326327.0,2.51,-0.8,-0.007,0.51
77,2018-06-29,0.874,0.895,0.9,0.87,4825,429037.0,3.46,3.11,0.027,0.66
78,2018-07-02,0.899,0.884,0.908,0.884,4861,435882.0,2.68,-1.23,-0.011,0.67
79,2018-07-03,0.894,0.904,0.914,0.873,8073,728719.0,4.64,2.26,0.02,1.11
80,2018-07-04,0.897,0.888,0.905,0.883,3744,332557.0,2.43,-1.77,-0.016,0.51
81,2018-07-05,0.888,0.87,0.888,0.87,3559,311799.0,2.03,-2.03,-0.018,0.49
82,2018-07-06,0.89,0.883,0.89,0.867,2064,180888.0,2.64,1.49,0.013,0.28
83,2018-07-09,0.88,0.891,0.896,0.879,3172,281648.0,1.93,0.91,0.008,0.43
84,2018-07-10,0.889,0.898,0.898,0.889,2807,250510.0,1.01,0.79,0.007,0.38
85,2018-07-11,0.871,0.888,0.895,0.871,5650,495179.0,2.67,-1.11,-0.01,0.77
86,2018-07-12,0.883,0.912,0.914,0.882,8964,813683.0,3.6,2.7,0.024,1.23
87,2018-07-13,0.912,0.915,0.917,0.907,6601,601938.0,1.1,0.33,0.003,0.9
88,2018-07-16,0.91,0.911,0.915,0.903,2332,212066.0,1.31,-0.44,-0.004,0.32
89,2018-07-17,0.913,0.91,0.916,0.904,4019,365909.0,1.32,-0.11,-0.001,0.55
90,2018-07-18,0.92,0.915,0.92,0.908,3394,311670.0,1.32,0.55,0.005,0.47
91,2018-07-19,0.914,0.908,0.914,0.864,2092,188445.0,5.46,-0.77,-0.007,0.29
92,2018-07-20,0.915,0.914,0.915,0.89,2639,237062.0,2.75,0.66,0.006,0.36
93,2018-07-23,0.9,0.913,0.913,0.893,998,90223.0,2.19,-0.11,-0.001,0.14
94,2018-07-24,0.902,0.918,0.919,0.902,1868,171486.0,1.86,0.55,0.005,0.26
95,2018-07-25,0.923,0.915,0.927,0.915,1435,132207.0,1.31,-0.33,-0.003,0.2
96,2018-07-26,0.903,0.902,0.918,0.901,2170,196322.0,1.86,-1.42,-0.013,0.3
97,2018-07-27,0.896,0.902,0.903,0.896,724,65201.0,0.78,0.0,0.0,0.1
98,2018-07-30,0.885,0.889,0.91,0.882,4958,440092.0,3.1,-1.44,-0.013,0.68
99,2018-07-31,0.887,0.883,0.887,0.881,1489,131762.0,0.67,-0.67,-0.006,0.2
100,2018-08-01,0.9,0.891,0.9,0.89,3120,278170.0,1.13,0.91,0.008,0.43
101,2018-08-02,0.827,0.896,0.9,0.827,869,75647.0,8.19,0.56,0.005,0.12
102,2018-08-03,0.861,0.839,0.894,0.839,6014,512481.0,6.14,-6.36,-0.057,0.82
103,2018-08-06,0.829,0.825,0.839,0.824,5823,483333.0,1.79,-1.67,-0.014,0.8
