,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-01-19,0.987,0.985,0.996,0.983,606264,60003356.0,0.0,0.0,0.0,29.89
1,2018-01-22,0.984,1.01,1.015,0.98,843682,84554048.0,3.55,2.54,0.025,41.6
2,2018-01-23,1.01,1.008,1.015,1.002,104729,10565260.0,1.29,-0.2,-0.002,5.16
3,2018-01-24,1.005,1.04,1.05,1.0,244020,24955683.0,4.96,3.17,0.032,12.03
4,2018-01-25,1.04,1.034,1.06,1.033,138640,14495322.0,2.6,-0.58,-0.006,6.84
5,2018-01-26,1.032,1.038,1.049,1.032,71270,7411200.0,1.64,0.39,0.004,3.51
6,2018-01-29,1.039,1.028,1.044,1.025,49675,5130490.0,1.83,-0.96,-0.01,2.45
7,2018-01-30,1.03,1.019,1.034,1.018,35883,3679852.0,1.56,-0.88,-0.009,1.77
8,2018-01-31,1.014,0.995,1.015,0.992,97716,9781184.0,2.26,-2.36,-0.024,4.82
9,2018-02-01,0.988,0.974,1.0,0.972,100886,9926418.0,2.81,-2.11,-0.021,4.97
10,2018-02-02,0.971,0.977,0.988,0.958,50053,4882205.0,3.08,0.31,0.003,2.47
11,2018-02-05,0.966,0.966,0.971,0.879,21053,2024176.0,9.42,-1.13,-0.011,1.04
12,2018-02-06,0.959,0.916,0.959,0.915,42525,3988118.0,4.55,-5.18,-0.05,2.1
13,2018-02-07,0.939,0.925,0.946,0.9,45633,4206462.0,5.02,0.98,0.009,2.25
14,2018-02-08,0.925,0.937,0.942,0.922,29468,2759216.0,2.16,1.3,0.012,1.45
15,2018-02-09,0.928,0.914,0.93,0.903,22517,2061128.0,2.88,-2.45,-0.023,1.11
16,2018-02-12,0.925,0.943,0.946,0.916,22741,2129221.0,3.28,3.17,0.029,1.12
17,2018-02-13,0.943,0.941,0.955,0.941,24468,2316398.0,1.48,-0.21,-0.002,1.21
18,2018-02-14,0.94,0.939,0.945,0.93,23024,2157705.0,1.59,-0.21,-0.002,1.14
19,2018-02-22,0.941,0.957,0.96,0.941,8526,813676.0,2.02,1.92,0.018,0.42
20,2018-02-23,0.956,0.955,0.959,0.948,14080,1342248.0,1.15,-0.21,-0.002,0.69
21,2018-02-26,0.953,0.986,0.988,0.953,130302,12656892.0,3.66,3.25,0.031,6.42
22,2018-02-27,0.987,0.994,1.004,0.987,108650,10814300.0,1.72,0.81,0.008,5.36
23,2018-02-28,0.973,1.0,1.013,0.97,73545,7364089.0,4.33,0.6,0.006,3.63
24,2018-03-01,0.986,1.019,1.022,0.986,89759,9097715.0,3.6,1.9,0.019,4.43
25,2018-03-02,1.016,1.01,1.029,1.007,45041,4597991.0,2.16,-0.88,-0.009,2.22
26,2018-03-05,1.013,1.025,1.025,1.01,49234,5017308.0,1.49,1.49,0.015,2.43
27,2018-03-06,1.025,1.023,1.034,1.02,59581,6121295.0,1.37,-0.2,-0.002,2.94
28,2018-03-07,1.022,1.018,1.025,1.016,41178,4199123.0,0.88,-0.49,-0.005,2.03
29,2018-03-08,1.017,1.025,1.026,1.016,32300,3298697.0,0.98,0.69,0.007,1.59
30,2018-03-09,1.023,1.057,1.059,1.023,150501,15640864.0,3.51,3.12,0.032,7.42
31,2018-03-12,1.065,1.072,1.09,1.065,78176,8388662.0,2.37,1.42,0.015,3.85
32,2018-03-13,1.072,1.067,1.085,1.061,69055,7406017.0,2.24,-0.47,-0.005,3.4
33,2018-03-14,1.06,1.053,1.069,1.052,52152,5531859.0,1.59,-1.31,-0.014,2.57
34,2018-03-15,1.046,1.055,1.056,1.035,30609,3197936.0,1.99,0.19,0.002,1.51
35,2018-03-16,1.055,1.04,1.06,1.039,24593,2581014.0,1.99,-1.42,-0.015,1.21
36,2018-03-19,1.042,1.049,1.059,1.035,36816,3862225.0,2.31,0.87,0.009,1.82
37,2018-03-20,1.048,1.062,1.065,1.039,25705,2705957.0,2.48,1.24,0.013,1.27
38,2018-03-21,1.06,1.042,1.069,1.042,26655,2814389.0,2.54,-1.88,-0.02,1.31
39,2018-03-22,1.036,1.03,1.051,1.03,30703,3190429.0,2.02,-1.15,-0.012,1.51
40,2018-03-23,1.01,0.987,1.02,0.978,55420,5551241.0,4.08,-4.17,-0.043,2.73
41,2018-03-26,0.968,1.012,1.013,0.967,43606,4310688.0,4.66,2.53,0.025,2.15
42,2018-03-27,1.018,1.051,1.052,1.018,253545,26480229.0,3.36,3.85,0.039,12.5
43,2018-03-28,1.033,1.046,1.055,1.033,30795,3228838.0,2.09,-0.48,-0.005,1.52
44,2018-03-29,1.049,1.047,1.056,1.04,34195,3578699.0,1.53,0.1,0.001,1.69
45,2018-03-30,1.05,1.082,1.083,1.05,62839,6723997.0,3.15,3.34,0.035,3.1
46,2018-04-02,1.084,1.079,1.1,1.077,57809,6271580.0,2.13,-0.28,-0.003,2.85
47,2018-04-03,1.064,1.068,1.074,1.054,36011,3824772.0,1.85,-1.02,-0.011,1.78
48,2018-04-04,1.068,1.05,1.076,1.045,31599,3337358.0,2.9,-1.69,-0.018,1.56
49,2018-04-09,1.059,1.054,1.062,1.04,92467,9749806.0,2.1,0.38,0.004,4.56
50,2018-04-10,1.054,1.046,1.054,1.034,166165,17260182.0,1.9,-0.76,-0.008,8.19
51,2018-04-11,1.049,1.047,1.061,1.046,146502,15461620.0,1.43,0.1,0.001,7.22
52,2018-04-12,1.045,1.043,1.056,1.043,242501,25487243.0,1.24,-0.38,-0.004,11.96
53,2018-04-13,1.046,1.042,1.055,1.041,80806,8450798.0,1.34,-0.1,-0.001,3.98
54,2018-04-16,1.04,1.048,1.058,1.036,272284,28539867.0,2.11,0.58,0.006,13.43
55,2018-04-17,1.054,1.02,1.055,1.019,39153,4038119.0,3.44,-2.67,-0.028,1.93
56,2018-04-18,1.043,1.04,1.046,1.005,57380,5895699.0,4.02,1.96,0.02,2.83
57,2018-04-19,1.044,1.04,1.049,1.036,124522,12987202.0,1.25,0.0,0.0,6.14
58,2018-04-20,1.035,1.018,1.043,1.018,28313,2910081.0,2.4,-2.12,-0.022,1.4
59,2018-04-23,1.02,0.999,1.023,0.987,61884,6188367.0,3.54,-1.87,-0.019,3.05
60,2018-04-24,0.998,1.031,1.031,0.998,92012,9376108.0,3.3,3.2,0.032,4.54
61,2018-04-25,1.029,1.038,1.042,1.028,53311,5517878.0,1.36,0.68,0.007,2.63
62,2018-04-26,1.035,1.018,1.036,1.016,35674,3658766.0,1.93,-1.93,-0.02,1.76
63,2018-04-27,1.015,1.031,1.033,1.015,27153,2791019.0,1.77,1.28,0.013,1.34
64,2018-05-02,1.031,1.03,1.047,1.021,25161,2599687.0,2.52,-0.1,-0.001,1.24
65,2018-05-03,1.027,1.041,1.042,1.011,66525,6815811.0,3.01,1.07,0.011,3.28
66,2018-05-04,1.04,1.037,1.046,1.034,31936,3322803.0,1.15,-0.38,-0.004,1.57
67,2018-05-07,1.038,1.057,1.058,1.038,48319,5078206.0,1.93,1.93,0.02,2.38
68,2018-05-08,1.061,1.058,1.061,1.051,62218,6570044.0,0.95,0.09,0.001,3.07
69,2018-05-09,1.056,1.057,1.062,1.053,111070,11748414.0,0.85,-0.09,-0.001,5.48
70,2018-05-10,1.057,1.061,1.064,1.052,81039,8589745.0,1.14,0.38,0.004,4.0
71,2018-05-11,1.061,1.045,1.066,1.045,60451,6373425.0,1.98,-1.51,-0.016,2.98
72,2018-05-14,1.048,1.046,1.053,1.041,78097,8187762.0,1.15,0.1,0.001,3.85
73,2018-05-15,1.047,1.06,1.061,1.043,51821,5444584.0,1.72,1.34,0.014,2.56
74,2018-05-16,1.054,1.051,1.062,1.051,28992,3062668.0,1.04,-0.85,-0.009,1.43
75,2018-05-17,1.052,1.047,1.057,1.043,24077,2526502.0,1.33,-0.38,-0.004,1.19
76,2018-05-18,1.044,1.048,1.05,1.036,11141,1161238.0,1.34,0.1,0.001,0.55
77,2018-05-21,1.051,1.062,1.068,1.051,26911,2859357.0,1.62,1.34,0.014,1.33
78,2018-05-22,1.062,1.069,1.072,1.059,63307,6739384.0,1.22,0.66,0.007,3.12
79,2018-05-23,1.068,1.055,1.071,1.055,26426,2801506.0,1.5,-1.31,-0.014,1.3
