,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-04-19,1.005,1.011,1.09,0.997,27248,2743499.0,0.0,0.0,0.0,0.61
1,2019-04-22,1.01,1.002,1.019,1.001,389474,39379521.0,1.78,-0.89,-0.009,8.66
2,2019-04-23,1.0,0.997,1.008,0.996,310314,31129565.0,1.2,-0.5,-0.005,6.9
3,2019-04-24,0.996,1.014,1.016,0.993,462178,46410859.0,2.31,1.71,0.017,10.28
4,2019-04-25,1.013,0.995,1.017,0.993,299782,30308620.0,2.37,-1.87,-0.019,6.67
5,2019-04-26,0.995,0.978,0.995,0.978,11352,1118195.0,1.71,-1.71,-0.017,0.25
6,2019-04-29,0.978,0.952,0.989,0.952,10715,1038335.0,3.78,-2.66,-0.026,0.24
7,2019-04-30,0.957,0.963,0.981,0.952,8007,771822.0,3.05,1.16,0.011,0.18
8,2019-05-06,0.955,0.882,0.955,0.877,16007,1446610.0,8.1,-8.41,-0.081,0.36
9,2019-05-07,0.882,0.893,0.918,0.878,10587,944972.0,4.54,1.25,0.011,0.24
10,2019-05-08,0.88,0.882,0.9,0.868,7148,631806.0,3.58,-1.23,-0.011,0.16
11,2019-05-09,0.882,0.875,0.882,0.871,8012,703284.0,1.25,-0.79,-0.007,0.18
12,2019-05-10,0.876,0.908,0.909,0.87,14586,1306992.0,4.46,3.77,0.033,0.32
13,2019-05-13,0.89,0.893,0.906,0.884,2422,216405.0,2.42,-1.65,-0.015,0.05
14,2019-05-14,0.878,0.897,0.899,0.878,5192,464367.0,2.35,0.45,0.004,0.12
15,2019-05-15,0.897,0.909,0.919,0.894,3977,358466.0,2.79,1.34,0.012,0.09
16,2019-05-16,0.908,0.908,0.913,0.901,6897,625838.0,1.32,-0.11,-0.001,0.15
17,2019-05-17,0.907,0.878,0.908,0.876,3029,270642.0,3.52,-3.3,-0.03,0.07
18,2019-05-20,0.878,0.872,0.88,0.86,5232,455859.0,2.28,-0.68,-0.006,0.12
19,2019-05-21,0.876,0.885,0.892,0.876,7188,634542.0,1.83,1.49,0.013,0.16
20,2019-05-22,0.9,0.881,0.9,0.878,5140,456184.0,2.49,-0.45,-0.004,0.11
21,2019-05-23,0.877,0.864,0.88,0.863,12026,1048965.0,1.93,-1.93,-0.017,0.27
22,2019-05-24,0.86,0.86,0.87,0.858,8095,697095.0,1.39,-0.46,-0.004,0.18
23,2019-05-27,0.859,0.886,0.892,0.859,5427,478512.0,3.84,3.02,0.026,0.12
24,2019-05-28,0.89,0.887,0.894,0.885,2899,257736.0,1.02,0.11,0.001,0.06
25,2019-05-29,0.887,0.889,0.895,0.885,1650,146574.0,1.13,0.23,0.002,0.04
26,2019-05-30,0.884,0.882,0.884,0.873,4323,379626.0,1.24,-0.79,-0.007,0.1
27,2019-05-31,0.885,0.882,0.89,0.882,1503,133047.0,0.91,0.0,0.0,0.03
28,2019-06-03,0.884,0.876,0.888,0.875,4985,437503.0,1.47,-0.68,-0.006,0.11
29,2019-06-04,0.868,0.868,0.878,0.865,3791,329281.0,1.48,-0.91,-0.008,0.08
30,2019-06-05,0.888,0.865,0.888,0.865,1485,129337.0,2.65,-0.35,-0.003,0.03
31,2019-06-06,0.86,0.849,0.861,0.842,12744,1083310.0,2.2,-1.85,-0.016,0.28
32,2019-06-10,0.85,0.854,0.86,0.845,2771,236346.0,1.77,0.59,0.005,0.06
33,2019-06-11,0.857,0.888,0.888,0.857,5056,444681.0,3.63,3.98,0.034,0.11
34,2019-06-12,0.88,0.876,0.885,0.876,678,59656.0,1.01,-1.35,-0.012,0.02
35,2019-06-13,0.88,0.883,0.885,0.874,2346,206814.0,1.26,0.8,0.007,0.05
36,2019-06-14,0.883,0.867,0.886,0.867,980,86317.0,2.15,-1.81,-0.016,0.02
37,2019-06-17,0.865,0.864,0.87,0.858,2148,185338.0,1.38,-0.35,-0.003,0.05
38,2019-06-18,0.862,0.865,0.869,0.856,1896,163257.0,1.5,0.12,0.001,0.04
39,2019-06-19,0.887,0.876,0.891,0.868,4844,428298.0,2.66,1.27,0.011,0.11
