,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-01-10,4.685,4.666,4.7,4.616,307540,143714694.0,0.0,0.0,0.0,741.99
1,2020-01-13,4.666,4.73,4.732,4.666,212462,99722554.0,1.41,1.37,0.064,512.6
2,2020-01-14,4.75,4.706,4.75,4.698,101113,47791230.0,1.1,-0.51,-0.024,243.95
3,2020-01-15,4.72,4.69,4.722,4.67,80200,37645214.0,1.1,-0.34,-0.016,193.5
4,2020-01-16,4.69,4.691,4.709,4.673,51984,24400304.0,0.77,0.02,0.001,125.42
5,2020-01-17,4.691,4.69,4.728,4.689,38907,18326089.0,0.83,-0.02,-0.001,93.87
6,2020-01-20,4.69,4.738,4.748,4.683,64670,30570127.0,1.39,1.02,0.048,156.03
7,2020-01-21,4.68,4.667,4.725,4.656,36486,17083135.0,1.46,-1.5,-0.071,88.03
8,2020-01-22,4.662,4.715,4.731,4.575,53766,25061752.0,3.34,1.03,0.048,129.72
9,2020-01-23,4.701,4.538,4.701,4.509,44863,20640422.0,4.07,-3.75,-0.177,108.24
10,2020-02-03,4.09,4.084,4.212,4.084,31376,12953197.0,2.82,-10.0,-0.454,75.7
11,2020-02-04,4.004,4.299,4.302,4.004,45114,19118431.0,7.3,5.26,0.215,108.85
12,2020-02-05,4.329,4.376,4.436,4.32,25180,11031049.0,2.7,1.79,0.077,60.75
13,2020-02-06,4.35,4.489,4.515,4.35,21101,9398253.0,3.77,2.58,0.113,50.91
14,2020-02-07,4.444,4.464,4.484,4.42,9453,4201784.0,1.43,-0.56,-0.025,22.81
15,2020-02-10,4.442,4.502,4.509,4.426,27337,12252135.0,1.86,0.85,0.038,65.96
16,2020-02-11,4.502,4.574,4.596,4.502,18936,8638745.0,2.09,1.6,0.072,45.69
17,2020-02-12,4.56,4.611,4.619,4.555,23977,11009553.0,1.4,0.81,0.037,57.85
18,2020-02-13,4.611,4.571,4.62,4.555,16672,7656648.0,1.41,-0.87,-0.04,40.22
19,2020-02-14,4.573,4.605,4.64,4.573,23734,10945005.0,1.47,0.74,0.034,57.26
20,2020-02-17,4.619,4.719,4.719,4.619,40336,18854184.0,2.17,2.48,0.114,97.32
21,2020-02-18,4.705,4.702,4.721,4.657,49267,23150622.0,1.36,-0.36,-0.017,118.86
22,2020-02-19,4.688,4.694,4.755,4.688,44983,21244804.0,1.42,-0.17,-0.008,108.53
23,2020-02-20,4.717,4.81,4.836,4.716,71692,34320284.0,2.56,2.47,0.116,172.97
24,2020-02-21,4.813,4.864,4.91,4.813,30331,14733696.0,2.02,1.12,0.054,73.18
25,2020-02-24,4.859,4.893,4.919,4.784,38263,18621666.0,2.78,0.6,0.029,92.32
26,2020-02-25,4.878,4.924,4.932,4.541,36669,17786133.0,7.99,0.63,0.031,88.47
27,2020-02-26,4.89,4.787,4.906,4.768,48881,23744931.0,2.8,-2.78,-0.137,117.93
28,2020-02-27,4.801,4.818,4.88,4.794,34216,16541442.0,1.8,0.65,0.031,82.55
29,2020-02-28,4.818,4.628,4.818,4.622,23608,11063614.0,4.07,-3.94,-0.19,56.96
