,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-01-20,0.997,1.001,1.001,0.993,750368,74838367.0,0.0,0.0,0.0,147.36
1,2020-01-21,1.0,0.99,1.0,0.987,337447,33487874.0,1.3,-1.1,-0.011,66.27
2,2020-01-22,0.988,0.991,0.994,0.973,223760,21993911.0,2.12,0.1,0.001,43.94
3,2020-01-23,0.99,0.959,0.99,0.952,271466,26409776.0,3.83,-3.23,-0.032,53.31
4,2020-02-03,0.863,0.863,0.88,0.863,218886,18932008.0,1.77,-10.01,-0.096,42.99
5,2020-02-04,0.863,0.893,0.897,0.855,305547,27102997.0,4.87,3.48,0.03,60.01
6,2020-02-05,0.893,0.915,0.92,0.888,270365,24638058.0,3.58,2.46,0.022,53.1
7,2020-02-06,0.91,0.934,0.94,0.906,246256,22826584.0,3.72,2.08,0.019,48.36
8,2020-02-07,0.933,0.936,0.938,0.922,164268,15272771.0,1.71,0.21,0.002,32.26
9,2020-02-10,0.924,0.951,0.952,0.924,231584,21789496.0,2.99,1.6,0.015,45.48
10,2020-02-11,0.952,0.947,0.952,0.942,198113,18777857.0,1.05,-0.42,-0.004,38.91
11,2020-02-12,0.945,0.958,0.96,0.945,162623,15498445.0,1.58,1.16,0.011,31.94
12,2020-02-13,0.959,0.946,0.962,0.946,234266,22332272.0,1.67,-1.25,-0.012,46.01
13,2020-02-14,0.945,0.95,0.955,0.945,138194,13128400.0,1.06,0.42,0.004,27.14
14,2020-02-17,0.95,0.976,0.977,0.95,195723,18902348.0,2.84,2.74,0.026,38.44
15,2020-02-18,0.979,0.979,0.98,0.969,184136,17943407.0,1.13,0.31,0.003,36.16
16,2020-02-19,0.98,0.969,0.98,0.969,168090,16390520.0,1.12,-1.02,-0.01,33.01
17,2020-02-20,0.971,0.987,0.99,0.97,235643,23079415.0,2.06,1.86,0.018,46.28
18,2020-02-21,0.98,0.995,0.998,0.98,212173,21036213.0,1.82,0.81,0.008,41.67
19,2020-02-24,0.993,0.992,0.996,0.981,207927,20582833.0,1.51,-0.3,-0.003,40.83
20,2020-02-25,0.97,0.986,0.989,0.959,231784,22641907.0,3.02,-0.6,-0.006,45.52
21,2020-02-26,0.976,0.983,1.001,0.976,395579,39274314.0,2.54,-0.3,-0.003,77.69
22,2020-02-27,0.98,0.987,0.993,0.979,182134,17989754.0,1.42,0.41,0.004,35.77
23,2020-02-28,0.95,0.947,0.972,0.947,192105,18414695.0,2.53,-4.05,-0.04,37.73
24,2020-03-02,0.955,0.992,0.993,0.955,190409,18703187.0,4.01,4.75,0.045,37.39
25,2020-03-03,1.0,0.999,1.008,0.987,426349,42713586.0,2.12,0.71,0.007,83.73
26,2020-03-04,0.999,1.006,1.007,0.989,207238,20680384.0,1.8,0.7,0.007,40.7
27,2020-03-05,1.008,1.024,1.026,1.008,635801,64798901.0,1.79,1.79,0.018,124.86
28,2020-03-06,1.02,1.019,1.025,1.001,192831,19675121.0,2.34,-0.49,-0.005,37.87
29,2020-03-09,1.009,0.989,1.009,0.988,178834,17913294.0,2.06,-2.94,-0.03,35.12
30,2020-03-10,0.98,1.003,1.006,0.967,190666,18837998.0,3.94,1.42,0.014,37.44
31,2020-03-11,1.013,0.993,1.013,0.993,140980,14138673.0,1.99,-1.0,-0.01,27.69
32,2020-03-12,0.993,0.974,0.993,0.966,155933,15215074.0,2.72,-1.91,-0.019,30.62
33,2020-03-13,0.94,0.96,0.987,0.927,165305,15649955.0,6.16,-1.44,-0.014,32.46
34,2020-03-16,0.961,0.93,0.966,0.926,180514,17214249.0,4.17,-3.13,-0.03,35.45
35,2020-03-17,0.94,0.929,0.946,0.905,178282,16471932.0,4.41,-0.11,-0.001,35.01
36,2020-03-18,0.938,0.914,0.948,0.914,136392,12771368.0,3.66,-1.61,-0.015,26.79
37,2020-03-19,0.929,0.913,0.929,0.896,200794,18271686.0,3.61,-0.11,-0.001,39.43
38,2020-03-20,0.927,0.927,0.927,0.913,87218,8030408.0,1.53,1.53,0.014,17.13
39,2020-03-23,0.876,0.895,0.94,0.876,76599,6904067.0,6.9,-3.45,-0.032,15.04
40,2020-03-24,0.91,0.909,0.913,0.892,69912,6318105.0,2.35,1.56,0.014,13.73
41,2020-03-25,0.916,0.928,0.93,0.916,87249,8055641.0,1.54,2.09,0.019,17.13
42,2020-03-26,0.92,0.92,0.929,0.919,81405,7513731.0,1.08,-0.86,-0.008,15.99
43,2020-03-27,0.92,0.921,0.937,0.92,62801,5827488.0,1.85,0.11,0.001,12.33
44,2020-03-30,0.916,0.909,0.916,0.903,70973,6445556.0,1.41,-1.3,-0.012,13.94
45,2020-03-31,0.916,0.913,0.919,0.912,85623,7838608.0,0.77,0.44,0.004,16.82
46,2020-04-01,0.913,0.907,0.919,0.904,59922,5471023.0,1.64,-0.66,-0.006,11.77
47,2020-04-02,0.919,0.92,0.92,0.902,65352,5932501.0,1.98,1.43,0.013,12.83
48,2020-04-03,0.916,0.912,0.92,0.908,51993,4756920.0,1.3,-0.87,-0.008,10.21
49,2020-04-07,0.924,0.933,0.936,0.923,111408,10374572.0,1.43,2.3,0.021,21.88
50,2020-04-08,0.929,0.933,0.934,0.927,24853,2312772.0,0.75,0.0,0.0,4.88
51,2020-04-09,0.937,0.936,0.938,0.932,39865,3727972.0,0.64,0.32,0.003,7.83
52,2020-04-10,0.938,0.924,0.938,0.921,49647,4609676.0,1.82,-1.28,-0.012,9.75
53,2020-04-13,0.924,0.922,0.926,0.918,21426,1978143.0,0.87,-0.22,-0.002,4.21
54,2020-04-14,0.924,0.935,0.935,0.924,31645,2937613.0,1.19,1.41,0.013,6.21
55,2020-04-15,0.933,0.929,0.936,0.928,30055,2804566.0,0.86,-0.64,-0.006,5.9
