,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-02-07,0.95,0.928,0.953,0.917,769941,71279568.0,0.0,0.0,0.0,5.63
1,2020-02-10,0.927,0.934,0.939,0.918,409223,38101072.0,2.26,0.65,0.006,2.99
2,2020-02-11,0.937,0.933,0.955,0.932,464267,43663401.0,2.46,-0.11,-0.001,3.39
3,2020-02-12,0.934,0.946,0.95,0.928,430703,40433580.0,2.36,1.39,0.013,3.15
4,2020-02-13,0.946,0.931,0.949,0.928,504381,47270971.0,2.22,-1.59,-0.015,3.69
5,2020-02-14,0.929,0.948,0.958,0.929,593995,56187854.0,3.11,1.83,0.017,4.34
6,2020-02-17,0.98,0.997,1.0,0.965,878661,86251866.0,3.69,5.17,0.049,6.42
7,2020-02-18,1.0,0.989,1.0,0.98,755738,74819793.0,2.01,-0.8,-0.008,5.53
8,2020-02-19,0.985,0.992,1.011,0.98,932314,93375579.0,3.13,0.3,0.003,6.82
9,2020-02-20,0.99,1.05,1.053,0.989,2259048,231179350.0,6.45,5.85,0.058,16.52
10,2020-02-21,1.051,1.052,1.083,1.035,1593931,168135258.0,4.57,0.19,0.002,11.65
11,2020-02-24,1.05,1.05,1.063,1.036,1164709,122211722.0,2.57,-0.19,-0.002,8.52
12,2020-02-25,1.035,1.054,1.058,1.01,1510789,156641842.0,4.57,0.38,0.004,11.05
13,2020-02-26,1.04,1.035,1.066,1.032,1354607,142237436.0,3.23,-1.8,-0.019,9.9
14,2020-02-27,1.038,1.038,1.06,1.035,707451,74048266.0,2.42,0.29,0.003,5.17
15,2020-02-28,1.01,0.973,1.019,0.97,1678587,166899305.0,4.72,-6.26,-0.065,12.27
16,2020-03-02,0.986,1.019,1.029,0.981,1203916,121270233.0,4.93,4.73,0.046,8.8
17,2020-03-03,1.037,1.028,1.053,1.016,1177428,121916954.0,3.63,0.88,0.009,8.61
18,2020-03-04,1.028,1.054,1.054,1.02,1087723,113030778.0,3.31,2.53,0.026,7.95
19,2020-03-05,1.062,1.085,1.104,1.046,2133021,229607600.0,5.5,2.94,0.031,15.6
20,2020-03-06,1.07,1.051,1.074,1.05,1006180,106600720.0,2.21,-3.13,-0.034,7.36
21,2020-03-09,1.04,1.016,1.04,1.0,1120874,114639911.0,3.81,-3.33,-0.035,8.2
22,2020-03-10,1.005,1.046,1.051,1.005,1048421,108123623.0,4.53,2.95,0.03,7.67
23,2020-03-11,1.047,1.019,1.047,1.018,759258,78283560.0,2.77,-2.58,-0.027,5.55
24,2020-03-12,1.009,1.004,1.017,0.995,830453,83345693.0,2.16,-1.47,-0.015,6.07
25,2020-03-13,0.96,0.994,1.01,0.954,1256752,123465192.0,5.58,-1.0,-0.01,9.19
26,2020-03-16,0.995,0.942,1.0,0.94,923202,89534756.0,6.04,-5.23,-0.052,6.75
27,2020-03-17,0.947,0.944,0.968,0.922,568289,53602074.0,4.88,0.21,0.002,4.16
28,2020-03-18,0.952,0.919,0.957,0.918,731202,68665210.0,4.13,-2.65,-0.025,5.35
29,2020-03-19,0.919,0.928,0.937,0.901,591031,54308682.0,3.92,0.98,0.009,4.32
30,2020-03-20,0.931,0.936,0.937,0.916,489407,45496888.0,2.26,0.86,0.008,3.58
31,2020-03-23,0.913,0.899,0.92,0.896,460474,41769584.0,2.56,-3.95,-0.037,3.37
32,2020-03-24,0.912,0.917,0.92,0.895,753723,68549427.0,2.78,2.0,0.018,5.51
33,2020-03-25,0.933,0.932,0.94,0.924,579173,53949884.0,1.74,1.64,0.015,4.23
34,2020-03-26,0.925,0.918,0.93,0.918,402736,37221142.0,1.29,-1.5,-0.014,2.94
35,2020-03-27,0.928,0.923,0.94,0.922,438434,40753942.0,1.96,0.54,0.005,3.21
36,2020-03-30,0.907,0.914,0.92,0.903,383429,34860700.0,1.84,-0.98,-0.009,2.8
37,2020-03-31,0.922,0.911,0.925,0.91,378410,34806168.0,1.64,-0.33,-0.003,2.77
38,2020-04-01,0.912,0.907,0.924,0.905,445363,40702844.0,2.09,-0.44,-0.004,3.26
39,2020-04-02,0.905,0.923,0.923,0.902,424847,38836337.0,2.32,1.76,0.016,3.11
40,2020-04-03,0.921,0.912,0.921,0.909,321680,29386165.0,1.3,-1.19,-0.011,2.35
41,2020-04-07,0.925,0.932,0.936,0.922,502238,46643124.0,1.54,2.19,0.02,3.67
42,2020-04-08,0.928,0.928,0.933,0.923,477942,44392084.0,1.07,-0.43,-0.004,3.49
43,2020-04-09,0.934,0.937,0.952,0.934,668271,63000098.0,1.94,0.97,0.009,4.89
44,2020-04-10,0.941,0.924,0.941,0.923,540014,50372932.0,1.92,-1.39,-0.013,3.95
45,2020-04-13,0.92,0.917,0.925,0.912,234756,21541006.0,1.41,-0.76,-0.007,1.72
46,2020-04-14,0.92,0.94,0.95,0.919,523384,48931538.0,3.38,2.51,0.023,3.83
47,2020-04-15,0.935,0.931,0.948,0.93,489543,45891443.0,1.91,-0.96,-0.009,3.58
48,2020-04-16,0.928,0.941,0.95,0.926,527846,49634392.0,2.58,1.07,0.01,3.86
