,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-03-20,0.971,0.96,0.988,0.94,1494027,143178509.0,0.0,0.0,0.0,7.5
1,2020-03-23,0.928,0.887,0.93,0.884,1048986,95498316.0,4.79,-7.6,-0.073,5.26
2,2020-03-24,0.905,0.902,0.913,0.864,1059188,94723246.0,5.52,1.69,0.015,5.31
3,2020-03-25,0.926,0.935,0.942,0.921,999885,93279894.0,2.33,3.66,0.033,5.02
4,2020-03-26,0.921,0.912,0.931,0.91,689632,63348651.0,2.25,-2.46,-0.023,3.46
5,2020-03-27,0.921,0.904,0.928,0.902,644206,58908198.0,2.85,-0.88,-0.008,3.23
6,2020-03-30,0.873,0.876,0.89,0.856,761005,66112346.0,3.76,-3.1,-0.028,3.82
7,2020-03-31,0.883,0.871,0.892,0.869,527433,46392936.0,2.63,-0.57,-0.005,2.65
8,2020-04-01,0.87,0.885,0.904,0.867,664010,59131297.0,4.25,1.61,0.014,3.33
9,2020-04-02,0.878,0.932,0.932,0.876,1068429,96885711.0,6.33,5.31,0.047,5.36
10,2020-04-03,0.927,0.921,0.933,0.913,967620,89127953.0,2.15,-1.18,-0.011,4.85
11,2020-04-07,0.944,0.949,0.958,0.941,596543,56538754.0,1.85,3.04,0.028,2.99
12,2020-04-08,0.944,0.952,0.963,0.941,626489,59671078.0,2.32,0.32,0.003,3.14
13,2020-04-09,0.957,0.948,0.96,0.942,415354,39398286.0,1.89,-0.42,-0.004,2.08
14,2020-04-10,0.945,0.914,0.949,0.909,715157,66020079.0,4.22,-3.59,-0.034,3.59
15,2020-04-13,0.904,0.891,0.904,0.884,395478,35282752.0,2.19,-2.52,-0.023,1.98
16,2020-04-14,0.9,0.919,0.92,0.898,532819,48255406.0,2.47,3.14,0.028,2.67
17,2020-04-15,0.919,0.922,0.941,0.916,663213,61605902.0,2.72,0.33,0.003,3.33
18,2020-04-16,0.915,0.926,0.93,0.905,884331,80986726.0,2.71,0.43,0.004,4.44
19,2020-04-17,0.934,0.943,0.96,0.934,1301106,123711580.0,2.81,1.84,0.017,6.53
20,2020-04-20,0.934,0.952,0.952,0.934,890504,84095031.0,1.91,0.95,0.009,4.47
21,2020-04-21,0.942,0.937,0.944,0.921,487351,45381673.0,2.42,-1.58,-0.015,2.44
22,2020-04-22,0.929,0.941,0.943,0.923,422343,39514538.0,2.13,0.43,0.004,2.12
23,2020-04-23,0.937,0.93,0.945,0.929,370356,34657620.0,1.7,-1.17,-0.011,1.86
24,2020-04-24,0.929,0.912,0.936,0.906,586181,53774649.0,3.23,-1.94,-0.018,2.94
25,2020-04-27,0.912,0.911,0.919,0.898,707402,64403908.0,2.3,-0.11,-0.001,3.55
26,2020-04-28,0.911,0.927,0.932,0.888,527492,48271540.0,4.83,1.76,0.016,2.65
27,2020-04-29,0.919,0.928,0.932,0.918,406497,37714831.0,1.51,0.11,0.001,2.04
28,2020-04-30,0.935,0.977,0.981,0.935,946504,91379508.0,4.96,5.28,0.049,4.75
29,2020-05-06,0.969,1.008,1.01,0.966,1374216,137081291.0,4.5,3.17,0.031,6.89
30,2020-05-07,1.01,1.0,1.022,0.997,1205115,121280056.0,2.48,-0.79,-0.008,6.05
31,2020-05-08,1.003,1.013,1.025,1.003,1012073,102795268.0,2.2,1.3,0.013,5.08
32,2020-05-11,1.016,1.01,1.026,1.001,825120,83787105.0,2.47,-0.3,-0.003,4.14
33,2020-05-12,1.01,1.019,1.02,0.992,817619,82302778.0,2.77,0.89,0.009,4.1
34,2020-05-13,1.008,1.022,1.028,1.006,878942,89380111.0,2.16,0.29,0.003,4.41
35,2020-05-14,1.02,1.02,1.031,1.012,750096,76682402.0,1.86,-0.2,-0.002,3.76
36,2020-05-15,1.021,1.034,1.048,1.019,934909,96523646.0,2.84,1.37,0.014,4.69
37,2020-05-18,1.046,0.993,1.046,0.989,906707,91337077.0,5.51,-3.97,-0.041,4.55
