,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-02-07,1.0,0.999,1.001,0.999,694212,69403844.0,0.0,0.0,0.0,5.17
1,2018-02-08,0.998,0.998,1.0,0.996,47895,4780374.0,0.4,-0.1,-0.001,0.36
2,2018-02-09,1.0,0.941,1.0,0.941,29082,2836513.0,5.91,-5.71,-0.057,0.22
3,2018-02-12,0.945,0.959,0.969,0.945,46394,4435616.0,2.55,1.91,0.018,0.35
4,2018-02-13,0.959,0.971,0.99,0.959,6205,605816.0,3.23,1.25,0.012,0.05
5,2018-02-14,0.915,0.979,0.983,0.915,11307,1102566.0,7.0,0.82,0.008,0.08
6,2018-02-22,0.981,1.005,1.006,0.981,155280,15573741.0,2.55,2.66,0.026,1.16
7,2018-02-23,1.006,1.006,1.015,1.003,109216,11004455.0,1.19,0.1,0.001,0.81
8,2018-02-26,1.011,1.02,1.022,1.005,52548,5342905.0,1.69,1.39,0.014,0.39
9,2018-02-27,1.02,1.01,1.022,1.008,8806,894590.0,1.37,-0.98,-0.01,0.07
10,2018-02-28,1.0,0.995,1.007,0.993,9366,938491.0,1.39,-1.49,-0.015,0.07
11,2018-03-01,0.995,0.999,1.004,0.995,1025,101991.0,0.9,0.4,0.004,0.01
12,2018-03-02,0.999,0.999,0.999,0.989,1048,104348.0,1.0,0.0,0.0,0.01
13,2018-03-05,0.945,0.988,0.998,0.945,3831,378303.0,5.31,-1.1,-0.011,0.03
14,2018-03-06,1.065,1.002,1.066,0.959,3844,380832.0,10.83,1.42,0.014,0.03
15,2018-03-07,0.983,1.007,1.009,0.983,10642,1072708.0,2.59,0.5,0.005,0.08
16,2018-03-08,0.991,1.01,1.024,0.991,30219,3052412.0,3.28,0.3,0.003,0.23
17,2018-03-09,0.99,1.01,1.01,0.99,1223,123438.0,1.98,0.0,0.0,0.01
18,2018-03-12,1.015,1.024,1.025,1.014,36634,3744785.0,1.09,1.39,0.014,0.27
19,2018-03-13,1.024,1.015,1.024,1.013,5259,533215.0,1.07,-0.88,-0.009,0.04
20,2018-03-14,1.01,1.003,1.01,1.002,601,60255.0,0.79,-1.18,-0.012,0.0
21,2018-03-15,1.003,1.02,1.02,1.003,15055,1528959.0,1.69,1.69,0.017,0.11
22,2018-03-16,1.0,1.01,1.025,1.0,7436,759858.0,2.45,-0.98,-0.01,0.06
23,2018-03-19,0.999,1.002,1.008,0.999,90,9015.0,0.89,-0.79,-0.008,0.0
24,2018-03-20,0.998,1.0,1.0,0.998,262,26190.0,0.2,-0.2,-0.002,0.0
25,2018-03-21,1.007,1.015,1.015,1.007,5203,528096.0,0.8,1.5,0.015,0.04
26,2018-03-23,0.976,0.958,0.976,0.955,43,4119.0,2.07,-5.62,-0.057,0.0
27,2018-03-26,0.957,0.957,0.957,0.957,55,5264.0,0.0,-0.1,-0.001,0.0
28,2018-03-27,0.967,0.969,0.974,0.964,296,28553.0,1.04,1.25,0.012,0.0
29,2018-03-28,0.95,0.949,0.95,0.946,20,1898.0,0.41,-2.06,-0.02,0.0
30,2018-03-29,0.948,1.01,1.01,0.948,173,16410.0,6.53,6.43,0.061,0.0
31,2018-03-30,0.959,1.01,1.01,0.959,427,42079.0,5.05,0.0,0.0,0.0
32,2018-04-02,0.963,0.963,0.963,0.963,10,963.0,0.0,-4.65,-0.047,0.0
33,2018-04-03,0.949,0.951,0.951,0.949,69,6560.0,0.21,-1.25,-0.012,0.0
34,2018-04-04,0.93,0.985,0.994,0.93,616,59048.0,6.73,3.58,0.034,0.0
35,2018-04-09,0.95,0.951,0.951,0.95,30,2851.0,0.1,-3.45,-0.034,0.0
36,2018-04-10,0.986,0.957,0.986,0.957,172,16489.0,3.05,0.63,0.006,0.0
37,2018-04-11,0.969,0.973,0.973,0.969,2107,204180.0,0.42,1.67,0.016,0.02
38,2018-04-12,0.964,0.962,0.967,0.962,20,1929.0,0.51,-1.13,-0.011,0.0
39,2018-04-13,0.942,0.958,0.972,0.942,43,4122.0,3.12,-0.42,-0.004,0.0
40,2018-04-16,0.948,0.947,0.948,0.947,267,25296.0,0.1,-1.15,-0.011,0.0
41,2018-04-17,0.933,0.933,0.933,0.933,52,4852.0,0.0,-1.48,-0.014,0.0
42,2018-04-18,0.93,0.94,0.94,0.923,396,36624.0,1.82,0.75,0.007,0.0
43,2018-04-19,0.937,0.937,0.937,0.936,8521,797568.0,0.11,-0.32,-0.003,0.06
44,2018-04-20,0.926,0.926,0.926,0.926,73,6760.0,0.0,-1.17,-0.011,0.0
45,2018-04-23,0.927,0.96,0.96,0.927,55,5247.0,3.56,3.67,0.034,0.0
46,2018-04-24,0.955,0.945,0.957,0.942,50,4715.0,1.56,-1.56,-0.015,0.0
47,2018-04-25,0.942,0.942,0.942,0.942,1,94.0,0.0,-0.32,-0.003,0.0
48,2018-04-26,0.931,0.932,0.932,0.931,71,6612.0,0.11,-1.06,-0.01,0.0
49,2018-05-02,0.924,0.936,0.936,0.922,422,38992.0,1.5,0.43,0.004,0.0
50,2018-05-03,0.934,0.933,0.934,0.933,14,1307.0,0.11,-0.32,-0.003,0.0
51,2018-05-04,0.842,0.931,0.933,0.842,142,13039.0,9.75,-0.21,-0.002,0.0
52,2018-05-07,0.931,0.942,0.948,0.931,765,71457.0,1.83,1.18,0.011,0.01
53,2018-05-08,0.949,0.957,0.957,0.949,40,3810.0,0.85,1.59,0.015,0.0
54,2018-05-09,1.014,0.96,1.014,0.93,2661,249078.0,8.78,0.31,0.003,0.02
55,2018-05-11,0.954,0.954,0.954,0.954,180,17172.0,0.0,-0.63,-0.006,0.0
56,2018-05-14,0.96,0.962,0.974,0.96,6109,587375.0,1.47,0.84,0.008,0.05
57,2018-05-15,0.936,0.963,0.963,0.936,201,18816.0,2.81,0.1,0.001,0.0
58,2018-05-16,0.963,0.964,0.965,0.963,222,21391.0,0.21,0.1,0.001,0.0
59,2018-05-18,0.952,0.962,0.962,0.952,90,8648.0,1.04,-0.21,-0.002,0.0
60,2018-05-21,0.966,0.966,0.966,0.966,100,9660.0,0.0,0.42,0.004,0.0
61,2018-05-22,0.966,0.961,0.966,0.961,116,11201.0,0.52,-0.52,-0.005,0.0
62,2018-05-23,0.956,0.957,0.957,0.956,50,4783.0,0.1,-0.42,-0.004,0.0
63,2018-05-24,0.95,0.947,0.95,0.947,150,14211.0,0.31,-1.04,-0.01,0.0
64,2018-05-28,0.952,0.946,0.952,0.943,1080,102200.0,0.95,-0.11,-0.001,0.01
65,2018-05-29,0.93,0.942,0.942,0.93,5160,485492.0,1.27,-0.42,-0.004,0.04
66,2018-05-30,0.925,0.938,0.938,0.909,3359,308444.0,3.08,-0.42,-0.004,0.03
67,2018-05-31,0.925,0.94,0.941,0.925,412,38540.0,1.71,0.21,0.002,0.0
68,2018-06-01,0.928,0.929,0.932,0.922,1201,111404.0,1.06,-1.17,-0.011,0.01
69,2018-06-04,0.928,0.936,0.936,0.928,166,15406.0,0.86,0.75,0.007,0.0
70,2018-06-05,0.936,0.938,0.938,0.936,76,7114.0,0.21,0.21,0.002,0.0
71,2018-06-06,0.938,0.938,0.938,0.938,11,1032.0,0.0,0.0,0.0,0.0
72,2018-06-07,0.943,0.943,0.943,0.943,1,94.0,0.0,0.53,0.005,0.0
73,2018-06-08,0.938,0.938,0.938,0.938,1,94.0,0.0,-0.53,-0.005,0.0
74,2018-06-11,0.929,0.929,0.929,0.928,34,3158.0,0.11,-0.96,-0.009,0.0
75,2018-06-12,0.929,0.937,0.937,0.929,55,5114.0,0.86,0.86,0.008,0.0
76,2018-06-14,0.929,0.996,0.996,0.909,21258,2001529.0,9.28,6.3,0.059,0.16
77,2018-06-15,0.939,0.98,0.991,0.939,208,20383.0,5.22,-1.61,-0.016,0.0
78,2018-06-21,0.942,0.94,0.942,0.94,72,6771.0,0.2,-4.08,-0.04,0.0
79,2018-06-25,0.904,0.903,0.904,0.903,40,3614.0,0.11,-3.94,-0.037,0.0
80,2018-06-26,0.9,0.9,0.9,0.9,11,990.0,0.0,-0.33,-0.003,0.0
81,2018-06-27,0.9,0.88,0.92,0.85,323,28976.0,7.78,-2.22,-0.02,0.0
82,2018-06-28,0.9,0.892,0.9,0.892,96,8603.0,0.91,1.36,0.012,0.0
83,2018-06-29,0.98,0.98,0.98,0.98,1,98.0,0.0,9.87,0.088,0.0
84,2018-07-03,0.884,0.882,0.884,0.882,399,35207.0,0.2,-10.0,-0.098,0.0
85,2018-07-05,0.882,0.84,0.882,0.84,48,4229.0,4.76,-4.76,-0.042,0.0
86,2018-07-06,0.83,0.838,0.877,0.82,1638,137086.0,6.79,-0.24,-0.002,0.01
87,2018-07-09,0.849,0.9,0.918,0.849,2137,183196.0,8.23,7.4,0.062,0.02
88,2018-07-10,0.865,0.865,0.865,0.865,4,346.0,0.0,-3.89,-0.035,0.0
89,2018-07-11,0.845,0.845,0.845,0.845,29,2451.0,0.0,-2.31,-0.02,0.0
90,2018-07-12,0.863,0.93,0.93,0.863,451,41573.0,7.93,10.06,0.085,0.0
91,2018-07-13,0.9,0.884,0.9,0.87,27190,2367194.0,3.23,-4.95,-0.046,0.2
92,2018-07-16,0.882,0.88,0.884,0.88,397,35002.0,0.45,-0.45,-0.004,0.0
93,2018-07-17,0.87,0.869,0.92,0.869,157,14157.0,5.8,-1.25,-0.011,0.0
94,2018-07-18,0.861,0.862,0.862,0.861,113,9739.0,0.12,-0.81,-0.007,0.0
95,2018-07-19,0.88,0.88,0.88,0.88,25,2200.0,0.0,2.09,0.018,0.0
96,2018-07-20,0.86,0.871,0.871,0.86,630,54502.0,1.25,-1.02,-0.009,0.0
97,2018-07-23,0.87,0.871,0.871,0.87,20,1741.0,0.11,0.0,0.0,0.0
98,2018-07-24,0.889,0.889,0.889,0.889,10,889.0,0.0,2.07,0.018,0.0
99,2018-07-25,0.888,0.888,0.888,0.888,10,888.0,0.0,-0.11,-0.001,0.0
100,2018-07-26,0.887,0.94,0.94,0.887,27158,2427964.0,5.97,5.86,0.052,0.2
101,2018-07-27,0.89,0.901,0.96,0.89,885,82936.0,7.45,-4.15,-0.039,0.01
