,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-01-16,100.0,99.985,100.0,99.084,4992,49908747.0,0.0,0.0,0.0,46.63
1,2017-01-17,99.99,99.987,99.99,99.983,11080,110789927.0,0.01,0.0,0.002,103.52
2,2017-01-18,99.901,99.973,99.987,99.901,32998,329922864.0,0.09,-0.01,-0.014,308.27
3,2017-01-19,99.971,99.957,99.971,99.956,17704,176969297.0,0.02,-0.02,-0.016,165.4
4,2017-01-20,99.997,99.985,99.997,99.957,21171,211677506.0,0.04,0.03,0.028,197.78
5,2017-01-23,99.985,99.984,99.985,99.98,8559,85571176.0,0.01,0.0,-0.001,79.96
6,2017-01-24,99.992,99.99,99.992,99.989,9093,90922280.0,0.0,0.01,0.006,84.95
7,2017-01-25,99.995,99.995,100.0,99.992,11533,115327321.0,0.01,0.01,0.005,107.75
8,2017-01-26,100.014,100.015,100.05,100.009,10384,103860664.0,0.04,0.02,0.02,97.01
9,2017-02-03,99.998,99.991,99.998,99.99,16069,160675570.0,0.01,-0.02,-0.024,150.12
10,2017-02-06,99.985,99.988,99.988,99.982,16399,163961659.0,0.01,0.0,-0.003,153.2
11,2017-02-07,99.983,99.994,99.996,99.983,13338,133365986.0,0.01,0.01,0.006,124.61
12,2017-02-08,99.995,99.999,100.0,99.995,8213,82127818.0,0.01,0.01,0.005,76.73
13,2017-02-09,99.995,99.996,99.997,99.995,11988,119873040.0,0.0,0.0,-0.003,111.99
14,2017-02-10,99.993,100.003,100.003,99.993,10635,106348250.0,0.01,0.01,0.007,99.35
15,2017-02-13,99.992,99.996,99.998,99.989,8626,86253231.0,0.01,-0.01,-0.007,80.58
16,2017-02-14,99.995,99.994,99.996,99.993,10493,104923944.0,0.0,0.0,-0.002,98.03
17,2017-02-15,99.99,99.992,99.993,99.99,6986,69851582.0,0.0,0.0,-0.002,65.26
18,2017-02-16,99.993,99.991,99.995,99.991,18092,180905659.0,0.0,0.0,-0.001,169.02
19,2017-02-17,99.991,99.992,100.0,99.991,20565,205642439.0,0.01,0.0,0.001,192.12
20,2017-02-20,99.99,99.985,99.99,99.982,8716,87147740.0,0.01,-0.01,-0.007,81.43
21,2017-02-21,99.985,99.981,99.985,99.978,13809,138065260.0,0.01,0.0,-0.004,129.01
22,2017-02-22,99.98,99.992,99.993,99.98,8912,89109909.0,0.01,0.01,0.011,83.26
23,2017-02-23,99.99,99.994,99.994,99.99,10084,100833910.0,0.0,0.0,0.002,94.21
24,2017-02-24,99.999,100.004,100.005,99.999,8998,89981240.0,0.01,0.01,0.01,84.06
25,2017-02-27,99.994,99.993,99.994,99.991,10514,105133032.0,0.0,-0.01,-0.011,98.23
26,2017-02-28,99.992,99.994,99.995,99.992,7940,79390285.0,0.0,0.0,0.001,74.17
27,2017-03-01,99.993,99.997,99.998,99.993,7193,71926684.0,0.01,0.0,0.003,67.2
28,2017-03-02,100.0,99.999,100.0,99.998,7217,72172912.0,0.0,0.0,0.002,67.43
29,2017-03-03,99.999,100.007,100.007,99.999,6485,64856816.0,0.01,0.01,0.008,60.59
30,2017-03-06,99.995,100.02,100.045,99.992,6668,66687840.0,0.05,0.01,0.013,62.3
31,2017-03-07,100.008,100.008,100.009,99.999,8176,81762817.0,0.01,-0.01,-0.012,76.38
32,2017-03-08,100.008,100.016,100.098,100.006,3824,38249346.0,0.09,0.01,0.008,35.73
33,2017-03-09,100.006,100.007,100.01,100.002,6528,65279801.0,0.01,-0.01,-0.009,60.98
34,2017-03-10,100.003,100.01,100.011,100.001,13026,130261213.0,0.01,0.0,0.003,121.69
35,2017-03-13,99.992,100.0,100.004,99.992,8355,83546404.0,0.01,-0.01,-0.01,78.05
36,2017-03-14,99.998,100.011,100.09,99.998,11702,117037382.0,0.09,0.01,0.011,109.33
37,2017-03-15,100.001,100.001,100.009,99.999,13806,138063331.0,0.01,-0.01,-0.01,128.98
38,2017-03-16,99.996,99.988,100.001,99.987,18606,186036734.0,0.01,-0.01,-0.013,173.82
39,2017-03-17,99.993,99.991,100.002,99.99,13888,138869924.0,0.01,0.0,0.003,129.74
40,2017-03-20,99.99,99.999,100.0,99.975,6950,69487633.0,0.03,0.01,0.008,64.93
41,2017-03-21,100.0,99.997,100.0,99.991,11276,112756105.0,0.01,0.0,-0.002,105.35
42,2017-03-22,99.977,99.997,100.002,99.977,6957,69564913.0,0.03,0.0,0.0,64.99
43,2017-03-23,99.996,100.002,100.003,99.985,11818,118178075.0,0.02,0.01,0.005,110.41
44,2017-03-24,100.002,100.011,100.011,100.002,9720,97210811.0,0.01,0.01,0.009,90.81
45,2017-03-27,99.991,99.999,99.999,99.983,12728,127262404.0,0.02,-0.01,-0.012,118.91
46,2017-03-28,99.991,100.001,100.001,99.987,8223,82225881.0,0.01,0.0,0.002,76.82
47,2017-03-29,99.999,99.998,100.001,99.991,9622,96211104.0,0.01,0.0,-0.003,89.89
48,2017-03-30,99.998,100.0,100.0,99.996,24252,242520206.0,0.0,0.0,0.002,226.57
49,2017-03-31,99.998,100.01,100.013,99.998,5795,57949907.0,0.02,0.01,0.01,54.14
50,2017-04-05,99.982,99.992,99.992,99.982,23505,235023570.0,0.01,-0.02,-0.018,219.59
51,2017-04-06,99.992,100.004,100.004,99.987,9772,97707276.0,0.02,0.01,0.012,91.29
52,2017-04-07,99.999,100.021,100.023,99.999,15114,151156988.0,0.02,0.02,0.017,141.2
53,2017-04-10,99.991,100.001,100.003,99.99,33017,330164656.0,0.01,-0.02,-0.02,308.45
54,2017-04-11,99.999,100.012,100.014,99.998,6075,60756920.0,0.02,0.01,0.011,56.76
55,2017-04-12,100.0,100.002,100.004,99.999,13516,135163414.0,0.01,-0.01,-0.01,126.27
56,2017-04-13,99.999,100.0,100.002,99.997,13756,137561954.0,0.01,0.0,-0.002,128.51
57,2017-04-14,100.0,100.001,100.002,99.998,26341,263412102.0,0.0,0.0,0.001,246.09
58,2017-04-17,99.994,100.0,100.0,99.991,32485,324840160.0,0.01,0.0,-0.001,303.48
59,2017-04-18,99.996,99.999,100.0,99.996,6856,68556281.0,0.0,0.0,-0.001,64.05
60,2017-04-19,99.995,99.993,99.998,99.991,17030,170291327.0,0.01,-0.01,-0.006,159.1
61,2017-04-20,99.995,99.995,99.996,99.993,24349,243474110.0,0.0,0.0,0.002,227.47
62,2017-04-21,99.999,100.0,100.004,99.998,25277,252775481.0,0.01,0.01,0.005,236.15
63,2017-04-24,99.993,99.995,99.996,99.988,25078,250751211.0,0.01,-0.01,-0.005,234.28
64,2017-04-25,99.993,99.987,99.993,99.985,34297,342929824.0,0.01,-0.01,-0.008,320.41
65,2017-04-26,99.991,99.993,99.993,99.987,12772,127704679.0,0.01,0.01,0.006,119.32
66,2017-04-27,99.989,99.991,99.993,99.973,20966,209640068.0,0.02,0.0,-0.002,195.87
67,2017-04-28,100.006,100.012,100.015,100.006,16601,166025286.0,0.01,0.02,0.021,155.09
68,2017-05-02,99.992,99.996,99.997,99.992,24567,245656764.0,0.01,-0.02,-0.016,229.51
69,2017-05-03,99.994,99.996,99.996,99.99,17406,174051290.0,0.01,0.0,0.0,162.61
70,2017-05-04,99.996,99.996,99.996,99.993,24751,247499233.0,0.0,0.0,0.0,231.23
71,2017-05-05,100.0,100.01,100.013,100.0,32423,324254672.0,0.01,0.01,0.014,302.91
72,2017-05-08,99.992,100.001,100.001,99.992,21964,219631946.0,0.01,-0.01,-0.009,205.19
73,2017-05-09,99.996,100.002,100.003,99.996,6312,63116421.0,0.01,0.0,0.001,58.97
74,2017-05-10,100.0,99.998,100.005,99.996,24451,244507151.0,0.01,0.0,-0.004,228.43
75,2017-05-11,99.997,99.996,99.998,99.995,12150,121498724.0,0.0,0.0,-0.002,113.51
76,2017-05-12,100.0,100.006,100.009,99.999,14132,141322175.0,0.01,0.01,0.01,132.02
77,2017-05-15,99.996,100.0,100.002,99.99,18736,187352962.0,0.01,-0.01,-0.006,175.04
78,2017-05-16,99.998,100.0,100.003,99.997,9750,97502916.0,0.01,0.0,0.0,91.09
