,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2016-10-20,99.998,99.989,100.0,99.988,69150,691435696.0,0.0,0.0,0.0,67.47
1,2016-10-21,99.995,99.992,99.997,99.992,61816,618127056.0,0.01,0.0,0.003,60.31
2,2016-10-24,99.993,99.988,99.993,99.984,99440,994266992.0,0.01,0.0,-0.004,97.02
3,2016-10-25,99.987,99.981,99.987,99.976,93839,938205136.0,0.01,-0.01,-0.007,91.55
4,2016-10-26,99.981,99.982,99.983,99.979,60325,603133776.0,0.0,0.0,0.001,58.86
5,2016-10-27,99.98,99.968,99.98,99.961,103718,1036861456.0,0.02,-0.01,-0.014,101.19
6,2016-10-28,99.992,99.992,99.997,99.989,188103,1880903296.0,0.01,0.02,0.024,183.52
7,2016-10-31,99.991,99.985,99.992,99.981,81001,809886992.0,0.01,-0.01,-0.007,79.03
8,2016-11-01,99.985,99.992,99.992,99.984,93638,936260688.0,0.01,0.01,0.007,91.36
9,2016-11-02,99.991,99.995,99.995,99.99,103183,1031753680.0,0.01,0.0,0.003,100.67
10,2016-11-03,99.993,100.0,100.0,99.993,113737,1137319344.0,0.01,0.01,0.005,110.97
11,2016-11-04,99.995,100.0,100.004,99.995,178418,1784217360.0,0.01,0.0,0.0,174.08
12,2016-11-07,100.0,99.997,100.0,99.994,116644,1166391392.0,0.01,0.0,-0.003,113.8
13,2016-11-08,99.994,99.996,99.998,99.994,131087,1310813584.0,0.0,0.0,-0.001,127.9
14,2016-11-09,99.994,99.994,99.996,99.994,65549,655457840.0,0.0,0.0,-0.002,63.95
15,2016-11-10,99.992,99.992,99.993,99.99,129111,1291000208.0,0.0,0.0,-0.002,125.97
16,2016-11-11,99.992,99.991,99.995,99.988,120998,1209871504.0,0.01,0.0,-0.001,118.05
17,2016-11-14,99.99,99.981,99.99,99.973,89026,890103888.0,0.02,-0.01,-0.01,86.86
18,2016-11-15,99.985,99.983,99.985,99.976,166510,1664755936.0,0.01,0.0,0.002,162.46
19,2016-11-16,99.983,99.99,99.991,99.983,154535,1545155616.0,0.01,0.01,0.007,150.77
20,2016-11-17,99.99,99.987,99.99,99.982,107020,1070055312.0,0.01,0.0,-0.003,104.42
21,2016-11-18,99.987,100.0,100.0,99.987,192727,1927133360.0,0.01,0.01,0.013,188.04
22,2016-11-21,99.993,99.99,99.993,99.988,113116,1131036928.0,0.01,-0.01,-0.01,110.36
23,2016-11-22,99.99,99.988,99.99,99.986,162225,1622046480.0,0.0,0.0,-0.002,158.28
24,2016-11-23,99.99,99.987,99.996,99.982,158284,1582621152.0,0.01,0.0,-0.001,154.43
25,2016-11-24,99.985,99.987,99.988,99.983,125779,1257604000.0,0.01,0.0,0.0,122.72
26,2016-11-25,99.99,99.99,99.994,99.988,131480,1314691360.0,0.01,0.0,0.003,128.28
27,2016-11-28,99.987,99.985,99.987,99.98,142492,1424677616.0,0.01,-0.01,-0.005,139.02
28,2016-11-29,99.984,99.978,99.984,99.976,153959,1539284672.0,0.01,-0.01,-0.007,150.21
29,2016-11-30,99.979,99.966,99.979,99.96,95354,953215296.0,0.02,-0.01,-0.012,93.03
30,2016-12-01,99.966,99.97,99.972,99.96,111279,1112404912.0,0.01,0.0,0.004,108.57
31,2016-12-02,99.978,99.992,99.996,99.975,199385,1993676736.0,0.02,0.02,0.022,194.53
32,2016-12-05,99.989,99.993,99.997,99.968,176942,1769209056.0,0.03,0.0,0.001,172.63
33,2016-12-06,99.991,99.994,99.994,99.99,224337,2243182336.0,0.0,0.0,0.001,218.88
34,2016-12-07,99.991,99.993,99.994,99.989,140503,1404907072.0,0.01,0.0,-0.001,137.08
35,2016-12-08,99.991,99.991,99.992,99.988,80206,801977136.0,0.0,0.0,-0.002,78.25
36,2016-12-09,99.992,99.999,100.0,99.992,183353,1833480256.0,0.01,0.01,0.008,178.89
37,2016-12-12,99.992,99.991,99.993,99.987,142410,1423950464.0,0.01,-0.01,-0.008,138.94
38,2016-12-13,99.988,99.984,99.993,99.982,122042,1220248448.0,0.01,-0.01,-0.007,119.07
39,2016-12-14,99.983,99.977,99.984,99.975,91183,911622080.0,0.01,-0.01,-0.007,88.96
40,2016-12-15,99.97,99.936,99.97,99.92,26433,264162261.0,0.05,-0.04,-0.041,25.79
41,2016-12-16,99.936,99.93,99.94,99.85,24173,241536989.0,0.09,-0.01,-0.006,23.58
42,2016-12-19,99.926,99.93,99.95,99.9,41525,414957648.0,0.05,0.0,0.0,40.51
43,2016-12-20,99.94,99.957,99.96,99.93,10080,100739127.0,0.03,0.03,0.027,9.83
44,2016-12-21,99.95,99.981,99.983,99.95,37373,373640992.0,0.03,0.02,0.024,36.46
45,2016-12-22,99.981,99.985,99.987,99.981,103501,1034857792.0,0.01,0.0,0.004,100.98
46,2016-12-23,99.987,99.993,99.995,99.987,114256,1142469568.0,0.01,0.01,0.008,111.47
47,2016-12-26,99.985,99.978,99.985,99.975,90100,900817360.0,0.01,-0.02,-0.015,87.91
48,2016-12-27,99.977,99.976,99.98,99.973,43877,438657376.0,0.01,0.0,-0.002,42.81
49,2016-12-28,99.975,99.998,100.002,99.967,74518,744978976.0,0.04,0.02,0.022,72.7
50,2016-12-29,99.998,100.002,100.003,99.972,31595,315908096.0,0.03,0.0,0.004,30.83
51,2016-12-30,100.004,100.004,100.037,100.0,59000,590088752.0,0.04,0.0,0.002,57.56
