,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-01-05,99.811,99.977,99.995,99.81,5999,59965574.0,0.0,0.0,0.0,6.86
1,2015-01-06,99.974,99.98,99.989,99.905,4874,48721151.0,0.08,0.0,0.003,5.57
2,2015-01-07,99.961,99.987,99.99,99.961,3905,39045655.0,0.03,0.01,0.007,4.46
3,2015-01-08,99.962,99.995,99.995,99.962,17852,178495931.0,0.03,0.01,0.008,20.41
4,2015-01-09,100.0,99.999,100.004,99.996,17464,174635467.0,0.01,0.0,0.004,19.97
5,2015-01-12,99.91,99.979,99.993,99.81,17708,177041437.0,0.18,-0.02,-0.02,20.25
6,2015-01-13,99.965,99.987,99.99,99.965,15406,154033448.0,0.03,0.01,0.008,17.61
7,2015-01-14,99.987,99.996,99.997,99.983,16007,160056523.0,0.01,0.01,0.009,18.3
8,2015-01-15,99.996,99.997,100.0,99.996,14929,149286490.0,0.0,0.0,0.001,17.07
9,2015-01-16,100.004,100.0,100.004,99.998,18503,185028155.0,0.01,0.0,0.003,21.16
10,2015-01-19,99.999,100.002,100.002,99.999,11291,112911521.0,0.0,0.0,0.002,12.91
11,2015-01-20,100.002,100.018,100.019,100.002,14817,148185117.0,0.02,0.02,0.016,16.94
12,2015-01-21,100.018,100.022,100.022,100.01,18061,180642262.0,0.01,0.0,0.004,20.65
13,2015-01-22,100.022,100.024,100.026,100.012,16317,163198651.0,0.01,0.0,0.002,18.66
14,2015-01-23,100.024,100.041,100.045,100.023,12098,121011016.0,0.02,0.02,0.017,13.83
15,2015-01-26,100.005,100.016,100.02,100.001,14518,145192066.0,0.02,-0.02,-0.025,16.6
16,2015-01-27,100.0,100.002,100.015,100.0,17120,171216146.0,0.01,-0.01,-0.014,19.57
17,2015-01-28,100.002,100.002,100.002,100.0,12814,128139674.0,0.0,0.0,0.0,14.65
18,2015-01-29,100.0,100.001,100.001,99.999,12476,124759501.0,0.0,0.0,-0.001,14.26
19,2015-01-30,100.001,100.0,100.013,99.999,21930,219301423.0,0.01,0.0,-0.001,25.07
20,2015-02-02,99.997,99.996,99.999,99.994,20523,205227551.0,0.01,0.0,-0.004,23.47
21,2015-02-03,99.997,99.998,99.999,99.993,22107,221066650.0,0.01,0.0,0.002,25.28
22,2015-02-04,99.998,99.998,100.0,99.996,20588,205878939.0,0.0,0.0,0.0,23.54
23,2015-02-05,99.996,99.987,99.997,99.955,17923,179211362.0,0.04,-0.01,-0.011,20.49
24,2015-02-06,99.987,99.999,100.0,99.985,22719,227174321.0,0.02,0.01,0.012,25.98
25,2015-02-09,99.98,99.95,99.982,99.94,24669,246573109.0,0.04,-0.05,-0.049,28.21
26,2015-02-10,99.9,99.903,99.96,99.88,14968,149546731.0,0.08,-0.05,-0.047,17.11
27,2015-02-11,99.954,99.949,99.958,99.906,10643,106355730.0,0.05,0.05,0.046,12.17
28,2015-02-12,99.995,99.999,100.0,99.982,16875,168747297.0,0.02,0.05,0.05,19.29
29,2015-02-13,100.03,100.249,100.3,100.03,16630,166417503.0,0.27,0.25,0.25,19.01
30,2015-02-16,100.249,100.27,100.44,100.066,8598,86200685.0,0.37,0.02,0.021,9.83
31,2015-02-17,100.2,100.381,100.399,100.199,15078,151206951.0,0.2,0.11,0.111,17.24
32,2015-02-25,100.001,100.014,100.17,99.998,13528,135291732.0,0.17,-0.37,-0.367,15.47
33,2015-02-26,100.003,100.012,100.015,100.0,15567,155687913.0,0.01,0.0,-0.002,17.8
34,2015-02-27,100.01,100.013,100.025,100.004,18296,182971586.0,0.02,0.0,0.001,20.92
35,2015-03-02,100.0,100.004,100.004,99.996,19047,190467804.0,0.01,-0.01,-0.009,21.78
36,2015-03-03,100.0,100.001,100.005,99.998,16295,162949226.0,0.01,0.0,-0.003,18.63
37,2015-03-04,100.001,100.002,100.003,99.999,15732,157317161.0,0.0,0.0,0.001,17.99
38,2015-03-05,99.999,100.0,100.001,99.998,18769,187689405.0,0.0,0.0,-0.002,21.46
39,2015-03-06,100.0,99.997,100.0,99.987,17414,174123773.0,0.01,0.0,-0.003,19.91
40,2015-03-09,99.961,99.963,99.967,99.91,23382,233708061.0,0.06,-0.03,-0.034,26.73
41,2015-03-10,99.96,99.939,99.96,99.92,17263,172519534.0,0.04,-0.02,-0.024,19.74
42,2015-03-11,99.93,99.923,99.933,99.8,12276,122603791.0,0.13,-0.02,-0.016,14.04
43,2015-03-12,99.911,99.952,99.961,99.11,8418,84125257.0,0.85,0.03,0.029,9.62
44,2015-03-13,99.99,100.002,100.003,99.99,15090,150901188.0,0.01,0.05,0.05,17.25
45,2015-03-16,100.0,100.007,100.007,100.0,30648,306491920.0,0.01,0.01,0.005,35.04
46,2015-03-17,100.0,100.01,100.012,100.0,22300,223021710.0,0.01,0.0,0.003,25.5
47,2015-03-18,100.005,100.01,100.014,100.001,19502,195033558.0,0.01,0.0,0.0,22.3
48,2015-03-19,100.005,100.01,100.012,100.003,238877,2388970208.0,0.01,0.0,0.0,273.12
49,2015-03-20,100.01,100.025,100.025,100.005,63153,631607344.0,0.02,0.01,0.015,72.21
50,2015-03-23,100.0,100.012,100.015,100.0,101924,1019357280.0,0.01,-0.01,-0.013,116.53
51,2015-03-24,100.004,100.011,100.016,100.002,121682,1216965920.0,0.01,0.0,-0.001,139.12
52,2015-03-25,100.01,100.014,100.026,100.005,90747,907554544.0,0.02,0.0,0.003,103.75
53,2015-03-26,100.013,100.015,100.019,100.012,126401,1264222064.0,0.01,0.0,0.001,144.52
54,2015-03-27,100.015,100.023,100.029,100.012,86895,869098240.0,0.02,0.01,0.008,99.35
55,2015-03-30,100.011,100.01,100.012,99.995,30839,308396128.0,0.02,-0.01,-0.013,35.26
56,2015-03-31,100.007,100.017,100.018,100.005,58396,584027904.0,0.01,0.01,0.007,66.77
57,2015-04-01,100.0,100.0,100.0,99.995,22209,222081594.0,0.01,-0.02,-0.017,25.39
58,2015-04-02,100.0,99.995,100.0,99.991,23646,236442882.0,0.01,-0.01,-0.005,27.04
59,2015-04-03,99.998,100.025,100.026,99.998,79742,797480144.0,0.03,0.03,0.03,91.17
60,2015-04-07,99.998,100.003,100.004,99.987,74883,748800112.0,0.02,-0.02,-0.022,85.62
61,2015-04-08,99.998,100.001,100.002,99.994,207881,2078769792.0,0.01,0.0,-0.002,237.68
62,2015-04-09,99.998,99.995,99.998,99.993,105719,1057150688.0,0.01,-0.01,-0.006,120.87
63,2015-04-10,99.995,99.994,99.995,99.985,113816,1138025376.0,0.01,0.0,-0.001,130.13
64,2015-04-13,99.979,99.937,99.979,99.92,21456,214429763.0,0.06,-0.06,-0.057,24.53
65,2015-04-14,99.93,99.96,99.96,99.921,82305,822467696.0,0.04,0.02,0.023,94.1
66,2015-04-15,99.958,99.979,99.982,99.941,66078,660519184.0,0.04,0.02,0.019,75.55
67,2015-04-16,99.979,99.985,99.992,99.966,52322,523134848.0,0.03,0.01,0.006,59.82
68,2015-04-17,100.002,100.032,100.033,100.002,72563,725783472.0,0.03,0.05,0.047,82.96
69,2015-04-20,100.018,100.02,100.023,100.01,72675,726878336.0,0.01,-0.01,-0.012,83.09
70,2015-04-21,100.02,100.04,100.04,100.015,128429,1284626672.0,0.02,0.02,0.02,146.84
71,2015-04-22,100.027,100.025,100.035,100.011,141954,1419909952.0,0.02,-0.01,-0.015,162.3
72,2015-04-23,100.023,100.02,100.023,100.002,359908,3599595328.0,0.02,0.0,-0.005,411.5
73,2015-04-24,100.003,100.018,100.02,100.002,196739,1967705904.0,0.02,0.0,-0.002,224.94
74,2015-04-27,100.004,100.005,100.007,100.002,216856,2168683680.0,0.01,-0.01,-0.013,247.94
75,2015-04-28,100.001,100.0,100.002,99.996,162205,1622030432.0,0.01,-0.01,-0.005,185.45
76,2015-04-29,99.996,100.005,100.008,99.996,56389,563895600.0,0.01,0.01,0.005,64.47
77,2015-04-30,100.003,100.006,100.017,100.002,118060,1180682000.0,0.02,0.0,0.001,134.98
78,2015-05-04,99.965,99.951,99.965,99.93,85554,855137792.0,0.03,-0.05,-0.055,97.82
79,2015-05-05,99.95,99.947,99.95,99.928,83494,834379632.0,0.02,0.0,-0.004,95.46
80,2015-05-06,99.94,99.973,99.988,99.935,112977,1129286720.0,0.05,0.03,0.026,129.17
