,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-11-29,0.993,0.975,0.997,0.974,473499,46831833.0,0.0,0.0,0.0,7.47
1,2018-11-30,0.974,0.983,0.984,0.969,285336,27838916.0,1.54,0.82,0.008,4.5
2,2018-12-03,1.0,1.008,1.012,0.995,805386,81021204.0,1.73,2.54,0.025,12.71
3,2018-12-04,1.005,1.009,1.012,1.002,225082,22697841.0,0.99,0.1,0.001,3.55
4,2018-12-05,0.998,1.006,1.01,0.998,117483,11795074.0,1.19,-0.3,-0.003,1.85
5,2018-12-06,1.001,0.991,1.001,0.99,71504,7121122.0,1.09,-1.49,-0.015,1.13
6,2018-12-07,0.989,0.995,0.995,0.989,31011,3078356.0,0.61,0.4,0.004,0.49
7,2018-12-10,0.99,0.984,0.992,0.98,79273,7809980.0,1.21,-1.11,-0.011,1.25
8,2018-12-11,0.984,0.989,0.992,0.984,77107,7612677.0,0.81,0.51,0.005,1.22
9,2018-12-12,0.991,0.996,0.997,0.987,143036,14179819.0,1.01,0.71,0.007,2.26
10,2018-12-13,0.995,1.009,1.011,0.993,448391,45137125.0,1.81,1.31,0.013,7.08
11,2018-12-14,1.008,0.998,1.008,0.995,174461,17471640.0,1.29,-1.09,-0.011,2.75
12,2018-12-17,0.996,0.991,0.996,0.984,159613,15811113.0,1.2,-0.7,-0.007,2.52
13,2018-12-18,0.983,0.983,0.993,0.976,144286,14185166.0,1.72,-0.81,-0.008,2.28
14,2018-12-19,0.983,0.971,0.984,0.971,132043,12908924.0,1.32,-1.22,-0.012,2.08
15,2018-12-20,0.971,0.968,0.975,0.961,228323,22104454.0,1.44,-0.31,-0.003,3.6
16,2018-12-21,0.968,0.958,0.968,0.953,186903,17902113.0,1.55,-1.03,-0.01,2.95
17,2018-12-24,0.958,0.962,0.963,0.952,140601,13480796.0,1.15,0.42,0.004,2.22
18,2018-12-25,0.96,0.958,0.96,0.937,193859,18345849.0,2.39,-0.42,-0.004,3.06
19,2018-12-26,0.956,0.951,0.96,0.947,153767,14640170.0,1.36,-0.73,-0.007,2.43
20,2018-12-27,0.96,0.947,0.966,0.947,223497,21410019.0,2.0,-0.42,-0.004,3.53
21,2018-12-28,0.949,0.95,0.957,0.945,259322,24655438.0,1.27,0.32,0.003,4.09
22,2019-01-02,0.955,0.931,0.955,0.93,140932,13196000.0,2.63,-2.0,-0.019,2.22
23,2019-01-03,0.931,0.924,0.939,0.924,91842,8547104.0,1.61,-0.75,-0.007,1.45
24,2019-01-04,0.922,0.942,0.944,0.917,190888,17839728.0,2.92,1.95,0.018,3.01
25,2019-01-07,0.947,0.953,0.954,0.944,219771,20861916.0,1.06,1.17,0.011,3.47
26,2019-01-08,0.952,0.95,0.952,0.947,63554,6038659.0,0.52,-0.31,-0.003,1.0
27,2019-01-09,0.95,0.957,0.969,0.95,302953,29193561.0,2.0,0.74,0.007,4.78
28,2019-01-10,0.958,0.956,0.963,0.954,92118,8820936.0,0.94,-0.1,-0.001,1.45
29,2019-01-11,0.956,0.96,0.962,0.954,38939,3727745.0,0.84,0.42,0.004,0.61
30,2019-01-14,0.961,0.953,0.961,0.95,87171,8308745.0,1.15,-0.73,-0.007,1.38
31,2019-01-15,0.953,0.966,0.966,0.95,102220,9782939.0,1.68,1.36,0.013,1.61
32,2019-01-16,0.964,0.969,0.97,0.963,120065,11607376.0,0.72,0.31,0.003,1.89
33,2019-01-17,0.969,0.962,0.97,0.96,69035,6661665.0,1.03,-0.72,-0.007,1.09
34,2019-01-18,0.965,0.973,0.975,0.962,156368,15155089.0,1.35,1.14,0.011,2.47
35,2019-01-21,0.972,0.978,0.982,0.972,120937,11832731.0,1.03,0.51,0.005,1.91
36,2019-01-22,0.978,0.968,0.978,0.966,86072,8370214.0,1.23,-1.02,-0.01,1.36
37,2019-01-23,0.967,0.969,0.972,0.966,41920,4062246.0,0.62,0.1,0.001,0.66
38,2019-01-24,0.971,0.973,0.975,0.966,82021,7963171.0,0.93,0.41,0.004,1.29
39,2019-01-25,0.973,0.979,0.985,0.973,134140,13157887.0,1.23,0.62,0.006,2.12
40,2019-01-28,0.978,0.979,0.989,0.976,126668,12451202.0,1.33,0.0,0.0,2.0
41,2019-01-29,0.975,0.977,0.981,0.961,81940,7960263.0,2.04,-0.2,-0.002,1.29
42,2019-01-30,0.977,0.969,0.979,0.967,147114,14340620.0,1.23,-0.82,-0.008,2.32
43,2019-01-31,0.969,0.969,0.978,0.967,103405,10044705.0,1.14,0.0,0.0,1.63
44,2019-02-01,0.967,0.987,0.988,0.967,214942,21037166.0,2.17,1.86,0.018,3.39
45,2019-02-11,0.986,1.005,1.006,0.98,280313,27941555.0,2.63,1.82,0.018,4.42
46,2019-02-12,1.002,1.012,1.015,1.002,462146,46675800.0,1.29,0.7,0.007,7.29
47,2019-02-13,1.013,1.029,1.032,1.012,491838,50315237.0,1.98,1.68,0.017,7.76
