,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-08-07,1.01,1.0,1.012,0.984,1063933,106994080.0,0.0,0.0,0.0,366.36
1,2020-08-10,0.997,1.004,1.011,0.987,472769,47403687.0,2.4,0.4,0.004,162.79
2,2020-08-11,1.003,0.996,1.018,0.995,456786,46289857.0,2.29,-0.8,-0.008,157.29
3,2020-08-12,0.996,0.988,0.996,0.972,91328,8967644.0,2.41,-0.8,-0.008,31.45
4,2020-08-13,0.993,0.986,0.993,0.983,81524,8049801.0,1.01,-0.2,-0.002,28.07
5,2020-08-14,0.987,0.998,0.999,0.983,89126,8843921.0,1.62,1.22,0.012,30.69
6,2020-08-17,0.999,1.018,1.023,0.999,681278,69216824.0,2.4,2.0,0.02,234.59
7,2020-08-18,1.019,1.023,1.025,1.017,306786,31315250.0,0.79,0.49,0.005,105.64
8,2020-08-19,1.021,1.005,1.021,1.005,134763,13666623.0,1.56,-1.76,-0.018,46.4
9,2020-08-20,1.004,0.997,1.004,0.993,68197,6810009.0,1.09,-0.8,-0.008,23.48
10,2020-08-21,0.997,1.005,1.009,0.997,101759,10229086.0,1.2,0.8,0.008,35.04
11,2020-08-24,1.009,1.01,1.016,1.004,115228,11641472.0,1.19,0.5,0.005,39.68
12,2020-08-25,1.008,1.014,1.024,1.008,140684,14285985.0,1.58,0.4,0.004,48.44
13,2020-08-26,1.013,1.002,1.018,1.0,64020,6442849.0,1.78,-1.18,-0.012,22.04
14,2020-08-27,1.003,1.007,1.008,0.998,51203,5135896.0,1.0,0.5,0.005,17.63
15,2020-08-28,1.006,1.029,1.031,1.006,339417,34696611.0,2.48,2.18,0.022,116.88
16,2020-08-31,1.029,1.023,1.042,1.023,242501,25153013.0,1.85,-0.58,-0.006,83.5
17,2020-09-01,1.025,1.03,1.03,1.02,284326,29137087.0,0.98,0.68,0.007,97.91
18,2020-09-02,1.031,1.031,1.037,1.023,151277,15593914.0,1.36,0.1,0.001,52.09
19,2020-09-03,1.031,1.028,1.039,1.024,66197,6834091.0,1.45,-0.29,-0.003,22.79
20,2020-09-04,1.025,1.016,1.025,1.008,53165,5386300.0,1.65,-1.17,-0.012,18.31
21,2020-09-07,1.011,0.995,1.02,0.991,81877,8226559.0,2.85,-2.07,-0.021,28.19
22,2020-09-08,0.996,0.997,1.0,0.988,54158,5383449.0,1.21,0.2,0.002,18.65
23,2020-09-09,0.997,0.976,0.997,0.972,102999,10083391.0,2.51,-2.11,-0.021,35.47
24,2020-09-10,0.976,0.969,0.984,0.968,61375,5988062.0,1.64,-0.72,-0.007,21.13
25,2020-09-11,0.972,0.982,0.984,0.966,90206,8802150.0,1.86,1.34,0.013,31.06
26,2020-09-14,0.987,0.986,0.988,0.979,65416,6428270.0,0.92,0.41,0.004,22.53
27,2020-09-15,0.984,0.992,0.993,0.982,80140,7926892.0,1.12,0.61,0.006,27.6
28,2020-09-16,0.993,0.986,0.993,0.983,38516,3807354.0,1.01,-0.6,-0.006,13.26
29,2020-09-17,0.982,0.984,0.988,0.976,48668,4771260.0,1.22,-0.2,-0.002,16.76
30,2020-09-18,0.988,0.999,1.0,0.981,71031,7049422.0,1.93,1.52,0.015,24.46
31,2020-09-21,1.0,0.991,1.003,0.99,41367,4109450.0,1.3,-0.8,-0.008,14.24
32,2020-09-22,0.99,0.983,0.996,0.982,206825,20449640.0,1.41,-0.81,-0.008,71.22
33,2020-09-23,0.984,0.982,0.986,0.979,59626,5860156.0,0.71,-0.1,-0.001,20.53
34,2020-09-24,0.981,0.969,0.981,0.968,27315,2656365.0,1.32,-1.32,-0.013,9.41
35,2020-09-25,0.971,0.969,0.974,0.964,18831,1824943.0,1.03,0.0,0.0,6.48
36,2020-09-28,0.97,0.969,0.976,0.968,5726,557035.0,0.83,0.0,0.0,1.97
