,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-04-30,0.96,0.973,0.98,0.96,176256,17130592.0,0.0,0.0,0.0,13.9
1,2019-05-06,0.944,0.912,0.944,0.902,254560,23390160.0,4.32,-6.27,-0.061,20.07
2,2019-05-07,0.911,0.923,0.929,0.907,108650,9986433.0,2.41,1.21,0.011,8.57
3,2019-05-08,0.9,0.904,0.919,0.898,293899,26614321.0,2.28,-2.06,-0.019,23.18
4,2019-05-09,0.899,0.879,0.905,0.879,437701,38919087.0,2.88,-2.77,-0.025,34.52
5,2019-05-10,0.889,0.914,0.917,0.88,697184,62765487.0,4.21,3.98,0.035,54.98
6,2019-05-13,0.9,0.903,0.912,0.899,200165,18139033.0,1.42,-1.2,-0.011,15.79
7,2019-05-14,0.899,0.901,0.907,0.89,96585,8710627.0,1.88,-0.22,-0.002,7.62
8,2019-05-15,0.905,0.93,0.935,0.905,1297129,119472156.0,3.33,3.22,0.029,102.29
9,2019-05-16,0.925,0.931,0.932,0.919,58890,5460820.0,1.4,0.11,0.001,4.64
10,2019-05-17,0.928,0.908,0.932,0.905,427652,39047060.0,2.9,-2.47,-0.023,33.73
11,2019-05-20,0.91,0.902,0.91,0.895,86441,7771526.0,1.65,-0.66,-0.006,6.82
12,2019-05-21,0.897,0.91,0.922,0.897,335036,30457589.0,2.77,0.89,0.008,26.42
13,2019-05-22,0.914,0.908,0.914,0.903,101761,9217525.0,1.21,-0.22,-0.002,8.02
14,2019-05-23,0.907,0.894,0.907,0.893,136826,12293538.0,1.54,-1.54,-0.014,10.79
15,2019-05-24,0.893,0.896,0.904,0.891,66242,5927427.0,1.45,0.22,0.002,5.22
16,2019-05-27,0.893,0.904,0.905,0.886,84100,7536790.0,2.12,0.89,0.008,6.63
17,2019-05-28,0.902,0.907,0.914,0.9,411685,37415877.0,1.55,0.33,0.003,32.47
18,2019-05-29,0.909,0.91,0.914,0.905,84890,7717419.0,0.99,0.33,0.003,6.69
19,2019-05-30,0.91,0.905,0.91,0.897,72392,6544466.0,1.43,-0.55,-0.005,5.71
20,2019-05-31,0.904,0.906,0.912,0.902,126622,11487546.0,1.1,0.11,0.001,9.99
21,2019-06-03,0.905,0.905,0.914,0.899,335106,30431187.0,1.66,-0.11,-0.001,26.43
