,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-08-16,0.972,0.988,0.998,0.971,391519,38550783.0,0.0,0.0,0.0,2.03
1,2019-08-19,1.002,1.038,1.04,1.001,1815656,186008924.0,3.95,5.06,0.05,9.43
2,2019-08-20,1.042,1.034,1.055,1.032,944237,98394199.0,2.22,-0.39,-0.004,4.9
3,2019-08-21,1.035,1.039,1.046,1.03,762038,79178221.0,1.55,0.48,0.005,3.96
4,2019-08-22,1.04,1.04,1.045,1.029,544161,56630515.0,1.54,0.1,0.001,2.83
5,2019-08-23,1.042,1.04,1.055,1.035,777147,81232271.0,1.92,0.0,0.0,4.04
6,2019-08-26,1.026,1.023,1.031,1.017,586206,60041344.0,1.35,-1.63,-0.017,3.04
7,2019-08-27,1.03,1.057,1.07,1.03,908291,95389109.0,3.91,3.32,0.034,4.72
8,2019-08-28,1.057,1.057,1.064,1.047,343337,36199843.0,1.61,0.0,0.0,1.78
9,2019-08-29,1.057,1.067,1.078,1.05,476674,50792291.0,2.65,0.95,0.01,2.48
10,2019-08-30,1.073,1.05,1.088,1.045,579732,61992399.0,4.03,-1.59,-0.017,3.01
11,2019-09-02,1.051,1.099,1.1,1.051,652269,70498095.0,4.67,4.67,0.049,3.39
12,2019-09-03,1.1,1.109,1.114,1.089,741699,81743702.0,2.27,0.91,0.01,3.85
13,2019-09-04,1.102,1.119,1.121,1.101,448049,49808825.0,1.8,0.9,0.01,2.33
14,2019-09-05,1.131,1.146,1.174,1.131,627190,72382214.0,3.84,2.41,0.027,3.26
15,2019-09-06,1.148,1.165,1.168,1.137,711900,82387304.0,2.71,1.66,0.019,3.7
16,2019-09-09,1.175,1.204,1.205,1.164,823063,97323365.0,3.52,3.35,0.039,4.27
17,2019-09-10,1.21,1.189,1.21,1.173,781137,93054219.0,3.07,-1.25,-0.015,4.06
18,2019-09-11,1.197,1.167,1.199,1.165,454730,53451087.0,2.86,-1.85,-0.022,2.36
19,2019-09-12,1.17,1.179,1.18,1.164,260528,30571593.0,1.37,1.03,0.012,1.35
20,2019-09-16,1.18,1.186,1.199,1.179,510017,60740011.0,1.7,0.59,0.007,2.65
21,2019-09-17,1.186,1.153,1.186,1.139,710219,82004696.0,3.96,-2.78,-0.033,3.69
