,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-07-05,1.041,1.043,1.045,1.036,14652671,1525032272.0,0.0,0.0,0.0,1025.7
1,2019-07-08,1.038,1.021,1.039,1.018,1910117,196313089.0,2.01,-2.11,-0.022,133.71
2,2019-07-09,1.02,1.018,1.025,1.015,850609,86650193.0,0.98,-0.29,-0.003,59.54
3,2019-07-10,1.02,1.014,1.023,1.011,447373,45452925.0,1.18,-0.39,-0.004,31.32
4,2019-07-11,1.018,1.017,1.026,1.014,540793,55227097.0,1.18,0.3,0.003,37.86
5,2019-07-12,1.017,1.025,1.029,1.017,622243,63728867.0,1.18,0.79,0.008,43.56
6,2019-07-15,1.024,1.024,1.033,1.009,401097,40834535.0,2.34,-0.1,-0.001,28.08
7,2019-07-16,1.02,1.023,1.027,1.02,288992,29576104.0,0.68,-0.1,-0.001,20.23
8,2019-07-17,1.02,1.02,1.025,1.018,257144,26270739.0,0.68,-0.29,-0.003,18.0
9,2019-07-18,1.019,1.017,1.02,1.015,163441,16634614.0,0.49,-0.29,-0.003,11.44
10,2019-07-19,1.02,1.027,1.031,1.02,467062,48004579.0,1.08,0.98,0.01,32.69
11,2019-07-22,1.026,1.022,1.031,1.02,366735,37635872.0,1.07,-0.49,-0.005,25.67
12,2019-07-23,1.022,1.025,1.027,1.022,252878,25912316.0,0.49,0.29,0.003,17.7
13,2019-07-24,1.026,1.032,1.038,1.026,509345,52702688.0,1.17,0.68,0.007,35.65
14,2019-07-25,1.032,1.039,1.04,1.032,615128,63776112.0,0.78,0.68,0.007,43.06
15,2019-07-26,1.037,1.041,1.043,1.035,597526,62137799.0,0.77,0.19,0.002,41.83
16,2019-07-29,1.041,1.041,1.043,1.038,261760,27228426.0,0.48,0.0,0.0,18.32
17,2019-07-30,1.041,1.046,1.051,1.041,543189,56873470.0,0.96,0.48,0.005,38.02
18,2019-07-31,1.043,1.035,1.045,1.034,139977,14519926.0,1.05,-1.05,-0.011,9.8
19,2019-08-01,1.033,1.026,1.035,1.023,135061,13902232.0,1.16,-0.87,-0.009,9.45
20,2019-08-02,1.019,1.014,1.019,1.007,258321,26129766.0,1.17,-1.17,-0.012,18.08
21,2019-08-05,1.01,0.996,1.01,0.994,482310,48309790.0,1.58,-1.78,-0.018,33.76
22,2019-08-06,0.992,0.986,0.992,0.975,299678,29404928.0,1.71,-1.0,-0.01,20.98
23,2019-08-07,0.99,0.981,0.992,0.98,235241,23135158.0,1.22,-0.51,-0.005,16.47
24,2019-08-08,0.981,0.993,0.995,0.981,159407,15766743.0,1.43,1.22,0.012,11.16
25,2019-08-09,0.994,0.988,0.998,0.985,138703,13756242.0,1.31,-0.5,-0.005,9.71
26,2019-08-12,0.988,1.0,1.001,0.988,149771,14910199.0,1.32,1.21,0.012,10.48
27,2019-08-13,0.996,0.992,0.997,0.99,125879,12499816.0,0.7,-0.8,-0.008,8.81
28,2019-08-14,1.002,0.991,1.003,0.991,158746,15808337.0,1.21,-0.1,-0.001,11.11
29,2019-08-15,0.987,0.995,0.996,0.979,197642,19479500.0,1.72,0.4,0.004,13.84
30,2019-08-16,0.994,0.993,1.0,0.989,281485,27986875.0,1.11,-0.2,-0.002,19.7
31,2019-08-19,0.995,1.008,1.009,0.994,333379,33449684.0,1.51,1.51,0.015,23.34
32,2019-08-20,1.008,1.007,1.011,1.005,253343,25548349.0,0.6,-0.1,-0.001,17.73
33,2019-08-21,1.006,1.007,1.01,1.004,112601,11352986.0,0.6,0.0,0.0,7.88
34,2019-08-22,1.009,1.007,1.01,1.002,130711,13150709.0,0.79,0.0,0.0,9.15
35,2019-08-23,1.006,1.014,1.015,1.006,386489,39127234.0,0.89,0.7,0.007,27.05
36,2019-08-26,1.008,1.0,1.008,0.995,177935,17807718.0,1.28,-1.38,-0.014,12.46
37,2019-08-27,1.002,1.01,1.015,1.002,273953,27693471.0,1.3,1.0,0.01,19.18
38,2019-08-28,1.009,1.002,1.01,1.001,191631,19238416.0,0.89,-0.79,-0.008,13.41
39,2019-08-29,1.002,0.997,1.004,0.993,211519,21075463.0,1.1,-0.5,-0.005,14.81
40,2019-08-30,0.999,0.997,1.006,0.994,190280,19036304.0,1.2,0.0,0.0,13.32
41,2019-09-02,0.997,1.005,1.011,0.997,357121,35981414.0,1.4,0.8,0.008,25.0
42,2019-09-03,1.008,1.007,1.009,1.004,845077,85064250.0,0.5,0.2,0.002,59.16
43,2019-09-04,1.006,1.024,1.024,1.006,1236599,125957448.0,1.79,1.69,0.017,86.56
44,2019-09-05,1.029,1.03,1.044,1.025,1401570,144964104.0,1.86,0.59,0.006,98.11
45,2019-09-06,1.035,1.039,1.039,1.031,967158,100067541.0,0.78,0.87,0.009,67.7
46,2019-09-09,1.043,1.038,1.046,1.036,1092307,113495540.0,0.96,-0.1,-0.001,76.46
47,2019-09-10,1.037,1.033,1.038,1.03,1161058,119809452.0,0.77,-0.48,-0.005,81.28
48,2019-09-11,1.036,1.036,1.038,1.031,821444,84963719.0,0.68,0.29,0.003,57.5
49,2019-09-12,1.037,1.045,1.046,1.036,1155671,120115564.0,0.97,0.87,0.009,80.9
50,2019-09-16,1.047,1.041,1.048,1.037,1012038,105276729.0,1.05,-0.38,-0.004,70.84
51,2019-09-17,1.038,1.025,1.038,1.022,1136454,116985815.0,1.54,-1.54,-0.016,79.55
52,2019-09-18,1.026,1.027,1.03,1.025,890590,91450765.0,0.49,0.2,0.002,62.34
53,2019-09-19,1.027,1.028,1.029,1.023,168138,17241919.0,0.58,0.1,0.001,11.77
54,2019-09-20,1.027,1.028,1.029,1.025,910335,93423403.0,0.39,0.0,0.0,63.72
55,2019-09-23,1.023,1.016,1.025,1.012,1089316,110452071.0,1.26,-1.17,-0.012,76.25
56,2019-09-24,1.016,1.016,1.021,1.015,269669,27441009.0,0.59,0.0,0.0,18.88
57,2019-09-25,1.013,1.014,1.018,1.011,300562,30458901.0,0.69,-0.2,-0.002,21.04
58,2019-09-26,1.019,1.016,1.022,1.015,273086,27822741.0,0.69,0.2,0.002,19.12
59,2019-09-27,1.016,1.014,1.017,1.01,191654,19420146.0,0.69,-0.2,-0.002,13.42
60,2019-09-30,1.014,1.006,1.017,1.006,287854,29143327.0,1.08,-0.79,-0.008,20.15
61,2019-10-08,1.006,1.016,1.02,1.006,245156,24918156.0,1.39,0.99,0.01,17.16
62,2019-10-09,1.012,1.021,1.026,1.012,225584,23025357.0,1.38,0.49,0.005,15.79
63,2019-10-10,1.021,1.022,1.023,1.018,194409,19852958.0,0.49,0.1,0.001,13.61
64,2019-10-11,1.024,1.035,1.039,1.024,327724,33768342.0,1.47,1.27,0.013,22.94
65,2019-10-14,1.042,1.05,1.059,1.042,662823,69712910.0,1.64,1.45,0.015,46.4
66,2019-10-15,1.047,1.046,1.05,1.043,265929,27842243.0,0.67,-0.38,-0.004,18.62
67,2019-10-16,1.048,1.044,1.059,1.044,369443,38808911.0,1.43,-0.19,-0.002,25.86
68,2019-10-17,1.044,1.046,1.05,1.042,240338,25154598.0,0.77,0.19,0.002,16.82
69,2019-10-18,1.047,1.03,1.053,1.029,237492,24702477.0,2.29,-1.53,-0.016,16.62
70,2019-10-21,1.03,1.036,1.038,1.029,206466,21365764.0,0.87,0.58,0.006,14.45
71,2019-10-22,1.036,1.035,1.038,1.03,203490,21014548.0,0.77,-0.1,-0.001,14.24
72,2019-10-23,1.035,1.033,1.04,1.029,189021,19524784.0,1.06,-0.19,-0.002,13.23
73,2019-10-24,1.034,1.037,1.041,1.033,157358,16312774.0,0.77,0.39,0.004,11.02
74,2019-10-25,1.035,1.034,1.035,1.024,199364,20529980.0,1.06,-0.29,-0.003,13.96
75,2019-10-28,1.034,1.033,1.039,1.029,185158,19117245.0,0.97,-0.1,-0.001,12.96
76,2019-10-29,1.032,1.03,1.035,1.029,128820,13299964.0,0.58,-0.29,-0.003,9.02
77,2019-10-30,1.03,1.028,1.034,1.024,206351,21185736.0,0.97,-0.19,-0.002,14.44
78,2019-10-31,1.03,1.024,1.031,1.022,232601,23821099.0,0.88,-0.39,-0.004,16.28
79,2019-11-01,1.023,1.042,1.044,1.022,312013,32344940.0,2.15,1.76,0.018,21.84
80,2019-11-04,1.043,1.045,1.049,1.041,265802,27771213.0,0.77,0.29,0.003,18.61
81,2019-11-05,1.045,1.054,1.062,1.044,475917,50153872.0,1.72,0.86,0.009,33.31
82,2019-11-06,1.053,1.052,1.055,1.048,178487,18766550.0,0.66,-0.19,-0.002,12.49
83,2019-11-07,1.052,1.048,1.056,1.046,206551,21687547.0,0.95,-0.38,-0.004,14.46
84,2019-11-08,1.052,1.044,1.055,1.042,203619,21316140.0,1.24,-0.38,-0.004,14.25
85,2019-11-11,1.04,1.026,1.04,1.024,193010,19885387.0,1.53,-1.72,-0.018,13.51
86,2019-11-12,1.026,1.024,1.026,1.02,381512,39025292.0,0.58,-0.19,-0.002,26.71
87,2019-11-13,1.024,1.019,1.024,1.015,253296,25792613.0,0.88,-0.49,-0.005,17.73
88,2019-11-14,1.019,1.017,1.021,1.015,220196,22388579.0,0.59,-0.2,-0.002,15.41
89,2019-11-15,1.017,1.014,1.02,1.011,175559,17836795.0,0.88,-0.29,-0.003,12.29
90,2019-11-18,1.014,1.02,1.024,1.01,114192,11638818.0,1.38,0.59,0.006,7.99
91,2019-11-19,1.019,1.026,1.027,1.019,79195,8111047.0,0.78,0.59,0.006,5.54
92,2019-11-20,1.026,1.016,1.026,1.013,236615,24079254.0,1.27,-0.97,-0.01,16.56
93,2019-11-21,1.013,1.012,1.013,1.006,208764,21099260.0,0.69,-0.39,-0.004,14.61
94,2019-11-22,1.02,1.009,1.02,1.006,269525,27240684.0,1.38,-0.3,-0.003,18.87
95,2019-11-25,1.008,1.026,1.027,1.008,257192,26286925.0,1.88,1.68,0.017,18.0
96,2019-11-26,1.027,1.024,1.028,1.022,198377,20317642.0,0.58,-0.19,-0.002,13.89
97,2019-11-27,1.02,1.02,1.024,1.017,152365,15541146.0,0.68,-0.39,-0.004,10.67
98,2019-11-28,1.019,1.017,1.023,1.013,112325,11426276.0,0.98,-0.29,-0.003,7.86
99,2019-11-29,1.018,1.009,1.018,1.008,134796,13644704.0,0.98,-0.79,-0.008,9.44
100,2019-12-02,1.014,1.012,1.015,1.009,210218,21289839.0,0.59,0.3,0.003,14.72
101,2019-12-03,1.008,1.014,1.014,1.007,111620,11269647.0,0.69,0.2,0.002,7.81
102,2019-12-04,1.014,1.012,1.014,1.006,101800,10278656.0,0.79,-0.2,-0.002,7.13
103,2019-12-05,1.012,1.015,1.016,1.011,105683,10708267.0,0.49,0.3,0.003,7.4
104,2019-12-06,1.015,1.016,1.017,1.011,144023,14611194.0,0.59,0.1,0.001,10.08
105,2019-12-09,1.015,1.02,1.02,1.015,91119,9277565.0,0.49,0.39,0.004,6.38
106,2019-12-10,1.019,1.018,1.02,1.016,99543,10129102.0,0.39,-0.2,-0.002,6.97
107,2019-12-11,1.018,1.023,1.024,1.016,260320,26561173.0,0.79,0.49,0.005,18.22
108,2019-12-12,1.024,1.022,1.024,1.02,126822,12966609.0,0.39,-0.1,-0.001,8.88
109,2019-12-13,1.024,1.039,1.04,1.024,261842,27035782.0,1.57,1.66,0.017,18.33
110,2019-12-16,1.037,1.04,1.041,1.034,181996,18876350.0,0.67,0.1,0.001,12.74
111,2019-12-17,1.04,1.05,1.061,1.038,322540,33884410.0,2.21,0.96,0.01,22.58
112,2019-12-18,1.05,1.051,1.059,1.049,228575,24105797.0,0.95,0.1,0.001,16.0
113,2019-12-19,1.051,1.054,1.058,1.051,279527,29469050.0,0.67,0.29,0.003,19.57
114,2019-12-20,1.054,1.053,1.06,1.052,157927,16689596.0,0.76,-0.09,-0.001,11.06
115,2019-12-23,1.053,1.041,1.056,1.04,250023,26281688.0,1.52,-1.14,-0.012,17.5
116,2019-12-24,1.043,1.042,1.045,1.041,132737,13836415.0,0.38,0.1,0.001,9.29
117,2019-12-25,1.042,1.043,1.043,1.037,114276,11896948.0,0.58,0.1,0.001,8.0
118,2019-12-26,1.041,1.048,1.049,1.041,188531,19715350.0,0.77,0.48,0.005,13.2
119,2019-12-27,1.049,1.051,1.058,1.048,212738,22409954.0,0.95,0.29,0.003,14.89
120,2019-12-30,1.051,1.058,1.06,1.045,264667,27864297.0,1.43,0.67,0.007,18.53
121,2019-12-31,1.059,1.062,1.063,1.054,316106,33470113.0,0.85,0.38,0.004,22.13
122,2020-01-02,1.068,1.077,1.085,1.068,1273987,137446631.0,1.6,1.41,0.015,89.18
123,2020-01-03,1.09,1.076,1.09,1.074,1272356,137133165.0,1.49,-0.09,-0.001,89.07
124,2020-01-06,1.077,1.072,1.081,1.066,287155,30908711.0,1.39,-0.37,-0.004,20.1
125,2020-01-07,1.071,1.075,1.079,1.071,197414,21197681.0,0.75,0.28,0.003,13.82
126,2020-01-08,1.074,1.064,1.074,1.06,305469,32472942.0,1.3,-1.02,-0.011,21.38
127,2020-01-09,1.069,1.072,1.073,1.067,124621,13336597.0,0.56,0.75,0.008,8.72
128,2020-01-10,1.072,1.069,1.076,1.065,129257,13796500.0,1.03,-0.28,-0.003,9.05
129,2020-01-13,1.068,1.074,1.075,1.065,153417,16394213.0,0.94,0.47,0.005,10.74
130,2020-01-14,1.075,1.073,1.081,1.071,202552,21785490.0,0.93,-0.09,-0.001,14.18
131,2020-01-15,1.073,1.062,1.076,1.06,151747,16145700.0,1.49,-1.03,-0.011,10.62
132,2020-01-16,1.062,1.055,1.064,1.052,162817,17188091.0,1.13,-0.66,-0.007,11.4
133,2020-01-17,1.056,1.056,1.063,1.053,192869,20376744.0,0.95,0.09,0.001,13.5
134,2020-01-20,1.059,1.059,1.062,1.054,160868,17024875.0,0.76,0.28,0.003,11.26
135,2020-01-21,1.06,1.039,1.06,1.038,192119,20062044.0,2.08,-1.89,-0.02,13.45
136,2020-01-22,1.039,1.041,1.042,1.026,187641,19420633.0,1.54,0.19,0.002,13.14
137,2020-01-23,1.038,1.017,1.038,1.009,186399,19028583.0,2.79,-2.31,-0.024,13.05
138,2020-02-03,0.955,0.921,0.955,0.915,189157,17683668.0,3.93,-9.44,-0.096,13.24
139,2020-02-04,0.927,0.959,0.96,0.927,139897,13301500.0,3.58,4.13,0.038,9.79
140,2020-02-05,0.963,0.964,0.971,0.954,137908,13295172.0,1.77,0.52,0.005,9.65
141,2020-02-06,0.964,0.973,0.977,0.961,95132,9209446.0,1.66,0.93,0.009,6.66
142,2020-02-07,0.973,0.971,0.973,0.961,127442,12299893.0,1.23,-0.21,-0.002,8.92
143,2020-02-10,0.968,0.973,0.975,0.962,100044,9714515.0,1.34,0.21,0.002,7.0
144,2020-02-11,0.975,0.982,0.988,0.974,90124,8867797.0,1.44,0.92,0.009,6.31
145,2020-02-12,0.984,0.984,0.986,0.977,215009,21095068.0,0.92,0.2,0.002,15.05
146,2020-02-13,0.986,0.981,0.99,0.98,207211,20397821.0,1.02,-0.3,-0.003,14.5
147,2020-02-14,0.981,0.989,0.989,0.981,220773,21748931.0,0.82,0.82,0.008,15.45
148,2020-02-17,0.996,1.006,1.006,0.987,268926,26843365.0,1.92,1.72,0.017,18.83
149,2020-02-18,1.005,0.996,1.006,0.992,239755,23880781.0,1.39,-0.99,-0.01,16.78
150,2020-02-19,0.993,0.995,1.002,0.993,229533,22916249.0,0.9,-0.1,-0.001,16.07
151,2020-02-20,0.997,1.01,1.01,0.992,235096,23494547.0,1.81,1.51,0.015,16.46
152,2020-02-21,1.006,1.008,1.014,1.004,294347,29677110.0,0.99,-0.2,-0.002,20.6
