,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2014-09-05,0.99,1.008,1.009,0.981,1226333,122179004.0,0.0,0.0,0.0,21.83
1,2014-09-09,0.999,0.991,0.999,0.99,93167,9251932.0,0.89,-1.69,-0.017,1.66
2,2014-09-10,0.991,0.975,0.991,0.972,44323,4340069.0,1.92,-1.61,-0.016,0.79
3,2014-09-11,0.973,0.978,0.986,0.973,49073,4805231.0,1.33,0.31,0.003,0.87
4,2014-09-12,0.977,0.984,0.984,0.977,29370,2876776.0,0.72,0.61,0.006,0.52
5,2014-09-15,0.983,0.97,0.984,0.965,33830,3287431.0,1.93,-1.42,-0.014,0.6
6,2014-09-16,0.966,0.964,0.974,0.962,39421,3824170.0,1.24,-0.62,-0.006,0.7
7,2014-09-17,0.965,0.972,0.978,0.965,33678,3277533.0,1.35,0.83,0.008,0.6
8,2014-09-18,0.972,0.979,0.983,0.972,43172,4231023.0,1.13,0.72,0.007,0.77
9,2014-09-19,0.99,0.986,0.99,0.981,34284,3378927.0,0.92,0.72,0.007,0.61
10,2014-09-22,0.985,0.98,0.99,0.971,43985,4331629.0,1.93,-0.61,-0.006,0.78
11,2014-09-23,0.98,0.977,0.98,0.971,24762,2417995.0,0.92,-0.31,-0.003,0.44
12,2014-09-24,0.97,0.966,0.97,0.96,37081,3572875.0,1.02,-1.13,-0.011,0.66
13,2014-09-25,0.967,0.965,0.971,0.962,14223,1373760.0,0.93,-0.1,-0.001,0.25
14,2014-09-26,0.955,0.949,0.955,0.946,32392,3078029.0,0.93,-1.66,-0.016,0.58
15,2014-09-29,0.95,0.953,0.956,0.95,40009,3815049.0,0.63,0.42,0.004,0.71
16,2014-09-30,0.954,0.946,0.954,0.942,6582,622756.0,1.26,-0.73,-0.007,0.12
17,2014-10-08,0.938,0.904,0.938,0.851,56719,5140813.0,9.2,-4.44,-0.042,1.01
18,2014-10-09,0.9,0.906,0.915,0.898,79038,7155767.0,1.88,0.22,0.002,1.41
19,2014-10-10,0.905,0.9,0.906,0.899,44697,4024127.0,0.77,-0.66,-0.006,0.8
20,2014-10-13,0.88,0.875,0.882,0.871,40761,3567910.0,1.22,-2.78,-0.025,0.73
