,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-03-26,1.001,1.008,1.009,0.998,4737146,475138448.0,0.0,0.0,0.0,20.8
1,2020-03-27,1.029,1.012,1.036,1.01,3854547,391732768.0,2.58,0.4,0.004,16.92
2,2020-03-30,0.997,1.002,1.009,0.993,1755849,175849437.0,1.58,-0.99,-0.01,7.71
3,2020-03-31,1.015,1.01,1.021,1.005,2304512,233622095.0,1.6,0.8,0.008,10.12
4,2020-04-01,1.011,1.002,1.021,1.0,2156986,218703860.0,2.08,-0.79,-0.008,9.47
5,2020-04-02,1.002,1.012,1.013,1.002,2445359,246766062.0,1.1,1.0,0.01,10.74
6,2020-04-03,1.01,1.007,1.015,1.005,2268135,228746380.0,0.99,-0.49,-0.005,9.96
7,2020-04-07,1.03,1.031,1.036,1.019,2781919,285375408.0,1.69,2.38,0.024,12.21
8,2020-04-08,1.025,1.022,1.026,1.02,1967749,201340564.0,0.58,-0.87,-0.009,8.64
9,2020-04-09,1.03,1.032,1.037,1.029,1811169,187073087.0,0.78,0.98,0.01,7.95
10,2020-04-10,1.032,1.022,1.033,1.022,846991,86966583.0,1.07,-0.97,-0.01,3.72
11,2020-04-13,1.022,1.017,1.022,1.016,442554,45091000.0,0.59,-0.49,-0.005,1.94
12,2020-04-14,1.023,1.05,1.051,1.02,2225678,230573024.0,3.05,3.24,0.033,9.77
13,2020-04-15,1.047,1.037,1.058,1.032,1346068,140784314.0,2.48,-1.24,-0.013,5.91
14,2020-04-16,1.034,1.04,1.052,1.031,1250901,130392482.0,2.03,0.29,0.003,5.49
15,2020-04-17,1.049,1.045,1.055,1.043,989055,103913991.0,1.15,0.48,0.005,4.34
16,2020-04-20,1.05,1.042,1.05,1.04,516288,53885268.0,0.96,-0.29,-0.003,2.27
17,2020-04-21,1.04,1.022,1.041,1.016,840305,86096436.0,2.4,-1.92,-0.02,3.69
18,2020-04-22,1.017,1.021,1.025,1.01,802533,81637738.0,1.47,-0.1,-0.001,3.52
19,2020-04-23,1.023,1.018,1.025,1.015,394926,40283135.0,0.98,-0.29,-0.003,1.73
20,2020-04-24,1.016,1.011,1.016,1.009,632021,63924107.0,0.69,-0.69,-0.007,2.78
21,2020-04-27,1.009,1.011,1.02,1.009,1006684,102132863.0,1.09,0.0,0.0,4.42
22,2020-04-28,1.017,1.032,1.037,1.016,1454122,149250947.0,2.08,2.08,0.021,6.38
23,2020-04-29,1.036,1.04,1.046,1.036,975543,101624291.0,0.97,0.78,0.008,4.28
24,2020-04-30,1.045,1.057,1.057,1.044,925522,97207230.0,1.25,1.63,0.017,4.06
25,2020-05-06,1.028,1.033,1.034,1.023,1151441,118393604.0,1.04,-2.27,-0.024,5.06
26,2020-05-07,1.031,1.019,1.031,1.018,870990,89311148.0,1.26,-1.36,-0.014,3.82
27,2020-05-08,1.025,1.026,1.037,1.021,1456371,149713956.0,1.57,0.69,0.007,6.39
28,2020-05-11,1.031,1.031,1.044,1.03,1146995,118900864.0,1.36,0.49,0.005,5.04
29,2020-05-12,1.034,1.03,1.037,1.026,634573,65370092.0,1.07,-0.1,-0.001,2.79
30,2020-05-13,1.027,1.028,1.031,1.023,521006,53538671.0,0.78,-0.19,-0.002,2.29
