,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2013-05-15,0.99,0.997,0.999,0.989,877116,87379278.0,0.0,0.0,0.0,1.01
1,2013-05-16,0.997,0.999,0.999,0.994,265570,26501420.0,0.5,0.2,0.002,0.3
2,2013-05-17,0.999,0.997,1.0,0.996,36379,3630062.0,0.4,-0.2,-0.002,0.04
3,2013-05-20,1.002,0.997,1.004,0.996,80490,8033039.0,0.8,0.0,0.0,0.09
4,2013-05-21,0.997,0.997,0.998,0.994,161124,16023195.0,0.4,0.0,0.0,0.18
5,2013-05-22,0.998,0.999,1.001,0.998,46257,4622031.0,0.3,0.2,0.002,0.05
6,2013-05-23,0.996,0.991,0.996,0.989,21817,2160731.0,0.7,-0.8,-0.008,0.03
7,2013-05-24,0.992,0.994,0.995,0.991,16604,1647992.0,0.4,0.3,0.003,0.02
8,2013-05-27,0.995,0.995,0.995,0.991,6493,645097.0,0.4,0.1,0.001,0.01
9,2013-05-28,0.996,0.992,0.996,0.991,54125,5375504.0,0.5,-0.3,-0.003,0.06
10,2013-05-29,0.994,0.996,0.997,0.991,26639,2647352.0,0.6,0.4,0.004,0.03
11,2013-05-30,0.992,0.992,0.993,0.991,6701,664511.0,0.2,-0.4,-0.004,0.01
12,2013-05-31,0.992,0.998,0.998,0.992,10308,1026402.0,0.6,0.6,0.006,0.01
13,2013-06-03,0.995,0.99,0.995,0.989,9492,939507.0,0.6,-0.8,-0.008,0.01
14,2013-06-04,0.992,0.993,0.994,0.991,27616,2740707.0,0.3,0.3,0.003,0.03
15,2013-06-05,0.993,0.989,0.993,0.987,4503,445240.0,0.6,-0.4,-0.004,0.01
16,2013-06-06,0.985,0.973,0.985,0.97,50635,4922812.0,1.52,-1.62,-0.016,0.06
17,2013-06-07,0.978,0.973,0.98,0.971,26352,2566606.0,0.92,0.0,0.0,0.03
18,2013-06-13,0.962,0.966,0.972,0.962,15230,1472109.0,1.03,-0.72,-0.007,0.02
19,2013-06-14,0.977,0.979,0.979,0.975,29618,2892363.0,0.41,1.35,0.013,0.03
20,2013-06-17,0.975,0.976,0.976,0.973,3863,376773.0,0.31,-0.31,-0.003,0.0
21,2013-06-18,0.981,0.984,0.985,0.981,6569,646251.0,0.41,0.82,0.008,0.01
22,2013-06-19,0.994,0.998,0.999,0.992,29004,2887213.0,0.71,1.42,0.014,0.03
23,2013-06-20,0.985,0.981,0.985,0.93,33926,3299454.0,5.51,-1.7,-0.017,0.04
24,2013-06-21,0.95,0.96,0.96,0.947,40061,3821737.0,1.33,-2.14,-0.021,0.05
25,2013-06-24,0.96,0.952,0.96,0.951,8424,801933.0,0.94,-0.83,-0.008,0.01
26,2013-06-25,0.952,0.947,0.952,0.942,11994,1133144.0,1.05,-0.53,-0.005,0.01
27,2013-06-26,0.95,0.946,0.96,0.941,21788,2062152.0,2.01,-0.11,-0.001,0.02
28,2013-06-27,0.96,0.957,0.96,0.954,13523,1293459.0,0.63,1.16,0.011,0.02
29,2013-06-28,0.961,0.963,0.965,0.961,17639,1699745.0,0.42,0.63,0.006,0.02
30,2013-07-01,0.963,0.965,0.965,0.96,5941,572263.0,0.52,0.21,0.002,0.01
31,2013-07-02,0.974,0.972,0.974,0.968,17770,1725760.0,0.62,0.73,0.007,0.02
32,2013-07-03,0.972,0.973,0.973,0.97,9454,918041.0,0.31,0.1,0.001,0.01
33,2013-07-04,0.973,0.978,0.978,0.973,7937,774942.0,0.51,0.51,0.005,0.01
34,2013-07-05,0.986,0.989,0.989,0.976,16699,1642111.0,1.33,1.12,0.011,0.02
35,2013-07-08,0.995,0.998,1.0,0.987,32218,3204852.0,1.31,0.91,0.009,0.04
36,2013-07-09,0.997,0.996,1.0,0.995,15498,1546460.0,0.5,-0.2,-0.002,0.02
37,2013-07-10,1.002,0.999,1.009,0.993,37007,3698861.0,1.61,0.3,0.003,0.04
38,2013-07-11,1.0,1.004,1.005,0.998,34670,3469293.0,0.7,0.5,0.005,0.04
39,2013-07-12,1.011,1.019,1.02,1.011,56645,5767604.0,0.9,1.49,0.015,0.06
40,2013-07-15,1.026,1.023,1.028,1.02,30695,3138795.0,0.79,0.39,0.004,0.04
41,2013-07-16,1.023,1.019,1.023,1.018,17099,1743023.0,0.49,-0.39,-0.004,0.02
42,2013-07-17,1.016,1.019,1.021,1.015,9661,984805.0,0.59,0.0,0.0,0.01
43,2013-07-18,1.02,1.02,1.022,1.019,13509,1378244.0,0.29,0.1,0.001,0.02
44,2013-07-19,1.02,1.019,1.022,1.018,19280,1966169.0,0.39,-0.1,-0.001,0.02
45,2013-07-22,1.019,1.015,1.019,1.013,13668,1388070.0,0.59,-0.39,-0.004,0.02
46,2013-07-23,1.016,1.016,1.017,1.014,21943,2228584.0,0.3,0.1,0.001,0.03
47,2013-07-24,1.013,1.0,1.013,0.995,35217,3527895.0,1.77,-1.57,-0.016,0.04
48,2013-07-25,1.002,1.0,1.004,0.998,24467,2447828.0,0.6,0.0,0.0,0.03
49,2013-07-26,1.009,1.01,1.01,1.006,8105,817653.0,0.4,1.0,0.01,0.01
50,2013-07-29,1.01,1.015,1.016,1.01,10918,1107134.0,0.59,0.5,0.005,0.01
51,2013-07-30,1.013,1.011,1.013,1.01,6560,663067.0,0.3,-0.39,-0.004,0.01
52,2013-07-31,1.016,1.013,1.018,1.013,12783,1297057.0,0.49,0.2,0.002,0.01
53,2013-08-01,1.014,1.014,1.016,1.013,18477,1873999.0,0.3,0.1,0.001,0.02
