,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-12-22,0.98,0.984,0.986,0.976,1241937,121988717.0,0.0,0.0,0.0,62.91
1,2022-12-23,0.97,0.956,0.97,0.954,297911,28554305.0,1.63,-2.85,-0.028,15.09
2,2022-12-26,0.956,0.977,0.977,0.956,216264,21004024.0,2.2,2.2,0.021,10.95
3,2022-12-27,0.983,0.992,0.995,0.979,439132,43497152.0,1.64,1.54,0.015,22.24
4,2022-12-28,0.98,0.973,0.985,0.971,148290,14444250.0,1.41,-1.92,-0.019,7.51
5,2022-12-29,0.973,0.967,0.973,0.961,91509,8845961.0,1.23,-0.62,-0.006,4.64
6,2022-12-30,0.967,0.96,0.974,0.959,115541,11133372.0,1.55,-0.72,-0.007,5.85
7,2023-01-03,0.952,0.954,0.96,0.939,182316,17289695.0,2.19,-0.63,-0.006,9.23
8,2023-01-04,0.956,0.971,0.972,0.956,166951,16169459.0,1.68,1.78,0.017,8.46
9,2023-01-05,0.975,0.975,0.979,0.972,98013,9560021.0,0.72,0.41,0.004,4.96
10,2023-01-06,0.974,0.986,0.991,0.972,133381,13132211.0,1.95,1.13,0.011,6.76
11,2023-01-09,0.997,0.999,1.005,0.992,375755,37526844.0,1.32,1.32,0.013,19.03
12,2023-01-10,0.999,1.007,1.009,0.998,507404,51039920.0,1.1,0.8,0.008,25.7
13,2023-01-11,1.01,1.005,1.016,1.001,226166,22823164.0,1.49,-0.2,-0.002,11.46
14,2023-01-12,1.006,1.003,1.01,0.999,102791,10300542.0,1.09,-0.2,-0.002,5.21
15,2023-01-13,1.009,1.0,1.01,0.998,66896,6703908.0,1.2,-0.3,-0.003,3.39
16,2023-01-16,1.001,1.015,1.015,0.992,247834,25020416.0,2.3,1.5,0.015,12.55
17,2023-01-17,1.017,1.027,1.035,1.012,282286,28992456.0,2.27,1.18,0.012,14.3
18,2023-01-18,1.029,1.025,1.029,1.015,129479,13265065.0,1.36,-0.19,-0.002,6.56
