,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2014-01-15,0.994,0.986,0.996,0.976,1328554,130998296.0,0.0,0.0,0.0,2.06
1,2014-01-16,0.988,0.991,0.994,0.988,397330,39379678.0,0.61,0.51,0.005,0.62
2,2014-01-17,0.993,0.987,0.993,0.985,169781,16786119.0,0.81,-0.4,-0.004,0.26
3,2014-01-20,0.983,0.982,0.988,0.982,139374,13745061.0,0.61,-0.51,-0.005,0.22
4,2014-01-21,0.982,0.984,0.996,0.97,218530,21520868.0,2.65,0.2,0.002,0.34
5,2014-01-22,0.984,0.979,0.988,0.973,258991,25372839.0,1.52,-0.51,-0.005,0.4
6,2014-01-23,0.985,0.988,0.99,0.977,115347,11384440.0,1.33,0.92,0.009,0.18
7,2014-01-24,0.983,0.99,0.994,0.98,134147,13247096.0,1.42,0.2,0.002,0.21
8,2014-01-27,0.979,0.97,0.979,0.969,28052,2722491.0,1.01,-2.02,-0.02,0.04
9,2014-01-28,0.97,0.964,0.97,0.959,43444,4183702.0,1.13,-0.62,-0.006,0.07
10,2014-01-29,0.97,0.977,0.979,0.97,41182,4011234.0,0.93,1.35,0.013,0.06
11,2014-01-30,0.965,0.967,0.967,0.961,22712,2189830.0,0.61,-1.02,-0.01,0.04
12,2014-02-07,0.963,0.973,0.973,0.962,29876,2895017.0,1.14,0.62,0.006,0.05
13,2014-02-10,0.973,0.97,0.98,0.97,79147,7710451.0,1.03,-0.31,-0.003,0.12
14,2014-02-11,0.966,0.975,0.98,0.966,214256,20870112.0,1.44,0.52,0.005,0.33
15,2014-02-12,0.978,0.987,0.989,0.975,103932,10224769.0,1.44,1.23,0.012,0.16
16,2014-02-13,0.98,0.987,0.991,0.98,59963,5930564.0,1.11,0.0,0.0,0.09
17,2014-02-14,0.995,0.997,1.0,0.994,93918,9351591.0,0.61,1.01,0.01,0.15
18,2014-02-17,1.0,1.001,1.003,0.999,93130,9321102.0,0.4,0.4,0.004,0.14
19,2014-02-18,1.0,1.0,1.002,0.999,68323,6833306.0,0.3,-0.1,-0.001,0.11
20,2014-02-19,1.0,1.004,1.004,1.0,119844,12005533.0,0.4,0.4,0.004,0.19
21,2014-02-20,1.0,1.0,1.002,0.995,32449,3240350.0,0.7,-0.4,-0.004,0.05
22,2014-02-21,1.001,1.003,1.006,1.001,74749,7510051.0,0.5,0.3,0.003,0.12
23,2014-02-24,1.004,1.005,1.005,1.002,37325,3745747.0,0.3,0.2,0.002,0.06
24,2014-02-25,1.009,1.013,1.013,1.009,124849,12615654.0,0.4,0.8,0.008,0.19
25,2014-02-26,1.009,1.016,1.016,1.009,72220,7318937.0,0.69,0.3,0.003,0.11
26,2014-02-27,1.016,1.015,1.016,1.011,27037,2738662.0,0.49,-0.1,-0.001,0.04
27,2014-02-28,1.019,1.024,1.026,1.016,43344,4422678.0,0.99,0.89,0.009,0.07
28,2014-03-03,1.025,1.026,1.03,1.02,30976,3176651.0,0.98,0.2,0.002,0.05
29,2014-03-04,1.022,1.022,1.023,1.016,47514,4842956.0,0.68,-0.39,-0.004,0.07
30,2014-03-05,1.039,1.031,1.039,1.027,43288,4457560.0,1.17,0.88,0.009,0.07
31,2014-03-06,1.03,1.033,1.034,1.028,35550,3662874.0,0.58,0.19,0.002,0.06
32,2014-03-07,1.04,1.034,1.04,1.03,36490,3770353.0,0.97,0.1,0.001,0.06
33,2014-03-10,1.034,1.031,1.035,1.03,35678,3682825.0,0.48,-0.29,-0.003,0.06
