,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-05-27,0.99,0.993,0.995,0.987,853441,84637472.0,0.0,0.0,0.0,2.48
1,2021-05-28,0.996,0.975,0.998,0.972,752942,74254937.0,2.62,-1.81,-0.018,2.18
2,2021-05-31,0.979,0.987,0.987,0.978,448235,44007954.0,0.92,1.23,0.012,1.3
3,2021-06-01,0.988,1.01,1.012,0.988,1621889,162976314.0,2.43,2.33,0.023,4.71
4,2021-06-02,1.013,1.007,1.017,1.005,717005,72485193.0,1.19,-0.3,-0.003,2.08
5,2021-06-03,1.007,1.002,1.017,1.0,971181,98140462.0,1.69,-0.5,-0.005,2.82
6,2021-06-04,0.999,0.999,1.007,0.994,542231,54290571.0,1.3,-0.3,-0.003,1.57
7,2021-06-07,1.0,0.991,1.002,0.985,477850,47351252.0,1.7,-0.8,-0.008,1.39
8,2021-06-08,0.992,0.979,0.997,0.977,428181,42082041.0,2.02,-1.21,-0.012,1.24
9,2021-06-09,0.979,0.98,0.985,0.976,373057,36618298.0,0.92,0.1,0.001,1.08
10,2021-06-10,0.981,0.978,0.989,0.977,433585,42617266.0,1.22,-0.2,-0.002,1.26
11,2021-06-11,0.98,0.977,0.99,0.977,400377,39227686.0,1.33,-0.1,-0.001,1.16
12,2021-06-15,0.985,0.976,0.986,0.968,488917,47651161.0,1.84,-0.1,-0.001,1.42
13,2021-06-16,0.973,0.966,0.974,0.964,349857,33886894.0,1.02,-1.02,-0.01,1.02
14,2021-06-17,0.965,0.971,0.972,0.958,377071,36489830.0,1.45,0.52,0.005,1.09
15,2021-06-18,0.972,0.992,0.998,0.972,569632,56491460.0,2.68,2.16,0.021,1.65
16,2021-06-21,0.992,0.984,0.992,0.978,610242,60056328.0,1.41,-0.81,-0.008,1.77
17,2021-06-22,0.984,0.973,0.986,0.97,477909,46597516.0,1.63,-1.12,-0.011,1.39
18,2021-06-23,0.975,0.996,0.997,0.973,563795,55619555.0,2.47,2.36,0.023,1.64
19,2021-06-24,0.997,0.999,1.004,0.997,400816,40104810.0,0.7,0.3,0.003,1.16
20,2021-06-25,1.0,1.019,1.02,1.0,705401,71526111.0,2.0,2.0,0.02,2.05
21,2021-06-28,1.03,1.021,1.03,1.017,431737,44045560.0,1.28,0.2,0.002,1.25
22,2021-06-29,1.025,1.011,1.03,1.01,618188,63035751.0,1.96,-0.98,-0.01,1.79
23,2021-06-30,1.016,1.011,1.022,1.009,372263,37777290.0,1.29,0.0,0.0,1.08
24,2021-07-01,1.01,1.007,1.012,1.003,86882,8772593.0,0.89,-0.4,-0.004,0.25
25,2021-07-02,1.003,0.979,1.007,0.977,265166,26139194.0,2.98,-2.78,-0.028,0.77
26,2021-07-05,0.975,0.96,0.976,0.954,459868,44337470.0,2.25,-1.94,-0.019,1.33
27,2021-07-06,0.959,0.952,0.96,0.943,459320,43616930.0,1.77,-0.83,-0.008,1.33
28,2021-07-07,0.951,0.942,0.951,0.936,534704,50386206.0,1.58,-1.05,-0.01,1.55
29,2021-07-08,0.946,0.919,0.946,0.917,708378,65689139.0,3.08,-2.44,-0.023,2.06
30,2021-07-09,0.919,0.932,0.935,0.901,582416,53666975.0,3.7,1.41,0.013,1.69
31,2021-07-12,0.94,0.94,0.944,0.928,355660,33303421.0,1.72,0.86,0.008,1.03
32,2021-07-13,0.947,0.954,0.963,0.939,344214,32864316.0,2.55,1.49,0.014,1.0
33,2021-07-14,0.957,0.957,0.962,0.954,237167,22704267.0,0.84,0.31,0.003,0.69
34,2021-07-15,0.957,0.957,0.96,0.952,216056,20657156.0,0.84,0.0,0.0,0.63
35,2021-07-16,0.954,0.949,0.957,0.945,287192,27303907.0,1.25,-0.84,-0.008,0.83
36,2021-07-19,0.949,0.931,0.949,0.927,499169,46476931.0,2.32,-1.9,-0.018,1.45
37,2021-07-20,0.929,0.919,0.935,0.914,462619,42750065.0,2.26,-1.29,-0.012,1.34
38,2021-07-21,0.922,0.916,0.928,0.911,389437,35730410.0,1.85,-0.33,-0.003,1.13
