,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-05-20,0.992,0.98,0.992,0.976,385220,37729733.0,0.0,0.0,0.0,3.53
1,2021-05-21,0.981,0.98,0.985,0.974,292796,28655140.0,1.12,0.0,0.0,2.68
2,2021-05-24,0.98,0.985,0.986,0.98,71984,7081563.0,0.61,0.51,0.005,0.66
3,2021-05-25,0.985,0.986,0.99,0.982,164202,16180621.0,0.81,0.1,0.001,1.5
4,2021-05-26,0.986,0.995,0.995,0.985,314797,31194887.0,1.01,0.91,0.009,2.88
5,2021-05-27,0.99,0.996,0.997,0.989,262862,26095659.0,0.8,0.1,0.001,2.41
6,2021-05-28,0.995,0.996,1.0,0.994,63087,6287229.0,0.6,0.0,0.0,0.58
7,2021-05-31,0.991,0.986,0.996,0.982,112044,11046699.0,1.41,-1.0,-0.01,1.03
8,2021-06-01,0.986,0.984,0.986,0.981,64614,6355616.0,0.51,-0.2,-0.002,0.59
9,2021-06-02,0.984,0.99,0.995,0.984,97238,9629327.0,1.12,0.61,0.006,0.89
10,2021-06-03,0.99,0.988,0.994,0.987,38983,3856443.0,0.71,-0.2,-0.002,0.36
11,2021-06-04,0.985,0.988,0.989,0.984,74616,7356841.0,0.51,0.0,0.0,0.68
12,2021-06-07,0.987,0.987,0.988,0.985,82147,8108002.0,0.3,-0.1,-0.001,0.75
13,2021-06-08,0.991,0.988,0.991,0.983,84710,8353910.0,0.81,0.1,0.001,0.78
14,2021-06-09,0.989,0.992,0.993,0.988,77362,7665477.0,0.51,0.4,0.004,0.71
15,2021-06-10,0.99,0.989,0.994,0.989,65542,6500539.0,0.5,-0.3,-0.003,0.6
16,2021-06-11,0.99,0.988,0.99,0.984,151610,14969036.0,0.61,-0.1,-0.001,1.39
17,2021-06-15,0.987,0.981,0.99,0.976,172806,16934870.0,1.42,-0.71,-0.007,1.58
18,2021-06-16,0.979,0.979,0.981,0.977,142209,13927993.0,0.41,-0.2,-0.002,1.3
19,2021-06-17,0.974,0.977,0.98,0.974,74472,7284587.0,0.61,-0.2,-0.002,0.68
20,2021-06-18,0.976,0.972,0.977,0.971,29777,2894961.0,0.61,-0.51,-0.005,0.27
21,2021-06-21,0.971,0.965,0.971,0.961,108196,10423307.0,1.03,-0.72,-0.007,0.99
22,2021-06-22,0.964,0.974,0.975,0.964,108254,10532821.0,1.14,0.93,0.009,0.99
23,2021-06-23,0.974,0.977,0.978,0.971,182421,17776164.0,0.72,0.31,0.003,1.67
24,2021-06-24,0.979,0.982,0.985,0.979,59943,5891072.0,0.61,0.51,0.005,0.55
25,2021-06-25,0.984,0.987,0.989,0.983,98208,9682610.0,0.61,0.51,0.005,0.9
26,2021-06-28,0.987,0.978,0.987,0.977,28401,2790433.0,1.01,-0.91,-0.009,0.26
27,2021-06-29,0.98,0.971,0.981,0.971,35520,3457504.0,1.02,-0.72,-0.007,0.33
28,2021-06-30,0.974,0.97,0.977,0.969,41426,4025039.0,0.82,-0.1,-0.001,0.38
29,2021-07-01,0.97,0.97,0.973,0.962,121416,11756885.0,1.13,0.0,0.0,1.11
30,2021-07-02,0.971,0.966,0.971,0.963,170805,16509058.0,0.82,-0.41,-0.004,1.56
31,2021-07-05,0.968,0.971,0.973,0.968,263130,25535246.0,0.52,0.52,0.005,2.41
32,2021-07-06,0.97,0.967,0.973,0.965,169075,16375501.0,0.82,-0.41,-0.004,1.55
33,2021-07-07,0.963,0.959,0.964,0.957,297967,28604527.0,0.72,-0.83,-0.008,2.73
34,2021-07-08,0.958,0.947,0.962,0.945,84714,8065987.0,1.77,-1.25,-0.012,0.78
35,2021-07-09,0.945,0.941,0.947,0.939,288797,27244710.0,0.84,-0.63,-0.006,2.64
36,2021-07-12,0.943,0.946,0.954,0.942,200319,18959307.0,1.28,0.53,0.005,1.83
37,2021-07-13,0.945,0.954,0.957,0.945,75208,7176989.0,1.27,0.85,0.008,0.69
38,2021-07-14,0.954,0.941,0.954,0.941,76148,7193683.0,1.36,-1.36,-0.013,0.7
39,2021-07-15,0.942,0.955,0.956,0.941,79433,7565044.0,1.59,1.49,0.014,0.73
40,2021-07-16,0.95,0.955,0.957,0.948,64451,6159997.0,0.94,0.0,0.0,0.59
41,2021-07-19,0.955,0.946,0.955,0.941,62849,5925057.0,1.47,-0.94,-0.009,0.58
42,2021-07-20,0.941,0.929,0.941,0.928,101527,9450710.0,1.37,-1.8,-0.017,0.93
43,2021-07-21,0.936,0.928,0.938,0.923,101764,9438614.0,1.61,-0.11,-0.001,0.93
44,2021-07-22,0.927,0.941,0.941,0.927,74435,6978532.0,1.51,1.4,0.013,0.68
45,2021-07-23,0.935,0.937,0.942,0.935,85678,8036916.0,0.74,-0.43,-0.004,0.78
46,2021-07-26,0.932,0.924,0.932,0.924,62272,5764582.0,0.85,-1.39,-0.013,0.57
47,2021-07-27,0.925,0.91,0.931,0.908,74626,6893452.0,2.49,-1.52,-0.014,0.68
48,2021-07-28,0.907,0.904,0.91,0.899,53463,4839675.0,1.21,-0.66,-0.006,0.49
49,2021-07-29,0.908,0.909,0.92,0.908,23411,2132821.0,1.33,0.55,0.005,0.21
50,2021-07-30,0.911,0.906,0.912,0.903,32660,2960020.0,0.99,-0.33,-0.003,0.3
51,2021-08-02,0.905,0.918,0.922,0.9,158629,14581868.0,2.43,1.32,0.012,1.45
52,2021-08-03,0.953,0.925,0.953,0.912,222109,20488513.0,4.47,0.76,0.007,2.03
53,2021-08-04,0.925,0.932,0.939,0.923,216652,20160123.0,1.73,0.76,0.007,1.98
54,2021-08-05,0.932,0.921,0.932,0.92,20129,1860865.0,1.29,-1.18,-0.011,0.18
55,2021-08-06,0.921,0.922,0.922,0.919,82854,7624563.0,0.33,0.11,0.001,0.76
56,2021-08-09,0.926,0.928,0.934,0.921,87633,8153280.0,1.41,0.65,0.006,0.8
57,2021-08-10,0.929,0.931,0.933,0.923,117706,10919091.0,1.08,0.32,0.003,1.08
58,2021-08-11,0.936,0.943,0.948,0.925,67598,6373832.0,2.47,1.29,0.012,0.62
59,2021-08-12,0.947,0.947,0.95,0.929,25435,2410172.0,2.23,0.42,0.004,0.23
60,2021-08-13,0.95,0.943,0.952,0.94,54913,5188437.0,1.27,-0.42,-0.004,0.5
61,2021-08-16,0.941,0.944,0.953,0.939,17947,1704011.0,1.48,0.11,0.001,0.16
62,2021-08-17,0.949,0.937,0.954,0.937,24817,2358538.0,1.8,-0.74,-0.007,0.23
63,2021-08-18,0.943,0.946,0.946,0.943,19650,1856049.0,0.32,0.96,0.009,0.18
64,2021-08-19,0.947,0.931,0.947,0.928,41498,3880168.0,2.01,-1.59,-0.015,0.38
65,2021-08-20,0.933,0.925,0.934,0.918,31566,2920704.0,1.72,-0.64,-0.006,0.29
66,2021-08-23,0.925,0.936,0.942,0.922,22476,2105211.0,2.16,1.19,0.011,0.21
67,2021-08-24,0.936,0.935,0.939,0.932,136920,12833486.0,0.75,-0.11,-0.001,1.25
68,2021-08-25,0.934,0.943,0.944,0.929,33707,3174750.0,1.6,0.86,0.008,0.31
69,2021-08-26,0.943,0.939,0.947,0.938,23764,2236612.0,0.95,-0.42,-0.004,0.22
70,2021-08-27,0.939,0.937,0.942,0.937,35560,3342037.0,0.53,-0.21,-0.002,0.33
71,2021-08-30,0.937,0.939,0.942,0.936,103817,9754228.0,0.64,0.21,0.002,0.95
72,2021-08-31,0.939,0.952,0.953,0.937,96020,9059103.0,1.7,1.38,0.013,0.88
73,2021-09-01,0.958,0.959,0.963,0.956,101249,9710968.0,0.74,0.74,0.007,0.93
74,2021-09-02,0.964,0.966,0.967,0.96,59211,5709446.0,0.73,0.73,0.007,0.54
75,2021-09-03,0.97,0.97,0.976,0.97,34894,3393732.0,0.62,0.41,0.004,0.32
76,2021-09-06,0.973,0.966,0.977,0.964,96729,9384066.0,1.34,-0.41,-0.004,0.89
77,2021-09-07,0.966,0.965,0.969,0.961,54617,5265722.0,0.83,-0.1,-0.001,0.5
78,2021-09-08,0.964,0.961,0.967,0.96,49770,4791733.0,0.73,-0.41,-0.004,0.46
79,2021-09-09,0.962,0.956,0.965,0.955,44262,4244048.0,1.04,-0.52,-0.005,0.41
80,2021-09-10,0.956,0.963,0.968,0.956,95481,9203153.0,1.26,0.73,0.007,0.87
81,2021-09-13,0.963,0.968,0.97,0.959,66433,6415339.0,1.14,0.52,0.005,0.61
82,2021-09-14,0.968,0.95,0.976,0.949,92619,8893555.0,2.79,-1.86,-0.018,0.85
83,2021-09-15,0.949,0.936,0.949,0.934,50337,4734134.0,1.58,-1.47,-0.014,0.46
84,2021-09-16,0.934,0.913,0.934,0.904,123942,11361058.0,3.21,-2.46,-0.023,1.14
85,2021-09-17,0.908,0.91,0.921,0.904,141932,12952361.0,1.86,-0.33,-0.003,1.3
86,2021-09-22,0.905,0.906,0.908,0.886,58314,5277370.0,2.42,-0.44,-0.004,0.53
87,2021-09-23,0.911,0.922,0.938,0.911,178402,16557652.0,2.98,1.77,0.016,1.63
88,2021-09-24,0.922,0.908,0.923,0.908,31190,2865749.0,1.63,-1.52,-0.014,0.29
89,2021-09-27,0.907,0.905,0.917,0.901,180821,16444495.0,1.76,-0.33,-0.003,1.66
90,2021-09-28,0.91,0.923,0.927,0.901,153018,14078131.0,2.87,1.99,0.018,1.4
91,2021-09-29,0.923,0.925,0.929,0.914,53161,4912878.0,1.63,0.22,0.002,0.49
92,2021-09-30,0.93,0.932,0.933,0.924,125345,11638291.0,0.97,0.76,0.007,1.15
93,2021-10-08,0.934,0.934,0.942,0.933,72015,6740013.0,0.97,0.21,0.002,0.66
94,2021-10-11,0.932,0.931,0.945,0.93,157339,14659332.0,1.61,-0.32,-0.003,1.44
95,2021-10-12,0.916,0.926,0.934,0.913,87727,8153237.0,2.26,-0.54,-0.005,0.8
96,2021-10-13,0.915,0.936,0.938,0.915,131970,12256613.0,2.48,1.08,0.01,1.21
97,2021-10-14,0.936,0.935,0.941,0.925,13224,1235441.0,1.71,-0.11,-0.001,0.12
98,2021-10-15,0.941,0.922,0.941,0.915,144596,13280883.0,2.78,-1.39,-0.013,1.32
99,2021-10-18,0.922,0.929,0.93,0.922,150760,13980684.0,0.87,0.76,0.007,1.38
100,2021-10-19,0.929,0.931,0.935,0.913,45403,4228413.0,2.37,0.22,0.002,0.42
101,2021-10-20,0.929,0.923,0.931,0.922,59676,5514158.0,0.97,-0.86,-0.008,0.55
