,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2023-11-02,1.004,1.006,1.007,1.001,1898689,190640307.0,0.0,0.0,0.0,67.41
1,2023-11-03,1.018,1.015,1.018,1.015,353663,35945786.0,0.3,0.89,0.009,12.56
2,2023-11-06,1.03,1.029,1.03,1.018,537487,55111459.0,1.18,1.38,0.014,19.08
3,2023-11-07,1.029,1.029,1.03,1.028,91017,9367109.0,0.19,0.0,0.0,3.23
4,2023-11-08,1.039,1.042,1.045,1.039,147419,15350512.0,0.58,1.26,0.013,5.23
5,2023-11-09,1.046,1.052,1.052,1.045,81139,8495569.0,0.67,0.96,0.01,2.88
6,2023-11-10,1.041,1.041,1.043,1.04,49918,5196541.0,0.29,-1.05,-0.011,1.77
7,2023-11-13,1.06,1.063,1.066,1.06,97644,10378260.0,0.58,2.11,0.022,3.47
8,2023-11-14,1.063,1.066,1.066,1.062,82828,8819629.0,0.38,0.28,0.003,2.94
9,2023-11-15,1.085,1.092,1.094,1.085,76866,8387435.0,0.84,2.44,0.026,2.73
10,2023-11-16,1.092,1.087,1.092,1.085,50676,5504996.0,0.64,-0.46,-0.005,1.8
11,2023-11-17,1.087,1.089,1.091,1.083,17764,1933151.0,0.74,0.18,0.002,0.63
12,2023-11-20,1.09,1.081,1.09,1.078,114438,12400146.0,1.1,-0.73,-0.008,4.06
13,2023-11-21,1.094,1.102,1.102,1.094,107866,11868652.0,0.74,1.94,0.021,3.83
14,2023-11-22,1.1,1.092,1.1,1.089,70276,7674871.0,1.0,-0.91,-0.01,2.49
15,2023-11-23,1.097,1.097,1.1,1.095,42627,4674653.0,0.46,0.46,0.005,1.51
16,2023-11-24,1.098,1.095,1.098,1.094,23301,2551507.0,0.36,-0.18,-0.002,0.83
17,2023-11-27,1.086,1.089,1.092,1.086,44253,4818791.0,0.55,-0.55,-0.006,1.57
18,2023-11-28,1.089,1.092,1.092,1.089,18831,2054085.0,0.28,0.28,0.003,0.67
19,2023-11-29,1.092,1.093,1.094,1.092,21564,2356684.0,0.18,0.09,0.001,0.77
20,2023-11-30,1.093,1.095,1.095,1.092,16539,1807435.0,0.27,0.18,0.002,0.59
21,2023-12-01,1.088,1.091,1.091,1.088,9269,1009833.0,0.27,-0.37,-0.004,0.33
22,2023-12-04,1.092,1.091,1.092,1.088,56591,6168468.0,0.37,0.0,0.0,2.01
23,2023-12-05,1.084,1.084,1.089,1.081,16208,1754411.0,0.73,-0.64,-0.007,0.58
24,2023-12-06,1.095,1.096,1.1,1.092,80994,8871420.0,0.74,1.11,0.012,2.88
25,2023-12-07,1.089,1.085,1.089,1.084,32603,3537504.0,0.46,-1.0,-0.011,1.16
26,2023-12-08,1.099,1.1,1.1,1.096,50723,5572865.0,0.37,1.38,0.015,1.8
27,2023-12-11,1.105,1.105,1.108,1.103,270867,29904401.0,0.45,0.45,0.005,9.62
28,2023-12-12,1.116,1.118,1.12,1.115,28655,3203528.0,0.45,1.18,0.013,1.02
29,2023-12-13,1.123,1.125,1.131,1.123,58187,6546808.0,0.72,0.63,0.007,2.07
30,2023-12-14,1.135,1.137,1.137,1.133,69780,7924476.0,0.36,1.07,0.012,2.48
31,2023-12-15,1.136,1.125,1.136,1.124,34830,3923787.0,1.06,-1.06,-0.012,1.24
32,2023-12-18,1.132,1.134,1.135,1.13,28870,3270247.0,0.44,0.8,0.009,1.02
33,2023-12-19,1.138,1.145,1.146,1.138,37486,4287427.0,0.71,0.97,0.011,1.33
34,2023-12-20,1.152,1.15,1.164,1.146,27226,3130096.0,1.57,0.44,0.005,0.97
35,2023-12-21,1.137,1.134,1.137,1.128,60334,6826874.0,0.78,-1.39,-0.016,2.14
36,2023-12-22,1.152,1.143,1.152,1.138,51609,5900811.0,1.23,0.79,0.009,1.83
37,2023-12-25,1.144,1.145,1.148,1.143,8846,1012597.0,0.44,0.17,0.002,0.31
38,2023-12-26,1.146,1.155,1.161,1.145,82954,9563366.0,1.4,0.87,0.01,2.95
39,2023-12-27,1.165,1.157,1.165,1.155,93590,10819995.0,0.87,0.17,0.002,3.32
40,2023-12-28,1.158,1.154,1.159,1.153,51535,5958748.0,0.52,-0.26,-0.003,1.83
41,2023-12-29,1.152,1.152,1.153,1.147,29187,3355203.0,0.52,-0.17,-0.002,1.04
42,2024-01-02,1.146,1.151,1.151,1.145,16168,1858583.0,0.52,-0.09,-0.001,0.57
43,2024-01-03,1.15,1.133,1.15,1.13,44250,5008783.0,1.74,-1.56,-0.018,1.57
44,2024-01-04,1.127,1.124,1.127,1.121,21430,2407727.0,0.53,-0.79,-0.009,0.76
45,2024-01-05,1.118,1.117,1.121,1.116,18874,2110265.0,0.44,-0.62,-0.007,0.67
46,2024-01-08,1.118,1.119,1.121,1.118,14632,1638627.0,0.27,0.18,0.002,0.52
47,2024-01-09,1.152,1.144,1.152,1.137,26667,3045358.0,1.34,2.23,0.025,0.95
48,2024-01-10,1.144,1.146,1.148,1.142,24547,2814302.0,0.52,0.17,0.002,0.87
49,2024-01-11,1.159,1.157,1.17,1.153,57837,6685591.0,1.48,0.96,0.011,2.05
50,2024-01-12,1.155,1.154,1.155,1.151,13425,1547128.0,0.35,-0.26,-0.003,0.48
51,2024-01-15,1.155,1.16,1.162,1.155,29319,3394352.0,0.61,0.52,0.006,1.04
52,2024-01-16,1.16,1.154,1.16,1.152,24584,2839855.0,0.69,-0.52,-0.006,0.87
53,2024-01-17,1.158,1.154,1.162,1.152,51139,5923174.0,0.87,0.0,0.0,1.82
54,2024-01-18,1.15,1.155,1.155,1.148,31656,3649483.0,0.61,0.09,0.001,1.12
55,2024-01-19,1.17,1.177,1.182,1.169,57944,6810855.0,1.13,1.9,0.022,2.06
56,2024-01-22,1.199,1.271,1.29,1.199,1014140,125517849.0,7.73,7.99,0.094,36.0
