,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-01-03,0.999,0.996,0.999,0.995,610861,60863552.0,0.0,0.0,0.0,9.14
1,2020-01-06,0.994,0.995,1.004,0.991,67872,6742979.0,1.31,-0.1,-0.001,1.02
2,2020-01-07,0.992,0.998,0.999,0.992,89381,8902538.0,0.7,0.3,0.003,1.34
3,2020-01-08,0.992,0.99,0.998,0.989,20740,2058172.0,0.9,-0.8,-0.008,0.31
4,2020-01-09,0.99,1.0,1.005,0.99,216722,21682379.0,1.52,1.01,0.01,3.24
5,2020-01-10,1.0,0.995,1.0,0.993,13720,1365850.0,0.7,-0.5,-0.005,0.21
6,2020-01-13,0.993,1.001,1.001,0.989,54054,5396448.0,1.21,0.6,0.006,0.81
7,2020-01-14,0.995,1.0,1.006,0.995,92093,9242392.0,1.1,-0.1,-0.001,1.38
8,2020-01-15,0.992,0.997,1.002,0.992,3561,354943.0,1.0,-0.3,-0.003,0.05
9,2020-01-16,0.999,0.989,0.999,0.989,14992,1485549.0,1.0,-0.8,-0.008,0.22
10,2020-01-17,0.989,0.985,0.99,0.984,12053,1190023.0,0.61,-0.4,-0.004,0.18
11,2020-01-20,0.985,0.978,0.985,0.977,17034,1667745.0,0.81,-0.71,-0.007,0.25
12,2020-01-21,0.98,0.965,0.98,0.965,17217,1669147.0,1.53,-1.33,-0.013,0.26
13,2020-01-22,0.965,0.97,0.978,0.957,23434,2259120.0,2.18,0.52,0.005,0.35
14,2020-01-23,0.966,0.944,0.97,0.933,14882,1415678.0,3.81,-2.68,-0.026,0.22
15,2020-02-03,0.85,0.85,0.85,0.85,14510,1233350.0,0.0,-9.96,-0.094,0.22
16,2020-02-04,0.788,0.861,0.925,0.788,77964,6466800.0,16.12,1.29,0.011,1.17
17,2020-02-05,0.85,0.859,0.88,0.831,14633,1258166.0,5.69,-0.23,-0.002,0.22
18,2020-02-06,0.86,0.868,0.873,0.85,15244,1311734.0,2.68,1.05,0.009,0.23
19,2020-02-07,0.855,0.867,0.867,0.854,9791,840020.0,1.5,-0.12,-0.001,0.15
20,2020-02-10,0.855,0.881,0.89,0.855,8181,716303.0,4.04,1.61,0.014,0.12
21,2020-02-11,0.882,0.89,0.896,0.882,6343,565499.0,1.59,1.02,0.009,0.09
22,2020-02-12,0.888,0.892,0.895,0.886,21906,1952103.0,1.01,0.22,0.002,0.33
23,2020-02-13,0.899,0.906,0.93,0.899,12149,1104506.0,3.48,1.57,0.014,0.18
24,2020-02-14,0.906,0.935,0.935,0.906,29209,2683733.0,3.2,3.2,0.029,0.44
25,2020-02-17,0.935,0.959,0.96,0.927,6705,628271.0,3.53,2.57,0.024,0.1
26,2020-02-18,0.92,0.932,0.969,0.919,11064,1035034.0,5.21,-2.82,-0.027,0.17
27,2020-02-19,0.957,0.931,0.957,0.931,6393,597837.0,2.79,-0.11,-0.001,0.1
28,2020-02-20,0.923,0.93,0.946,0.92,12784,1185957.0,2.79,-0.11,-0.001,0.19
29,2020-02-21,0.93,0.936,0.938,0.923,24555,2293341.0,1.61,0.65,0.006,0.37
30,2020-02-24,0.945,0.925,0.98,0.918,34695,3210980.0,6.62,-1.18,-0.011,0.52
31,2020-02-25,0.922,0.921,0.929,0.9,19983,1834956.0,3.14,-0.43,-0.004,0.3
32,2020-02-26,0.913,0.942,0.957,0.913,54744,5183564.0,4.78,2.28,0.021,0.82
33,2020-02-27,0.968,0.931,0.968,0.93,19950,1872045.0,4.03,-1.17,-0.011,0.3
34,2020-02-28,0.931,0.912,0.934,0.909,39364,3618192.0,2.69,-2.04,-0.019,0.59
35,2020-03-02,0.903,0.952,0.96,0.903,171203,16352949.0,6.25,4.39,0.04,2.56
36,2020-03-03,0.945,0.952,0.965,0.943,32391,3076734.0,2.31,0.0,0.0,0.48
37,2020-03-04,0.952,0.99,1.0,0.947,102367,9959236.0,5.57,3.99,0.038,1.53
38,2020-03-05,1.0,0.993,1.0,0.891,350690,34693238.0,11.01,0.3,0.003,5.25
39,2020-03-06,0.983,0.972,0.983,0.969,50539,4923815.0,1.41,-2.11,-0.021,0.76
40,2020-03-09,0.972,0.945,0.972,0.945,41618,3970141.0,2.78,-2.78,-0.027,0.62
41,2020-03-10,0.945,0.959,0.97,0.929,34557,3288082.0,4.34,1.48,0.014,0.52
42,2020-03-11,0.958,0.954,0.969,0.953,4210,403650.0,1.67,-0.52,-0.005,0.06
43,2020-03-12,0.948,0.938,0.948,0.932,138317,12961705.0,1.68,-1.68,-0.016,2.07
44,2020-03-13,0.863,0.929,0.945,0.863,26739,2430209.0,8.74,-0.96,-0.009,0.4
45,2020-03-16,0.937,0.907,0.937,0.903,33098,3042647.0,3.66,-2.37,-0.022,0.5
46,2020-03-17,0.924,0.891,0.924,0.877,7894,704015.0,5.18,-1.76,-0.016,0.12
47,2020-03-18,0.9,0.864,0.9,0.864,8214,722903.0,4.04,-3.03,-0.027,0.12
48,2020-03-19,0.862,0.847,0.864,0.831,11265,953636.0,3.82,-1.97,-0.017,0.17
49,2020-03-20,0.855,0.87,0.87,0.854,16718,1445476.0,1.89,2.72,0.023,0.25
50,2020-03-23,0.844,0.835,0.848,0.832,35693,3009761.0,1.84,-4.02,-0.035,0.53
51,2020-03-24,0.847,0.853,0.853,0.842,11384,966426.0,1.32,2.16,0.018,0.17
52,2020-03-25,0.866,0.885,0.887,0.862,24467,2129087.0,2.93,3.75,0.032,0.37
53,2020-03-26,0.874,0.881,0.885,0.874,53131,4666880.0,1.24,-0.45,-0.004,0.79
54,2020-03-27,0.89,0.887,0.9,0.886,30777,2748960.0,1.59,0.68,0.006,0.46
55,2020-03-30,0.878,0.875,0.881,0.87,26527,2320240.0,1.24,-1.35,-0.012,0.4
56,2020-03-31,0.884,0.868,0.884,0.868,1331,116667.0,1.83,-0.8,-0.007,0.02
57,2020-04-01,0.877,0.872,0.885,0.87,162356,14256520.0,1.73,0.46,0.004,2.43
58,2020-04-02,0.872,0.882,0.882,0.867,59317,5175750.0,1.72,1.15,0.01,0.89
59,2020-04-03,0.873,0.88,0.883,0.873,26446,2327626.0,1.13,-0.23,-0.002,0.4
60,2020-04-07,0.886,0.892,0.895,0.886,32322,2876703.0,1.02,1.36,0.012,0.48
61,2020-04-08,0.885,0.888,0.89,0.884,9622,852779.0,0.67,-0.45,-0.004,0.14
