,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-01-15,1.0,1.006,1.009,0.997,6975,700033.0,0.0,0.0,0.0,0.3
1,2020-01-16,1.006,0.997,1.007,0.997,3742,374209.0,0.99,-0.89,-0.009,0.16
2,2020-01-17,0.998,0.994,0.998,0.991,1752,174064.0,0.7,-0.3,-0.003,0.08
3,2020-01-20,0.991,0.994,0.994,0.991,773,76712.0,0.3,0.0,0.0,0.03
4,2020-01-21,0.994,0.982,0.994,0.981,920,90641.0,1.31,-1.21,-0.012,0.04
5,2020-01-22,0.981,0.974,0.991,0.97,705,68713.0,2.14,-0.81,-0.008,0.03
6,2020-01-23,0.976,0.957,0.991,0.956,2248,217697.0,3.59,-1.75,-0.017,0.1
7,2020-02-03,0.956,0.861,0.956,0.861,725,63849.0,9.93,-10.03,-0.096,0.03
8,2020-02-04,0.861,0.882,0.93,0.861,1921,169606.0,8.01,2.44,0.021,0.08
9,2020-02-05,0.872,0.888,0.899,0.872,412,36659.0,3.06,0.68,0.006,0.02
10,2020-02-06,0.888,0.905,0.911,0.88,502,45091.0,3.49,1.91,0.017,0.02
11,2020-02-07,0.89,0.9,0.903,0.89,361,32276.0,1.44,-0.55,-0.005,0.02
12,2020-02-10,0.872,0.925,0.925,0.872,329,29864.0,5.89,2.78,0.025,0.01
13,2020-02-11,0.9,0.918,0.932,0.9,1511,140258.0,3.46,-0.76,-0.007,0.07
14,2020-02-12,0.926,0.923,0.95,0.92,307,28648.0,3.27,0.54,0.005,0.01
15,2020-02-13,0.945,0.931,0.96,0.931,1795,170408.0,3.14,0.87,0.008,0.08
16,2020-02-14,0.975,0.948,0.975,0.932,661,61945.0,4.62,1.83,0.017,0.03
17,2020-02-17,0.948,0.949,0.956,0.932,781,73399.0,2.53,0.11,0.001,0.03
18,2020-02-18,0.949,0.941,0.949,0.938,336,31555.0,1.16,-0.84,-0.008,0.01
19,2020-02-19,0.93,0.948,0.948,0.93,671,63113.0,1.91,0.74,0.007,0.03
20,2020-02-20,0.929,0.945,0.946,0.929,768,71886.0,1.79,-0.32,-0.003,0.03
21,2020-02-21,0.945,0.954,0.955,0.94,419,39659.0,1.59,0.95,0.009,0.02
22,2020-02-24,0.938,0.954,0.96,0.938,483,45855.0,2.31,0.0,0.0,0.02
23,2020-02-25,0.935,0.945,0.945,0.92,1926,178731.0,2.62,-0.94,-0.009,0.08
24,2020-02-26,0.926,0.947,0.955,0.926,1742,164731.0,3.07,0.21,0.002,0.08
25,2020-02-27,0.95,0.95,0.96,0.947,2574,245390.0,1.37,0.32,0.003,0.11
26,2020-02-28,0.947,0.92,0.947,0.919,4203,389020.0,2.95,-3.16,-0.03,0.18
27,2020-03-02,0.902,0.994,1.01,0.902,11617,1117511.0,11.74,8.04,0.074,0.5
28,2020-03-03,1.03,0.974,1.04,0.968,23460,2314574.0,7.24,-2.01,-0.02,1.02
29,2020-03-04,0.974,0.981,0.983,0.969,7451,727716.0,1.44,0.72,0.007,0.32
30,2020-03-05,1.0,0.993,1.0,0.962,8108,801785.0,3.87,1.22,0.012,0.35
31,2020-03-06,0.973,0.973,0.986,0.97,2003404,194895233.0,1.61,-2.01,-0.02,86.99
32,2020-03-09,0.97,0.945,0.97,0.945,10450,992925.0,2.57,-2.88,-0.028,0.45
33,2020-03-10,0.946,0.958,0.962,0.932,6681,637564.0,3.17,1.38,0.013,0.29
34,2020-03-11,0.958,0.958,0.964,0.958,2140,205713.0,0.63,0.0,0.0,0.09
35,2020-03-12,0.942,0.937,0.943,0.937,909,85340.0,0.63,-2.19,-0.021,0.04
36,2020-03-13,0.92,0.927,0.934,0.904,2427,221002.0,3.2,-1.07,-0.01,0.11
37,2020-03-16,0.927,0.902,0.928,0.899,874,79320.0,3.13,-2.7,-0.025,0.04
38,2020-03-17,0.869,0.891,0.921,0.869,695,61653.0,5.76,-1.22,-0.011,0.03
39,2020-03-18,0.902,0.888,0.909,0.888,2224776,199972132.0,2.36,-0.34,-0.003,96.61
40,2020-03-19,0.88,0.873,0.883,0.855,31844,2753114.0,3.15,-1.69,-0.015,1.38
41,2020-03-20,0.874,0.882,0.882,0.871,74811,6563015.0,1.26,1.03,0.009,3.25
42,2020-03-23,0.864,0.855,0.868,0.854,26703,2297175.0,1.59,-3.06,-0.027,1.16
43,2020-03-24,0.855,0.873,0.873,0.855,36191,3134239.0,2.11,2.11,0.018,1.57
44,2020-03-25,0.876,0.891,0.891,0.876,18078,1606054.0,1.72,2.06,0.018,0.78
45,2020-03-26,0.884,0.881,0.886,0.881,32382,2862209.0,0.56,-1.12,-0.01,1.41
46,2020-03-27,0.89,0.889,0.897,0.886,39180,3489307.0,1.25,0.91,0.008,1.7
47,2020-03-30,0.88,0.888,0.888,0.876,33110,2916862.0,1.35,-0.11,-0.001,1.44
48,2020-03-31,0.889,0.884,0.889,0.883,13447,1190927.0,0.68,-0.45,-0.004,0.58
49,2020-04-01,0.883,0.88,0.884,0.879,60744,5345709.0,0.57,-0.45,-0.004,2.64
50,2020-04-02,0.873,0.887,0.887,0.87,75444,6618582.0,1.93,0.8,0.007,3.28
51,2020-04-03,0.883,0.881,0.885,0.877,53091,4690516.0,0.9,-0.68,-0.006,2.31
52,2020-04-07,0.881,0.9,0.9,0.881,61662,5512988.0,2.16,2.16,0.019,2.68
53,2020-04-08,0.896,0.898,0.901,0.896,113521,10202587.0,0.56,-0.22,-0.002,4.93
54,2020-04-09,0.901,0.901,0.903,0.9,21781,1965073.0,0.33,0.33,0.003,0.95
55,2020-04-10,0.91,0.89,0.91,0.89,58823,5249366.0,2.22,-1.22,-0.011,2.55
56,2020-04-13,0.908,0.89,0.908,0.889,39676,3532956.0,2.13,0.0,0.0,1.72
57,2020-04-14,0.89,0.902,0.903,0.89,56110,5023066.0,1.46,1.35,0.012,2.44
58,2020-04-15,0.9,0.895,0.9,0.895,93934,8434752.0,0.55,-0.78,-0.007,4.08
59,2020-04-16,0.889,0.893,0.893,0.888,78709,6997438.0,0.56,-0.22,-0.002,3.42
60,2020-04-17,0.897,0.897,0.9,0.896,97636,8763508.0,0.45,0.45,0.004,4.24
61,2020-04-20,0.902,0.902,0.904,0.902,87764,7918338.0,0.22,0.56,0.005,3.81
62,2020-04-21,0.897,0.895,0.897,0.888,64774,5790041.0,1.0,-0.78,-0.007,2.81
63,2020-04-22,0.892,0.897,0.897,0.889,18261,1628398.0,0.89,0.22,0.002,0.79
64,2020-04-23,0.897,0.893,0.899,0.893,84736,7588207.0,0.67,-0.45,-0.004,3.68
65,2020-04-24,0.892,0.887,0.892,0.887,78864,7029440.0,0.56,-0.67,-0.006,3.42
66,2020-04-27,0.888,0.887,0.89,0.885,90200,7995438.0,0.56,0.0,0.0,3.92
67,2020-04-28,0.882,0.878,0.882,0.865,134504,11801418.0,1.92,-1.01,-0.009,5.84
68,2020-04-29,0.878,0.879,0.881,0.878,166012,14600895.0,0.34,0.11,0.001,7.21
69,2020-04-30,0.885,0.895,0.895,0.885,124248,11068296.0,1.14,1.82,0.016,5.4
70,2020-05-06,0.895,0.901,0.903,0.891,171549,15342960.0,1.34,0.67,0.006,7.45
71,2020-05-07,0.901,0.899,0.901,0.897,98320,8846836.0,0.44,-0.22,-0.002,4.27
72,2020-05-08,0.901,0.906,0.909,0.901,112043,10136269.0,0.89,0.78,0.007,4.87
73,2020-05-11,0.906,0.908,0.917,0.906,5178065,470524592.0,1.21,0.22,0.002,224.84
74,2020-05-12,0.908,0.905,0.909,0.899,5200225,469433456.0,1.1,-0.33,-0.003,225.81
75,2020-05-13,0.905,0.904,0.905,0.898,123120,11091051.0,0.77,-0.11,-0.001,5.35
76,2020-05-14,0.904,0.892,0.904,0.892,88506,7939674.0,1.33,-1.33,-0.012,3.84
77,2020-05-15,0.893,0.889,0.893,0.888,96174,8572382.0,0.56,-0.34,-0.003,4.18
78,2020-05-18,0.899,0.889,0.899,0.887,5159503,459049168.0,1.35,0.0,0.0,224.04
79,2020-05-19,0.894,0.894,0.897,0.894,6118739,547185056.0,0.34,0.56,0.005,265.69
80,2020-05-20,0.893,0.888,0.894,0.888,81110,7225865.0,0.67,-0.67,-0.006,3.52
81,2020-05-21,0.891,0.881,0.891,0.88,9970287,881492336.0,1.24,-0.79,-0.007,432.94
82,2020-05-22,0.878,0.867,0.878,0.863,125154,10910529.0,1.7,-1.59,-0.014,5.43
83,2020-05-25,0.866,0.867,0.867,0.863,142974,12365219.0,0.46,0.0,0.0,6.21
84,2020-05-26,0.87,0.868,0.873,0.865,6644874,576584384.0,0.92,0.12,0.001,288.54
85,2020-05-27,0.869,0.869,0.871,0.867,234643,20388449.0,0.46,0.12,0.001,10.19
86,2020-05-28,0.869,0.868,0.875,0.864,30487,2648986.0,1.27,-0.12,-0.001,1.32
87,2020-05-29,0.868,0.864,0.868,0.859,16128352,1393408144.0,1.04,-0.46,-0.004,700.33
88,2020-06-01,0.865,0.881,0.881,0.865,14644729,1280720608.0,1.85,1.97,0.017,635.91
89,2020-06-02,0.881,0.884,0.885,0.877,107123,9447234.0,0.91,0.34,0.003,4.65
90,2020-06-03,0.887,0.883,0.889,0.883,43234,3834954.0,0.68,-0.11,-0.001,1.88
91,2020-06-04,0.883,0.88,0.883,0.879,25153,2214953.0,0.45,-0.34,-0.003,1.09
92,2020-06-05,0.879,0.88,0.881,0.876,87717,7705291.0,0.57,0.0,0.0,3.81
93,2020-06-08,0.885,0.889,0.889,0.885,133927,11892818.0,0.45,1.02,0.009,5.82
94,2020-06-09,0.889,0.894,0.895,0.889,117162,10454016.0,0.67,0.56,0.005,5.09
95,2020-06-10,0.89,0.89,0.89,0.888,98658,8775135.0,0.22,-0.45,-0.004,4.28
96,2020-06-11,0.887,0.882,0.89,0.881,74028,6567263.0,1.01,-0.9,-0.008,3.21
97,2020-06-12,0.864,0.88,0.881,0.864,113135,9914147.0,1.93,-0.23,-0.002,4.91
98,2020-06-15,0.875,0.872,0.879,0.872,86449,7572324.0,0.8,-0.91,-0.008,3.75
99,2020-06-16,0.877,0.885,0.885,0.877,91450,8058893.0,0.92,1.49,0.013,3.97
100,2020-06-17,0.884,0.887,0.888,0.883,73989,6550787.0,0.56,0.23,0.002,3.21
101,2020-06-18,0.887,0.896,0.932,0.871,85488,7639305.0,6.88,1.01,0.009,3.71
102,2020-06-19,0.897,0.897,0.899,0.895,51268,4590619.0,0.45,0.11,0.001,2.23
103,2020-06-22,0.897,0.893,0.898,0.892,48421,4331066.0,0.67,-0.45,-0.004,2.1
104,2020-06-23,0.89,0.889,0.89,0.886,27437,2435994.0,0.45,-0.45,-0.004,1.19
105,2020-06-24,0.889,0.89,0.892,0.889,103854,9253940.0,0.34,0.11,0.001,4.51
106,2020-06-29,0.887,0.882,0.887,0.881,49815,4399181.0,0.67,-0.9,-0.008,2.16
107,2020-06-30,0.889,0.888,0.89,0.887,26057,2316117.0,0.34,0.68,0.006,1.13
108,2020-07-01,0.888,0.904,0.904,0.888,34076,3068178.0,1.8,1.8,0.016,1.48
109,2020-07-02,0.904,0.925,0.926,0.904,78103,7135039.0,2.43,2.32,0.021,3.39
110,2020-07-03,0.926,0.945,0.946,0.926,19287,1807904.0,2.16,2.16,0.02,0.84
111,2020-07-06,0.95,0.998,1.0,0.95,30835,3022481.0,5.29,5.61,0.053,1.34
112,2020-07-07,1.0,0.994,1.04,0.993,61503,6192556.0,4.71,-0.4,-0.004,2.67
113,2020-07-08,0.994,1.008,1.011,0.983,704047,70059636.0,2.82,1.41,0.014,30.57
114,2020-07-09,1.008,1.023,1.024,1.003,1114799,112907342.0,2.08,1.49,0.015,48.41
115,2020-07-10,1.022,1.004,1.023,1.0,33337,3370984.0,2.25,-1.86,-0.019,1.45
116,2020-07-13,1.004,1.03,1.033,1.004,19010,1933786.0,2.89,2.59,0.026,0.83
117,2020-07-14,1.026,1.024,1.034,1.008,72907,7442029.0,2.52,-0.58,-0.006,3.17
118,2020-07-15,1.025,1.011,1.032,1.006,27056,2764480.0,2.54,-1.27,-0.013,1.17
119,2020-07-16,1.011,0.979,1.021,0.978,28420,2874208.0,4.25,-3.17,-0.032,1.23
120,2020-07-17,0.98,0.987,0.995,0.98,54720,5402066.0,1.53,0.82,0.008,2.38
121,2020-07-20,0.992,1.034,1.034,0.992,28967,2962059.0,4.26,4.76,0.047,1.26
122,2020-07-21,1.035,1.029,1.035,1.023,41283,4240039.0,1.16,-0.48,-0.005,1.79
123,2020-07-22,1.029,1.032,1.047,1.027,26841,2787018.0,1.94,0.29,0.003,1.17
124,2020-07-23,1.022,1.028,1.032,1.006,35515,3633335.0,2.52,-0.39,-0.004,1.54
125,2020-07-24,1.02,0.993,1.02,0.986,81641,8190749.0,3.31,-3.4,-0.035,3.55
126,2020-07-27,1.002,0.997,1.005,0.992,30117,3002611.0,1.31,0.4,0.004,1.31
127,2020-07-28,0.999,1.0,1.006,0.996,37916,3804488.0,1.0,0.3,0.003,1.65
128,2020-07-29,0.992,1.015,1.015,0.992,312086,31515729.0,2.3,1.5,0.015,13.55
129,2020-07-30,1.014,1.015,1.022,1.002,57311,5829908.0,1.97,0.0,0.0,2.49
130,2020-07-31,1.015,1.02,1.026,1.009,26496,2697568.0,1.67,0.49,0.005,1.15
131,2020-08-03,1.019,1.036,1.037,1.019,35877,3696399.0,1.76,1.57,0.016,1.56
132,2020-08-04,1.036,1.038,1.039,1.03,281518,29067187.0,0.87,0.19,0.002,12.22
133,2020-08-05,1.038,1.032,1.038,1.026,26299,2709576.0,1.16,-0.58,-0.006,1.14
134,2020-08-06,1.033,1.031,1.036,1.02,46955,4830405.0,1.55,-0.1,-0.001,2.04
135,2020-08-07,1.03,1.024,1.03,1.016,29819,3055152.0,1.36,-0.68,-0.007,1.29
136,2020-08-10,1.023,1.033,1.037,1.019,19404,1993402.0,1.76,0.88,0.009,0.84
137,2020-08-11,1.041,1.026,1.044,1.026,52952,5506061.0,1.74,-0.68,-0.007,2.3
138,2020-08-12,1.022,1.025,1.027,1.011,38773,3946697.0,1.56,-0.1,-0.001,1.68
139,2020-08-13,1.028,1.029,1.031,1.027,22463,2312051.0,0.39,0.39,0.004,0.98
140,2020-08-14,1.02,1.034,1.034,1.019,11267,1152076.0,1.46,0.49,0.005,0.49
141,2020-08-17,1.034,1.051,1.053,1.034,3770618,395385120.0,1.84,1.64,0.017,163.73
142,2020-08-18,1.05,1.055,1.058,1.048,39615,4181179.0,0.95,0.38,0.004,1.72
143,2020-08-19,1.054,1.054,1.062,1.05,30196,3178674.0,1.14,-0.09,-0.001,1.31
144,2020-08-20,1.048,1.043,1.049,1.041,28125,2938461.0,0.76,-1.04,-0.011,1.22
145,2020-08-21,1.046,1.043,1.049,1.043,12225,1278070.0,0.58,0.0,0.0,0.53
146,2020-08-24,1.053,1.052,1.057,1.052,51563,5424839.0,0.48,0.86,0.009,2.24
147,2020-08-25,1.056,1.049,1.06,1.047,14388,1512561.0,1.24,-0.29,-0.003,0.62
148,2020-08-26,1.048,1.034,1.051,1.033,25390,2657112.0,1.72,-1.43,-0.015,1.1
149,2020-08-27,1.041,1.039,1.041,1.032,10045,1040657.0,0.87,0.48,0.005,0.44
150,2020-08-28,1.042,1.054,1.055,1.041,10737,1124155.0,1.35,1.44,0.015,0.47
151,2020-08-31,1.06,1.052,1.063,1.05,9700,1025742.0,1.23,-0.19,-0.002,0.42
152,2020-09-01,1.052,1.054,1.054,1.048,37912,3987509.0,0.57,0.19,0.002,1.65
153,2020-09-02,1.056,1.049,1.056,1.047,14461,1519236.0,0.85,-0.47,-0.005,0.63
154,2020-09-03,1.053,1.05,1.061,1.049,46532,4910868.0,1.14,0.1,0.001,2.02
155,2020-09-04,1.039,1.045,1.046,1.039,3071,320911.0,0.67,-0.48,-0.005,0.13
156,2020-09-07,1.045,1.036,1.049,1.036,37647,3940344.0,1.24,-0.86,-0.009,1.63
157,2020-09-08,1.04,1.044,1.047,1.035,38044,3953388.0,1.16,0.77,0.008,1.65
158,2020-09-09,1.035,1.037,1.041,1.032,14052,1458777.0,0.86,-0.67,-0.007,0.61
159,2020-09-10,1.038,1.023,1.04,1.023,24732,2559610.0,1.64,-1.35,-0.014,1.07
160,2020-09-11,1.017,1.024,1.024,1.013,9443,962376.0,1.08,0.1,0.001,0.41
161,2020-09-14,1.028,1.03,1.03,1.027,18841,1937247.0,0.29,0.59,0.006,0.82
162,2020-09-15,1.033,1.036,1.036,1.032,13249,1369694.0,0.39,0.58,0.006,0.58
163,2020-09-16,1.036,1.037,1.043,1.033,48472,5030410.0,0.97,0.1,0.001,2.1
164,2020-09-17,1.035,1.04,1.045,1.035,8109,842334.0,0.96,0.29,0.003,0.35
165,2020-09-18,1.046,1.06,1.061,1.041,13896,1458796.0,1.92,1.92,0.02,0.6
166,2020-09-21,1.058,1.052,1.06,1.051,7104,748531.0,0.85,-0.75,-0.008,0.31
167,2020-09-22,1.052,1.033,1.052,1.032,29217,3045763.0,1.9,-1.81,-0.019,1.27
168,2020-09-23,1.039,1.032,1.039,1.032,3576,369896.0,0.68,-0.1,-0.001,0.16
169,2020-09-24,1.018,1.012,1.018,1.011,9878,1000706.0,0.68,-1.94,-0.02,0.43
