,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-09-19,1.012,1.011,1.013,1.006,1585721,160079071.0,0.0,0.0,0.0,21.9
1,2019-09-20,1.012,1.013,1.014,1.011,468940,47478813.0,0.3,0.2,0.002,6.48
2,2019-09-23,1.011,1.004,1.011,0.999,98901,9915070.0,1.18,-0.89,-0.009,1.37
3,2019-09-24,1.003,1.005,1.009,1.002,181016,18204562.0,0.7,0.1,0.001,2.5
4,2019-09-25,1.002,1.001,1.004,0.998,92598,9269522.0,0.6,-0.4,-0.004,1.28
5,2019-09-26,1.001,1.0,1.007,0.999,99758,10008013.0,0.8,-0.1,-0.001,1.38
6,2019-09-27,1.001,0.999,1.001,0.996,64713,6456024.0,0.5,-0.1,-0.001,0.89
7,2019-09-30,0.996,0.994,1.001,0.992,58370,5827220.0,0.9,-0.5,-0.005,0.81
8,2019-10-08,0.992,1.0,1.002,0.992,122623,12256734.0,1.01,0.6,0.006,1.69
9,2019-10-09,1.0,1.005,1.007,0.994,140855,14127865.0,1.3,0.5,0.005,1.95
10,2019-10-10,1.004,1.008,1.008,1.004,132249,13308700.0,0.4,0.3,0.003,1.83
11,2019-10-11,1.007,1.017,1.019,1.007,520165,52761040.0,1.19,0.89,0.009,7.18
12,2019-10-14,1.021,1.03,1.042,1.021,833494,86051607.0,2.06,1.28,0.013,11.51
13,2019-10-15,1.03,1.027,1.031,1.025,142512,14642285.0,0.58,-0.29,-0.003,1.97
14,2019-10-16,1.028,1.025,1.036,1.022,131258,13511319.0,1.36,-0.19,-0.002,1.81
15,2019-10-17,1.025,1.023,1.028,1.019,82988,8496589.0,0.88,-0.2,-0.002,1.15
16,2019-10-18,1.026,1.011,1.027,1.01,80203,8177084.0,1.66,-1.17,-0.012,1.11
17,2019-10-21,1.011,1.015,1.016,1.008,43989,4455237.0,0.79,0.4,0.004,0.61
18,2019-10-22,1.017,1.015,1.018,1.008,44151,4466172.0,0.99,0.0,0.0,0.61
19,2019-10-23,1.015,1.011,1.016,1.01,49006,4971088.0,0.59,-0.39,-0.004,0.68
20,2019-10-24,1.013,1.013,1.02,1.012,83721,8499313.0,0.79,0.2,0.002,1.16
21,2019-10-25,1.013,1.013,1.015,1.007,69793,7054605.0,0.79,0.0,0.0,0.96
22,2019-10-28,1.015,1.016,1.02,1.012,92456,9374470.0,0.79,0.3,0.003,1.28
23,2019-10-29,1.015,1.01,1.015,1.009,86928,8798959.0,0.59,-0.59,-0.006,1.2
24,2019-10-30,1.011,1.009,1.011,1.006,65073,6562608.0,0.5,-0.1,-0.001,0.9
25,2019-10-31,1.008,1.004,1.008,1.003,48470,4871310.0,0.5,-0.5,-0.005,0.67
26,2019-11-01,1.004,1.016,1.017,1.002,246087,24932971.0,1.49,1.2,0.012,3.4
27,2019-11-04,1.016,1.019,1.021,1.016,227014,23136088.0,0.49,0.3,0.003,3.13
28,2019-11-05,1.019,1.027,1.032,1.019,233894,23956934.0,1.28,0.79,0.008,3.23
29,2019-11-06,1.024,1.026,1.032,1.024,143573,14761655.0,0.78,-0.1,-0.001,1.98
30,2019-11-07,1.026,1.028,1.031,1.025,104277,10723814.0,0.58,0.19,0.002,1.44
31,2019-11-08,1.029,1.02,1.033,1.02,68418,7022287.0,1.26,-0.78,-0.008,0.94
32,2019-11-11,1.021,1.006,1.021,1.005,60874,6137372.0,1.57,-1.37,-0.014,0.84
33,2019-11-12,1.004,1.004,1.008,1.002,53172,5342723.0,0.6,-0.2,-0.002,0.73
34,2019-11-13,1.003,1.001,1.003,0.999,64534,6458993.0,0.4,-0.3,-0.003,0.89
35,2019-11-14,1.002,1.0,1.002,0.998,37638,3766907.0,0.4,-0.1,-0.001,0.52
36,2019-11-15,1.0,0.994,1.0,0.993,54033,5382721.0,0.7,-0.6,-0.006,0.75
37,2019-11-18,0.981,1.004,1.005,0.981,65788,6560443.0,2.41,1.01,0.01,0.91
38,2019-11-19,1.006,1.007,1.009,1.005,145797,14681820.0,0.4,0.3,0.003,2.01
39,2019-11-20,1.005,1.0,1.007,0.998,61819,6204255.0,0.89,-0.7,-0.007,0.85
40,2019-11-21,0.996,1.0,1.002,0.995,48574,4847449.0,0.7,0.0,0.0,0.67
41,2019-11-22,1.0,0.998,1.006,0.997,57915,5794333.0,0.9,-0.2,-0.002,0.8
42,2019-11-25,1.002,1.016,1.016,1.002,114021,11536473.0,1.4,1.8,0.018,1.57
43,2019-11-26,1.015,1.016,1.017,1.012,61623,6251165.0,0.49,0.0,0.0,0.85
44,2019-11-27,1.016,1.01,1.016,1.01,53235,5390349.0,0.59,-0.59,-0.006,0.74
45,2019-11-28,1.01,1.006,1.013,1.005,49911,5032979.0,0.79,-0.4,-0.004,0.69
46,2019-11-29,1.005,1.004,1.009,1.002,73231,7357910.0,0.7,-0.2,-0.002,1.01
47,2019-12-02,1.004,1.007,1.011,1.004,58176,5867433.0,0.7,0.3,0.003,0.8
48,2019-12-03,1.004,1.009,1.009,1.003,33179,3339410.0,0.6,0.2,0.002,0.46
49,2019-12-04,1.006,1.004,1.007,1.002,30047,3020408.0,0.5,-0.5,-0.005,0.41
50,2019-12-05,1.004,1.007,1.009,1.004,36689,3696078.0,0.5,0.3,0.003,0.51
51,2019-12-06,1.007,1.007,1.008,1.003,43576,4383419.0,0.5,0.0,0.0,0.6
52,2019-12-09,1.005,1.012,1.012,1.005,74922,7555388.0,0.7,0.5,0.005,1.03
53,2019-12-10,1.011,1.01,1.012,1.008,68145,6880995.0,0.4,-0.2,-0.002,0.94
54,2019-12-11,1.01,1.016,1.017,1.01,88821,9003938.0,0.69,0.59,0.006,1.23
55,2019-12-12,1.017,1.013,1.017,1.012,38145,3868921.0,0.49,-0.3,-0.003,0.53
56,2019-12-13,1.014,1.029,1.029,1.014,182012,18616884.0,1.48,1.58,0.016,2.51
57,2019-12-16,1.026,1.029,1.029,1.023,72112,7395426.0,0.58,0.0,0.0,1.0
58,2019-12-17,1.028,1.036,1.044,1.025,197394,20461020.0,1.85,0.68,0.007,2.73
