,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-11-01,3.921,3.89,3.924,3.825,452274,174507779.0,0.0,0.0,0.0,142.32
1,2019-11-04,3.891,3.908,3.913,3.884,15833,6183653.0,0.75,0.46,0.018,4.98
2,2019-11-05,3.907,3.922,4.09,3.578,5436,2133470.0,13.1,0.36,0.014,1.71
3,2019-11-06,3.846,3.985,3.987,3.846,896,350940.0,3.6,1.61,0.063,0.28
4,2019-11-07,3.906,3.9,3.926,3.9,89,34962.0,0.65,-2.13,-0.085,0.03
5,2019-11-08,3.935,3.929,3.935,3.922,3260,1281085.0,0.33,0.74,0.029,1.03
6,2019-11-11,3.911,3.84,3.911,3.84,4248,1634524.0,1.81,-2.27,-0.089,1.34
7,2019-11-12,3.835,3.814,3.835,3.809,305,116912.0,0.68,-0.68,-0.026,0.1
8,2019-11-13,3.831,3.839,3.839,3.818,160,61109.0,0.55,0.66,0.025,0.05
9,2019-11-14,3.762,3.846,3.855,3.762,219,84095.0,2.42,0.18,0.007,0.07
10,2019-11-15,3.843,3.812,3.843,3.812,313,119646.0,0.81,-0.88,-0.034,0.1
11,2019-11-18,3.83,3.846,3.846,3.824,1883,723004.0,0.58,0.89,0.034,0.59
12,2019-11-19,3.854,3.875,3.875,3.854,1746,675453.0,0.55,0.75,0.029,0.55
13,2019-11-20,3.866,3.841,3.866,3.841,1664,640027.0,0.65,-0.88,-0.034,0.52
14,2019-11-21,3.822,3.835,3.835,3.816,100,38089.0,0.49,-0.16,-0.006,0.03
15,2019-11-22,3.758,3.788,3.845,3.758,208,78917.0,2.27,-1.23,-0.047,0.07
16,2019-11-25,3.776,3.675,3.806,3.675,1482,562450.0,3.46,-2.98,-0.113,0.47
17,2019-11-26,3.678,3.82,3.832,3.678,2207,843070.0,4.19,3.95,0.145,0.69
18,2019-11-27,3.806,3.81,3.823,3.806,180,68943.0,0.45,-0.26,-0.01,0.06
19,2019-11-28,3.733,3.791,3.821,3.733,139,52754.0,2.31,-0.5,-0.019,0.04
20,2019-11-29,3.794,3.76,3.794,3.744,329,123909.0,1.32,-0.82,-0.031,0.1
21,2019-12-02,3.768,3.77,3.828,3.768,469,177241.0,1.6,0.27,0.01,0.15
22,2019-12-03,3.764,3.775,3.775,3.755,280,105330.0,0.53,0.13,0.005,0.09
23,2019-12-04,3.782,3.79,3.79,3.782,324,122731.0,0.21,0.4,0.015,0.1
24,2019-12-05,3.812,3.82,3.822,3.803,269,102623.0,0.5,0.79,0.03,0.08
25,2019-12-06,3.833,3.83,3.833,3.82,355,135944.0,0.34,0.26,0.01,0.11
26,2019-12-09,3.827,3.827,3.827,3.827,112,43038.0,0.0,-0.08,-0.003,0.04
27,2019-12-10,3.822,3.834,3.843,3.822,762,291672.0,0.55,0.18,0.007,0.24
28,2019-12-11,3.84,3.838,3.84,3.836,623,239117.0,0.1,0.1,0.004,0.2
29,2019-12-12,3.834,3.828,3.834,3.825,301,115219.0,0.23,-0.26,-0.01,0.09
30,2019-12-13,3.861,3.901,3.901,3.861,877,340503.0,1.04,1.91,0.073,0.28
31,2019-12-16,3.899,3.914,3.914,3.896,784,305964.0,0.46,0.33,0.013,0.25
32,2019-12-17,3.919,3.972,3.986,3.918,1300,514368.0,1.74,1.48,0.058,0.41
33,2019-12-18,3.981,3.961,3.988,3.961,1076,427875.0,0.68,-0.28,-0.011,0.34
34,2019-12-19,3.959,3.952,3.961,3.943,904,357309.0,0.45,-0.23,-0.009,0.28
35,2019-12-20,3.972,3.958,3.972,3.956,255,100881.0,0.4,0.15,0.006,0.08
36,2019-12-23,3.934,3.906,3.934,3.905,153,59701.0,0.73,-1.31,-0.052,0.05
37,2019-12-24,3.921,3.925,3.925,3.908,1402,548337.0,0.44,0.49,0.019,0.44
38,2019-12-25,3.932,3.94,3.94,3.932,270,106101.0,0.2,0.38,0.015,0.08
39,2019-12-26,3.934,3.942,3.949,3.934,1327,523298.0,0.38,0.05,0.002,0.42
40,2019-12-27,3.98,3.968,4.0,3.968,2335,929013.0,0.81,0.66,0.026,0.73
41,2019-12-30,3.954,4.014,4.018,3.953,943,375757.0,1.64,1.16,0.046,0.3
42,2019-12-31,4.02,4.024,4.024,4.01,758,304794.0,0.35,0.25,0.01,0.24
43,2020-01-02,4.057,4.051,4.095,4.017,6849,2792291.0,1.94,0.67,0.027,2.16
44,2020-01-03,4.025,4.028,4.069,4.025,774,312908.0,1.09,-0.57,-0.023,0.24
45,2020-01-06,4.028,4.053,4.1,4.028,6848,2797123.0,1.79,0.62,0.025,2.15
46,2020-01-07,4.083,4.092,4.092,4.072,6691,2731511.0,0.49,0.96,0.039,2.11
47,2020-01-08,4.07,4.052,4.079,4.045,1329,539278.0,0.83,-0.98,-0.04,0.42
48,2020-01-09,4.086,4.083,4.101,4.002,4173,1708390.0,2.44,0.77,0.031,1.31
49,2020-01-10,4.012,4.1,4.11,4.012,5132,2105306.0,2.4,0.42,0.017,1.61
50,2020-01-13,4.097,4.134,4.134,4.088,2608,1072472.0,1.12,0.83,0.034,0.82
51,2020-01-14,4.143,4.126,4.15,4.121,4166,1724220.0,0.7,-0.19,-0.008,1.31
52,2020-01-15,4.125,4.103,4.129,4.094,1593,653564.0,0.85,-0.56,-0.023,0.5
53,2020-01-16,4.108,4.085,4.108,4.083,153,62335.0,0.61,-0.44,-0.018,0.05
54,2020-01-17,4.1,4.088,4.109,4.077,1699,695637.0,0.78,0.07,0.003,0.53
55,2020-01-20,4.11,4.135,4.135,4.11,1925,793070.0,0.61,1.15,0.047,0.61
56,2020-01-21,4.081,4.061,4.082,4.061,319,130050.0,0.51,-1.79,-0.074,0.1
57,2020-01-22,4.033,4.033,4.1,4.033,2926,1193730.0,1.65,-0.69,-0.028,0.92
58,2020-01-23,4.046,3.964,4.062,3.929,1339,536892.0,3.3,-1.71,-0.069,0.42
59,2020-02-03,3.84,3.57,3.84,3.568,1254,447943.0,6.86,-9.94,-0.394,0.39
60,2020-02-04,3.539,3.758,3.765,3.497,1443,531558.0,7.51,5.27,0.188,0.45
61,2020-02-05,3.761,3.785,3.829,3.761,789,299546.0,1.81,0.72,0.027,0.25
62,2020-02-06,3.817,3.858,3.874,3.814,638,245086.0,1.59,1.93,0.073,0.2
63,2020-02-07,3.868,3.852,3.875,3.818,777,298038.0,1.48,-0.16,-0.006,0.24
64,2020-02-10,3.852,3.867,3.877,3.838,330,127504.0,1.01,0.39,0.015,0.1
65,2020-02-11,3.907,3.934,3.937,3.905,144,56159.0,0.83,1.73,0.067,0.05
66,2020-02-12,3.939,3.956,3.967,3.939,272,107447.0,0.71,0.56,0.022,0.09
67,2020-02-13,3.879,3.941,3.978,3.879,1071,423334.0,2.5,-0.38,-0.015,0.34
68,2020-02-14,3.945,3.962,3.982,3.945,72,28586.0,0.94,0.53,0.021,0.02
69,2020-02-17,3.992,4.045,4.046,3.992,509,205519.0,1.36,2.09,0.083,0.16
70,2020-02-18,4.06,4.038,4.07,4.017,443,178858.0,1.31,-0.17,-0.007,0.14
71,2020-02-19,4.05,4.049,4.08,4.045,1545,629199.0,0.87,0.27,0.011,0.49
72,2020-02-20,4.066,4.13,4.13,3.995,6256,2555688.0,3.33,2.0,0.081,1.97
73,2020-02-21,4.108,4.144,4.175,4.108,3751,1554110.0,1.62,0.34,0.014,1.18
74,2020-02-24,4.07,4.128,4.177,4.07,1088,448533.0,2.58,-0.39,-0.016,0.34
75,2020-02-25,4.091,4.115,4.123,4.032,1048,428472.0,2.2,-0.31,-0.013,0.33
76,2020-02-26,4.082,4.065,4.11,4.065,367,150250.0,1.09,-1.22,-0.05,0.12
77,2020-02-27,4.094,4.078,4.11,4.076,628,257227.0,0.84,0.32,0.013,0.2
78,2020-02-28,4.001,3.957,4.042,3.949,656,262182.0,2.28,-2.97,-0.121,0.21
79,2020-03-02,3.995,4.087,4.101,3.995,517,210423.0,2.68,3.29,0.13,0.16
80,2020-03-03,4.144,4.116,4.167,4.116,1278,529688.0,1.25,0.71,0.029,0.4
