,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-12-18,0.925,0.926,0.936,0.925,181702,16838006.0,0.0,0.0,0.0,1.19
1,2019-12-19,0.932,0.927,0.932,0.924,54068,5007156.0,0.86,0.11,0.001,0.36
2,2019-12-20,0.926,0.918,0.927,0.916,111975,10297060.0,1.19,-0.97,-0.009,0.74
3,2019-12-23,0.916,0.902,0.918,0.902,117371,10661306.0,1.74,-1.74,-0.016,0.77
4,2019-12-24,0.904,0.909,0.91,0.903,16901,1531223.0,0.78,0.78,0.007,0.11
5,2019-12-25,0.909,0.912,0.915,0.908,19228,1755393.0,0.77,0.33,0.003,0.13
6,2019-12-26,0.913,0.918,0.918,0.912,26053,2381718.0,0.66,0.66,0.006,0.17
7,2019-12-27,0.92,0.914,0.925,0.912,26229,2416570.0,1.42,-0.44,-0.004,0.17
8,2019-12-30,0.915,0.921,0.922,0.906,10473,959006.0,1.75,0.77,0.007,0.07
9,2019-12-31,0.921,0.926,0.926,0.92,19559,1804666.0,0.65,0.54,0.005,0.13
10,2020-01-02,0.929,0.947,0.95,0.929,37453,3534113.0,2.27,2.27,0.021,0.25
11,2020-01-03,0.948,0.948,0.952,0.945,15406,1461451.0,0.74,0.11,0.001,0.1
12,2020-01-06,0.944,0.956,0.964,0.944,23066,2212373.0,2.11,0.84,0.008,0.15
13,2020-01-07,0.953,0.959,0.959,0.953,14335,1371325.0,0.63,0.31,0.003,0.09
14,2020-01-08,0.959,0.951,0.959,0.949,2995,285291.0,1.04,-0.83,-0.008,0.02
15,2020-01-09,0.95,0.955,0.955,0.95,2804,267178.0,0.53,0.42,0.004,0.02
16,2020-01-10,0.955,0.948,0.955,0.945,17975,1704407.0,1.05,-0.73,-0.007,0.12
17,2020-01-13,0.958,0.957,0.958,0.947,21072,2005010.0,1.16,0.95,0.009,0.14
18,2020-01-14,0.957,0.955,0.96,0.951,14540,1391602.0,0.94,-0.21,-0.002,0.1
19,2020-01-15,0.903,0.95,0.962,0.903,4826,453371.0,6.18,-0.52,-0.005,0.03
20,2020-01-16,0.947,0.948,0.951,0.946,20389,1934726.0,0.53,-0.21,-0.002,0.13
21,2020-01-17,0.946,0.94,0.947,0.939,19831,1870707.0,0.84,-0.84,-0.008,0.13
22,2020-01-20,0.94,0.949,0.95,0.939,12251,1159051.0,1.17,0.96,0.009,0.08
23,2020-01-21,0.945,0.936,0.946,0.936,19904,1871609.0,1.05,-1.37,-0.013,0.13
24,2020-01-22,0.922,0.941,0.943,0.922,12952,1211650.0,2.24,0.53,0.005,0.09
25,2020-01-23,0.934,0.912,0.934,0.905,29165,2684394.0,3.08,-3.08,-0.029,0.19
26,2020-02-03,0.88,0.821,0.88,0.821,4847,401425.0,6.47,-9.98,-0.091,0.03
27,2020-02-04,0.821,0.833,0.833,0.815,265313,21969408.0,2.19,1.46,0.012,1.74
28,2020-02-05,0.85,0.842,0.855,0.84,131030,11098249.0,1.8,1.08,0.009,0.86
29,2020-02-06,0.842,0.859,0.862,0.84,181081,15339414.0,2.61,2.02,0.017,1.19
30,2020-02-07,0.859,0.865,0.865,0.851,8749,749697.0,1.63,0.7,0.006,0.06
31,2020-02-10,0.861,0.874,0.875,0.861,14138,1229061.0,1.62,1.04,0.009,0.09
32,2020-02-11,0.87,0.876,0.878,0.87,18868,1651417.0,0.92,0.23,0.002,0.12
33,2020-02-12,0.876,0.886,0.886,0.871,11397,1002034.0,1.71,1.14,0.01,0.07
34,2020-02-13,0.892,0.883,0.892,0.881,549526,48748962.0,1.24,-0.34,-0.003,3.61
35,2020-02-14,0.883,0.883,0.89,0.881,204603,18159309.0,1.02,0.0,0.0,1.34
36,2020-02-17,0.895,0.914,0.914,0.894,1871786,169663837.0,2.27,3.51,0.031,12.29
37,2020-02-18,0.916,0.921,0.924,0.914,1104358,101503279.0,1.09,0.77,0.007,7.25
38,2020-02-19,0.92,0.922,0.93,0.915,205835,19063838.0,1.63,0.11,0.001,1.35
39,2020-02-20,0.923,0.929,0.93,0.914,562634,52179379.0,1.74,0.76,0.007,3.69
40,2020-02-21,0.929,0.943,0.948,0.929,1614378,152066774.0,2.05,1.51,0.014,10.6
41,2020-02-24,0.94,0.947,0.954,0.939,2001755,189680758.0,1.59,0.42,0.004,13.15
42,2020-02-25,0.933,0.937,0.941,0.908,1657708,154504620.0,3.48,-1.06,-0.01,10.89
43,2020-02-26,0.925,0.935,0.949,0.925,670441,63030303.0,2.56,-0.21,-0.002,4.4
44,2020-02-27,0.935,0.936,0.945,0.929,171179,16082265.0,1.71,0.11,0.001,1.12
45,2020-02-28,0.918,0.906,0.923,0.903,18265,1668500.0,2.14,-3.21,-0.03,0.12
46,2020-03-02,0.912,0.938,0.943,0.911,2050033,191967218.0,3.53,3.53,0.032,13.46
47,2020-03-03,0.955,0.946,0.979,0.938,2665157,253801695.0,4.37,0.85,0.008,17.5
48,2020-03-04,0.965,0.953,0.965,0.941,2029794,192958371.0,2.54,0.74,0.007,13.33
49,2020-03-05,0.966,0.967,0.973,0.957,2794662,269403408.0,1.68,1.47,0.014,18.35
50,2020-03-06,0.957,0.954,0.961,0.95,3452226,329234032.0,1.14,-1.34,-0.013,22.67
51,2020-03-09,0.934,0.921,0.936,0.919,1120375,104213928.0,1.78,-3.46,-0.033,7.36
52,2020-03-10,0.92,0.94,0.941,0.906,31490,2932591.0,3.8,2.06,0.019,0.21
53,2020-03-11,0.94,0.935,0.952,0.933,8517,804455.0,2.02,-0.53,-0.005,0.06
54,2020-03-12,0.937,0.921,0.937,0.914,5859,536914.0,2.46,-1.5,-0.014,0.04
55,2020-03-13,0.9,0.913,0.921,0.885,9587,866160.0,3.91,-0.87,-0.008,0.06
56,2020-03-16,0.914,0.883,0.917,0.881,3582,324333.0,3.94,-3.29,-0.03,0.02
57,2020-03-17,0.884,0.877,0.884,0.854,2249,195726.0,3.4,-0.68,-0.006,0.01
58,2020-03-18,0.894,0.869,0.897,0.868,12379,1095919.0,3.31,-0.91,-0.008,0.08
59,2020-03-19,0.867,0.867,0.873,0.846,21695,1874660.0,3.11,-0.23,-0.002,0.14
60,2020-03-20,0.87,0.872,0.873,0.862,2602,226141.0,1.27,0.58,0.005,0.02
61,2020-03-23,0.854,0.841,0.861,0.841,12590,1073342.0,2.29,-3.56,-0.031,0.08
62,2020-03-24,0.853,0.853,0.854,0.836,4652,395176.0,2.14,1.43,0.012,0.03
63,2020-03-25,0.883,0.869,0.883,0.858,8699,753166.0,2.93,1.88,0.016,0.06
64,2020-03-26,0.859,0.853,0.864,0.853,1229,105362.0,1.27,-1.84,-0.016,0.01
65,2020-03-27,0.855,0.859,0.873,0.855,9055,787060.0,2.11,0.7,0.006,0.06
66,2020-03-30,0.851,0.851,0.855,0.841,1223,103335.0,1.63,-0.93,-0.008,0.01
67,2020-03-31,0.845,0.844,0.855,0.842,2244,190408.0,1.53,-0.82,-0.007,0.01
68,2020-04-01,0.846,0.836,0.848,0.836,3031,255482.0,1.42,-0.95,-0.008,0.02
69,2020-04-02,0.835,0.851,0.852,0.834,1205545,101299296.0,2.15,1.79,0.015,7.92
70,2020-04-03,0.847,0.843,0.849,0.841,250818,21256301.0,0.94,-0.94,-0.008,1.65
71,2020-04-07,0.858,0.863,0.865,0.853,1207217,104025672.0,1.42,2.37,0.02,7.93
72,2020-04-08,0.861,0.862,0.867,0.857,712102,61523359.0,1.16,-0.12,-0.001,4.68
73,2020-04-09,0.869,0.867,0.872,0.866,276804,24097627.0,0.7,0.58,0.005,1.82
74,2020-04-10,0.876,0.851,0.876,0.851,151243,13053524.0,2.88,-1.85,-0.016,0.99
75,2020-04-13,0.855,0.852,0.855,0.844,1259,106941.0,1.29,0.12,0.001,0.01
76,2020-04-14,0.856,0.863,0.865,0.856,1110929,95628304.0,1.06,1.29,0.011,7.3
77,2020-04-15,0.861,0.859,0.864,0.859,101300,8743146.0,0.58,-0.46,-0.004,0.67
78,2020-04-16,0.86,0.859,0.863,0.853,643101,55285820.0,1.16,0.0,0.0,4.22
79,2020-04-17,0.867,0.869,0.875,0.866,658200,57374983.0,1.05,1.16,0.01,4.32
80,2020-04-20,0.873,0.876,0.876,0.869,781019,68252926.0,0.81,0.81,0.007,5.13
81,2020-04-21,0.869,0.869,0.87,0.863,901,78100.0,0.8,-0.8,-0.007,0.01
82,2020-04-22,0.869,0.87,0.871,0.863,200570,17439455.0,0.92,0.12,0.001,1.32
83,2020-04-23,0.877,0.865,0.877,0.865,1296,112521.0,1.38,-0.57,-0.005,0.01
84,2020-04-24,0.867,0.856,0.867,0.853,39543,3383413.0,1.62,-1.04,-0.009,0.26
85,2020-04-27,0.867,0.859,0.867,0.856,471002,40452134.0,1.29,0.35,0.003,3.09
86,2020-04-28,0.851,0.844,0.851,0.829,59238,4998591.0,2.56,-1.75,-0.015,0.39
87,2020-04-29,0.843,0.845,0.849,0.843,442787,37415247.0,0.71,0.12,0.001,2.91
88,2020-04-30,0.852,0.864,0.866,0.852,1611647,138970667.0,1.66,2.25,0.019,10.58
89,2020-05-06,0.864,0.876,0.877,0.864,984762,85755470.0,1.5,1.39,0.012,6.47
90,2020-05-07,0.876,0.871,0.876,0.869,2000,174978.0,0.8,-0.57,-0.005,0.01
91,2020-05-08,0.879,0.877,0.88,0.873,844411,74010599.0,0.8,0.69,0.006,5.55
92,2020-05-11,0.881,0.876,0.886,0.876,222554,19632853.0,1.14,-0.11,-0.001,1.46
93,2020-05-12,0.876,0.872,0.876,0.869,31497,2744464.0,0.8,-0.46,-0.004,0.21
94,2020-05-13,0.877,0.873,0.877,0.87,2280,198786.0,0.8,0.11,0.001,0.01
95,2020-05-14,0.874,0.864,0.874,0.864,3475,301173.0,1.15,-1.03,-0.009,0.02
96,2020-05-15,0.864,0.862,0.867,0.862,9868,850868.0,0.58,-0.23,-0.002,0.06
97,2020-05-18,0.864,0.862,0.869,0.862,1115,96805.0,0.81,0.0,0.0,0.01
98,2020-05-19,0.869,0.869,0.869,0.866,1322,114836.0,0.35,0.81,0.007,0.01
99,2020-05-20,0.867,0.864,0.868,0.86,1535,132901.0,0.92,-0.58,-0.005,0.01
100,2020-05-21,0.865,0.85,0.865,0.85,10292,886813.0,1.74,-1.62,-0.014,0.07
101,2020-05-22,0.851,0.835,0.851,0.833,7658,640881.0,2.12,-1.76,-0.015,0.05
102,2020-05-25,0.835,0.824,0.835,0.824,4022,332799.0,1.32,-1.32,-0.011,0.03
103,2020-05-26,0.833,0.833,0.833,0.829,3050,253769.0,0.49,1.09,0.009,0.02
104,2020-05-27,0.832,0.827,0.832,0.825,3375,279523.0,0.84,-0.72,-0.006,0.02
105,2020-05-28,0.827,0.828,0.831,0.82,6320,523047.0,1.33,0.12,0.001,0.04
106,2020-05-29,0.826,0.824,0.826,0.822,4509,370877.0,0.48,-0.48,-0.004,0.03
107,2020-06-01,0.84,0.844,0.844,0.831,8931,749694.0,1.58,2.43,0.02,0.06
108,2020-06-02,0.841,0.847,0.849,0.841,3409,287747.0,0.95,0.36,0.003,0.02
109,2020-06-03,0.847,0.848,0.849,0.846,2905,246386.0,0.35,0.12,0.001,0.02
110,2020-06-04,0.842,0.839,0.843,0.838,1213,101933.0,0.59,-1.06,-0.009,0.01
111,2020-06-05,0.839,0.841,0.841,0.834,1116,93535.0,0.83,0.24,0.002,0.01
112,2020-06-08,0.841,0.845,0.848,0.841,2508,212056.0,0.83,0.48,0.004,0.02
113,2020-06-09,0.843,0.848,0.848,0.843,34455,2912494.0,0.59,0.36,0.003,0.23
114,2020-06-10,0.843,0.842,0.843,0.839,137979,11597376.0,0.47,-0.71,-0.006,0.91
115,2020-06-11,0.84,0.836,0.844,0.834,604371,50858668.0,1.19,-0.71,-0.006,3.97
