,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2019-12-18,0.941,0.937,0.948,0.935,284588,26756276.0,0.0,0.0,0.0,1.97
1,2019-12-19,0.937,0.938,0.94,0.934,481465,45073559.0,0.64,0.11,0.001,3.32
2,2019-12-20,0.938,0.928,0.939,0.928,49351,4600478.0,1.17,-1.07,-0.01,0.34
3,2019-12-23,0.928,0.912,0.928,0.911,72503,6663666.0,1.83,-1.72,-0.016,0.5
4,2019-12-24,0.912,0.918,0.918,0.911,32697,2990196.0,0.77,0.66,0.006,0.23
5,2019-12-25,0.917,0.921,0.923,0.912,27926,2569726.0,1.2,0.33,0.003,0.19
6,2019-12-26,0.921,0.926,0.926,0.921,31918,2945958.0,0.54,0.54,0.005,0.22
7,2019-12-27,0.926,0.926,0.932,0.924,101391,9435876.0,0.86,0.0,0.0,0.7
8,2019-12-30,0.935,0.93,0.935,0.918,550060,51058605.0,1.84,0.43,0.004,3.8
9,2019-12-31,0.925,0.934,0.936,0.925,52950,4936636.0,1.18,0.43,0.004,0.37
10,2020-01-02,0.934,0.952,0.959,0.934,89804,8549319.0,2.68,1.93,0.018,0.62
11,2020-01-03,0.953,0.957,0.961,0.953,30997,2967851.0,0.84,0.53,0.005,0.21
12,2020-01-06,0.957,0.965,0.972,0.955,56179,5425003.0,1.78,0.84,0.008,0.39
13,2020-01-07,0.964,0.968,0.968,0.96,47514,4583720.0,0.83,0.31,0.003,0.33
14,2020-01-08,0.965,0.963,0.972,0.958,51986,5019360.0,1.45,-0.52,-0.005,0.36
15,2020-01-09,0.96,0.964,0.968,0.959,23035,2218008.0,0.93,0.1,0.001,0.16
16,2020-01-10,0.963,0.96,0.965,0.957,25480,2449237.0,0.83,-0.41,-0.004,0.18
17,2020-01-13,0.96,0.97,0.972,0.958,28191,2715367.0,1.46,1.04,0.01,0.19
18,2020-01-14,0.969,0.967,0.97,0.963,30467,2946783.0,0.72,-0.31,-0.003,0.21
19,2020-01-15,0.967,0.958,0.967,0.954,19233,1839346.0,1.34,-0.93,-0.009,0.13
20,2020-01-16,0.962,0.955,0.962,0.955,19732,1888938.0,0.73,-0.31,-0.003,0.14
21,2020-01-17,0.955,0.951,0.96,0.95,15962,1524216.0,1.05,-0.42,-0.004,0.11
22,2020-01-20,0.951,0.961,0.962,0.947,40460,3866318.0,1.58,1.05,0.01,0.28
23,2020-01-21,0.958,0.949,0.961,0.946,20823,1977095.0,1.56,-1.25,-0.012,0.14
24,2020-01-22,0.948,0.949,0.953,0.933,17383,1639987.0,2.11,0.0,0.0,0.12
25,2020-01-23,0.94,0.933,0.949,0.921,23409,2182112.0,2.95,-1.69,-0.016,0.16
26,2020-02-03,0.84,0.84,0.84,0.84,18244,1532496.0,0.0,-9.97,-0.093,0.13
27,2020-02-04,0.78,0.834,0.84,0.774,91082,7498080.0,7.86,-0.71,-0.006,0.63
28,2020-02-05,0.833,0.846,0.859,0.83,42712,3619647.0,3.48,1.44,0.012,0.29
29,2020-02-06,0.845,0.854,0.863,0.83,22832,1945576.0,3.9,0.95,0.008,0.16
30,2020-02-07,0.853,0.86,0.866,0.851,20512,1761176.0,1.76,0.7,0.006,0.14
31,2020-02-10,0.863,0.878,0.882,0.863,12606,1102538.0,2.21,2.09,0.018,0.09
32,2020-02-11,0.879,0.88,0.884,0.875,26753,2355317.0,1.03,0.23,0.002,0.18
33,2020-02-12,0.884,0.889,0.889,0.871,25016,2209417.0,2.05,1.02,0.009,0.17
34,2020-02-13,0.889,0.89,0.898,0.886,2025751,180677969.0,1.35,0.11,0.001,13.99
35,2020-02-14,0.89,0.89,0.897,0.888,770959,68936249.0,1.01,0.0,0.0,5.32
36,2020-02-17,0.89,0.919,0.92,0.89,3349904,305518320.0,3.37,3.26,0.029,23.13
37,2020-02-18,0.926,0.926,0.932,0.919,1559776,144317930.0,1.41,0.76,0.007,10.77
38,2020-02-19,0.926,0.933,0.939,0.923,331304,30912065.0,1.73,0.76,0.007,2.29
39,2020-02-20,0.935,0.94,0.94,0.921,35450,3306004.0,2.04,0.75,0.007,0.24
40,2020-02-21,0.948,0.956,0.956,0.929,98213,9328657.0,2.87,1.7,0.016,0.68
41,2020-02-24,0.956,0.96,0.965,0.944,779653,74929254.0,2.2,0.42,0.004,5.38
42,2020-02-25,0.939,0.951,0.956,0.927,1992842,187943403.0,3.02,-0.94,-0.009,13.76
43,2020-02-26,0.94,0.95,0.97,0.94,972786,93169453.0,3.15,-0.11,-0.001,6.72
44,2020-02-27,0.952,0.951,0.963,0.947,53002,5057869.0,1.68,0.11,0.001,0.37
45,2020-02-28,0.933,0.923,0.943,0.921,51067,4756386.0,2.31,-2.94,-0.028,0.35
46,2020-03-02,0.932,0.969,0.971,0.925,1127494,107329351.0,4.98,4.98,0.046,7.79
47,2020-03-03,0.979,0.967,0.999,0.963,201788,19773440.0,3.72,-0.21,-0.002,1.39
48,2020-03-04,0.967,0.972,0.976,0.958,50729,4906535.0,1.86,0.52,0.005,0.35
49,2020-03-05,0.973,0.984,0.989,0.973,37493,3682113.0,1.65,1.23,0.012,0.26
50,2020-03-06,0.974,0.971,0.981,0.964,25774,2504548.0,1.73,-1.32,-0.013,0.18
51,2020-03-09,0.945,0.94,0.973,0.94,458865,43371552.0,3.4,-3.19,-0.031,3.17
52,2020-03-10,0.931,0.959,0.962,0.921,2025661,192960891.0,4.36,2.02,0.019,13.99
53,2020-03-11,0.96,0.956,0.973,0.954,1362869,131640760.0,1.98,-0.31,-0.003,9.41
54,2020-03-12,0.944,0.939,0.945,0.934,359918,33818797.0,1.15,-1.78,-0.017,2.49
55,2020-03-13,0.891,0.935,0.945,0.891,363750,34047054.0,5.75,-0.43,-0.004,2.51
56,2020-03-16,0.938,0.906,0.945,0.905,172441,16120241.0,4.28,-3.1,-0.029,1.19
57,2020-03-17,0.901,0.895,0.926,0.816,26815,2388994.0,12.14,-1.21,-0.011,0.19
58,2020-03-18,0.916,0.886,0.92,0.886,9712,877609.0,3.8,-1.01,-0.009,0.07
59,2020-03-19,0.887,0.886,0.887,0.861,14949,1303765.0,2.93,0.0,0.0,0.1
60,2020-03-20,0.896,0.889,0.899,0.88,6028,535109.0,2.14,0.34,0.003,0.04
61,2020-03-23,0.886,0.867,0.886,0.86,126611,10984137.0,2.92,-2.47,-0.022,0.87
62,2020-03-24,0.89,0.87,0.89,0.854,16317,1404439.0,4.15,0.35,0.003,0.11
63,2020-03-25,0.89,0.889,0.89,0.88,6159,546452.0,1.15,2.18,0.019,0.04
64,2020-03-26,0.888,0.872,0.888,0.872,15341,1347951.0,1.8,-1.91,-0.017,0.11
65,2020-03-27,0.873,0.877,0.891,0.873,15607,1375426.0,2.06,0.57,0.005,0.11
66,2020-03-30,0.877,0.878,0.878,0.82,8821,745567.0,6.61,0.11,0.001,0.06
67,2020-03-31,0.879,0.862,0.879,0.859,9663,838469.0,2.28,-1.82,-0.016,0.07
68,2020-04-01,0.862,0.856,0.87,0.855,6040,518994.0,1.74,-0.7,-0.006,0.04
69,2020-04-02,0.853,0.872,0.872,0.853,1064391,92224970.0,2.22,1.87,0.016,7.35
70,2020-04-03,0.867,0.865,0.877,0.86,5858,506990.0,1.95,-0.8,-0.007,0.04
71,2020-04-07,0.877,0.884,0.886,0.873,1257629,110969944.0,1.5,2.2,0.019,8.68
72,2020-04-08,0.883,0.885,0.888,0.862,917840,81136086.0,2.94,0.11,0.001,6.34
73,2020-04-09,0.886,0.886,0.894,0.886,656883,58494779.0,0.9,0.11,0.001,4.54
74,2020-04-10,0.893,0.874,0.894,0.869,74376,6606839.0,2.82,-1.35,-0.012,0.51
75,2020-04-13,0.87,0.872,0.872,0.855,265237,23108379.0,1.95,-0.23,-0.002,1.83
76,2020-04-14,0.872,0.884,0.885,0.872,1209230,106285946.0,1.49,1.38,0.012,8.35
77,2020-04-15,0.881,0.878,0.885,0.878,134778,11912261.0,0.79,-0.68,-0.006,0.93
78,2020-04-16,0.875,0.881,0.883,0.875,794370,69859086.0,0.91,0.34,0.003,5.48
79,2020-04-17,0.884,0.889,0.895,0.884,1187135,105666776.0,1.25,0.91,0.008,8.2
80,2020-04-20,0.895,0.896,0.896,0.89,356301,31861441.0,0.67,0.79,0.007,2.46
81,2020-04-21,0.89,0.889,0.894,0.883,8660,768144.0,1.23,-0.78,-0.007,0.06
82,2020-04-22,0.883,0.895,0.895,0.883,548032,48778622.0,1.35,0.67,0.006,3.78
83,2020-04-23,0.89,0.886,0.892,0.886,9334,830258.0,0.67,-1.01,-0.009,0.06
84,2020-04-24,0.886,0.877,0.886,0.875,4190,368499.0,1.24,-1.02,-0.009,0.03
85,2020-04-27,0.877,0.876,0.883,0.874,488276,42980321.0,1.03,-0.11,-0.001,3.37
86,2020-04-28,0.873,0.866,0.873,0.85,6987,601923.0,2.63,-1.14,-0.01,0.05
87,2020-04-29,0.863,0.864,0.87,0.861,459964,39841834.0,1.04,-0.23,-0.002,3.18
88,2020-04-30,0.872,0.884,0.886,0.872,1592258,140286400.0,1.62,2.31,0.02,10.99
89,2020-05-06,0.881,0.897,0.898,0.88,997436,88769776.0,2.04,1.47,0.013,6.89
90,2020-05-07,0.897,0.892,0.897,0.892,7800,697209.0,0.56,-0.56,-0.005,0.05
91,2020-05-08,0.893,0.898,0.902,0.888,918366,82495462.0,1.57,0.67,0.006,6.34
92,2020-05-11,0.898,0.901,0.909,0.898,849926,76884483.0,1.22,0.33,0.003,5.87
93,2020-05-12,0.9,0.898,0.9,0.89,17735,1590464.0,1.11,-0.33,-0.003,0.12
94,2020-05-13,0.898,0.89,0.905,0.89,4736,423295.0,1.67,-0.89,-0.008,0.03
95,2020-05-14,0.891,0.886,0.892,0.885,76018,6767195.0,0.79,-0.45,-0.004,0.52
96,2020-05-15,0.886,0.886,0.89,0.882,404315,35895510.0,0.9,0.0,0.0,2.79
97,2020-05-18,0.888,0.888,0.892,0.883,401432,35664008.0,1.02,0.23,0.002,2.77
98,2020-05-19,0.909,0.891,0.909,0.886,5319,472784.0,2.59,0.34,0.003,0.04
99,2020-05-20,0.905,0.884,0.905,0.884,11741,1042044.0,2.36,-0.79,-0.007,0.08
100,2020-05-21,0.886,0.872,0.886,0.87,6543,574108.0,1.81,-1.36,-0.012,0.05
101,2020-05-22,0.872,0.862,0.872,0.853,7315,631002.0,2.18,-1.15,-0.01,0.05
102,2020-05-25,0.862,0.847,0.862,0.845,10063,854329.0,1.97,-1.74,-0.015,0.07
103,2020-05-26,0.85,0.851,0.853,0.847,355223,30248921.0,0.71,0.47,0.004,2.45
104,2020-05-27,0.874,0.856,0.874,0.845,3431,292520.0,3.41,0.59,0.005,0.02
105,2020-05-28,0.841,0.844,0.854,0.841,7858,663828.0,1.52,-1.4,-0.012,0.05
106,2020-05-29,0.844,0.844,0.847,0.842,235872,19918471.0,0.59,0.0,0.0,1.63
107,2020-06-01,0.844,0.862,0.864,0.844,2027596,174368270.0,2.37,2.13,0.018,14.0
108,2020-06-02,0.864,0.868,0.869,0.861,487447,42210379.0,0.93,0.7,0.006,3.37
109,2020-06-03,0.867,0.866,0.871,0.866,393008,34147859.0,0.58,-0.23,-0.002,2.71
110,2020-06-04,0.866,0.859,0.87,0.859,9320,802632.0,1.27,-0.81,-0.007,0.06
111,2020-06-05,0.859,0.86,0.861,0.855,217035,18649886.0,0.7,0.12,0.001,1.5
112,2020-06-08,0.86,0.865,0.868,0.86,675747,58497474.0,0.93,0.58,0.005,4.67
113,2020-06-09,0.86,0.867,0.867,0.86,805367,69670230.0,0.81,0.23,0.002,5.56
114,2020-06-10,0.866,0.861,0.866,0.859,139646,12021603.0,0.81,-0.69,-0.006,0.96
115,2020-06-11,0.86,0.858,0.865,0.855,794858,68467593.0,1.16,-0.35,-0.003,5.49
116,2020-06-12,0.845,0.854,0.855,0.845,1098175,93235914.0,1.17,-0.47,-0.004,7.58
117,2020-06-15,0.85,0.849,0.854,0.848,733402,62479350.0,0.7,-0.59,-0.005,5.06
118,2020-06-16,0.851,0.858,0.86,0.851,1684615,144086768.0,1.06,1.06,0.009,11.63
119,2020-06-17,0.856,0.862,0.862,0.856,537587,46234641.0,0.7,0.47,0.004,3.71
120,2020-06-18,0.86,0.866,0.869,0.857,160065,13864928.0,1.39,0.46,0.004,1.11
121,2020-06-19,0.867,0.866,0.87,0.864,172941,14995340.0,0.69,0.0,0.0,1.19
122,2020-06-22,0.873,0.866,0.873,0.866,479239,41574282.0,0.81,0.0,0.0,3.31
123,2020-06-23,0.863,0.863,0.865,0.862,411869,35573444.0,0.35,-0.35,-0.003,2.84
124,2020-06-24,0.865,0.863,0.866,0.862,1295762,111795838.0,0.46,0.0,0.0,8.95
125,2020-06-29,0.855,0.853,0.86,0.852,2020705,173162744.0,0.93,-1.16,-0.01,13.95
126,2020-06-30,0.853,0.858,0.862,0.853,2846014,244296995.0,1.06,0.59,0.005,19.65
127,2020-07-01,0.862,0.868,0.87,0.861,2437025,210444225.0,1.05,1.17,0.01,16.83
128,2020-07-02,0.869,0.89,0.89,0.869,4485763,394139712.0,2.42,2.53,0.022,30.97
129,2020-07-03,0.895,0.905,0.908,0.893,4088559,368518368.0,1.69,1.69,0.015,28.23
130,2020-07-06,0.912,0.967,0.969,0.912,4373697,412203968.0,6.3,6.85,0.062,30.2
131,2020-07-07,0.977,0.974,1.0,0.96,3600374,351722720.0,4.14,0.72,0.007,24.86
132,2020-07-08,0.972,0.997,1.0,0.965,947593,93708603.0,3.59,2.36,0.023,6.54
133,2020-07-09,1.002,1.023,1.023,0.999,1217260,123822126.0,2.41,2.61,0.026,8.4
134,2020-07-10,1.012,0.998,1.022,0.993,360152,36419065.0,2.83,-2.44,-0.025,2.49
135,2020-07-13,0.997,1.02,1.023,0.995,1334239,135807235.0,2.81,2.2,0.022,9.21
136,2020-07-14,1.01,1.013,1.03,0.995,1072522,108103279.0,3.43,-0.69,-0.007,7.41
137,2020-07-15,1.014,0.982,1.019,0.979,620965,61710734.0,3.95,-3.06,-0.031,4.29
138,2020-07-16,0.985,0.959,0.995,0.952,134901,13296164.0,4.38,-2.34,-0.023,0.93
139,2020-07-17,0.968,0.954,0.975,0.942,393894,37603739.0,3.44,-0.52,-0.005,2.72
140,2020-07-20,0.98,1.002,1.003,0.963,1246348,124057348.0,4.19,5.03,0.048,8.61
141,2020-07-21,1.02,0.996,1.02,0.992,317212,31655028.0,2.79,-0.6,-0.006,2.19
142,2020-07-22,0.994,1.0,1.015,0.994,779477,78683218.0,2.11,0.4,0.004,5.38
143,2020-07-23,1.0,1.001,1.002,0.977,980099,97234559.0,2.5,0.1,0.001,6.77
144,2020-07-24,0.99,0.982,1.005,0.974,65348,6483126.0,3.1,-1.9,-0.019,0.45
145,2020-07-27,0.961,0.964,0.996,0.957,430809,41517668.0,3.97,-1.83,-0.018,2.97
146,2020-07-28,0.975,0.967,0.975,0.96,174869,16959646.0,1.56,0.31,0.003,1.21
147,2020-07-29,0.972,0.984,0.986,0.963,1048003,102217338.0,2.38,1.76,0.017,7.24
148,2020-07-30,0.985,0.981,0.992,0.976,291594,28732076.0,1.63,-0.3,-0.003,2.01
149,2020-07-31,0.975,0.988,0.997,0.975,790059,77626959.0,2.24,0.71,0.007,5.46
150,2020-08-03,0.989,1.006,1.018,0.989,617806,62592734.0,2.94,1.82,0.018,4.27
151,2020-08-04,1.007,1.011,1.018,1.003,537549,54341207.0,1.49,0.5,0.005,3.71
152,2020-08-05,1.01,1.016,1.019,1.003,459609,46602810.0,1.58,0.49,0.005,3.17
153,2020-08-06,1.016,1.016,1.025,1.005,86499,8808545.0,1.97,0.0,0.0,0.6
154,2020-08-07,1.01,1.025,1.027,1.008,555422,56837965.0,1.87,0.89,0.009,3.84
155,2020-08-10,1.019,1.029,1.04,1.019,104010,10743115.0,2.05,0.39,0.004,0.72
156,2020-08-11,1.027,1.015,1.039,1.015,524586,54177561.0,2.33,-1.36,-0.014,3.62
157,2020-08-12,1.011,1.008,1.014,0.992,571251,57513041.0,2.17,-0.69,-0.007,3.94
158,2020-08-13,1.013,1.01,1.019,1.009,490395,49731100.0,0.99,0.2,0.002,3.39
159,2020-08-14,1.007,1.019,1.02,1.007,714271,72356769.0,1.29,0.89,0.009,4.93
160,2020-08-17,1.019,1.041,1.043,1.018,1325526,137293423.0,2.45,2.16,0.022,9.15
161,2020-08-18,1.042,1.041,1.045,1.037,1104404,115008266.0,0.77,0.0,0.0,7.63
162,2020-08-19,1.033,1.036,1.046,1.028,62996,6535790.0,1.73,-0.48,-0.005,0.43
163,2020-08-20,1.024,1.01,1.027,1.01,97300,9904185.0,1.64,-2.51,-0.026,0.67
164,2020-08-21,1.021,1.013,1.023,1.01,360743,36612890.0,1.29,0.3,0.003,2.49
165,2020-08-24,1.013,1.017,1.023,1.012,536870,54678479.0,1.09,0.39,0.004,3.71
166,2020-08-25,1.02,1.005,1.023,1.003,559885,56299789.0,1.97,-1.18,-0.012,3.87
167,2020-08-26,1.005,0.986,1.006,0.985,15327,1525928.0,2.09,-1.89,-0.019,0.11
168,2020-08-27,0.986,0.991,0.994,0.981,356318,35197648.0,1.32,0.51,0.005,2.46
169,2020-08-28,0.986,1.007,1.007,0.986,615031,61310769.0,2.12,1.61,0.016,4.25
170,2020-08-31,1.01,1.001,1.015,1.001,542711,54567663.0,1.39,-0.6,-0.006,3.75
171,2020-09-01,1.003,1.005,1.006,1.0,18857,1892470.0,0.6,0.4,0.004,0.13
172,2020-09-02,1.005,0.998,1.005,0.994,4421,441803.0,1.09,-0.7,-0.007,0.03
173,2020-09-03,0.998,0.992,1.004,0.992,18514,1842380.0,1.2,-0.6,-0.006,0.13
174,2020-09-04,0.988,0.987,0.988,0.979,6598,647164.0,0.91,-0.5,-0.005,0.05
175,2020-09-07,0.984,0.97,0.991,0.97,4833,473098.0,2.13,-1.72,-0.017,0.03
176,2020-09-08,0.97,0.975,0.978,0.967,4169,404954.0,1.13,0.52,0.005,0.03
177,2020-09-09,0.973,0.965,0.973,0.96,3506,338716.0,1.33,-1.03,-0.01,0.02
178,2020-09-10,0.965,0.949,0.97,0.948,131945,12757770.0,2.28,-1.66,-0.016,0.91
179,2020-09-11,0.947,0.947,0.952,0.939,3663,346083.0,1.37,-0.21,-0.002,0.03
180,2020-09-14,0.951,0.951,0.957,0.951,1825,174160.0,0.63,0.42,0.004,0.01
181,2020-09-15,0.956,0.961,0.962,0.956,4396,421322.0,0.63,1.05,0.01,0.03
182,2020-09-16,0.961,0.959,0.966,0.957,1251,120169.0,0.94,-0.21,-0.002,0.01
