,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-10-12,1.002,1.019,1.022,1.001,5893573,594025568.0,0.0,0.0,0.0,293.38
1,2020-10-13,1.017,1.025,1.026,1.011,574782,58547268.0,1.47,0.59,0.006,28.61
2,2020-10-14,1.025,1.018,1.025,1.014,314967,32049295.0,1.07,-0.68,-0.007,15.68
3,2020-10-15,1.018,1.018,1.029,1.017,316506,32366840.0,1.18,0.0,0.0,15.76
4,2020-10-16,1.017,1.017,1.02,1.012,182606,18580662.0,0.79,-0.1,-0.001,9.09
5,2020-10-19,1.018,1.016,1.035,1.013,334946,34310029.0,2.16,-0.1,-0.001,16.67
6,2020-10-20,1.013,1.02,1.021,1.007,297693,30201687.0,1.38,0.39,0.004,14.82
7,2020-10-21,1.016,1.018,1.023,1.015,89128,9070693.0,0.78,-0.2,-0.002,4.44
8,2020-10-22,1.012,1.016,1.018,1.01,159679,16190965.0,0.79,-0.2,-0.002,7.95
9,2020-10-23,1.016,1.009,1.026,1.008,82426,8392249.0,1.77,-0.69,-0.007,4.1
10,2020-10-26,1.008,1.01,1.015,0.995,58664,5897525.0,1.98,0.1,0.001,2.92
11,2020-10-27,1.01,1.013,1.015,1.004,66918,6761228.0,1.09,0.3,0.003,3.33
12,2020-10-28,1.01,1.012,1.016,1.005,78998,7982134.0,1.09,-0.1,-0.001,3.93
13,2020-10-29,1.011,1.02,1.023,0.998,208971,21248897.0,2.47,0.79,0.008,10.4
14,2020-10-30,1.02,1.003,1.025,1.0,125823,12774405.0,2.45,-1.67,-0.017,6.26
15,2020-11-02,1.003,1.005,1.008,0.997,75739,7591958.0,1.1,0.2,0.002,3.77
16,2020-11-03,1.004,1.016,1.018,1.004,106426,10791538.0,1.39,1.09,0.011,5.3
17,2020-11-04,1.016,1.027,1.032,1.016,183239,18779845.0,1.57,1.08,0.011,9.12
18,2020-11-05,1.027,1.042,1.044,1.027,152987,15914019.0,1.66,1.46,0.015,7.62
19,2020-11-06,1.04,1.032,1.04,1.026,94996,9841658.0,1.34,-0.96,-0.01,4.73
20,2020-11-09,1.033,1.046,1.049,1.033,121206,12624408.0,1.55,1.36,0.014,6.03
21,2020-11-10,1.046,1.044,1.052,1.04,71272,7467037.0,1.15,-0.19,-0.002,3.55
22,2020-11-11,1.041,1.036,1.044,1.036,91674,9528205.0,0.77,-0.77,-0.008,4.56
23,2020-11-12,1.035,1.036,1.04,1.031,49742,5155358.0,0.87,0.0,0.0,2.48
24,2020-11-13,1.027,1.027,1.03,1.021,70371,7204876.0,0.87,-0.87,-0.009,3.5
25,2020-11-16,1.026,1.043,1.043,1.012,29266,3035512.0,3.02,1.56,0.016,1.46
26,2020-11-17,1.039,1.043,1.043,1.031,58019,6018031.0,1.15,0.0,0.0,2.89
27,2020-11-18,1.042,1.045,1.051,1.041,82976,8673561.0,0.96,0.19,0.002,4.13
28,2020-11-19,1.045,1.057,1.061,1.044,75242,7922261.0,1.63,1.15,0.012,3.75
29,2020-11-20,1.057,1.06,1.062,1.053,144750,15291745.0,0.85,0.28,0.003,7.21
