,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-01-15,1.026,1.019,1.028,1.015,9617,981173.0,0.0,0.0,0.0,0.98
1,2020-01-16,1.019,1.009,1.019,1.003,6215,631959.0,1.57,-0.98,-0.01,0.63
2,2020-01-17,1.008,1.012,1.013,1.007,2186,221140.0,0.59,0.3,0.003,0.22
3,2020-01-20,1.004,1.008,1.01,1.004,2717,274286.0,0.59,-0.4,-0.004,0.28
4,2020-01-21,1.008,1.004,1.008,1.003,240,24082.0,0.5,-0.4,-0.004,0.02
5,2020-01-22,1.003,1.0,1.013,0.977,821,82122.0,3.59,-0.4,-0.004,0.08
6,2020-01-23,0.977,0.977,0.977,0.977,85,8305.0,0.0,-2.3,-0.023,0.01
7,2020-02-03,0.973,0.973,0.973,0.973,10,973.0,0.0,-0.41,-0.004,0.0
8,2020-02-04,1.002,1.002,1.008,0.999,572,57323.0,0.92,2.98,0.029,0.06
9,2020-02-05,1.002,0.912,1.002,0.911,10083,925230.0,9.08,-8.98,-0.09,1.03
10,2020-02-06,0.914,0.925,0.929,0.903,3575,326088.0,2.85,1.43,0.013,0.36
11,2020-02-07,0.906,0.911,0.912,0.906,602,54805.0,0.65,-1.51,-0.014,0.06
12,2020-02-10,0.908,0.922,0.923,0.908,949,87273.0,1.65,1.21,0.011,0.1
13,2020-02-11,0.912,0.933,0.933,0.912,3913,364581.0,2.28,1.19,0.011,0.4
14,2020-02-12,0.909,0.932,0.933,0.909,1375,127787.0,2.57,-0.11,-0.001,0.14
15,2020-02-13,0.93,0.926,0.931,0.925,929,86150.0,0.64,-0.64,-0.006,0.09
16,2020-02-14,0.906,0.922,0.932,0.906,856,79006.0,2.81,-0.43,-0.004,0.09
17,2020-02-17,0.921,0.95,0.95,0.921,2244,210883.0,3.15,3.04,0.028,0.23
18,2020-02-18,0.939,0.942,0.951,0.939,2668,251692.0,1.26,-0.84,-0.008,0.27
19,2020-02-19,0.948,0.948,0.95,0.948,1156,109641.0,0.21,0.64,0.006,0.12
20,2020-02-20,0.962,0.961,0.962,0.948,681,64942.0,1.48,1.37,0.013,0.07
21,2020-02-21,0.961,0.961,0.961,0.944,1889,180055.0,1.77,0.0,0.0,0.19
22,2020-02-24,0.961,0.962,0.986,0.942,4595,442152.0,4.58,0.1,0.001,0.47
23,2020-02-25,0.945,0.949,0.98,0.945,443,42227.0,3.64,-1.35,-0.013,0.05
24,2020-02-26,0.949,0.962,0.965,0.942,251,23915.0,2.42,1.37,0.013,0.03
25,2020-02-27,0.961,0.961,0.962,0.942,366,34792.0,2.08,-0.1,-0.001,0.04
26,2020-02-28,0.939,0.936,0.946,0.936,378,35480.0,1.04,-2.6,-0.025,0.04
27,2020-03-02,0.954,0.96,0.96,0.954,95,9081.0,0.64,2.56,0.024,0.01
28,2020-03-03,1.025,0.984,1.025,0.964,3731,366949.0,6.35,2.5,0.024,0.38
29,2020-03-04,0.922,0.988,0.99,0.922,814,79708.0,6.91,0.41,0.004,0.08
30,2020-03-05,0.972,0.999,1.008,0.972,518,51161.0,3.64,1.11,0.011,0.05
31,2020-03-06,0.965,0.98,0.98,0.965,246,23979.0,1.5,-1.9,-0.019,0.03
32,2020-03-09,0.974,0.97,0.99,0.963,3515127,341012032.0,2.76,-1.02,-0.01,357.41
33,2020-03-10,0.94,0.963,0.975,0.939,5660,548947.0,3.71,-0.72,-0.007,0.58
34,2020-03-11,0.965,0.984,0.984,0.962,6112,592942.0,2.28,2.18,0.021,0.62
35,2020-03-12,0.937,0.958,0.962,0.937,116,10998.0,2.54,-2.64,-0.026,0.01
36,2020-03-13,0.948,0.947,0.948,0.911,137,12903.0,3.86,-1.15,-0.011,0.01
37,2020-03-16,0.937,0.963,0.963,0.911,117,10838.0,5.49,1.69,0.016,0.01
38,2020-03-17,0.948,0.929,0.948,0.901,599,54406.0,4.88,-3.53,-0.034,0.06
39,2020-03-18,0.929,0.925,0.93,0.905,396,36178.0,2.69,-0.43,-0.004,0.04
40,2020-03-19,0.905,0.906,0.906,0.905,109,9869.0,0.11,-2.05,-0.019,0.01
41,2020-03-20,0.865,0.9,0.921,0.865,177,15951.0,6.18,-0.66,-0.006,0.02
42,2020-03-23,0.9,0.88,0.9,0.874,35,3088.0,2.89,-2.22,-0.02,0.0
43,2020-03-24,0.843,0.926,0.938,0.843,443,38853.0,10.8,5.23,0.046,0.05
44,2020-03-25,0.896,0.92,0.933,0.878,366,33378.0,5.94,-0.65,-0.006,0.04
45,2020-03-26,0.891,0.899,0.916,0.891,287,25902.0,2.72,-2.28,-0.021,0.03
46,2020-03-27,0.93,0.912,0.948,0.911,2967,278639.0,4.12,1.45,0.013,0.3
47,2020-03-30,0.9,0.915,0.95,0.85,2140,189769.0,10.96,0.33,0.003,0.22
48,2020-03-31,0.883,0.908,0.99,0.883,894,83769.0,11.69,-0.77,-0.007,0.09
49,2020-04-01,0.906,0.894,0.907,0.889,177,15883.0,1.98,-1.54,-0.014,0.02
50,2020-04-02,0.9,0.9,0.9,0.883,148,13245.0,1.9,0.67,0.006,0.02
51,2020-04-03,0.9,0.9,0.9,0.9,30,2700.0,0.0,0.0,0.0,0.0
52,2020-04-07,0.93,0.958,0.977,0.896,486,46362.0,9.0,6.44,0.058,0.05
53,2020-04-08,0.958,0.918,0.986,0.918,3027,283661.0,7.1,-4.18,-0.04,0.31
54,2020-04-09,0.92,0.92,0.923,0.918,4726,435696.0,0.54,0.22,0.002,0.48
55,2020-04-10,0.92,0.916,0.92,0.906,245,22271.0,1.52,-0.43,-0.004,0.02
56,2020-04-13,0.905,0.91,0.91,0.896,746,67273.0,1.53,-0.66,-0.006,0.08
57,2020-04-14,0.903,0.917,0.919,0.903,376,34293.0,1.76,0.77,0.007,0.04
58,2020-04-15,0.906,0.91,0.918,0.906,105,9564.0,1.31,-0.76,-0.007,0.01
59,2020-04-16,0.908,0.914,0.915,0.898,288,26140.0,1.87,0.44,0.004,0.03
60,2020-04-17,0.915,0.917,0.918,0.903,448,40867.0,1.64,0.33,0.003,0.05
61,2020-04-20,0.91,0.92,0.925,0.91,581,53419.0,1.64,0.33,0.003,0.06
