,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-02-05,0.954,0.951,0.966,0.948,737071,70513518.0,0.0,0.0,0.0,9.63
1,2021-02-08,0.951,0.962,0.969,0.951,522423,50149238.0,1.89,1.16,0.011,6.83
2,2021-02-09,0.963,0.985,0.986,0.962,414614,40447555.0,2.49,2.39,0.023,5.42
3,2021-02-10,0.985,1.004,1.007,0.98,893152,89365345.0,2.74,1.93,0.019,11.67
4,2021-02-18,1.01,0.984,1.022,0.983,731605,73104046.0,3.88,-1.99,-0.02,9.56
5,2021-02-19,0.968,0.983,0.984,0.961,510889,49663402.0,2.34,-0.1,-0.001,6.68
6,2021-02-22,0.985,0.954,0.986,0.953,695783,67024477.0,3.36,-2.95,-0.029,9.09
7,2021-02-23,0.951,0.954,0.963,0.941,342232,32654755.0,2.31,0.0,0.0,4.47
8,2021-02-24,0.954,0.938,0.957,0.923,579869,54526117.0,3.56,-1.68,-0.016,7.58
9,2021-02-25,0.937,0.93,0.945,0.927,309604,28909400.0,1.92,-0.85,-0.008,4.05
10,2021-02-26,0.917,0.919,0.929,0.908,372961,34274501.0,2.26,-1.18,-0.011,4.87
11,2021-03-01,0.925,0.939,0.94,0.925,249516,23257157.0,1.63,2.18,0.02,3.26
12,2021-03-02,0.94,0.933,0.948,0.926,334595,31372149.0,2.34,-0.64,-0.006,4.37
13,2021-03-03,0.933,0.945,0.947,0.926,338511,31775502.0,2.25,1.29,0.012,4.42
14,2021-03-04,0.94,0.916,0.94,0.912,405136,37349239.0,2.96,-3.07,-0.029,5.29
15,2021-03-05,0.916,0.917,0.925,0.9,371071,33816272.0,2.73,0.11,0.001,4.85
16,2021-03-08,0.917,0.882,0.927,0.88,494606,44563712.0,5.13,-3.82,-0.035,6.46
17,2021-03-09,0.884,0.855,0.884,0.844,414233,35821131.0,4.54,-3.06,-0.027,5.41
18,2021-03-10,0.865,0.862,0.875,0.856,335749,29037447.0,2.22,0.82,0.007,4.39
19,2021-03-11,0.864,0.868,0.873,0.853,275646,23833994.0,2.32,0.7,0.006,3.6
20,2021-03-12,0.868,0.861,0.87,0.851,301288,25866146.0,2.19,-0.81,-0.007,3.94
21,2021-03-15,0.86,0.828,0.86,0.821,317450,26501805.0,4.53,-3.83,-0.033,4.15
22,2021-03-16,0.826,0.826,0.836,0.813,261472,21537917.0,2.78,-0.24,-0.002,3.42
23,2021-03-17,0.829,0.839,0.84,0.815,347993,29025621.0,3.03,1.57,0.013,4.55
24,2021-03-18,0.857,0.844,0.857,0.838,273601,23036159.0,2.26,0.6,0.005,3.58
25,2021-03-19,0.836,0.823,0.837,0.818,272815,22557445.0,2.25,-2.49,-0.021,3.57
26,2021-03-22,0.824,0.83,0.833,0.819,260423,21526735.0,1.7,0.85,0.007,3.4
27,2021-03-23,0.83,0.827,0.84,0.822,278722,23123411.0,2.17,-0.36,-0.003,3.64
28,2021-03-24,0.826,0.815,0.829,0.814,247601,20280243.0,1.81,-1.45,-0.012,3.24
29,2021-03-25,0.815,0.823,0.827,0.808,312706,25654541.0,2.33,0.98,0.008,4.09
30,2021-03-26,0.824,0.849,0.854,0.824,359146,30231569.0,3.65,3.16,0.026,4.69
31,2021-03-29,0.851,0.847,0.856,0.844,292065,24827070.0,1.41,-0.24,-0.002,3.82
32,2021-03-30,0.846,0.86,0.863,0.846,216403,18559925.0,2.01,1.53,0.013,2.83
33,2021-03-31,0.86,0.856,0.86,0.849,142244,12129702.0,1.28,-0.47,-0.004,1.86
34,2021-04-01,0.852,0.87,0.872,0.852,232887,20175428.0,2.34,1.64,0.014,3.04
35,2021-04-02,0.87,0.879,0.885,0.87,285183,25110579.0,1.72,1.03,0.009,3.73
36,2021-04-06,0.879,0.875,0.89,0.871,163024,14268185.0,2.16,-0.46,-0.004,2.13
37,2021-04-07,0.875,0.874,0.876,0.863,227399,19757966.0,1.49,-0.11,-0.001,2.97
38,2021-04-08,0.873,0.88,0.882,0.869,212418,18680826.0,1.49,0.69,0.006,2.78
39,2021-04-09,0.88,0.868,0.881,0.866,185347,16130741.0,1.7,-1.36,-0.012,2.42
40,2021-04-12,0.861,0.851,0.876,0.848,195128,16814497.0,3.23,-1.96,-0.017,2.55
41,2021-04-13,0.851,0.855,0.866,0.851,220867,18982290.0,1.76,0.47,0.004,2.89
42,2021-04-14,0.855,0.863,0.866,0.855,315854,27220216.0,1.29,0.94,0.008,4.13
43,2021-04-15,0.862,0.856,0.862,0.846,203355,17333189.0,1.85,-0.81,-0.007,2.66
44,2021-04-16,0.857,0.857,0.86,0.848,168232,14363215.0,1.4,0.12,0.001,2.2
45,2021-04-19,0.856,0.891,0.892,0.856,406063,35844454.0,4.2,3.97,0.034,5.31
46,2021-04-20,0.891,0.886,0.894,0.885,166143,14771958.0,1.01,-0.56,-0.005,2.17
47,2021-04-21,0.886,0.894,0.896,0.88,275634,24539376.0,1.81,0.9,0.008,3.6
48,2021-04-22,0.894,0.899,0.904,0.889,256336,22995336.0,1.68,0.56,0.005,3.35
49,2021-04-23,0.895,0.907,0.912,0.895,265959,24123541.0,1.89,0.89,0.008,3.48
50,2021-04-26,0.907,0.901,0.923,0.901,388631,35525142.0,2.43,-0.66,-0.006,5.08
51,2021-04-27,0.903,0.907,0.911,0.893,223109,20092960.0,2.0,0.67,0.006,2.92
52,2021-04-28,0.907,0.912,0.914,0.898,222728,20179487.0,1.76,0.55,0.005,2.91
53,2021-04-29,0.912,0.915,0.921,0.909,213913,19573954.0,1.32,0.33,0.003,2.8
54,2021-04-30,0.924,0.917,0.924,0.911,220414,20235188.0,1.42,0.22,0.002,2.88
55,2021-05-06,0.915,0.895,0.915,0.891,264815,23812828.0,2.62,-2.4,-0.022,3.46
56,2021-05-07,0.895,0.862,0.899,0.862,256046,22437493.0,4.13,-3.69,-0.033,3.35
57,2021-05-10,0.862,0.863,0.871,0.858,229291,19806605.0,1.51,0.12,0.001,3.0
58,2021-05-11,0.862,0.874,0.877,0.853,259005,22308849.0,2.78,1.27,0.011,3.38
59,2021-05-12,0.869,0.882,0.883,0.866,207369,18112622.0,1.95,0.92,0.008,2.71
60,2021-05-13,0.876,0.872,0.878,0.865,207890,18148218.0,1.47,-1.13,-0.01,2.72
61,2021-05-14,0.873,0.89,0.892,0.867,242639,21415566.0,2.87,2.06,0.018,3.17
62,2021-05-17,0.891,0.907,0.915,0.891,315684,28693002.0,2.7,1.91,0.017,4.13
63,2021-05-18,0.911,0.902,0.911,0.894,224369,20182956.0,1.87,-0.55,-0.005,2.93
64,2021-05-19,0.902,0.904,0.908,0.896,180426,16309123.0,1.33,0.22,0.002,2.36
65,2021-05-20,0.904,0.911,0.914,0.904,149618,13623082.0,1.11,0.77,0.007,1.96
66,2021-05-21,0.913,0.9,0.916,0.898,227848,20614141.0,1.98,-1.21,-0.011,2.98
67,2021-05-24,0.9,0.906,0.906,0.886,204235,18306700.0,2.22,0.67,0.006,2.67
68,2021-05-25,0.906,0.931,0.933,0.905,399158,36902646.0,3.09,2.76,0.025,5.22
69,2021-05-26,0.931,0.927,0.933,0.925,199679,18525373.0,0.86,-0.43,-0.004,2.61
70,2021-05-27,0.927,0.936,0.943,0.923,217951,20329162.0,2.16,0.97,0.009,2.85
71,2021-05-28,0.936,0.93,0.94,0.922,230132,21413072.0,1.92,-0.64,-0.006,3.01
72,2021-05-31,0.93,0.936,0.937,0.929,236313,22061653.0,0.86,0.65,0.006,3.09
73,2021-06-01,0.936,0.94,0.945,0.93,229820,21571467.0,1.6,0.43,0.004,3.0
74,2021-06-02,0.941,0.923,0.945,0.919,251106,23263894.0,2.77,-1.81,-0.017,3.28
75,2021-06-03,0.923,0.918,0.93,0.914,190036,17535931.0,1.73,-0.54,-0.005,2.48
76,2021-06-04,0.914,0.922,0.93,0.912,227475,20985478.0,1.96,0.44,0.004,2.97
77,2021-06-07,0.919,0.926,0.928,0.918,211917,19575570.0,1.08,0.43,0.004,2.77
78,2021-06-08,0.928,0.922,0.933,0.918,202435,18695516.0,1.62,-0.43,-0.004,2.65
79,2021-06-09,0.921,0.925,0.928,0.917,164258,15164744.0,1.19,0.33,0.003,2.15
80,2021-06-10,0.92,0.936,0.94,0.92,284931,26633399.0,2.16,1.19,0.011,3.72
81,2021-06-11,0.934,0.928,0.938,0.925,205471,19093098.0,1.39,-0.85,-0.008,2.69
82,2021-06-15,0.93,0.926,0.935,0.92,190031,17637443.0,1.62,-0.22,-0.002,2.48
83,2021-06-16,0.926,0.899,0.926,0.897,235251,21476524.0,3.13,-2.92,-0.027,3.07
84,2021-06-17,0.899,0.923,0.926,0.898,250468,22886428.0,3.11,2.67,0.024,3.27
85,2021-06-18,0.923,0.935,0.943,0.923,324111,30315992.0,2.17,1.3,0.012,4.24
86,2021-06-21,0.938,0.934,0.942,0.921,238358,22260773.0,2.25,-0.11,-0.001,3.11
87,2021-06-22,0.934,0.939,0.942,0.927,232884,21838896.0,1.61,0.54,0.005,3.04
88,2021-06-23,0.939,0.954,0.963,0.939,490921,46739986.0,2.56,1.6,0.015,6.42
89,2021-06-24,0.955,0.95,0.955,0.942,279784,26500292.0,1.36,-0.42,-0.004,3.66
90,2021-06-25,0.95,0.954,0.955,0.939,170284,16157356.0,1.68,0.42,0.004,2.23
91,2021-06-28,0.954,0.962,0.964,0.95,339867,32591393.0,1.47,0.84,0.008,4.44
92,2021-06-29,0.962,0.955,0.962,0.949,190115,18148656.0,1.35,-0.73,-0.007,2.48
93,2021-06-30,0.955,0.976,0.977,0.955,440042,42698040.0,2.3,2.2,0.021,5.75
