,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-05-07,0.999,0.97,0.999,0.969,979835,95967781.0,0.0,0.0,0.0,8.57
1,2021-05-10,0.97,0.985,0.992,0.96,318470,31188939.0,3.3,1.55,0.015,2.78
2,2021-05-11,0.982,0.982,0.993,0.961,307406,30203691.0,3.25,-0.3,-0.003,2.69
3,2021-05-12,0.982,1.01,1.011,0.976,313923,31377807.0,3.56,2.85,0.028,2.74
4,2021-05-13,1.01,0.978,1.01,0.977,168130,16641363.0,3.27,-3.17,-0.032,1.47
5,2021-05-14,0.974,1.003,1.003,0.974,244661,24185637.0,2.97,2.56,0.025,2.14
6,2021-05-17,1.003,1.034,1.042,0.997,342948,35275542.0,4.49,3.09,0.031,3.0
7,2021-05-18,1.034,1.035,1.039,1.02,334067,34290706.0,1.84,0.1,0.001,2.92
8,2021-05-19,1.037,1.058,1.068,1.02,373487,39201722.0,4.64,2.22,0.023,3.27
9,2021-05-20,1.058,1.05,1.07,1.05,291614,30905193.0,1.89,-0.76,-0.008,2.55
10,2021-05-21,1.05,1.044,1.055,1.029,345671,35981988.0,2.48,-0.57,-0.006,3.02
11,2021-05-24,1.044,1.028,1.044,1.021,237842,24425447.0,2.2,-1.53,-0.016,2.08
12,2021-05-25,1.023,1.038,1.04,1.023,218648,22660461.0,1.65,0.97,0.01,1.91
13,2021-05-26,1.032,1.045,1.062,1.032,228241,23981374.0,2.89,0.67,0.007,2.0
14,2021-05-27,1.045,1.045,1.052,1.038,165754,17287242.0,1.34,0.0,0.0,1.45
15,2021-05-28,1.044,1.058,1.072,1.039,211457,22385330.0,3.16,1.24,0.013,1.85
16,2021-05-31,1.056,1.062,1.063,1.034,275647,28871678.0,2.74,0.38,0.004,2.41
17,2021-06-01,1.054,1.074,1.081,1.05,243241,25929946.0,2.92,1.13,0.012,2.13
18,2021-06-02,1.07,1.068,1.084,1.065,236476,25452879.0,1.77,-0.56,-0.006,2.07
19,2021-06-03,1.078,1.058,1.078,1.054,205938,21903388.0,2.25,-0.94,-0.01,1.8
20,2021-06-04,1.058,1.07,1.076,1.043,237478,25177977.0,3.12,1.13,0.012,2.08
21,2021-06-07,1.07,1.07,1.076,1.062,182899,19546381.0,1.31,0.0,0.0,1.6
22,2021-06-08,1.075,1.086,1.095,1.07,311028,33716861.0,2.34,1.5,0.016,2.72
23,2021-06-09,1.091,1.091,1.095,1.072,278515,30190033.0,2.12,0.46,0.005,2.44
24,2021-06-10,1.088,1.117,1.121,1.088,207420,23020673.0,3.02,2.38,0.026,1.81
25,2021-06-11,1.112,1.133,1.146,1.102,355175,39849404.0,3.94,1.43,0.016,3.11
26,2021-06-15,1.142,1.153,1.246,1.138,383860,44445839.0,9.53,1.77,0.02,3.36
27,2021-06-16,1.15,1.083,1.15,1.082,382263,42336651.0,5.9,-6.07,-0.07,3.34
28,2021-06-17,1.081,1.105,1.109,1.08,223621,24557862.0,2.68,2.03,0.022,1.96
29,2021-06-18,1.11,1.162,1.172,1.105,403432,46066330.0,6.06,5.16,0.057,3.53
30,2021-06-21,1.152,1.169,1.183,1.134,281274,32799769.0,4.22,0.6,0.007,2.46
31,2021-06-22,1.145,1.184,1.197,1.145,362509,42795961.0,4.45,1.28,0.015,3.17
32,2021-06-23,1.183,1.209,1.227,1.183,818313,99421092.0,3.72,2.11,0.025,7.16
33,2021-06-24,1.209,1.207,1.227,1.198,346653,42036895.0,2.4,-0.17,-0.002,3.03
34,2021-06-25,1.2,1.203,1.215,1.189,308499,37000375.0,2.15,-0.33,-0.004,2.7
35,2021-06-28,1.203,1.219,1.233,1.202,331122,40429008.0,2.58,1.33,0.016,2.9
36,2021-06-29,1.22,1.195,1.231,1.182,290931,34878127.0,4.02,-1.97,-0.024,2.54
37,2021-06-30,1.194,1.196,1.196,1.176,306589,36384666.0,1.67,0.08,0.001,2.68
38,2021-07-01,1.196,1.171,1.203,1.166,294307,34848233.0,3.09,-2.09,-0.025,2.57
39,2021-07-02,1.157,1.159,1.174,1.151,284054,33074129.0,1.96,-1.02,-0.012,2.48
40,2021-07-05,1.15,1.183,1.183,1.149,299831,34996808.0,2.93,2.07,0.024,2.62
41,2021-07-06,1.174,1.182,1.198,1.158,298350,35189176.0,3.38,-0.08,-0.001,2.61
42,2021-07-07,1.168,1.208,1.214,1.155,298656,35640485.0,4.99,2.2,0.026,2.61
43,2021-07-08,1.208,1.202,1.219,1.199,412079,49895622.0,1.66,-0.5,-0.006,3.6
44,2021-07-09,1.197,1.23,1.232,1.187,355298,43171893.0,3.74,2.33,0.028,3.11
45,2021-07-12,1.264,1.253,1.273,1.23,271450,34071110.0,3.5,1.87,0.023,2.37
46,2021-07-13,1.253,1.245,1.258,1.233,259592,32353565.0,2.0,-0.64,-0.008,2.27
47,2021-07-14,1.244,1.196,1.244,1.191,327308,39496253.0,4.26,-3.94,-0.049,2.86
48,2021-07-15,1.183,1.176,1.193,1.154,308431,36106479.0,3.26,-1.67,-0.02,2.7
49,2021-07-16,1.165,1.17,1.187,1.163,313062,36794440.0,2.04,-0.51,-0.006,2.74
50,2021-07-19,1.157,1.163,1.17,1.14,303470,35143347.0,2.56,-0.6,-0.007,2.65
51,2021-07-20,1.155,1.174,1.174,1.152,299111,34925514.0,1.89,0.95,0.011,2.62
52,2021-07-21,1.176,1.21,1.213,1.176,273538,32937880.0,3.15,3.07,0.036,2.39
53,2021-07-22,1.211,1.211,1.224,1.203,273204,33031146.0,1.74,0.08,0.001,2.39
54,2021-07-23,1.223,1.236,1.248,1.206,299075,36902392.0,3.47,2.06,0.025,2.62
55,2021-07-26,1.235,1.188,1.235,1.165,277015,33237335.0,5.66,-3.88,-0.048,2.42
56,2021-07-27,1.183,1.154,1.209,1.153,298517,35598933.0,4.71,-2.86,-0.034,2.61
57,2021-07-28,1.125,1.135,1.153,1.107,240927,27197618.0,3.99,-1.65,-0.019,2.11
58,2021-07-29,1.179,1.186,1.195,1.148,271544,31736392.0,4.14,4.49,0.051,2.37
59,2021-07-30,1.171,1.205,1.221,1.168,717940,86324524.0,4.47,1.6,0.019,6.28
60,2021-08-02,1.232,1.274,1.275,1.215,458674,57407141.0,4.98,5.73,0.069,4.01
61,2021-08-03,1.271,1.231,1.271,1.22,299084,37085484.0,4.0,-3.38,-0.043,2.62
62,2021-08-04,1.231,1.292,1.292,1.231,358497,45733787.0,4.96,4.96,0.061,3.13
63,2021-08-05,1.245,1.284,1.296,1.245,295544,37676851.0,3.95,-0.62,-0.008,2.58
64,2021-08-06,1.3,1.29,1.32,1.28,356708,46341503.0,3.12,0.47,0.006,3.12
65,2021-08-09,1.265,1.273,1.275,1.244,248717,31397055.0,2.4,-1.32,-0.017,2.17
66,2021-08-10,1.273,1.269,1.284,1.245,339048,42860253.0,3.06,-0.31,-0.004,2.96
67,2021-08-11,1.269,1.263,1.272,1.244,287321,36108954.0,2.21,-0.47,-0.006,2.51
68,2021-08-12,1.257,1.317,1.325,1.246,446482,57989376.0,6.25,4.28,0.054,3.9
69,2021-08-13,1.3,1.286,1.31,1.275,307200,39690670.0,2.66,-2.35,-0.031,2.69
70,2021-08-16,1.263,1.262,1.282,1.247,287216,36408707.0,2.72,-1.87,-0.024,2.51
71,2021-08-17,1.25,1.226,1.277,1.222,276248,34659570.0,4.36,-2.85,-0.036,2.42
72,2021-08-18,1.226,1.221,1.24,1.206,238250,29074837.0,2.77,-0.41,-0.005,2.08
73,2021-08-19,1.22,1.26,1.268,1.212,358938,44757301.0,4.59,3.19,0.039,3.14
74,2021-08-20,1.238,1.241,1.251,1.222,281684,34827680.0,2.3,-1.51,-0.019,2.46
75,2021-08-23,1.241,1.272,1.278,1.233,334972,42167226.0,3.63,2.5,0.031,2.93
76,2021-08-24,1.271,1.275,1.298,1.27,263839,33888931.0,2.2,0.24,0.003,2.31
77,2021-08-25,1.269,1.279,1.284,1.251,288694,36592821.0,2.59,0.31,0.004,2.52
78,2021-08-26,1.28,1.242,1.281,1.241,242652,30439160.0,3.13,-2.89,-0.037,2.12
79,2021-08-27,1.241,1.285,1.294,1.24,562706,72025676.0,4.35,3.46,0.043,4.92
80,2021-08-30,1.28,1.299,1.308,1.26,361384,46457236.0,3.74,1.09,0.014,3.16
81,2021-08-31,1.298,1.295,1.301,1.271,292441,37633314.0,2.31,-0.31,-0.004,2.56
82,2021-09-01,1.294,1.279,1.299,1.245,281066,35740950.0,4.17,-1.24,-0.016,2.46
83,2021-09-02,1.256,1.293,1.298,1.256,226905,29236592.0,3.28,1.09,0.014,1.98
84,2021-09-03,1.27,1.26,1.291,1.249,224484,28451375.0,3.25,-2.55,-0.033,1.96
85,2021-09-06,1.261,1.296,1.298,1.259,344783,44269070.0,3.1,2.86,0.036,3.01
86,2021-09-07,1.298,1.326,1.33,1.291,273403,35865157.0,3.01,2.31,0.03,2.39
87,2021-09-08,1.325,1.307,1.326,1.298,265478,34813016.0,2.11,-1.43,-0.019,2.32
88,2021-09-09,1.31,1.302,1.324,1.287,241805,31408563.0,2.83,-0.38,-0.005,2.11
89,2021-09-10,1.302,1.299,1.308,1.286,225621,29253992.0,1.69,-0.23,-0.003,1.97
90,2021-09-13,1.298,1.279,1.299,1.271,227181,29143690.0,2.16,-1.54,-0.02,1.99
91,2021-09-14,1.279,1.289,1.306,1.263,349876,45207460.0,3.36,0.78,0.01,3.06
92,2021-09-15,1.278,1.275,1.279,1.261,237921,30253738.0,1.4,-1.09,-0.014,2.08
93,2021-09-16,1.275,1.225,1.277,1.225,278481,34614816.0,4.08,-3.92,-0.05,2.44
94,2021-09-17,1.224,1.225,1.239,1.207,214618,26283830.0,2.61,0.0,0.0,1.88
95,2021-09-22,1.2,1.206,1.21,1.191,200028,24033233.0,1.55,-1.55,-0.019,1.75
96,2021-09-23,1.208,1.209,1.226,1.206,196913,23947572.0,1.66,0.25,0.003,1.72
97,2021-09-24,1.218,1.205,1.22,1.198,226962,27388003.0,1.82,-0.33,-0.004,1.98
98,2021-09-27,1.203,1.194,1.22,1.179,252981,30360107.0,3.4,-0.91,-0.011,2.21
99,2021-09-28,1.194,1.181,1.197,1.178,184320,21859666.0,1.59,-1.09,-0.013,1.61
100,2021-09-29,1.174,1.15,1.174,1.15,275443,31920729.0,2.03,-2.62,-0.031,2.41
101,2021-09-30,1.154,1.172,1.173,1.153,254945,29738887.0,1.74,1.91,0.022,2.23
102,2021-10-08,1.188,1.201,1.208,1.183,250363,29864360.0,2.13,2.47,0.029,2.19
103,2021-10-11,1.208,1.215,1.228,1.188,266166,32274812.0,3.33,1.17,0.014,2.33
104,2021-10-12,1.209,1.215,1.239,1.201,262126,32073375.0,3.13,0.0,0.0,2.29
105,2021-10-13,1.22,1.259,1.259,1.208,273727,34173496.0,4.2,3.62,0.044,2.39
106,2021-10-14,1.233,1.277,1.28,1.233,274180,34706155.0,3.73,1.43,0.018,2.4
107,2021-10-15,1.276,1.294,1.302,1.263,266319,34088095.0,3.05,1.33,0.017,2.33
108,2021-10-18,1.301,1.304,1.314,1.289,232880,30309038.0,1.93,0.77,0.01,2.04
109,2021-10-19,1.315,1.302,1.324,1.294,230213,30048235.0,2.3,-0.15,-0.002,2.01
110,2021-10-20,1.298,1.327,1.33,1.291,248588,32676411.0,3.0,1.92,0.025,2.17
111,2021-10-21,1.328,1.305,1.328,1.297,192299,25184992.0,2.34,-1.66,-0.022,1.68
112,2021-10-22,1.29,1.319,1.334,1.29,235331,31123467.0,3.37,1.07,0.014,2.06
113,2021-10-25,1.322,1.359,1.361,1.314,250453,33477625.0,3.56,3.03,0.04,2.19
114,2021-10-26,1.392,1.362,1.4,1.355,308898,42383260.0,3.31,0.22,0.003,2.7
115,2021-10-27,1.36,1.357,1.372,1.346,454214,61712785.0,1.91,-0.37,-0.005,3.97
116,2021-10-28,1.349,1.327,1.359,1.318,325055,43499126.0,3.02,-2.21,-0.03,2.84
117,2021-10-29,1.326,1.341,1.344,1.301,296575,39233939.0,3.24,1.06,0.014,2.59
118,2021-11-01,1.336,1.319,1.336,1.303,268378,35519133.0,2.46,-1.64,-0.022,2.35
119,2021-11-02,1.311,1.331,1.354,1.311,436295,58130921.0,3.26,0.91,0.012,3.82
120,2021-11-03,1.329,1.31,1.331,1.297,281141,36867226.0,2.55,-1.58,-0.021,2.46
121,2021-11-04,1.312,1.378,1.384,1.312,305416,41350191.0,5.5,5.19,0.068,2.67
122,2021-11-05,1.368,1.371,1.391,1.353,374060,51419181.0,2.76,-0.51,-0.007,3.27
123,2021-11-08,1.373,1.368,1.385,1.36,283367,38834012.0,1.82,-0.22,-0.003,2.48
124,2021-11-09,1.36,1.365,1.383,1.353,286032,39119056.0,2.19,-0.22,-0.003,2.5
125,2021-11-10,1.346,1.337,1.365,1.313,268383,35854728.0,3.81,-2.05,-0.028,2.35
126,2021-11-11,1.344,1.343,1.353,1.329,223862,30026790.0,1.8,0.45,0.006,1.96
127,2021-11-12,1.346,1.351,1.354,1.329,248627,33423646.0,1.86,0.6,0.008,2.17
128,2021-11-15,1.352,1.32,1.361,1.312,270191,36013417.0,3.63,-2.29,-0.031,2.36
129,2021-11-16,1.312,1.295,1.326,1.291,284255,37013813.0,2.65,-1.89,-0.025,2.49
130,2021-11-17,1.302,1.308,1.316,1.301,318304,41574679.0,1.16,1.0,0.013,2.78
131,2021-11-18,1.309,1.296,1.309,1.287,211335,27341516.0,1.68,-0.92,-0.012,1.85
132,2021-11-19,1.29,1.309,1.314,1.276,386950,49834868.0,2.93,1.0,0.013,3.38
133,2021-11-22,1.308,1.355,1.358,1.296,383822,51444081.0,4.74,3.51,0.046,3.36
134,2021-11-23,1.347,1.349,1.354,1.334,326027,43723147.0,1.48,-0.44,-0.006,2.85
135,2021-11-24,1.353,1.33,1.353,1.327,332137,44324972.0,1.93,-1.41,-0.019,2.9
136,2021-11-25,1.322,1.314,1.329,1.303,254404,33405963.0,1.95,-1.2,-0.016,2.22
137,2021-11-26,1.314,1.31,1.323,1.303,209696,27504067.0,1.52,-0.3,-0.004,1.83
138,2021-11-29,1.284,1.319,1.324,1.283,256190,33661841.0,3.13,0.69,0.009,2.24
139,2021-11-30,1.319,1.329,1.338,1.319,207592,27596828.0,1.44,0.76,0.01,1.82
140,2021-12-01,1.336,1.319,1.336,1.308,223400,29425959.0,2.11,-0.75,-0.01,1.95
141,2021-12-02,1.322,1.341,1.344,1.313,301056,40275118.0,2.35,1.67,0.022,2.63
142,2021-12-03,1.341,1.335,1.342,1.326,286606,38178749.0,1.19,-0.45,-0.006,2.51
143,2021-12-06,1.337,1.321,1.342,1.319,264572,35267926.0,1.72,-1.05,-0.014,2.31
