,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-03-03,0.915,0.912,0.915,0.891,225852,20434188.0,0.0,0.0,0.0,18.51
1,2021-03-04,0.911,0.852,0.911,0.849,311858,26992083.0,6.8,-6.58,-0.06,25.56
2,2021-03-05,0.847,0.855,0.868,0.83,153102,13042286.0,4.46,0.35,0.003,12.55
3,2021-03-08,0.859,0.806,0.873,0.806,185022,15308490.0,7.84,-5.73,-0.049,15.17
4,2021-03-09,0.811,0.781,0.822,0.769,150038,11840993.0,6.58,-3.1,-0.025,12.3
5,2021-03-10,0.796,0.79,0.808,0.785,90142,7174929.0,2.94,1.15,0.009,7.39
6,2021-03-11,0.791,0.819,0.82,0.788,192232,15628800.0,4.05,3.67,0.029,15.76
7,2021-03-12,0.825,0.83,0.832,0.809,84342,6951321.0,2.81,1.34,0.011,6.91
8,2021-03-15,0.83,0.798,0.83,0.789,113035,9049141.0,4.94,-3.86,-0.032,9.27
9,2021-03-16,0.798,0.805,0.81,0.789,68152,5469248.0,2.63,0.88,0.007,5.59
10,2021-03-17,0.807,0.81,0.811,0.786,160074,12907583.0,3.11,0.62,0.005,13.12
11,2021-03-18,0.808,0.824,0.825,0.805,67674,5545667.0,2.47,1.73,0.014,5.55
12,2021-03-19,0.815,0.802,0.815,0.796,147667,11882375.0,2.31,-2.67,-0.022,12.11
13,2021-03-22,0.802,0.819,0.823,0.8,77019,6275889.0,2.87,2.12,0.017,6.31
14,2021-03-23,0.821,0.805,0.822,0.797,103647,8322801.0,3.05,-1.71,-0.014,8.5
15,2021-03-24,0.804,0.789,0.809,0.786,168624,13469956.0,2.86,-1.99,-0.016,13.82
16,2021-03-25,0.789,0.788,0.794,0.774,79057,6205176.0,2.53,-0.13,-0.001,6.48
17,2021-03-26,0.79,0.819,0.823,0.79,231834,18845724.0,4.19,3.93,0.031,19.0
18,2021-03-29,0.819,0.811,0.82,0.804,112680,9156004.0,1.95,-0.98,-0.008,9.24
19,2021-03-30,0.811,0.836,0.838,0.803,162158,13398728.0,4.32,3.08,0.025,13.29
20,2021-03-31,0.835,0.828,0.835,0.821,80554,6664487.0,1.67,-0.96,-0.008,6.6
21,2021-04-01,0.828,0.835,0.85,0.828,111394,9324366.0,2.66,0.85,0.007,9.13
22,2021-04-02,0.835,0.835,0.842,0.824,58048,4831894.0,2.16,0.0,0.0,4.76
23,2021-04-06,0.835,0.857,0.866,0.835,377945,32404203.0,3.71,2.63,0.022,30.98
24,2021-04-07,0.857,0.837,0.864,0.826,136526,11395739.0,4.43,-2.33,-0.02,11.19
25,2021-04-08,0.835,0.831,0.838,0.824,113397,9445233.0,1.67,-0.72,-0.006,9.3
26,2021-04-09,0.828,0.818,0.829,0.815,177804,14567943.0,1.68,-1.56,-0.013,14.58
27,2021-04-12,0.818,0.797,0.82,0.793,153726,12362280.0,3.3,-2.57,-0.021,12.6
28,2021-04-13,0.797,0.791,0.802,0.788,107501,8526529.0,1.76,-0.75,-0.006,8.81
29,2021-04-14,0.794,0.804,0.807,0.794,101895,8162912.0,1.64,1.64,0.013,8.35
30,2021-04-15,0.805,0.809,0.812,0.796,132400,10635939.0,1.99,0.62,0.005,10.85
31,2021-04-16,0.81,0.807,0.814,0.793,80822,6476820.0,2.6,-0.25,-0.002,6.63
32,2021-04-19,0.804,0.831,0.833,0.8,133280,10969155.0,4.09,2.97,0.024,10.93
33,2021-04-20,0.832,0.842,0.855,0.825,166175,14068394.0,3.61,1.32,0.011,13.62
34,2021-04-21,0.843,0.841,0.849,0.833,47036,3959727.0,1.9,-0.12,-0.001,3.86
35,2021-04-22,0.842,0.843,0.851,0.83,64626,5442850.0,2.5,0.24,0.002,5.3
36,2021-04-23,0.843,0.851,0.858,0.843,112036,9544486.0,1.78,0.95,0.008,9.18
37,2021-04-26,0.852,0.848,0.875,0.847,111265,9626871.0,3.29,-0.35,-0.003,9.12
38,2021-04-27,0.848,0.847,0.854,0.838,162776,13759887.0,1.89,-0.12,-0.001,13.34
39,2021-04-28,0.847,0.86,0.862,0.846,88654,7580768.0,1.89,1.53,0.013,7.27
40,2021-04-29,0.861,0.859,0.865,0.849,83841,7180462.0,1.86,-0.12,-0.001,6.87
41,2021-04-30,0.859,0.877,0.883,0.859,149813,13111667.0,2.79,2.1,0.018,12.28
42,2021-05-06,0.873,0.875,0.888,0.864,88546,7756902.0,2.74,-0.23,-0.002,7.26
43,2021-05-07,0.872,0.851,0.882,0.85,154247,13245159.0,3.66,-2.74,-0.024,12.64
44,2021-05-10,0.851,0.862,0.866,0.842,85319,7317444.0,2.82,1.29,0.011,6.99
45,2021-05-11,0.861,0.852,0.861,0.833,101561,8607537.0,3.25,-1.16,-0.01,8.33
46,2021-05-12,0.847,0.858,0.862,0.845,54596,4671025.0,2.0,0.7,0.006,4.48
47,2021-05-13,0.853,0.844,0.858,0.842,45724,3873348.0,1.86,-1.63,-0.014,3.75
48,2021-05-14,0.843,0.856,0.856,0.832,49836,4200557.0,2.84,1.42,0.012,4.09
49,2021-05-17,0.855,0.88,0.882,0.855,131780,11531625.0,3.15,2.8,0.024,10.8
50,2021-05-18,0.88,0.874,0.88,0.869,68512,5982588.0,1.25,-0.68,-0.006,5.62
51,2021-05-19,0.875,0.889,0.892,0.868,106371,9425110.0,2.75,1.72,0.015,8.72
52,2021-05-20,0.889,0.881,0.893,0.875,122583,10793089.0,2.02,-0.9,-0.008,10.05
53,2021-05-21,0.891,0.885,0.905,0.88,76574,6806226.0,2.84,0.45,0.004,6.28
54,2021-05-24,0.885,0.884,0.891,0.868,106611,9342130.0,2.6,-0.11,-0.001,8.74
55,2021-05-25,0.885,0.894,0.894,0.872,117882,10403451.0,2.49,1.13,0.01,9.66
56,2021-05-26,0.875,0.882,0.893,0.875,55216,4880440.0,2.01,-1.34,-0.012,4.53
57,2021-05-27,0.881,0.889,0.895,0.881,85982,7657287.0,1.59,0.79,0.007,7.05
58,2021-05-28,0.888,0.9,0.911,0.887,131650,11910096.0,2.7,1.24,0.011,10.79
59,2021-05-31,0.899,0.933,0.933,0.896,245433,22700777.0,4.11,3.67,0.033,20.12
60,2021-06-01,0.931,0.929,0.931,0.913,119258,11050486.0,1.93,-0.43,-0.004,9.78
61,2021-06-02,0.93,0.914,0.947,0.913,168595,15540132.0,3.66,-1.61,-0.015,13.82
62,2021-06-03,0.913,0.891,0.914,0.89,86687,7783079.0,2.63,-2.52,-0.023,7.11
63,2021-06-04,0.891,0.894,0.9,0.879,104205,9278023.0,2.36,0.34,0.003,8.54
64,2021-06-07,0.896,0.888,0.897,0.878,103077,9108883.0,2.13,-0.67,-0.006,8.45
65,2021-06-08,0.887,0.884,0.897,0.878,80657,7152276.0,2.14,-0.45,-0.004,6.61
66,2021-06-09,0.884,0.891,0.892,0.878,121282,10762338.0,1.58,0.79,0.007,9.94
67,2021-06-10,0.891,0.933,0.939,0.89,203171,18721141.0,5.5,4.71,0.042,16.66
68,2021-06-11,0.933,0.953,0.963,0.933,184269,17474346.0,3.22,2.14,0.02,15.11
69,2021-06-15,0.96,0.942,0.963,0.937,62847,5943785.0,2.73,-1.15,-0.011,5.15
70,2021-06-16,0.94,0.905,0.94,0.901,119451,10882973.0,4.14,-3.93,-0.037,9.79
71,2021-06-17,0.905,0.921,0.922,0.905,61341,5620498.0,1.88,1.77,0.016,5.03
72,2021-06-18,0.925,0.947,0.949,0.923,119330,11212066.0,2.82,2.82,0.026,9.78
73,2021-06-21,0.947,0.97,0.979,0.936,157683,15221109.0,4.54,2.43,0.023,12.93
74,2021-06-22,0.971,0.973,0.978,0.958,137966,13379837.0,2.06,0.31,0.003,11.31
75,2021-06-23,0.973,0.986,0.998,0.972,244789,24206069.0,2.67,1.34,0.013,20.07
76,2021-06-24,0.987,1.018,1.03,0.987,485630,49354717.0,4.36,3.25,0.032,39.81
77,2021-06-25,1.018,1.022,1.04,1.017,356095,36631504.0,2.26,0.39,0.004,29.19
78,2021-06-28,1.022,1.035,1.042,1.022,389305,40295638.0,1.96,1.27,0.013,31.91
79,2021-06-29,1.04,1.068,1.073,1.04,539887,57356766.0,3.19,3.19,0.033,44.26
80,2021-06-30,1.068,1.079,1.081,1.048,412641,44183589.0,3.09,1.03,0.011,33.83
81,2021-07-01,1.079,1.046,1.09,1.044,251475,26655372.0,4.26,-3.06,-0.033,20.61
82,2021-07-02,1.046,1.033,1.058,1.029,201680,21037530.0,2.77,-1.24,-0.013,16.53
83,2021-07-05,1.033,1.052,1.059,1.03,189136,19813317.0,2.81,1.84,0.019,15.5
84,2021-07-06,1.052,1.032,1.056,1.014,183668,18992467.0,3.99,-1.9,-0.02,15.06
85,2021-07-07,1.032,1.085,1.095,1.016,331909,35459726.0,7.66,5.14,0.053,27.21
86,2021-07-08,1.085,1.097,1.115,1.085,290981,32101453.0,2.76,1.11,0.012,23.85
87,2021-07-09,1.099,1.106,1.113,1.065,226853,24837406.0,4.38,0.82,0.009,18.6
88,2021-07-12,1.111,1.122,1.15,1.1,238161,26798896.0,4.52,1.45,0.016,19.52
89,2021-07-13,1.129,1.142,1.153,1.12,283352,32306219.0,2.94,1.78,0.02,23.23
90,2021-07-14,1.141,1.112,1.147,1.104,249909,27995012.0,3.77,-2.63,-0.03,20.49
