,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-08-23,0.998,1.019,1.022,0.986,603874,61027322.0,0.0,0.0,0.0,15.36
1,2021-08-24,1.018,1.034,1.052,1.012,395831,41112377.0,3.93,1.47,0.015,10.07
2,2021-08-25,1.035,1.08,1.088,1.027,769858,82071516.0,5.9,4.45,0.046,19.58
3,2021-08-26,1.079,1.077,1.1,1.074,279060,30325925.0,2.41,-0.28,-0.003,7.1
4,2021-08-27,1.077,1.1,1.106,1.069,226176,24725402.0,3.44,2.14,0.023,5.75
5,2021-08-30,1.106,1.161,1.183,1.1,319645,36793929.0,7.55,5.55,0.061,8.13
6,2021-08-31,1.161,1.148,1.163,1.131,223451,25527162.0,2.76,-1.12,-0.013,5.68
7,2021-09-01,1.15,1.09,1.158,1.062,329466,36317505.0,8.36,-5.05,-0.058,8.38
8,2021-09-02,1.091,1.138,1.141,1.091,237820,26713965.0,4.59,4.4,0.048,6.05
9,2021-09-03,1.139,1.107,1.169,1.096,266637,30050740.0,6.41,-2.72,-0.031,6.78
10,2021-09-06,1.113,1.086,1.115,1.045,495066,53204429.0,6.32,-1.9,-0.021,12.59
11,2021-09-07,1.086,1.113,1.113,1.072,175771,19309653.0,3.78,2.49,0.027,4.47
12,2021-09-08,1.112,1.072,1.125,1.065,234879,25553225.0,5.39,-3.68,-0.041,5.97
13,2021-09-09,1.083,1.071,1.083,1.046,197096,20854976.0,3.45,-0.09,-0.001,5.01
14,2021-09-10,1.073,1.09,1.093,1.056,230518,24833700.0,3.45,1.77,0.019,5.86
15,2021-09-13,1.097,1.056,1.097,1.047,232365,24559164.0,4.59,-3.12,-0.034,5.91
16,2021-09-14,1.051,1.059,1.069,1.039,112738,11903776.0,2.84,0.28,0.003,2.87
17,2021-09-15,1.065,1.081,1.085,1.054,200060,21556434.0,2.93,2.08,0.022,5.09
18,2021-09-16,1.083,1.033,1.086,1.02,329841,34332291.0,6.11,-4.44,-0.048,8.39
19,2021-09-17,1.02,1.005,1.041,0.983,249543,25089312.0,5.61,-2.71,-0.028,6.35
20,2021-09-22,0.989,1.021,1.029,0.988,108302,11029271.0,4.08,1.59,0.016,2.75
21,2021-09-23,1.029,1.028,1.041,1.023,99207,10240812.0,1.76,0.69,0.007,2.52
22,2021-09-24,1.028,1.044,1.064,1.006,216473,22692458.0,5.64,1.56,0.016,5.51
23,2021-09-27,1.046,1.037,1.06,1.007,222392,22883176.0,5.08,-0.67,-0.007,5.66
24,2021-09-28,1.037,1.025,1.045,1.019,101148,10405827.0,2.51,-1.16,-0.012,2.57
25,2021-09-29,1.02,1.02,1.039,1.007,108029,11069590.0,3.12,-0.49,-0.005,2.75
26,2021-09-30,1.02,1.035,1.045,1.013,255559,26399860.0,3.14,1.47,0.015,6.5
27,2021-10-08,1.04,1.011,1.046,1.002,209826,21296260.0,4.25,-2.32,-0.024,5.34
