,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-06-11,1.001,1.001,1.011,0.99,1055571,105761476.0,0.0,0.0,0.0,476.64
1,2021-06-15,1.001,1.007,1.013,0.998,145657,14660816.0,1.5,0.6,0.006,65.77
2,2021-06-16,1.003,0.959,1.003,0.958,59233,5779760.0,4.47,-4.77,-0.048,26.75
3,2021-06-17,0.959,0.975,0.975,0.959,37729,3656645.0,1.67,1.67,0.016,17.04
4,2021-06-18,0.978,0.997,1.006,0.975,174184,17344001.0,3.18,2.26,0.022,78.65
5,2021-06-21,0.997,1.008,1.019,0.995,387641,39227151.0,2.41,1.1,0.011,175.04
6,2021-06-22,1.012,1.019,1.021,1.004,139584,14160850.0,1.69,1.09,0.011,63.03
7,2021-06-23,1.021,1.042,1.05,1.015,352934,36704742.0,3.43,2.26,0.023,159.37
8,2021-06-24,1.048,1.045,1.054,1.035,142843,14956765.0,1.82,0.29,0.003,64.5
9,2021-06-25,1.045,1.066,1.069,1.045,212226,22497712.0,2.3,2.01,0.021,95.83
10,2021-06-28,1.068,1.082,1.094,1.066,139293,15073094.0,2.63,1.5,0.016,62.9
11,2021-06-29,1.082,1.091,1.105,1.082,113375,12385828.0,2.13,0.83,0.009,51.19
12,2021-06-30,1.091,1.113,1.119,1.081,118227,13090776.0,3.48,2.02,0.022,53.39
13,2021-07-01,1.11,1.092,1.13,1.092,173741,19144180.0,3.41,-1.89,-0.021,78.45
14,2021-07-02,1.08,1.074,1.092,1.051,108757,11721736.0,3.75,-1.65,-0.018,49.11
15,2021-07-05,1.074,1.095,1.101,1.074,72293,7881775.0,2.51,1.96,0.021,32.64
16,2021-07-06,1.095,1.097,1.126,1.076,139049,15290094.0,4.57,0.18,0.002,62.79
17,2021-07-07,1.097,1.151,1.153,1.076,148937,16800460.0,7.02,4.92,0.054,67.25
18,2021-07-08,1.152,1.172,1.185,1.151,121421,14227358.0,2.95,1.82,0.021,54.83
19,2021-07-09,1.172,1.18,1.187,1.14,74174,8659063.0,4.01,0.68,0.008,33.49
20,2021-07-12,1.18,1.215,1.232,1.18,101121,12286045.0,4.41,2.97,0.035,45.66
21,2021-07-13,1.216,1.209,1.222,1.196,104702,12641495.0,2.14,-0.49,-0.006,47.28
22,2021-07-14,1.209,1.184,1.22,1.173,183806,21792550.0,3.89,-2.07,-0.025,83.0
23,2021-07-15,1.175,1.21,1.212,1.17,72303,8635263.0,3.55,2.2,0.026,32.65
24,2021-07-16,1.21,1.173,1.215,1.17,82412,9907862.0,3.72,-3.06,-0.037,37.21
25,2021-07-19,1.173,1.153,1.181,1.141,93052,10733241.0,3.41,-1.71,-0.02,42.02
26,2021-07-20,1.153,1.17,1.172,1.143,67197,7811689.0,2.52,1.47,0.017,30.34
27,2021-07-21,1.171,1.222,1.224,1.158,106386,12789841.0,5.64,4.44,0.052,48.04
28,2021-07-22,1.223,1.232,1.234,1.202,83692,10228157.0,2.62,0.82,0.01,37.79
29,2021-07-23,1.232,1.223,1.25,1.214,118803,14578457.0,2.92,-0.73,-0.009,53.65
30,2021-07-26,1.223,1.219,1.235,1.17,35229,4255694.0,5.31,-0.33,-0.004,15.91
31,2021-07-27,1.22,1.192,1.238,1.151,105779,12655452.0,7.14,-2.21,-0.027,47.76
32,2021-07-28,1.175,1.17,1.183,1.12,74313,8548250.0,5.29,-1.85,-0.022,33.56
33,2021-07-29,1.18,1.22,1.236,1.18,146482,17683609.0,4.79,4.27,0.05,66.14
34,2021-07-30,1.219,1.214,1.237,1.195,60551,7356406.0,3.44,-0.49,-0.006,27.34
35,2021-08-02,1.227,1.244,1.251,1.212,57031,7034997.0,3.21,2.47,0.03,25.75
36,2021-08-03,1.245,1.212,1.245,1.196,41578,5041174.0,3.94,-2.57,-0.032,18.77
37,2021-08-04,1.212,1.277,1.279,1.212,100278,12523664.0,5.53,5.36,0.065,45.28
38,2021-08-05,1.278,1.276,1.289,1.25,59636,7560572.0,3.05,-0.08,-0.001,26.93
39,2021-08-06,1.28,1.277,1.306,1.26,121979,15724824.0,3.61,0.08,0.001,55.08
40,2021-08-09,1.277,1.251,1.282,1.217,125455,15512864.0,5.09,-2.04,-0.026,56.65
41,2021-08-10,1.238,1.232,1.259,1.211,57779,7153818.0,3.84,-1.52,-0.019,26.09
42,2021-08-11,1.232,1.234,1.242,1.216,23781,2923070.0,2.11,0.16,0.002,10.74
43,2021-08-12,1.234,1.232,1.236,1.216,22452,2756006.0,1.62,-0.16,-0.002,10.14
44,2021-08-13,1.221,1.221,1.264,1.216,25737,3168666.0,3.9,-0.89,-0.011,11.62
45,2021-08-16,1.221,1.196,1.222,1.19,108909,13067577.0,2.62,-2.05,-0.025,49.18
46,2021-08-17,1.196,1.19,1.209,1.176,107812,12908626.0,2.76,-0.5,-0.006,48.68
47,2021-08-18,1.19,1.182,1.207,1.176,70306,8388236.0,2.61,-0.67,-0.008,31.75
48,2021-08-19,1.172,1.203,1.217,1.166,78255,9316590.0,4.31,1.78,0.021,35.34
49,2021-08-20,1.205,1.196,1.215,1.176,29687,3540161.0,3.24,-0.58,-0.007,13.41
50,2021-08-23,1.196,1.223,1.227,1.184,48873,5954600.0,3.6,2.26,0.027,22.07
51,2021-08-24,1.223,1.245,1.261,1.218,82376,10243682.0,3.52,1.8,0.022,37.2
52,2021-08-25,1.245,1.26,1.263,1.229,49877,6197906.0,2.73,1.2,0.015,22.52
