,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-09-16,0.986,0.985,0.994,0.982,491342,48574425.0,0.0,0.0,0.0,50.52
1,2021-09-17,0.986,0.999,1.0,0.979,453297,45077117.0,2.13,1.42,0.014,46.61
2,2021-09-22,0.996,0.988,0.996,0.982,109095,10765406.0,1.4,-1.1,-0.011,11.22
3,2021-09-23,0.987,0.995,1.003,0.987,447606,44758670.0,1.62,0.71,0.007,46.02
4,2021-09-24,1.003,1.005,1.013,0.996,585658,58927160.0,1.71,1.01,0.01,60.22
5,2021-09-27,1.005,1.012,1.021,1.0,287675,29176396.0,2.09,0.7,0.007,29.58
6,2021-09-28,1.012,1.004,1.012,1.0,82665,8314493.0,1.19,-0.79,-0.008,8.5
7,2021-09-29,1.004,0.995,1.004,0.987,78039,7744865.0,1.69,-0.9,-0.009,8.02
8,2021-09-30,0.996,1.001,1.005,0.996,89586,8964949.0,0.9,0.6,0.006,9.21
9,2021-10-08,1.002,1.018,1.019,1.0,148366,15054533.0,1.9,1.7,0.017,15.25
10,2021-10-11,1.019,1.02,1.03,1.015,101077,10323644.0,1.47,0.2,0.002,10.39
11,2021-10-12,1.02,1.01,1.02,1.005,67625,6852594.0,1.47,-0.98,-0.01,6.95
12,2021-10-13,1.01,1.022,1.024,1.009,153856,15708666.0,1.49,1.19,0.012,15.82
13,2021-10-14,1.028,1.021,1.029,1.018,77065,7878515.0,1.08,-0.1,-0.001,7.92
14,2021-10-15,1.021,1.012,1.026,1.01,37774,3829508.0,1.57,-0.88,-0.009,3.88
15,2021-10-18,1.012,0.995,1.016,0.99,82247,8178520.0,2.57,-1.68,-0.017,8.46
16,2021-10-19,0.995,1.004,1.004,0.993,32664,3267222.0,1.11,0.9,0.009,3.36
17,2021-10-20,1.004,0.998,1.009,0.992,40374,4022445.0,1.69,-0.6,-0.006,4.15
18,2021-10-21,0.998,0.998,1.001,0.993,26632,2657762.0,0.8,0.0,0.0,2.74
19,2021-10-22,0.998,1.005,1.009,0.997,64980,6532232.0,1.2,0.7,0.007,6.68
20,2021-10-25,1.006,1.006,1.006,0.997,37578,3761887.0,0.9,0.1,0.001,3.86
21,2021-10-26,1.0,1.002,1.009,1.0,68803,6904783.0,0.89,-0.4,-0.004,7.07
22,2021-10-27,1.002,0.99,1.002,0.987,59495,5888810.0,1.5,-1.2,-0.012,6.12
23,2021-10-28,0.992,0.993,0.994,0.981,89452,8830801.0,1.31,0.3,0.003,9.2
